Geneid	1714__ROC_LEVO_N=3_library-read-1.fastq.gz
gene-b0001	241
gene-b0002	1967
gene-b0003	2466
gene-b0004	1956
gene-b0005	189
gene-b0006	968
gene-b0007	89
gene-b0008	62025
gene-b0009	3118
gene-b0010	735
gene-b0011	78
gene-b0012	62
gene-b0013	21
gene-b0014	113432
gene-b0015	8517
gene-b0016	546
gene-b4412	260
gene-b0018	283
gene-b4413	62
gene-b0019	2625
gene-b0020	1016
gene-b0021	83
gene-b0022	97
gene-b0023	30185
gene-b0024	9268
gene-b0025	5354
gene-b0026	45263
gene-b0027	4147
gene-b0028	2301
gene-b0029	2748
gene-b0030	3458
gene-b0031	977
gene-b0032	1971
gene-b0033	5197
gene-b0034	55
gene-b0035	27
gene-b0036	37
gene-b0037	213
gene-b0038	308
gene-b0039	272
gene-b0040	67
gene-b0041	42
gene-b0042	40
gene-b0043	36
gene-b0044	14
gene-b0045	112
gene-b0046	450
gene-b0047	433
gene-b0048	2068
gene-b0049	1609
gene-b0050	3473
gene-b0051	4743
gene-b0052	3362
gene-b0053	26260
gene-b0054	21814
gene-b0055	1384
gene-b0056	745
gene-b0057	315
gene-b0058	1465
gene-b0059	7740
gene-b0060	4350
gene-b0061	87
gene-b0062	527
gene-b0063	417
gene-b0064	3437
gene-b0065	1386
gene-b0066	343
gene-b0067	249
gene-b0068	317
gene-b0069	523
gene-b4577	105
gene-b4662	59
gene-b0070	640
gene-b0071	249
gene-b0072	431
gene-b0073	220
gene-b0074	228
gene-b0075	13
gene-b0076	63
gene-b4726	3
gene-b0077	751
gene-b0078	105
gene-b0080	3658
gene-b0081	3648
gene-b0082	11585
gene-b0083	4416
gene-b0084	2841
gene-b0085	6473
gene-b0086	6462
gene-b0087	2781
gene-b0088	5122
gene-b0089	2015
gene-b0090	2903
gene-b0091	4262
gene-b0092	4668
gene-b0093	6039
gene-b0094	11027
gene-b0095	29766
gene-b0096	28337
gene-b0097	3072
gene-b0098	26609
gene-b0099	859
gene-b0101	2274
gene-b0102	2471
gene-b0103	1801
gene-b4727	11
gene-b0104	5318
gene-b0106	632
gene-b0107	217
gene-b0108	18
gene-b0109	785
gene-b0110	293
gene-b0111	991
gene-b0112	715
gene-b0113	1433
gene-b0114	498681
gene-b0115	194904
gene-b0116	233766
gene-b0117	276
gene-b0118	102482
gene-b0119	768
gene-b0120	4747
gene-b0121	3371
gene-b0122	2145
gene-b0123	958
gene-b0124	605
gene-b0125	3465
gene-b0126	3593
gene-b0127	2201
gene-b0128	1738
gene-b0129	676
gene-b0130	725
gene-b0131	885
gene-b0132	1231
gene-b0133	7047
gene-b0134	972
gene-b0135	42
gene-b0136	19
gene-b0137	81
gene-b0138	23
gene-b0139	82
gene-b0140	30
gene-b0141	6
gene-b0142	948
gene-b0143	8017
gene-b0144	2841
gene-b0145	11598
gene-b0146	7440
gene-b0147	532
gene-b0148	5503
gene-b0149	4067
gene-b0150	6250
gene-b0151	1604
gene-b0152	807
gene-b0153	2516
gene-b0154	4251
gene-b0155	1772
gene-b4728	1473
gene-b0156	8767
gene-b0157	775
gene-b0158	987
gene-b0159	3043
gene-b0160	1098
gene-b0161	12957
gene-b0162	2455
gene-b0163	869
gene-b0164	275
gene-b0166	1824
gene-b0167	4385
gene-b0168	4615
gene-b4414	5947
gene-b0169	157286
gene-b0170	90133
gene-b0171	65719
gene-b0172	26737
gene-b0173	3152
gene-b0174	3563
gene-b0175	4016
gene-b0176	11146
gene-b0177	53979
gene-b0178	11748
gene-b0179	21472
gene-b0180	26819
gene-b0181	13638
gene-b0182	9887
gene-b0183	1875
gene-b0184	20815
gene-b0185	12665
gene-b0186	688
gene-b0187	383
gene-b0188	2705
gene-b0189	1269
gene-b4406	671
gene-b0190	438
gene-b0191	498
gene-b0192	817
gene-b0193	176
gene-b0194	32474
gene-b0195	1752
gene-b0196	1189
gene-b0197	1494
gene-b0198	190
gene-b0199	210
gene-b0200	616
gene-b0201	9540
gene-b0202	143
gene-b0203	493
gene-b0204	12694
gene-b0205	701
gene-b0206	768
gene-b0207	1068
gene-b0208	627
gene-b0209	1177
gene-b0210	447
gene-b0211	12008
gene-b0212	654
gene-b0213	583
gene-b0214	349
gene-b0215	2878
gene-b0216	142
gene-b0217	204
gene-b4586	54
gene-b0219	228
gene-b0220	325
gene-b0221	4315
gene-b0222	2380
gene-b0223	4129
gene-b0224	3341
gene-b0225	1872
gene-b0226	729
gene-b0227	39
gene-b0228	297
gene-b0231	3206
gene-b0232	974
gene-b0233	1323
gene-b0234	166
gene-b0237	7813
gene-b0238	8039
gene-b0239	4090
gene-b4710	1012
gene-b4709	5
gene-b0241	23
gene-b0242	3795
gene-b0243	2648
gene-b0244	162
gene-b0245	79
gene-b0246	93
gene-b4504	87
gene-b0247	152
gene-b0248	153
gene-b0249	257
gene-b0250	598
gene-b0251	52
gene-b0252	89
gene-b0253	481
gene-b0254	101
gene-b0256	502
gene-b4690	12
gene-b0258	284
gene-b0259	50
gene-b0260	114
gene-b0261	758
gene-b0262	192
gene-b0264	5
gene-b0265	63
gene-b0266	278
gene-b0267	14
gene-b0268	929
gene-b0269	1193
gene-b0270	173
gene-b0271	271
gene-b0272	266
gene-b0273	129
gene-b4688	19
gene-b0274	33
gene-b0275	0
gene-b0276	223
gene-b0277	304
gene-b0278	136
gene-b0279	82
gene-b4729	365
gene-b0280	2931
gene-b0281	1902
gene-b0282	48
gene-b0283	142
gene-b0284	153
gene-b0285	67
gene-b0286	17
gene-b0287	349
gene-b0288	267
gene-b0289	134
gene-b0290	393
gene-b0291	113
gene-b0292	17
gene-b0293	73
gene-b0294	25
gene-b0295	148
gene-b4506	197
gene-b0296	153
gene-b4671	5
gene-b0298	3
gene-b0299	46
gene-b0301	29
gene-b0303	25
gene-b0304	96
gene-b0305	85
gene-b0306	4033
gene-b0307	10666
gene-b0308	6549
gene-b0310	203
gene-b0311	4471
gene-b0312	6377
gene-b0313	1171
gene-b0314	2674
gene-b4730	21
gene-b0315	1189
gene-b0316	506
gene-b0317	15
gene-b0318	4
gene-b0319	76
gene-b0320	53
gene-b0321	73
gene-b0322	60
gene-b0323	54
gene-b0324	1419
gene-b0325	911
gene-b0326	19
gene-b0327	69
gene-b0328	120
gene-b0329	185
gene-b0330	167
gene-b0331	5495
gene-b0333	2998
gene-b0334	1345
gene-b0335	898
gene-b0336	836
gene-b0337	2013
gene-b0338	375
gene-b0339	76
gene-b0340	122
gene-b0341	116
gene-b0342	84
gene-b0343	372
gene-b0344	1405
gene-b0345	1277
gene-b0346	3008
gene-b0347	38
gene-b0348	25
gene-b0349	26
gene-b0350	35
gene-b0351	182
gene-b0352	117
gene-b0353	166
gene-b0354	974
gene-b0355	1305
gene-b0356	1609
gene-b0357	410
gene-b0358	15
gene-b0360	7
gene-b0361	9
gene-b0363	64
gene-b4731	6
gene-b0364	7
gene-b0365	37
gene-b0366	58
gene-b0367	48
gene-b0368	212
gene-b0369	6715
gene-b0372	80
gene-b0373	35
gene-b0375	290
gene-b0376	949
gene-b0377	556
gene-b0378	592
gene-b0379	133
gene-b0380	9309
gene-b0381	8105
gene-b0382	834
gene-b0383	902
gene-b0384	111
gene-b0385	466
gene-b0386	838
gene-b0387	236
gene-b0388	515
gene-b0389	661
gene-b0390	549
gene-b0391	1325
gene-b4732	212
gene-b0393	6557
gene-b0394	882
gene-b0396	531
gene-b0397	2628
gene-b0398	1199
gene-b0399	391
gene-b0400	408
gene-b0401	1779
gene-b0402	1922
gene-b0403	1092
gene-b0404	891
gene-b0405	1952
gene-b0406	8051
gene-b0407	4529
gene-b0408	17077
gene-b0409	5825
gene-b0410	491
gene-b0411	66058
gene-b0412	104
gene-b0413	1959
gene-b0414	4029
gene-b0415	6467
gene-b0416	17403
gene-b0417	2993
gene-b0418	1387
gene-b0419	2020
gene-b0420	8998
gene-b0421	12737
gene-b0422	3133
gene-b0423	11708
gene-b0424	1150
gene-b0425	1159
gene-b0426	13435
gene-b0427	1786
gene-b0428	25908
gene-b0429	24590
gene-b0430	70452
gene-b0431	150825
gene-b0432	50710
gene-b0433	2757
gene-b0434	4155
gene-b0435	909
gene-b0436	28843
gene-b0437	8630
gene-b0438	17980
gene-b0439	27061
gene-b0440	4149
gene-b0441	5301
gene-b0442	187
gene-b0443	82
gene-b0444	778
gene-b0445	2393
gene-b0446	365
gene-b0447	714
gene-b0448	629
gene-b0449	563
gene-b0450	11
gene-b0451	216
gene-b0452	768
gene-b0453	240
gene-b0454	28
gene-b0455	40
gene-b0456	77
gene-b0457	1161
gene-b0458	2536
gene-b0459	1601
gene-b0460	960
gene-b0461	643
gene-b0462	16916
gene-b0463	7509
gene-b0464	1204
gene-b0465	4374
gene-b0466	223
gene-b0467	419
gene-b0468	384
gene-b0469	746
gene-b0470	6237
gene-b0471	4602
gene-b0472	4441
gene-b0473	38305
gene-b0474	1799
gene-b0475	317
gene-b0476	750
gene-b0477	2249
gene-b0478	3132
gene-b0479	289
gene-b0480	1368
gene-b0481	446
gene-b4585	160
gene-b0482	308
gene-b0483	980
gene-b0484	2733
gene-b0485	516
gene-b0486	558
gene-b0487	694
gene-b0488	911
gene-b0489	512
gene-b0490	147
gene-b0491	583
gene-b0492	5270
gene-b0493	580
gene-b0494	954
gene-b0495	515
gene-b0496	296
