Geneid	1714__ROC_LEVO_N=3_library-read-1.fastq.gz
gene-b0497	314
gene-b0498	188
gene-b0502	353
gene-b0503	545
gene-b0504	14
gene-b0505	91
gene-b0506	4636
gene-b0507	140
gene-b0508	46
gene-b0509	9
gene-b0511	13
gene-b0512	12
gene-b0513	54
gene-b0514	39
gene-b0515	111
gene-b0516	119
gene-b0517	35
gene-b0518	31
gene-b4572	63
gene-b0520	51
gene-b0521	80
gene-b0522	567
gene-b0523	202
gene-b0524	10838
gene-b0525	30227
gene-b0526	4781
gene-b0527	169
gene-b0528	797
gene-b0529	3643
gene-b0530	36
gene-b0531	8
gene-b0532	20
gene-b0533	31
gene-b0534	3
gene-b0535	17
gene-b0536	286
gene-b0537	1170
gene-b0540	14
gene-b0541	29
gene-b0543	895
gene-b4733	292
gene-b0544	91
gene-b0545	167
gene-b0546	364
gene-b4588	41
gene-b0547	25
gene-b0548	8
gene-b0549	9
gene-b0550	1
gene-b4509	6
gene-b0551	39
gene-b0552	9342
gene-b0554	34
gene-b0555	148
gene-b0556	1752
gene-b4510	518
gene-b0557	5254
gene-b0558	18
gene-b0559	56
gene-b4589	17
gene-b0560	26
gene-b0561	47
gene-b0563	17
gene-b0564	294
gene-b0565	63158
gene-b0566	148
gene-b0567	1027
gene-b0568	1593
gene-b0569	919
gene-b0570	702
gene-b0571	430
gene-b0572	53
gene-b0573	9
gene-b0574	46
gene-b0575	139
gene-b0576	1225
gene-b0577	1227
gene-b0578	12644
gene-b0579	674
gene-b0580	209
gene-b0581	190
gene-b4700	8
gene-b4415	18
gene-b0582	136
gene-b0583	86
gene-b0584	213
gene-b0585	71
gene-b4511	29
gene-b0586	1005
gene-b0587	37
gene-b0588	94
gene-b0589	105
gene-b0590	45
gene-b0591	199
gene-b0592	625
gene-b0593	393
gene-b0594	845
gene-b0595	847
gene-b0596	587
gene-b0597	406
gene-b0598	27248
gene-b4512	1915
gene-b0599	2025
gene-b0600	144
gene-b0601	75
gene-b0602	58
gene-b0603	93
gene-b0604	1284
gene-b0605	96741
gene-b0606	18363
gene-b0607	765
gene-b0608	136
gene-b4734	30
gene-b0610	341
gene-b0611	2474
gene-b0612	22
gene-b0613	32
gene-b0614	42
gene-b0615	50
gene-b0616	19
gene-b0617	6
gene-b0618	40
gene-b0619	332
gene-b0620	200
gene-b0621	142
gene-b0622	59
gene-b0623	18737
gene-b0624	316
gene-b0627	413
gene-b0628	11976
gene-b0629	199
gene-b0630	2316
gene-b0631	918
gene-b0632	6170
gene-b0633	2219
gene-b0634	3553
gene-b0635	4531
gene-b0636	2333
gene-b0637	1450
gene-b0638	472
gene-b0639	1188
gene-b0640	6094
gene-b0641	12236
gene-b0642	39050
gene-b0643	2000
gene-b0644	362
gene-b0645	17
gene-b0646	36
gene-b0647	11
gene-b0648	17
gene-b0649	155
gene-b0650	785
gene-b0651	10188
gene-b0652	1507
gene-b0653	1357
gene-b0654	1788
gene-b0655	9295
gene-b0656	126
gene-b0657	4058
gene-b0658	7992
gene-b0659	3724
gene-b0660	6932
gene-b0661	21979
gene-b0662	2291
gene-b0664	1042
gene-b0665	1434
gene-b0666	1436
gene-b0668	1569
gene-b0670	890
gene-b0672	736
gene-b0673	479
gene-b0674	1581
gene-b0675	5997
gene-b0676	3498
gene-b0677	4135
gene-b0678	5141
gene-b0679	6124
gene-b0680	22546
gene-b0681	380
gene-b0682	71
gene-b0683	5814
gene-b4637	1379
gene-b0684	7651
gene-b0685	430
gene-b0686	448
gene-b0687	5659
gene-b0688	18030
gene-b0689	138
gene-b0692	116
gene-b0693	85
gene-b4590	12
gene-b0694	167
gene-b0695	2149
gene-b0696	329
gene-b0697	203
gene-b0698	55
gene-b4513	3
gene-b0699	953
gene-b0700	480
gene-b0702	46
gene-b0704	29
gene-b4514	17
gene-b0706	58
gene-b0707	47
gene-b0708	349
gene-b0709	275
gene-b0710	4927
gene-b0711	4480
gene-b0712	2664
gene-b0713	929
gene-b0714	1051
gene-b0715	88
gene-b0716	142
gene-b0717	43
gene-b0718	52
gene-b0719	27
gene-b0720	87755
gene-b4735	4565
gene-b0721	56362
gene-b0722	53350
gene-b0723	206196
gene-b0724	47933
gene-b0726	158453
gene-b0727	76604
gene-b0728	31648
gene-b0729	30608
gene-b0730	196
gene-b0731	73
gene-b0732	601
gene-b0733	56963
gene-b0734	42610
gene-b4515	9538
gene-b0735	9079
gene-b0736	1977
gene-b0737	2577
gene-b0738	2645
gene-b0739	6972
gene-b0740	20109
gene-b0741	27535
gene-b0742	25083
gene-b0743	1773
gene-b0744	1650
gene-b0745	2910
gene-b0746	2375
gene-b0747	3590
gene-b0748	5089
gene-b0749	3336
gene-b0750	536
gene-b0751	922
gene-b0752	488
gene-b0753	37
gene-b0754	901
gene-b0755	31277
gene-b0756	11750
gene-b0757	9227
gene-b0758	8700
gene-b0759	5426
gene-b0760	1132
gene-b0761	385
gene-b0762	152
gene-b0763	2285
gene-b0764	1311
gene-b0765	2331
gene-b0766	964
gene-b0767	954
gene-b0768	140
gene-b0769	11
gene-b0770	19
gene-b0771	311
gene-b0772	9890
gene-b0773	1513
gene-b0774	70
gene-b0775	164
gene-b0776	197
gene-b0777	96
gene-b0778	69
gene-b0779	15371
gene-b0780	1063
gene-b0781	9944
gene-b0782	9832
gene-b0783	11367
gene-b0784	3966
gene-b0785	3287
gene-b0786	2485
gene-b0787	38
gene-b0788	75
gene-b0789	84
gene-b0790	39
gene-b0791	1725
gene-b0792	734
gene-b0793	150
gene-b0794	564
gene-b0795	433
gene-b0796	186
gene-b0797	383
gene-b0798	96
gene-b0799	8009
gene-b0800	4409
gene-b0801	1051
gene-b0802	414
gene-b0803	54
gene-b0804	210
gene-b0805	1610
gene-b0806	34
gene-b0807	389
gene-b0808	216
gene-b0809	6723
gene-b0810	2273
gene-b0811	23398
gene-b0812	3294
gene-b0813	121
gene-b4736	200
gene-b0814	48185
gene-b0815	616
gene-b4416	623
gene-b4705	494
gene-b0817	1767
gene-b0818	862
gene-b0819	2465
gene-b0820	4676
gene-b0821	315
gene-b0822	377
gene-b0823	385
gene-b0824	38
gene-b0825	638
gene-b0826	8049
gene-b0827	4613
gene-b0828	663
gene-b0829	1929
gene-b0830	836
gene-b0831	402
gene-b0832	107
gene-b0833	1595
gene-b0834	765
gene-b0835	1598
gene-b0836	3366
gene-b0837	471
gene-b0838	467
gene-b0839	3132
gene-b0840	714
gene-b0841	1129
gene-b0842	791
gene-b0843	173
gene-b0844	675
gene-b0845	540
gene-b0846	335
gene-b4417	146
gene-b0847	1006
gene-b0848	383
gene-b0849	980
gene-b0850	1290
gene-b0851	2265
gene-b0852	5073
gene-b0853	12173
gene-b0854	375
gene-b0855	182
gene-b0856	83
gene-b0857	180
gene-b0858	164
gene-b0859	1123
gene-b0860	218
gene-b0861	671
gene-b0862	730
gene-b0863	1251
gene-b0864	886
gene-b0865	302
gene-b0866	381
gene-b0867	322
gene-b0868	1309
gene-b0869	1355
gene-b0870	3446
gene-b0871	699
gene-b0872	134
gene-b0873	80
gene-b0874	188
gene-b0875	38
gene-b0876	2118
gene-b0877	2675
gene-b0878	660
gene-b0879	1153
gene-b0880	2106
gene-b0881	5185
gene-b0882	47195
gene-b0883	242
gene-b0884	2587
gene-b0885	1087
gene-b0886	2305
gene-b0887	2419
gene-b0888	9217
gene-b0889	1675
gene-b0890	17179
gene-b0891	1523
gene-b0892	3222
gene-b0893	29697
gene-b0894	400
gene-b0895	82
gene-b0896	122
gene-b0897	84
gene-b0898	227
gene-b0899	468
gene-b0900	198
gene-b0901	179
gene-b0902	3554
gene-b0903	181571
gene-b0904	5800
gene-b0905	11124
gene-b0906	152
gene-b0907	3382
gene-b0908	1573
gene-b0909	43
gene-b0910	4659
gene-b0911	245572
gene-b0912	5581
gene-b0913	620
gene-b0914	12430
gene-b0915	1373
gene-b0916	676
gene-b0917	2132
gene-b0918	4333
gene-b0919	364
gene-b0920	344
gene-b0921	1546
gene-b0922	8319
gene-b0923	5985
gene-b0924	27314
gene-b0925	3030
gene-b0926	11668
gene-b0927	13699
gene-b0928	27076
gene-b0929	59865
gene-b0930	38303
gene-b0931	2535
gene-b0932	30171
gene-b0933	137
gene-b0934	26
gene-b0935	64
gene-b0936	24
gene-b0937	30
gene-b0938	39
gene-b0939	23
gene-b0940	154
gene-b0941	95
gene-b0942	54
gene-b0943	42
gene-b0944	380
gene-b0945	482
gene-b0946	389
gene-b0947	1298
gene-b0948	13254
gene-b0949	9545
gene-b0950	4030
gene-b0951	3509
gene-b0952	1239
gene-b0953	773
gene-b0954	3934
gene-b0955	10852
gene-b0956	575
gene-b0957	91574
gene-b0958	38650
gene-b0959	197
gene-b0960	2519
gene-b0961	760
gene-b0962	7016
gene-b0963	70865
gene-b0964	88
gene-b0965	1733
gene-b0966	4292
gene-b0967	5321
gene-b0968	120
gene-b0969	352
gene-b0970	23070
gene-b0971	12
gene-b0972	120
gene-b0973	108
gene-b0974	78
gene-b0975	171
gene-b0976	80
gene-b0977	88
gene-b0978	768
gene-b0979	575
gene-b4592	93
gene-b0980	502
gene-b0981	803
gene-b0982	204
gene-b0983	331
gene-b0984	331
gene-b0985	150
gene-b0986	121
gene-b0987	116
gene-b4516	37
gene-b0988	2009
gene-b0989	6
gene-b0990	635
gene-b4723	69
gene-b0991	29
gene-b4517	51
gene-b0992	105
gene-b0993	473
gene-b0994	302
gene-b0995	1167
gene-b0996	82
gene-b0997	160
gene-b0998	272
gene-b0999	1155
gene-b1000	1254
gene-b1001	79
gene-b1002	13444
gene-b1003	536
gene-b1004	191
gene-b4518	47
gene-b1006	128
gene-b1007	42
gene-b1008	48
gene-b1009	22
gene-b1010	9
gene-b1011	31
gene-b1012	9
gene-b1013	2194
gene-b1014	80252
gene-b4737	51
gene-b1015	26328
gene-b1018	977
gene-b1019	2241
gene-b1020	1615
gene-b1021	145
gene-b1022	135
gene-b1023	44
gene-b1024	132
gene-b1025	171
gene-b1026	27
gene-b1027	3
gene-b1029	33
gene-b1032	16
gene-b1033	1836
gene-b1034	2033
gene-b1035	3622
gene-b1036	1129
gene-b1037	92
gene-b1038	21
gene-b1039	30
gene-b1040	155
gene-b1041	13
gene-b1042	99
gene-b1043	91
gene-b1044	1177
gene-b1045	890
gene-b1046	1561
gene-b1047	814
gene-b1048	9912
gene-b1049	14514
gene-b1050	117
gene-b1051	226
gene-b1053	216
gene-b1054	901
gene-b1055	2347
gene-b1056	381
gene-b1057	113
gene-b1058	82
gene-b1059	1278
gene-b1060	324
gene-b1061	1598
gene-b1062	3279
gene-b1063	1068
gene-b1064	3485
gene-b1065	46
gene-b1066	1323
gene-b1067	5319
gene-b1068	3421
gene-b1069	1450
gene-b1070	2408
gene-b1071	1465
gene-b1072	1963
gene-b1073	7565
gene-b1074	10672
gene-b1075	20584
gene-b1076	48486
gene-b1077	16916
gene-b1078	16064
gene-b1079	6939
gene-b1080	4898
gene-b1081	2560
gene-b1082	3660
gene-b1083	2678
gene-b1084	26152
gene-b1085	1945
gene-b1086	2403
gene-b1087	2208
gene-b4418	11037
gene-b1088	67936
gene-b1089	47798
gene-b1090	40057
gene-b1091	43154
gene-b1092	57162
gene-b1093	56270
gene-b1094	154539
gene-b1095	179847
gene-b1096	1191
gene-b1097	1751
gene-b1098	1435
gene-b1099	1981
gene-b1100	2025
gene-b1101	48226
gene-b1102	381
gene-b1103	5688
gene-b1104	2715
gene-b1105	1299
gene-b1106	993
gene-b1107	3512
gene-b1108	8282
gene-b1109	10274
gene-b1110	630
gene-b1111	641
gene-b1112	70
gene-b1113	319
gene-b1114	10577
gene-b1115	118
gene-b1116	2600
gene-b1117	1491
gene-b1118	3497
gene-b1119	4320
gene-b1120	2535
gene-b1121	204
gene-b1122	60
gene-b1123	24308
gene-b1124	2776
gene-b1125	4104
gene-b1126	3026
gene-b1127	3001
gene-b1128	2719
gene-b1129	1054
gene-b1130	561
gene-b1131	14562
gene-b1132	4993
gene-b1133	9680
gene-b1134	762
gene-b1135	661
gene-b1136	40789
gene-b1137	1119
gene-b1138	2626
gene-b1139	930
gene-b1140	253
gene-b1141	95
gene-b1142	261
gene-b1143	657
gene-b1144	626
gene-b1145	499
gene-b1146	87
gene-b1147	126
gene-b1148	27
gene-b1149	117
gene-b1150	36
gene-b1151	63
gene-b1153	41
gene-b1154	31
gene-b1155	83
gene-b1156	58
gene-b1158	34
gene-b1159	1849
gene-b1160	2
gene-b4738	1
gene-b4739	12
gene-b1161	35
gene-b1162	1263
gene-b1163	301
gene-b1164	981
gene-b1165	903
gene-b1166	176
gene-b1167	217
gene-b1168	56
gene-b4520	311
gene-b1171	97
gene-b1172	212
gene-b4593	128
gene-b4594	10
gene-b1174	2824
gene-b1175	9522
gene-b1176	2205
gene-b1177	358
gene-b1178	1435
gene-b1179	510
gene-b1180	2608
gene-b1181	707
gene-b1182	67
gene-b1183	3570
gene-b1184	11558
gene-b1185	1353
gene-b1186	3878
gene-b1187	2502
gene-b1188	616
gene-b1189	28696
gene-b1190	28615
gene-b4740	1350
gene-b1191	1375
gene-b1192	471
gene-b1193	706
gene-b1194	464
gene-b1195	50
gene-b1196	35
gene-b1197	379
gene-b1198	1354
gene-b1199	783
gene-b1200	1287
gene-b1201	663
gene-b1202	625
gene-b1203	5333
gene-b1204	3181
gene-b1205	4111
gene-b1206	1199
gene-b1207	65863
gene-b1208	3786
gene-b1209	1441
gene-b1210	4554
gene-b1211	2720
gene-b1212	1854
gene-b1213	1019
gene-b1214	8132
gene-b1215	10499
gene-b4419	141
gene-b4420	107
gene-b4421	4
gene-b4422	10
gene-b4423	2
gene-b4424	0
gene-b1216	771
gene-b1217	33
gene-b1218	490
gene-b1219	2316
gene-b1220	841
gene-b1221	2678
gene-b1222	3129
gene-b1223	1489
gene-b1224	7273
gene-b1225	3443
gene-b1226	1457
gene-b1227	1023
gene-b1228	9
gene-b4425	957
gene-b1229	234
gene-b1230	6465
gene-b1231	953
gene-b1232	7291
gene-b1233	2090
gene-b1234	930
gene-b1235	1361
gene-b1236	1984
gene-b1237	73545
gene-b1238	960
gene-b1241	34254
gene-b1242	309
gene-b4711	1476
gene-b1243	26056
gene-b1244	4590
gene-b1245	7768
gene-b1246	14208
gene-b1247	12159
gene-b1248	2431
gene-b1249	2195
gene-b4595	204
gene-b1250	2053
gene-b1251	499
gene-b1252	654
gene-b1253	726
gene-b1254	5049
gene-b1255	1701
gene-b1256	119
gene-b1257	63
gene-b1258	48
gene-b1259	10
gene-b1260	364
gene-b1261	1078
gene-b1262	1019
gene-b1263	159
gene-b1264	53
gene-b1265	0
gene-b1266	1765
gene-b1267	1890
gene-b1268	886
gene-b1269	5960
gene-b1270	1717
gene-b1271	2028
gene-b1272	5768
gene-b1273	417
gene-b1274	12974
gene-b1275	1165
gene-b4522	308
gene-b4523	343
gene-b4741	266
gene-b1276	8079
gene-b1277	7609
gene-b1278	444
gene-b1279	993
gene-b1280	1617
gene-b1281	1837
gene-b1282	1043
gene-b1283	142
gene-b1284	7504
gene-b4596	1119
gene-b1285	276
gene-b4672	30
gene-b1286	12268
gene-b1287	430
gene-b1288	31069
gene-b1289	295
gene-b1290	768
gene-b1291	721
gene-b1292	739
gene-b1293	710
gene-b1294	1249
gene-b1295	279
gene-b1296	193
gene-b4742	111
gene-b1297	886
gene-b1298	170
gene-b1299	1067
gene-b1300	80
gene-b1301	100
gene-b1302	78
gene-b1303	414
gene-b1304	1352
gene-b1305	256
gene-b1306	336
gene-b1307	217
gene-b1308	5774
gene-b1309	236
gene-b1310	84
gene-b1311	60
gene-b1312	48
gene-b1313	47
gene-b1314	38
gene-b1315	95
gene-b1316	128
gene-b1317	9
gene-b1319	21
gene-b1320	275
gene-b1321	1573
gene-b1322	953
gene-b1323	6598
gene-b1324	13350
gene-b1325	1564
gene-b1326	1794
gene-b4525	64
gene-b4673	27
gene-b1327	112
gene-b1328	277
gene-b1329	3737
gene-b1330	2116
gene-b1331	27
gene-b1332	1312
gene-b1333	7476
gene-b1334	16465
gene-b1335	985
gene-b1336	184
gene-b1337	186
gene-b1338	152
gene-b1339	767
gene-b4426	145
gene-b1340	644
gene-b1341	518
gene-b1342	519
gene-b4699	70
gene-b4743	45
gene-b1343	849
gene-b1344	3085
gene-b1345	479
gene-b1346	3
gene-b1347	7
gene-b4714	6
gene-b1348	5
gene-b1349	90
gene-b1350	287
gene-b1351	12
gene-b4526	12
gene-b1352	11
gene-b1353	230
gene-b4527	44
gene-b1355	12
gene-b1356	2393
gene-b1357	78
gene-b1358	20
gene-b1359	62
gene-b1360	63
gene-b1361	67
gene-b4528	23
gene-b1363	1134
gene-b1365	70
gene-b1366	82
gene-b1368	77
gene-b1370	233
gene-b1372	191
gene-b1373	9
gene-b1374	30
gene-b1375	104
gene-b4744	248
gene-b1376	1128
gene-b1377	29
gene-b4427	785
gene-b1378	11445
gene-b4529	2187
gene-b1379	2563
gene-b1380	4321
gene-b1381	2787
gene-b1382	321
gene-b1383	247
gene-b1384	4984
gene-b1385	626
gene-b1386	168
gene-b1387	269
gene-b1388	1161
gene-b1389	148
gene-b1390	580
gene-b1391	228
gene-b1392	268
gene-b1393	96
gene-b1394	135
gene-b1395	282
gene-b1396	39
gene-b1397	2733
gene-b1398	5201
gene-b1399	3125
gene-b1400	1018
gene-b4674	1
gene-b1402	29
gene-b1403	11
gene-b1404	13
gene-b1406	2053
gene-b1407	240
gene-b1408	15
gene-b1409	21
gene-b1410	156
gene-b1411	312
gene-b1412	1592
gene-b1413	9717
gene-b1414	2065
gene-b1415	46816
gene-b1418	480
gene-b4597	173
gene-b1419	473
gene-b4428	945
gene-b1420	953
gene-b4429	618
gene-b1421	1163
gene-b1422	6028
gene-b1423	477
gene-b1424	6423
gene-b1426	187
gene-b1427	1182
gene-b1428	318
gene-b1429	640
gene-b1430	906
gene-b1431	794
gene-b1432	868
gene-b1433	597
gene-b1434	212
gene-b1435	6261
gene-b1436	395
gene-b4532	367
gene-b1438	671
gene-b1439	960
gene-b1440	105
gene-b1441	62
gene-b1442	90
gene-b1443	187
gene-b1444	730
gene-b4598	366
gene-b1445	282
gene-b1446	899
gene-b1447	512
gene-b1448	244
gene-b1449	1524
gene-b1450	168
gene-b1451	2015
gene-b1452	5065
gene-b1453	295
gene-b1454	23
gene-b1455	2
gene-b1457	386
gene-b4745	225
gene-b1460	73
gene-b1461	288
gene-b1462	178
gene-b1463	145
gene-b1464	593
gene-b1465	104
gene-b1466	47
gene-b1467	210
gene-b1468	563
