Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b0338	109
gene-b0339	102
gene-b0340	115
gene-b0341	73
gene-b0342	10
gene-b0343	253
gene-b0344	563
gene-b0345	1417
gene-b0346	7509
gene-b0347	104
gene-b0348	124
gene-b0349	112
gene-b0350	102
gene-b0351	483
gene-b0352	631
gene-b0353	1576
gene-b0354	1229
gene-b0355	268
gene-b0356	1037
gene-b0357	166
gene-b0358	1154
gene-b0360	1
gene-b0361	9
gene-b0363	916
gene-b4731	0
gene-b0364	2
gene-b0365	58
gene-b0366	131
gene-b0367	170
gene-b0368	304
gene-b0369	1038
gene-b0372	40
gene-b0373	10
gene-b0375	59
gene-b0376	783
gene-b0377	1168
gene-b0378	1060
gene-b0379	305
gene-b0380	1729
gene-b0381	2311
gene-b0382	470
gene-b0383	312
gene-b0384	4859
gene-b0385	13749
gene-b0386	802
gene-b0387	113
gene-b0388	217
gene-b0389	2068
gene-b0390	432
gene-b0391	1463
gene-b4732	215
gene-b0393	1311
gene-b0394	3298
gene-b0396	1167
gene-b0397	475
gene-b0398	463
gene-b0399	1230
gene-b0400	544
gene-b0401	20883
gene-b0402	1904
gene-b0403	1058
gene-b0404	798
gene-b0405	224
gene-b0406	537
gene-b0407	1365
gene-b0408	2939
gene-b0409	5983
gene-b0410	234
gene-b0411	1969
gene-b0412	449
gene-b0413	755
gene-b0414	1620
gene-b0415	948
gene-b0416	3157
gene-b0417	345
gene-b0418	1346
gene-b0419	13591
gene-b0420	648
gene-b0421	1002
gene-b0422	613
gene-b0423	1863
gene-b0424	2664
gene-b0425	3569
gene-b0426	14942
gene-b0427	162
gene-b0428	1687
gene-b0429	1067
gene-b0430	2158
gene-b0431	3901
gene-b0432	1281
gene-b0433	50
gene-b0434	241
gene-b0435	17433
gene-b0436	1416
gene-b0437	15439
gene-b0438	168004
gene-b0439	27688
gene-b0440	438
gene-b0441	2716
gene-b0442	317
gene-b0443	317
gene-b0444	725
gene-b0445	1918
gene-b0446	1620
gene-b0447	845
gene-b0448	496
gene-b0449	504
gene-b0450	7
gene-b0451	259
gene-b0452	808
gene-b0453	7840
gene-b0454	722
gene-b0455	28
gene-b0456	611
gene-b0457	1524
gene-b0458	645
gene-b0459	627
gene-b0460	2707
gene-b0461	4249
gene-b0462	5903
gene-b0463	2816
gene-b0464	1798
gene-b0465	2748
gene-b0466	303
gene-b0467	852
gene-b0468	721
gene-b0469	123
gene-b0470	840
gene-b0471	2360
gene-b0472	1436
gene-b0473	72066
gene-b0474	526
gene-b0475	1000
gene-b0476	1033
gene-b0477	410
gene-b0478	5227
gene-b0479	171
gene-b0480	2926
gene-b0481	265
gene-b4585	48
gene-b0482	100
gene-b0483	2762
gene-b0484	12956
gene-b0485	2183
gene-b0486	1733
gene-b0487	1624
gene-b0488	3957
gene-b0489	9074
gene-b0490	32
gene-b0491	281
gene-b0492	8617
gene-b0493	340
gene-b0494	2869
gene-b0495	1357
gene-b0496	566
gene-b0497	1574
gene-b0498	70
gene-b0502	108
gene-b0503	253
gene-b0504	73
gene-b0505	384
gene-b0506	16027
gene-b0507	580
gene-b0508	230
gene-b0509	19
gene-b0511	116
gene-b0512	261
gene-b0513	479
gene-b0514	400
gene-b0515	109
gene-b0516	198
gene-b0517	23
gene-b0518	32
gene-b4572	83
gene-b0520	48
gene-b0521	134
gene-b0522	97
gene-b0523	1
gene-b0524	2452
gene-b0525	8102
gene-b0526	1092
gene-b0527	22
gene-b0528	283
gene-b0529	812
gene-b0530	217
gene-b0531	35
gene-b0532	47
gene-b0533	50
gene-b0534	25
gene-b0535	60
gene-b0536	530
gene-b0537	1067
gene-b0540	3
gene-b0541	47
gene-b0543	587
gene-b4733	195
gene-b0544	52
gene-b0545	739
gene-b0546	874
gene-b4588	88
gene-b0547	54
gene-b0548	20
gene-b0549	1
gene-b0550	4
gene-b4509	0
gene-b0551	15
gene-b0552	130
gene-b0554	68
gene-b0555	168
gene-b0556	67
gene-b4510	30
gene-b0557	32
gene-b0558	13
gene-b0559	86
gene-b4589	22
gene-b0560	112
gene-b0561	39
gene-b0563	22
gene-b0564	1461
gene-b0565	7105
gene-b0566	100
gene-b0567	440
gene-b0568	986
gene-b0569	1347
gene-b0570	218
gene-b0571	308
gene-b0572	44
gene-b0573	18
gene-b0574	54
gene-b0575	273
gene-b0576	195
gene-b0577	551
gene-b0578	857
gene-b0579	497
gene-b0580	1412
gene-b0581	7977
gene-b4700	42
gene-b4415	32
gene-b0582	64
gene-b0583	164
gene-b0584	1352
gene-b0585	1946
gene-b4511	327
gene-b0586	4483
gene-b0587	9
gene-b0588	66
gene-b0589	63
gene-b0590	195
gene-b0591	383
gene-b0592	1824
gene-b0593	1626
gene-b0594	1748
gene-b0595	1272
gene-b0596	967
gene-b0597	551
gene-b0598	112422
gene-b4512	2698
gene-b0599	3637
gene-b0600	136
gene-b0601	155
gene-b0602	98
gene-b0603	49
gene-b0604	975
gene-b0605	6486
gene-b0606	5121
gene-b0607	14997
gene-b0608	1042
gene-b4734	100
gene-b0610	301
gene-b0611	4504
gene-b0612	20
gene-b0613	23
gene-b0614	13
gene-b0615	30
gene-b0616	1
gene-b0617	0
gene-b0618	17
gene-b0619	313
gene-b0620	231
gene-b0621	271
gene-b0622	161
gene-b0623	45437
gene-b0624	1382
gene-b0627	1169
gene-b0628	2756
gene-b0629	177
gene-b0630	238
gene-b0631	7979
gene-b0632	538
gene-b0633	3394
gene-b0634	1153
gene-b0635	344
gene-b0636	10
gene-b0637	45
gene-b0638	197
gene-b0639	448
gene-b0640	2037
gene-b0641	11928
gene-b0642	45455
gene-b0643	15814
gene-b0644	2060
gene-b0645	6
gene-b0646	44
gene-b0647	13
gene-b0648	77
gene-b0649	250
gene-b0650	96
gene-b0651	244
gene-b0652	290
gene-b0653	148
gene-b0654	289
gene-b0655	7376
gene-b0656	29
gene-b0657	2526
gene-b0658	9850
gene-b0659	4483
gene-b0660	14003
gene-b0661	5060
gene-b0662	19515
gene-b0664	124
gene-b0665	115
gene-b0666	1083
gene-b0668	1118
gene-b0670	854
gene-b0672	1238
gene-b0673	962
gene-b0674	1308
gene-b0675	1396
gene-b0676	2310
gene-b0677	5036
gene-b0678	4956
gene-b0679	9612
gene-b0680	3735
gene-b0681	96
gene-b0682	84
gene-b0683	8313
gene-b4637	1492
gene-b0684	2139
gene-b0685	28
gene-b0686	156
gene-b0687	2042
gene-b0688	10104
gene-b0689	78
gene-b0692	1109
gene-b0693	195
gene-b4590	1
gene-b0694	3284
gene-b0695	11826
gene-b0696	640
gene-b0697	177
gene-b0698	122
gene-b4513	8
gene-b0699	1711
gene-b0700	422
gene-b0702	69
gene-b0704	20
gene-b4514	0
gene-b0706	16
gene-b0707	481
gene-b0708	889
gene-b0709	290
gene-b0710	3238
gene-b0711	2997
gene-b0712	2471
gene-b0713	954
gene-b0714	225
gene-b0715	93
gene-b0716	724
gene-b0717	190
gene-b0718	103
gene-b0719	52
gene-b0720	59005
gene-b4735	3527
gene-b0721	5907
gene-b0722	3345
gene-b0723	11342
gene-b0724	3271
gene-b0726	12552
gene-b0727	7498
gene-b0728	5892
gene-b0729	5823
gene-b0730	84
gene-b0731	77
gene-b0732	472
gene-b0733	21859
gene-b0734	24793
gene-b4515	4110
gene-b0735	2191
gene-b0736	583
gene-b0737	1024
gene-b0738	627
gene-b0739	4410
gene-b0740	13100
gene-b0741	13130
gene-b0742	10687
gene-b0743	977
gene-b0744	358
gene-b0745	459
gene-b0746	359
gene-b0747	379
gene-b0748	151
gene-b0749	90
gene-b0750	940
gene-b0751	6823
gene-b0752	3706
gene-b0753	2918
gene-b0754	730
gene-b0755	78715
gene-b0756	4084
gene-b0757	1748
gene-b0758	1203
gene-b0759	1041
gene-b0760	579
gene-b0761	145
gene-b0762	118
gene-b0763	335
gene-b0764	249
gene-b0765	548
gene-b0766	242
gene-b0767	1749
gene-b0768	207
gene-b0769	10
gene-b0770	72
gene-b0771	54
gene-b0772	679
gene-b0773	3804
gene-b0774	1818
gene-b0775	2680
gene-b0776	1155
gene-b0777	94
gene-b0778	49
gene-b0779	24680
gene-b0780	653
gene-b0781	5909
gene-b0782	3544
gene-b0783	3632
gene-b0784	1335
gene-b0785	1631
gene-b0786	30853
gene-b0787	90
gene-b0788	325
gene-b0789	1658
gene-b0790	1661
gene-b0791	12829
gene-b0792	3517
gene-b0793	277
gene-b0794	538
gene-b0795	977
gene-b0796	404
gene-b0797	185
gene-b0798	42
gene-b0799	2088
gene-b0800	4668
gene-b0801	833
gene-b0802	3729
gene-b0803	285
gene-b0804	363
gene-b0805	422
gene-b0806	6919
gene-b0807	317
gene-b0808	1169
gene-b0809	1151
gene-b0810	813
gene-b0811	8143
gene-b0812	314639
gene-b0813	208
gene-b4736	783
gene-b0814	90989
gene-b0815	370
gene-b4416	28190
gene-b4705	27753
gene-b0817	1974
gene-b0818	1024
gene-b0819	4180
gene-b0820	1847
gene-b0821	746
gene-b0822	470
gene-b0823	961
gene-b0824	92
gene-b0825	540
gene-b0826	1241
gene-b0827	1709
gene-b0828	2876
gene-b0829	2351
gene-b0830	747
gene-b0831	437
gene-b0832	219
gene-b0833	55
gene-b0834	38
gene-b0835	126
gene-b0836	1270270
gene-b0837	2297
gene-b0838	556
gene-b0839	10552
gene-b0840	597
gene-b0841	267
gene-b0842	8212
gene-b0843	327
gene-b0844	308
gene-b0845	151
gene-b0846	248
gene-b4417	498
gene-b0847	1477
gene-b0848	205
gene-b0849	127
gene-b0850	204
gene-b0851	378
gene-b0852	663
gene-b0853	1285
gene-b0854	8352
gene-b0855	1380
