Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b1462	1201
gene-b1463	1366
gene-b1464	299
gene-b1465	289
gene-b1466	183
gene-b1467	467
gene-b1468	2177
gene-b1469	708
gene-b1471	5
gene-b1472	18
gene-b1473	22
gene-b1474	308
gene-b1475	252
gene-b1476	302
gene-b1477	9004
gene-b1478	10030
gene-b1479	2511
gene-b1480	2593
gene-b1481	91
gene-b1482	16453
gene-b1483	1207
gene-b1484	179
gene-b1485	176
gene-b1486	56
gene-b1487	452
gene-b1488	225
gene-b1489	6680
gene-b1490	14630
gene-b4746	481
gene-b1491	274
gene-b1492	23966
gene-b1493	10052
gene-b1494	481
gene-b1495	96
gene-b1496	23
gene-b4747	1
gene-b1497	18
gene-b1498	75
gene-b1499	15
gene-b1500	0
gene-b1501	815
gene-b1502	31
gene-b1503	10
gene-b1504	20
gene-b1505	52
gene-b1507	478
gene-b1508	128
gene-b1511	1591
gene-b1512	1160
gene-b1513	817
gene-b1514	766
gene-b1515	735
gene-b1516	499
gene-b1517	716
gene-b1518	127
gene-b1519	5926
gene-b1520	843
gene-b1521	4375
gene-b1522	316
gene-b1523	162
gene-b1524	139
gene-b1525	792
gene-b1526	983
gene-b1527	52
gene-b1528	255
gene-b1529	2982
gene-b1530	66
gene-b1531	125
gene-b1532	137
gene-b1533	1532
gene-b1534	375
gene-b4599	7930
gene-b4698	43
gene-b1535	1109
gene-b1536	1271
gene-b1537	1547
gene-b1538	1794
gene-b1539	2841
gene-b1540	241
gene-b1541	6
gene-b1542	245
gene-b1543	691
gene-b4748	39
gene-b1544	30
gene-b1545	191
gene-b1546	1
gene-b1547	58
gene-b1548	10
gene-b4533	10
gene-b1549	4
gene-b1550	4
gene-b1551	3
gene-b4749	4
gene-b4724	9
gene-b1552	1
gene-b1553	23
gene-b4689	13
gene-b1554	17
gene-b1555	19
gene-b1556	23
gene-b1557	38
gene-b1558	79
gene-b4750	231
gene-b1559	131
gene-b1560	112
gene-b1561	682
gene-b1562	28733
gene-b1563	39457
gene-b1564	23872
gene-b1565	4362
gene-b1566	287
gene-b1567	115
gene-b1568	77
gene-b1569	65
gene-b1570	339
gene-b1571	134
gene-b1572	107
gene-b1573	198
gene-b1574	149
gene-b1575	17
gene-b1576	4
gene-b4534	505
gene-b1580	34667
gene-b1581	32846
gene-b1582	108
gene-b1583	247
gene-b1584	1379
gene-b1585	1023
gene-b1586	11310
gene-b1587	205
gene-b1588	256
gene-b1589	51
gene-b1590	629
gene-b1591	765
gene-b1592	699
gene-b1593	2236
gene-b1594	1065
gene-b1595	248
gene-b1596	336
gene-b1597	413
gene-b4601	306
gene-b1598	9456
gene-b1599	77
gene-b1600	40
gene-b1601	721
gene-b1602	14604
gene-b1603	4542
gene-b1604	1269
gene-b1605	236
gene-b1606	497
gene-b1607	96
gene-b1608	312
gene-b1609	300
gene-b1610	1245
gene-b1611	10727
gene-b1612	11371
gene-b1613	898
gene-b1614	15340
gene-b1615	198
gene-b1616	273
gene-b1617	1558
gene-b1618	1918
gene-b1619	19942
gene-b1620	221
gene-b1621	567
gene-b1622	662
gene-b1623	936
gene-b1624	5094
gene-b4409	66
gene-b1625	94
gene-b1626	221
gene-b1627	108
gene-b1628	109
gene-b1629	163
gene-b1630	94
gene-b1631	14
gene-b1632	96
gene-b1633	60
gene-b1634	819
gene-b1635	6763
gene-b1636	794
gene-b1637	3888
gene-b1638	92
gene-b1639	315
gene-b1640	2509
gene-b1641	24843
gene-b1642	4810
gene-b1643	361
gene-b1644	50
gene-b1645	10963
gene-b1646	8320
gene-b1647	4387
gene-b1648	658
gene-b1649	645
gene-b1650	784
gene-b1651	701
gene-b1652	56
gene-b1653	1829
gene-b1654	3763
gene-b1655	261
gene-b1656	3669
gene-b1657	495
gene-b4602	624
gene-b1658	414
gene-b1659	1136
gene-b1660	283
gene-b1661	38922
gene-b1662	2033
gene-b1663	4065
gene-b1664	15408
gene-b1665	59
gene-b1666	33
gene-b1667	2130
gene-b1668	6681
gene-b1669	553
gene-b1670	158
gene-b1671	170
gene-b1672	112
gene-b1673	142
gene-b1674	2
gene-b1675	268
gene-b1676	53278
gene-b1677	30181
gene-b1678	82388
gene-b1679	1327
gene-b1680	7691
gene-b1681	14189
gene-b1682	9637
gene-b1683	21427
gene-b1684	4593
gene-b4430	143
gene-b1685	686
gene-b1686	838
gene-b1687	794
gene-b1688	6212
gene-b4431	114
gene-b1689	71
gene-b1690	23
gene-b1691	10
gene-b1692	96
gene-b1693	188
gene-b1694	64
gene-b1695	135
gene-b1696	185
gene-b1697	96
gene-b1698	228
gene-b1699	36
gene-b1700	29
gene-b1701	283
gene-b1702	10061
gene-b1703	950
gene-b1704	263
gene-b1705	51
gene-b1706	1341
gene-b1707	288
gene-b1708	3143
gene-b1709	482
gene-b1710	2131
gene-b1711	689
gene-b1712	156567
gene-b1713	37707
gene-b1714	865
gene-b1715	48
gene-b1716	23976
gene-b1717	26465
gene-b1718	141799
gene-b1719	66264
gene-b4535	13
gene-b1722	94
gene-b1723	2513
gene-b1724	1528
gene-b1725	12505
gene-b1726	7754
gene-b1727	535
gene-b1728	365
gene-b1729	4023
gene-b1730	279
gene-b1731	135
gene-b1732	9450
gene-b1733	893
gene-b1734	420
gene-b1735	253
gene-b1736	264
gene-b1737	632
gene-b1738	101
gene-b1739	5860
gene-b1740	1855
gene-b1741	407
gene-b1742	83
gene-b1743	3865
gene-b1744	7468
gene-b1745	10608
gene-b1746	19295
gene-b1747	18532
gene-b1748	32647
gene-b1749	1351
gene-b1750	372
gene-b1751	155
gene-b1752	388
gene-b1753	312
gene-b1754	258
gene-b1755	303
gene-b1756	219
gene-b1757	295
gene-b1758	406
gene-b1759	117
gene-b1760	190
gene-b1761	588
gene-b1762	29
gene-b1763	787
gene-b1764	2932
gene-b1765	893
gene-b1766	729
gene-b1767	597
gene-b1768	515
gene-b1769	218
gene-b1770	404
gene-b1771	184
gene-b1772	28
gene-b1773	46
gene-b1774	22
gene-b1775	26
gene-b1776	67
gene-b1777	2436
gene-b1778	3832
gene-b1779	101847
gene-b1780	458
gene-b1781	927
gene-b1782	1074
gene-b1783	349148
gene-b1784	94045
gene-b1785	520
gene-b1786	324
gene-b1787	181
gene-b1788	29
gene-b1789	59
gene-b1790	529
gene-b1791	157
gene-b1792	654
gene-b1793	283
gene-b1794	472
gene-b4676	55
gene-b4675	58
gene-b1795	14529
gene-b1796	50
gene-b1797	53
gene-b1798	199
gene-b1799	1947
gene-b1800	882
gene-b1801	83
gene-b1802	59
gene-b1803	181
gene-b1804	208
gene-b1805	21096
gene-b1806	16748
gene-b1807	509
gene-b1808	292
gene-b1809	156
gene-b1810	3042
gene-b1811	654
gene-b1812	1751
gene-b1813	1115
gene-b1814	44002
gene-b1815	3305
gene-b1816	1448
gene-b4751	121
gene-b1817	9963
gene-b1818	16279
gene-b1819	22853
gene-b1820	331
gene-b1821	49
gene-b1822	176
gene-b1823	68005
gene-b1824	36845
gene-b1825	568
gene-b1826	82
gene-b4536	75
gene-b1827	8022
gene-b1828	137
gene-b1829	10426
gene-b1830	2285
gene-b1831	2697
gene-b1832	873
gene-b1833	673
gene-b1834	1218
gene-b1835	253
gene-b1836	3971
gene-b1837	1828
gene-b1838	1683
gene-b4432	2729
gene-b4433	1410
gene-b1839	254
gene-b1840	187
gene-b1841	288
gene-b1842	334
gene-b1843	1709
gene-b1844	954
gene-b1845	4068
gene-b1846	1072
gene-b1847	2094
gene-b1848	908
gene-b1849	68
gene-b1850	1095
gene-b1851	300
gene-b1852	5408
gene-b1853	3338
gene-b1854	21920
gene-b1855	1388
gene-b1856	8660
gene-b1857	21996
gene-b1858	3961
gene-b1859	1439
gene-b1860	2141
gene-b1861	1374
gene-b4677	139
gene-b1862	53
gene-b1863	446
gene-b1864	1877
gene-b1865	4035
gene-b1866	8627
gene-b1867	220
gene-b1868	271
gene-b1869	346
gene-b1870	693
gene-b1871	914
gene-b1872	1127
gene-b1873	284
gene-b4717	722
gene-b1874	3904
gene-b1875	848
gene-b1876	2740
gene-b1877	53
gene-b1878	5
gene-b1879	674
gene-b1880	123
gene-b1881	781
gene-b1882	334
gene-b1883	66
gene-b1884	395
gene-b1885	494
gene-b1886	844
gene-b1887	513
gene-b1888	652
gene-b1889	305
gene-b1890	340
gene-b1891	1431
gene-b1892	308
gene-b1893	53
gene-b1894	0
gene-b1895	5302
gene-b1896	115407
gene-b1897	25144
gene-b4460	2605
gene-b1900	2989
gene-b1901	3308
gene-b1902	1067
gene-b4537	48
gene-b4663	326
gene-b1904	111
gene-b1905	659
gene-b1906	878
gene-b1907	1649
gene-b1908	2870
gene-b1909	45
gene-b1910	60
gene-b1911	33
gene-b1912	881
gene-b1913	586
gene-b1914	357
gene-b4752	38
gene-b1915	37
gene-b1916	436
gene-b4719	239
gene-b1917	2469
gene-b1918	2014
gene-b1919	4805
gene-b1920	8704
gene-b1921	164
gene-b1922	289
gene-b1923	8545
gene-b1924	184
gene-b1925	7
gene-b1926	53
gene-b1927	8855
gene-b1928	9256
gene-b1929	730
gene-b1930	102
gene-b1931	1121
gene-b1932	109
gene-b1937	13
gene-b1938	81
gene-b1939	76
gene-b1940	37
gene-b1941	30
gene-b1942	43
gene-b1943	92
gene-b1944	67
gene-b1945	163
gene-b1946	60
gene-b1947	129
gene-b1948	52
gene-b1949	6
gene-b1950	42
gene-b1951	325
gene-b1952	400
gene-b1953	40125
gene-b1954	8961
gene-b1955	19715
gene-b1956	5197
gene-b1957	6388
gene-b1958	13684
gene-b1959	104
gene-b1960	182
gene-b1961	471
gene-b1962	1315
gene-b1963	927
gene-b4603	5
gene-b1967	111859
gene-b1968	133
gene-b1969	162
gene-b1970	45
gene-b1971	5944
gene-b1972	1795
gene-b1973	10833
gene-b1974	99
gene-b1975	217
gene-b1976	5072
gene-b1977	195
gene-b1978	1850
gene-b1981	1957
gene-b1982	2965
gene-b1983	273
gene-b1984	114
gene-b1985	1549
gene-b1986	0
gene-b1987	199
gene-b1988	425
gene-b1989	121
gene-b1990	15625
gene-b1991	859
gene-b1992	534
gene-b1993	699
gene-b1994	58
gene-b1996	38
gene-b1997	63
gene-b4435	287
gene-b2000	831
gene-b2001	505
gene-b2002	279
gene-b2003	54
gene-b2004	190
gene-b2005	21
gene-b2006	97
gene-b4538	324
gene-b2007	1823
gene-b2008	1276
gene-b2009	8530
gene-b2010	1156
gene-b2011	773
gene-b2012	930
gene-b2013	3062
gene-b2014	98
gene-b4678	5
gene-b2015	13790
gene-b2016	9418
gene-b4539	3198
gene-b2017	3217
gene-b2018	13
gene-b2019	1117
gene-b2020	1468
gene-b2021	778
gene-b2022	976
gene-b2023	601
gene-b2024	300
gene-b2025	370
gene-b2026	1253
gene-b2027	6580
gene-b2028	941
gene-b2029	19536
gene-b2030	176
gene-b2032	517
gene-b2033	1306
gene-b2034	1650
gene-b2035	922
gene-b2036	2215
gene-b2037	647
gene-b2038	561
gene-b2039	1047
gene-b2040	1876
gene-b2041	1936
gene-b2042	9046
gene-b2043	37
gene-b2044	55
gene-b2045	96
gene-b2046	76
gene-b2047	11
gene-b2048	104
gene-b2049	108
gene-b2050	100
gene-b2051	25
gene-b2052	12
gene-b2053	79
gene-b2054	1
gene-b2055	12
gene-b2056	106
gene-b2057	105
gene-b2058	41
gene-b2059	82
gene-b2060	79
gene-b2061	0
gene-b2062	23
gene-b2063	5406
gene-b2064	1987
gene-b2065	892
gene-b2066	141
gene-b2067	2213
gene-b2068	1156
gene-b2069	479
gene-b2070	311
gene-b2071	2
gene-b2072	44
gene-b2073	103
gene-b4436	164
gene-b4667	99
gene-b4437	167
gene-b4668	63
gene-b2074	557
gene-b2075	732
gene-b2076	424
gene-b2077	714
gene-b2078	485
gene-b2079	1714
gene-b2080	7911
gene-b2081	1285
gene-b4438	520
gene-b2082	29
gene-b2085	11
gene-b2086	75701
gene-b2088	10
gene-b2089	43
gene-b2091	1461
gene-b2093	1266
gene-b2094	6759
gene-b2095	117970
gene-b2096	196266
gene-b2097	60700
gene-b2098	73
gene-b2099	283
gene-b2100	344
gene-b2101	323
gene-b2102	156
gene-b2103	811
gene-b2104	467
gene-b2105	219
gene-b2106	142
gene-b2107	317
gene-b2108	16
gene-b2109	2
gene-b2110	2
gene-b2111	1
gene-b2112	390
gene-b2113	2972
gene-b2114	1977
gene-b2115	11
gene-b2118	300
gene-b4541	30
gene-b2119	24
gene-b2120	217
gene-b2121	152
gene-b2122	108
gene-b2123	36
gene-b2124	256
gene-b2125	431
gene-b2126	958
gene-b2127	4039
gene-b4542	26
gene-b2128	291
gene-b2129	447
gene-b2130	1449
gene-b2131	6868
gene-b2132	1387
gene-b2133	1974
gene-b2134	1163
gene-b2135	77916
gene-b2136	1100
gene-b2137	6106
gene-b4679	1819
gene-b2140	316
gene-b2141	953
gene-b2142	2079
gene-b2143	6526
gene-b2144	80
gene-b2145	39
gene-b2146	142
gene-b2147	393
gene-b2148	311
gene-b2149	685
gene-b2150	3698
gene-b2151	352
gene-b2152	145
gene-b2153	286
gene-b2154	598
gene-b2155	862
gene-b2156	18585
gene-b2157	1740
gene-b2158	1247
gene-b2159	541
gene-b2160	181
gene-b2161	61
gene-b2162	44
gene-b2163	20
gene-b2164	205
gene-b2165	7
gene-b2166	6
gene-b2167	40304
gene-b2168	9577
gene-b2169	11681
gene-b2170	109
gene-b4502	186
gene-b2171	347
gene-b2172	3971
gene-b2173	98
gene-b2174	25
gene-b2175	872
gene-b2176	208
gene-b2177	243
gene-b2178	84
gene-b2179	128
gene-b2180	3492
gene-b2181	11486
gene-b2182	668
gene-b2183	476
gene-b2184	244
gene-b2185	62
gene-b2186	1492
gene-b2187	665
gene-b2188	1402
gene-b2189	99
gene-b2192	10
gene-b2193	1482
gene-b2194	594
gene-b2195	207
gene-b2196	245
gene-b2197	4
gene-b2198	21
gene-b2199	118
gene-b2200	195
gene-b2201	2196
gene-b2202	584
gene-b2203	73
gene-b2204	137
gene-b2205	216
gene-b2206	270
gene-b2207	0
gene-b2208	5
gene-b4604	50
gene-b2209	1012
gene-b2210	1215
gene-b2211	464
gene-b2212	1670
gene-b2213	5766
gene-b2214	35
gene-b2215	24131
gene-b4439	114
gene-b2216	4094
gene-b2217	8332
gene-b2218	3152
gene-b2219	1947
gene-b2220	390
gene-b2221	61
gene-b2222	67
gene-b2223	145
gene-b2224	101
gene-b2225	546
gene-b2226	328
gene-b2229	94
gene-b2230	241
gene-b2231	3883
gene-b2232	239
gene-b2233	1465
gene-b4605	19
gene-b2234	889
gene-b2235	1632
gene-b2236	571
gene-b2237	2158
gene-b2239	25167
gene-b2240	24388
gene-b2241	31988
gene-b2242	25528
gene-b2243	11287
gene-b2244	450
gene-b2245	283
gene-b2246	251
gene-b2247	907
gene-b2248	490
gene-b2249	1726
gene-b2250	388
gene-b2251	66
gene-b2252	80
gene-b2253	484
gene-b2254	281
gene-b2255	921
gene-b2256	310
gene-b2257	252
gene-b4544	298
gene-b2258	143
gene-b2259	55
gene-b2260	675
gene-b2261	2879
gene-b2262	1878
gene-b2263	179
gene-b2264	1107
gene-b2265	824
gene-b2266	16732
gene-b2267	417
gene-b2268	141
gene-b2269	135
gene-b2270	117
gene-b2271	48
gene-b2272	22
gene-b2273	14
gene-b2274	17
gene-b2275	86
gene-b2276	4218
gene-b2277	1436
gene-b2278	4576
gene-b2279	522
gene-b2280	860
gene-b2281	856
gene-b2282	1432
gene-b2283	6030
gene-b2284	1807
gene-b2285	1032
gene-b2286	4120
gene-b2287	1337
gene-b2288	1158
gene-b2289	9029
gene-b2290	935
gene-b2291	759
gene-b2292	1195
gene-b2293	8272
gene-b2294	4205
gene-b2295	34803
gene-b2296	25079
gene-b2297	19388
gene-b2298	142
gene-b2299	655
gene-b2300	648
gene-b2301	417
gene-b2302	2621
gene-b2303	6805
gene-b2304	8727
gene-b2305	1355
gene-b2306	74
gene-b2307	202
gene-b2308	263
gene-b2309	3060
gene-b2310	8811
gene-b2311	7
gene-b2312	1479
gene-b2313	964
gene-b2314	4302
gene-b2315	3518
gene-b2316	7054
gene-b2317	1490
gene-b2318	4937
gene-b2319	1527
gene-b2320	2165
gene-b2321	76
gene-b2322	117
gene-b2323	9159
gene-b2324	703
gene-b2325	117
gene-b2326	139
gene-b2327	158
gene-b2328	197
gene-b2329	1445
gene-b2330	419
gene-b2331	706
gene-b2332	1484
gene-b2333	100
gene-b2334	43
gene-b2335	28
gene-b2336	7
gene-b2339	1
gene-b2340	27256
gene-b2341	6564
gene-b2342	5284
gene-b2343	3959
gene-b2344	8001
gene-b2345	18
gene-b2346	5339
gene-b2347	2042
gene-b2348	74
gene-b2349	88
gene-b2350	72
gene-b2351	69
gene-b2352	44
gene-b2354	861
gene-b2356	9
gene-b2357	1
gene-b2358	0
gene-b2359	6
gene-b2360	58
gene-b2361	27
gene-b2362	5
gene-b2363	149
gene-b4545	103
gene-b4501	732
gene-b2364	967
gene-b2365	321
gene-b2366	263
gene-b2367	33
gene-b2368	172
gene-b2369	141
gene-b2370	653
gene-b2371	254
gene-b2372	80
gene-b2373	60
gene-b2374	6
gene-b2375	87
gene-b2376	227
gene-b2377	5246
gene-b2378	513
gene-b4680	7
gene-b2379	1231
gene-b2380	782
gene-b2381	2984
gene-b2382	740
gene-b2383	125
gene-b2384	122
gene-b2385	116
gene-b2386	85
gene-b2387	38
gene-b2388	6416
gene-b2389	1428
gene-b2390	4759
gene-b2392	80571
gene-b2393	1148
gene-b2394	11
gene-b2395	359
gene-b2396	8
gene-b2397	13
gene-b2398	564
gene-b2399	579
gene-b2400	5453
gene-b2401	36
gene-b2402	6
gene-b2403	37
gene-b2404	21
gene-b2405	338
gene-b2406	147
gene-b2407	13
gene-b2408	1066
gene-b2409	477
gene-b2410	1811
gene-b4546	414
gene-b2411	2951
gene-b2412	8583
gene-b2413	846
gene-b2414	8832
gene-b2415	6080
gene-b2416	46580
gene-b2417	150323
gene-b2418	2540
gene-b2419	171
gene-b2420	296
gene-b2421	296
gene-b2422	1179
gene-b2423	782
gene-b2424	865
gene-b2425	1585
gene-b2426	7600
gene-b2427	233
gene-b2428	294
gene-b2429	231
gene-b2430	219
gene-b2431	1812
gene-b2432	266
gene-b2433	506
gene-b2434	786
gene-b2435	740
gene-b2436	431
gene-b2437	724
gene-b2438	660
gene-b2439	497
gene-b2440	484
gene-b2441	1784
gene-b2442	177
gene-b2443	3322
gene-b2444	116
gene-b2445	148
gene-b2446	121
gene-b2447	190
gene-b2448	131
gene-b2449	1565
gene-b2450	1293
gene-b2451	195
gene-b2452	260
gene-b2453	174
gene-b2454	42
gene-b2455	19
gene-b2456	4
gene-b2457	85
gene-b2458	299
gene-b2459	198
gene-b2460	46
gene-b2461	72
gene-b2462	52
gene-b2463	13867
gene-b2464	70502
gene-b2465	88334
gene-b2466	1866
gene-b2467	104
gene-b2468	412
gene-b2469	591
gene-b2470	379
gene-b4606	976
gene-b2471	352
gene-b2472	4304
gene-b4547	24881
gene-b2473	2311
gene-b2474	5027
gene-b2475	10858
gene-b2476	242
gene-b2477	6306
gene-b2478	3817
gene-b2479	7285
gene-b2480	652
gene-b2481	35
gene-b2482	52
gene-b2483	82
gene-b2484	81
gene-b2485	14
gene-b2486	432
gene-b2487	230
gene-b2488	186
gene-b2489	176
gene-b2490	24
gene-b2491	260
gene-b2492	143
gene-b2493	1034
gene-b2494	4920
gene-b2495	723
gene-b2496	369
gene-b2497	125
gene-b2498	216
gene-b2499	135
gene-b2500	328
gene-b2501	8628
gene-b2502	3595
gene-b2503	220
gene-b2504	742
gene-b2505	6
gene-b2506	367
gene-b2507	1789
gene-b2508	478
gene-b2509	641
gene-b2510	579
gene-b2511	13863
gene-b2512	21079
gene-b2513	2163
gene-b2514	2973
gene-b2515	18434
gene-b2516	14530
gene-b2517	4573
gene-b2518	308
gene-b2519	454
gene-b2520	15586
gene-b2521	4888
gene-b4440	78
gene-b2522	404
gene-b2523	2422
gene-b2524	582
gene-b2525	881
gene-b2526	3706
gene-b2527	1584
gene-b2528	12294
gene-b2529	26636
gene-b2530	37262
gene-b2531	8230
gene-b2532	4066
gene-b2533	482
gene-b2534	92
gene-b2535	45400
gene-b2536	3127
gene-b4706	84
gene-b2537	815
gene-b2538	97
gene-b2539	64
gene-b2540	45
gene-b2541	132
gene-b2542	369
gene-b2543	2733
gene-b2544	587
gene-b2545	339
gene-b2546	77
gene-b2547	152
gene-b2548	137
gene-b2549	224
gene-b2550	556
gene-b2551	1886
gene-b2552	588
gene-b2553	239
gene-b2554	607
gene-b2555	1175
gene-b2556	3870
gene-b4441	288
gene-b2557	696
gene-b2558	178
gene-b2559	159
gene-b2560	608
gene-b2561	353
gene-b2562	106
gene-b4687	103
gene-b4608	11
gene-b2563	345
gene-b2564	719
gene-b2565	3382
gene-b2566	33672
gene-b2567	11708
gene-b2568	3287
gene-b2569	3167
gene-b2570	614
gene-b2571	37159
gene-b2572	159164
gene-b2573	87574
gene-b4725	5440
gene-b2574	214
gene-b2575	104
gene-b2576	1228
gene-b2577	399
gene-b2578	865
gene-b2579	1753
gene-b2580	260
gene-b2581	1108
gene-b2582	5267
gene-b2583	218
gene-b2584	19011
gene-b2585	17204
gene-b2586	2260
gene-b2587	68354
gene-b2588	92
gene-b2589	7332
gene-b2590	3106
gene-b2591	146251
gene-b2592	273892
gene-b4609	5136
gene-b2593	1511
gene-b2594	2997
gene-b2595	2253
gene-b2597	12422
gene-b2598	151
gene-b2599	1266
gene-b2600	3035
gene-b2601	2991
gene-b2602	1291
gene-b2603	908
gene-b2604	316
gene-b2605	92
gene-b2606	14662
gene-b2607	10240
gene-b2608	5763
gene-b2609	3204
gene-b2610	4290
gene-b2611	484
gene-b4461	487
gene-b2614	15245
gene-b2615	1720
gene-b2616	9563
gene-b2617	7479
gene-b2618	996
gene-b2619	1158
gene-b2620	149
gene-b2621	1386859
gene-b2622	1944
gene-b2623	191
gene-b2624	13
gene-b2625	53
gene-b2626	76
gene-b2627	2178
gene-b2628	2643
gene-b2629	55
gene-b2630	25752
gene-b2631	11275
gene-b2632	581
gene-b2633	84
gene-b2634	162
gene-b2635	28
gene-b2636	21
gene-b2637	1271
gene-b2638	405
gene-b2642	46
gene-b2643	2
gene-b2644	29
gene-b4548	11
gene-b2645	52
gene-b2646	54
gene-b2647	12136
gene-b2649	19
gene-b2650	4
gene-b2652	0
gene-b2659	14296
gene-b2660	3178
gene-b2661	4673
gene-b2662	4345
gene-b2663	698
gene-b2664	7160
gene-b2665	12521
gene-b2666	1498
gene-b2667	49
gene-b2668	162
gene-b2669	1434
gene-b2670	669
gene-b2671	870
gene-b2672	48332
gene-b2673	591
gene-b2674	1475
gene-b2675	1382
gene-b2676	356
gene-b2677	126
gene-b2678	263
gene-b2679	94
gene-b2682	118
gene-b2683	4
gene-b2684	90
gene-b2685	382
gene-b2686	3955
gene-b2687	13070
gene-b4442	1508
gene-b2688	8161
gene-b2689	306
gene-b2690	345
gene-b2691	28
gene-b2692	230
gene-b2693	468
gene-b2694	229
gene-b2695	141
gene-b2696	12704
gene-b2697	4969
gene-b2698	147
gene-b2699	11260
gene-b2700	318
gene-b2701	279
gene-b2702	761
gene-b2703	1177
gene-b2704	219
gene-b2705	736
gene-b2706	124
gene-b2707	354
gene-b2708	645
gene-b2709	1142
gene-b2710	671
gene-b2711	154
gene-b2712	1379
gene-b2713	186
gene-b2714	264
gene-b2715	1449
gene-b2716	841
gene-b2717	2129
gene-b2718	1202
gene-b2719	317
gene-b2720	74
gene-b2721	182
gene-b2722	12
gene-b2723	28
gene-b2724	10
gene-b2725	1
gene-b2726	53
gene-b2727	197
gene-b2728	8
gene-b2729	804
gene-b2730	5273
gene-b2731	2230
gene-b2732	455
gene-b2733	617
gene-b2734	51
gene-b2735	1625
gene-b2736	2355
gene-b2737	2414
gene-b2738	636
gene-b2739	664
gene-b2740	240
gene-b2741	120987
gene-b2742	25281
gene-b2743	2346
gene-b2744	970
gene-b2745	679
gene-b2746	184
gene-b2747	2570
gene-b2748	2097
gene-b2749	102
gene-b2750	1382
gene-b2751	4241
gene-b2752	2418
gene-b2753	279
gene-b2754	169
gene-b2755	356
gene-b2756	389
gene-b2757	202
gene-b2758	187
gene-b2759	12
gene-b2760	110
gene-b2761	383
gene-b4701	0
gene-b2762	1678
gene-b2763	3154
gene-b2764	2855
gene-b2765	6
gene-b2766	251
gene-b2767	29
gene-b2768	38
gene-b2769	44
gene-b2770	69
gene-b2771	96
gene-b4463	58
gene-b2774	1
gene-b2775	67
gene-b2776	97
gene-b2777	4061
gene-b4682	0
gene-b2778	28
gene-b2779	95536
gene-b2780	15923
gene-b2781	3320
gene-b2782	1101
gene-b2783	965
gene-b2784	3611
gene-b2785	1482
gene-b2786	459
gene-b2787	416
gene-b2788	85
gene-b2789	497
gene-b2790	369
gene-b2791	45
gene-b2792	55
gene-b4408	8360
gene-b2793	370
gene-b2794	853
gene-b2795	2766
gene-b2796	3590
gene-b2797	1560
gene-b2798	134
gene-b2799	2044
gene-b2800	201
gene-b2801	130
gene-b2802	613
gene-b2803	550
gene-b2804	637
gene-b2805	937
gene-b2806	3911
gene-b2807	1218
gene-b2808	1236
gene-b4443	484
gene-b2809	1519
gene-b2810	982
gene-b2811	1716
gene-b2812	811
gene-b2813	783
gene-b2814	22
gene-b2815	58
gene-b2816	27
gene-b2817	53
gene-b2818	579
gene-b2819	1686
gene-b2820	664
gene-b2821	580
gene-b2822	1921
gene-b2823	155
gene-b2824	87
gene-b2825	239
gene-b2826	82
gene-b2827	558
gene-b2828	916
gene-b2829	1597
gene-b2830	1734
gene-b4610	25
gene-b2831	238
gene-b2832	1756
gene-b2833	936
gene-b2834	3741
gene-b2835	3344
gene-b2836	1662
gene-b4444	28
gene-b4445	0
gene-b2837	1079
gene-b2838	275
gene-b2839	163
gene-b2840	371
gene-b2841	2626
gene-b2842	366
gene-b2843	160
gene-b2844	4042
gene-b2845	215
gene-b2846	32
gene-b2847	29
gene-b2848	16
gene-b4683	18
gene-b2849	20
gene-b2851	1
gene-b2852	57
gene-b2853	22
gene-b2860	10
gene-b2861	43
gene-b2863	69
gene-b2864	11
gene-b2865	383
gene-b2866	602
gene-b2867	208
gene-b2868	154
gene-b2869	7391
gene-b2870	33
gene-b2871	49
gene-b2872	139
gene-b2873	109
gene-b2874	606
gene-b2875	1178
gene-b2876	480
gene-b2877	1548
gene-b2878	376
gene-b2879	19
gene-b2880	211
gene-b2881	885
gene-b2882	237
gene-b2883	360
gene-b4464	348
gene-b2886	314
gene-b2887	214
gene-b2888	98
gene-b4684	53
gene-b4753	34
gene-b2889	1445
gene-b2890	2444
gene-b2891	1013
gene-b2892	2087
gene-b2893	1551
gene-b2894	1482
gene-b2895	1265
gene-b2896	977
gene-b2897	968
gene-b2898	6424
gene-b2899	1825
gene-b2900	544
gene-b2901	1801
gene-b2902	85
gene-b2903	2576
gene-b2904	1457
gene-b2905	747
gene-b4754	1
gene-b2906	958
gene-b2907	3391
gene-b2908	5711
gene-b2909	3961
gene-b2910	20939
gene-b2911	38378
gene-b2912	1026
gene-b4446	85
gene-b4665	62
gene-b2913	4552
gene-b2914	1790
gene-b2916	788
gene-b2917	305
gene-b2918	74
gene-b2919	40
gene-b2920	213
gene-b2921	335
gene-b2922	6651
gene-b2923	171
gene-b2924	2941
gene-b2925	60184
gene-b2926	48142
gene-b2927	6951
gene-b2928	354
gene-b2929	831
gene-b2930	513
gene-b4465	196
gene-b2933	320
gene-b2934	0
gene-b2935	2441
gene-b2936	14072
gene-b2937	2357
gene-b2938	46765
gene-b2939	513
gene-b2940	38
gene-b2941	36
gene-b2942	210
gene-b2943	1098
gene-b2944	30
gene-b2945	163
gene-b2946	654
gene-b2947	2930
gene-b2948	624
gene-b2949	154
