Geneid	1714__30min_-_N=3_library-read-1.fastq.gz
gene-b0335	3654
gene-b0336	60
gene-b0337	580
gene-b0338	182
gene-b0339	162
gene-b0340	109
gene-b0341	137
gene-b0342	64
gene-b0343	304
gene-b0344	452
gene-b0345	1163
gene-b0346	6007
gene-b0347	157
gene-b0348	70
gene-b0349	32
gene-b0350	80
gene-b0351	384
gene-b0352	486
gene-b0353	1398
gene-b0354	1064
gene-b0355	503
gene-b0356	612
gene-b0357	104
gene-b0358	1420
gene-b0360	12
gene-b0361	28
gene-b0363	907
gene-b4731	2
gene-b0364	2
gene-b0365	114
gene-b0366	147
gene-b0367	317
gene-b0368	406
gene-b0369	1444
gene-b0372	71
gene-b0373	48
gene-b0375	89
gene-b0376	642
gene-b0377	1313
gene-b0378	1151
gene-b0379	188
gene-b0380	2115
gene-b0381	2381
gene-b0382	2832
gene-b0383	1011
gene-b0384	11358
gene-b0385	10894
gene-b0386	730
gene-b0387	155
gene-b0388	449
gene-b0389	5295
gene-b0390	908
gene-b0391	2344
gene-b4732	164
gene-b0393	1268
gene-b0394	2307
gene-b0396	1606
gene-b0397	443
gene-b0398	950
gene-b0399	1689
gene-b0400	1078
gene-b0401	19680
gene-b0402	2212
gene-b0403	1149
gene-b0404	1571
gene-b0405	216
gene-b0406	490
gene-b0407	911
gene-b0408	2476
gene-b0409	4411
gene-b0410	250
gene-b0411	2230
gene-b0412	657
gene-b0413	893
gene-b0414	1523
gene-b0415	1123
gene-b0416	4289
gene-b0417	486
gene-b0418	1380
gene-b0419	12865
gene-b0420	1290
gene-b0421	1077
gene-b0422	915
gene-b0423	3395
gene-b0424	3324
gene-b0425	4080
gene-b0426	19594
gene-b0427	415
gene-b0428	1888
gene-b0429	1120
gene-b0430	2752
gene-b0431	3928
gene-b0432	1130
gene-b0433	73
gene-b0434	212
gene-b0435	47097
gene-b0436	942
gene-b0437	24717
gene-b0438	154833
gene-b0439	60772
gene-b0440	482
gene-b0441	1642
gene-b0442	287
gene-b0443	461
gene-b0444	359
gene-b0445	1617
gene-b0446	3108
gene-b0447	1052
gene-b0448	703
gene-b0449	647
gene-b0450	23
gene-b0451	245
gene-b0452	1047
gene-b0453	16894
gene-b0454	1769
gene-b0455	68
gene-b0456	750
gene-b0457	3080
gene-b0458	533
gene-b0459	1502
gene-b0460	4894
gene-b0461	8182
gene-b0462	7913
gene-b0463	4427
gene-b0464	3058
gene-b0465	2593
gene-b0466	342
gene-b0467	985
gene-b0468	666
gene-b0469	156
gene-b0470	1607
gene-b0471	2300
gene-b0472	1916
gene-b0473	135559
gene-b0474	778
gene-b0475	958
gene-b0476	1123
gene-b0477	517
gene-b0478	5230
gene-b0479	289
gene-b0480	3226
gene-b0481	359
gene-b4585	66
gene-b0482	206
gene-b0483	4729
gene-b0484	17558
gene-b0485	12268
gene-b0486	10103
gene-b0487	3832
gene-b0488	7278
gene-b0489	12250
gene-b0490	24
gene-b0491	764
gene-b0492	21012
gene-b0493	259
gene-b0494	5316
gene-b0495	1462
gene-b0496	477
gene-b0497	1484
gene-b0498	112
gene-b0502	144
gene-b0503	295
gene-b0504	70
gene-b0505	164
gene-b0506	27961
gene-b0507	600
gene-b0508	315
gene-b0509	21
gene-b0511	95
gene-b0512	153
gene-b0513	683
gene-b0514	304
gene-b0515	107
gene-b0516	209
gene-b0517	38
gene-b0518	7
gene-b4572	65
gene-b0520	50
gene-b0521	167
gene-b0522	112
gene-b0523	42
gene-b0524	3636
gene-b0525	12021
gene-b0526	1013
gene-b0527	26
gene-b0528	292
gene-b0529	995
gene-b0530	94
gene-b0531	51
gene-b0532	87
gene-b0533	6
gene-b0534	64
gene-b0535	6
gene-b0536	508
gene-b0537	1086
gene-b0540	1
gene-b0541	34
gene-b0543	733
gene-b4733	307
gene-b0544	43
gene-b0545	1484
gene-b0546	1856
gene-b4588	91
gene-b0547	34
gene-b0548	2
gene-b0549	12
gene-b0550	0
gene-b4509	0
gene-b0551	70
gene-b0552	406
gene-b0554	160
gene-b0555	402
gene-b0556	120
gene-b4510	66
gene-b0557	63
gene-b0558	82
gene-b0559	61
gene-b4589	11
gene-b0560	163
gene-b0561	114
gene-b0563	39
gene-b0564	3304
gene-b0565	12475
gene-b0566	185
gene-b0567	845
gene-b0568	962
gene-b0569	1738
gene-b0570	473
gene-b0571	385
gene-b0572	52
gene-b0573	6
gene-b0574	55
gene-b0575	307
gene-b0576	264
gene-b0577	662
gene-b0578	1578
gene-b0579	863
gene-b0580	3756
gene-b0581	18008
gene-b4700	75
gene-b4415	14
gene-b0582	82
gene-b0583	192
gene-b0584	987
gene-b0585	1656
gene-b4511	364
gene-b0586	5008
gene-b0587	9
gene-b0588	125
gene-b0589	135
gene-b0590	257
gene-b0591	355
gene-b0592	2397
gene-b0593	1844
gene-b0594	2389
gene-b0595	1670
gene-b0596	1153
gene-b0597	510
gene-b0598	64593
gene-b4512	2199
gene-b0599	3169
gene-b0600	269
gene-b0601	381
gene-b0602	136
gene-b0603	50
gene-b0604	914
gene-b0605	16854
gene-b0606	5688
gene-b0607	20320
gene-b0608	1294
gene-b4734	223
gene-b0610	555
gene-b0611	6560
gene-b0612	40
gene-b0613	31
gene-b0614	6
gene-b0615	13
gene-b0616	33
gene-b0617	0
gene-b0618	73
gene-b0619	190
gene-b0620	302
gene-b0621	335
gene-b0622	252
gene-b0623	50258
gene-b0624	3286
gene-b0627	1664
gene-b0628	1997
gene-b0629	375
gene-b0630	390
gene-b0631	18949
gene-b0632	483
gene-b0633	3239
gene-b0634	1647
gene-b0635	460
gene-b0636	123
gene-b0637	85
gene-b0638	162
gene-b0639	521
gene-b0640	3244
gene-b0641	14053
gene-b0642	49194
gene-b0643	14339
gene-b0644	3231
gene-b0645	27
gene-b0646	139
gene-b0647	24
gene-b0648	113
gene-b0649	217
gene-b0650	98
gene-b0651	249
gene-b0652	258
gene-b0653	211
gene-b0654	272
gene-b0655	5662
gene-b0656	47
gene-b0657	4135
gene-b0658	12374
gene-b0659	8478
gene-b0660	21347
gene-b0661	5952
gene-b0662	26163
gene-b0664	331
gene-b0665	275
gene-b0666	1371
gene-b0668	1349
gene-b0670	1153
gene-b0672	1605
gene-b0673	1215
gene-b0674	1204
gene-b0675	1899
gene-b0676	2519
gene-b0677	7246
gene-b0678	7589
gene-b0679	6939
gene-b0680	7219
gene-b0681	118
gene-b0682	110
gene-b0683	9921
gene-b4637	1956
gene-b0684	3305
gene-b0685	100
gene-b0686	222
gene-b0687	2148
gene-b0688	13113
gene-b0689	70
gene-b0692	1175
gene-b0693	214
gene-b4590	0
gene-b0694	2958
gene-b0695	11740
gene-b0696	1124
gene-b0697	234
gene-b0698	112
gene-b4513	7
gene-b0699	5179
gene-b0700	470
gene-b0702	1
gene-b0704	100
gene-b4514	0
gene-b0706	35
gene-b0707	637
gene-b0708	948
gene-b0709	347
gene-b0710	6249
gene-b0711	5301
gene-b0712	4154
gene-b0713	1027
gene-b0714	313
gene-b0715	117
gene-b0716	1196
gene-b0717	353
gene-b0718	124
gene-b0719	44
gene-b0720	72055
gene-b4735	6136
gene-b0721	7015
gene-b0722	3700
gene-b0723	9227
gene-b0724	2531
gene-b0726	15029
gene-b0727	8717
gene-b0728	5480
gene-b0729	5711
gene-b0730	156
gene-b0731	50
gene-b0732	715
gene-b0733	22652
gene-b0734	23198
gene-b4515	6401
gene-b0735	3380
gene-b0736	945
gene-b0737	1053
gene-b0738	1121
gene-b0739	9057
gene-b0740	16881
gene-b0741	15025
gene-b0742	13327
gene-b0743	904
gene-b0744	364
gene-b0745	619
gene-b0746	431
gene-b0747	497
gene-b0748	416
gene-b0749	191
gene-b0750	1042
gene-b0751	11762
gene-b0752	6266
gene-b0753	4485
gene-b0754	838
gene-b0755	65052
gene-b0756	4538
gene-b0757	1671
gene-b0758	1398
gene-b0759	750
gene-b0760	669
gene-b0761	275
gene-b0762	746
gene-b0763	288
gene-b0764	253
gene-b0765	875
gene-b0766	271
gene-b0767	2600
gene-b0768	479
gene-b0769	14
gene-b0770	40
gene-b0771	78
gene-b0772	933
gene-b0773	3179
gene-b0774	1849
gene-b0775	2532
gene-b0776	1045
gene-b0777	246
gene-b0778	52
gene-b0779	40436
gene-b0780	990
gene-b0781	8624
gene-b0782	6386
gene-b0783	6219
gene-b0784	2714
gene-b0785	2204
gene-b0786	45202
gene-b0787	108
gene-b0788	422
gene-b0789	2794
gene-b0790	1524
gene-b0791	12124
gene-b0792	4450
gene-b0793	390
gene-b0794	1035
gene-b0795	1349
gene-b0796	624
gene-b0797	327
gene-b0798	63
gene-b0799	2529
gene-b0800	6975
gene-b0801	2358
gene-b0802	8395
gene-b0803	581
gene-b0804	427
gene-b0805	660
gene-b0806	10448
gene-b0807	305
gene-b0808	2156
gene-b0809	693
gene-b0810	465
gene-b0811	6834
gene-b0812	680857
gene-b0813	203
gene-b4736	1625
gene-b0814	232528
gene-b0815	688
gene-b4416	96645
gene-b4705	95605
gene-b0817	2730
gene-b0818	1096
gene-b0819	5451
gene-b0820	1551
gene-b0821	954
gene-b0822	1041
gene-b0823	1337
gene-b0824	156
gene-b0825	418
gene-b0826	1578
gene-b0827	1278
gene-b0828	1903
gene-b0829	2599
gene-b0830	1139
gene-b0831	354
gene-b0832	142
gene-b0833	107
gene-b0834	59
gene-b0835	175
gene-b0836	1906874
gene-b0837	4008
gene-b0838	816
gene-b0839	16725
gene-b0840	560
gene-b0841	437
gene-b0842	9502
gene-b0843	479
gene-b0844	425
gene-b0845	122
gene-b0846	311
gene-b4417	1711
gene-b0847	1515
gene-b0848	405
gene-b0849	373
gene-b0850	319
gene-b0851	270
gene-b0852	663
gene-b0853	1853
gene-b0854	13174
gene-b0855	2238
gene-b0856	745
gene-b0857	1303
gene-b0858	191
gene-b0859	308
gene-b0860	160
gene-b0861	516
gene-b0862	455
gene-b0863	2297
gene-b0864	2325
gene-b0865	7765
gene-b0866	8226
gene-b0867	5516
gene-b0868	1085
gene-b0869	1128
gene-b0870	17645
gene-b0871	33954
gene-b0872	196
gene-b0873	158
gene-b0874	146
gene-b0875	2267
gene-b0876	4052
gene-b0877	1757
gene-b0878	1595
gene-b0879	6630
gene-b0880	27274
gene-b0881	22167
gene-b0882	251959
gene-b0883	574
gene-b0884	456
gene-b0885	1768
gene-b0886	443
gene-b0887	479
gene-b0888	571
gene-b0889	1251
gene-b0890	7219
gene-b0891	824
gene-b0892	735
gene-b0893	17481
gene-b0894	670
gene-b0895	145
gene-b0896	620
gene-b0897	1315
gene-b0898	3051
gene-b0899	839
gene-b0900	407
gene-b0901	36
gene-b0902	14651
gene-b0903	310501
gene-b0904	19553
gene-b0905	723
gene-b0906	3195
gene-b0907	3315
gene-b0908	585
gene-b0909	216
gene-b0910	7087
gene-b0911	97517
gene-b0912	4234
gene-b0913	768
gene-b0914	2631
gene-b0915	696
gene-b0916	402
gene-b0917	1168
gene-b0918	2268
gene-b0919	882
gene-b0920	510
gene-b0921	496
gene-b0922	986
gene-b0923	287
gene-b0924	2364
gene-b0925	42414
gene-b0926	2237
gene-b0927	1721
gene-b0928	3224
gene-b0929	1957
gene-b0930	19944
gene-b0931	423
gene-b0932	23463
gene-b0933	571
gene-b0934	166
gene-b0935	73
gene-b0936	55
gene-b0937	147
gene-b0938	36
gene-b0939	47
gene-b0940	390
gene-b0941	233
gene-b0942	37
gene-b0943	121
gene-b0944	488
gene-b0945	124
gene-b0946	141
gene-b0947	514
gene-b0948	2891
gene-b0949	4104
gene-b0950	15204
gene-b0951	5260
gene-b0952	1840
gene-b0953	34990
gene-b0954	19090
gene-b0955	108091
gene-b0956	1312
gene-b0957	104728
gene-b0958	12581
gene-b0959	364
gene-b0960	1193
gene-b0961	72
gene-b0962	7939
gene-b0963	24478
gene-b0964	4080
gene-b0965	23629
gene-b0966	190201
gene-b0967	22670
gene-b0968	2509
gene-b0969	3088
gene-b0970	19353
gene-b0971	255
gene-b0972	5669
gene-b0973	3336
gene-b0974	2208
gene-b0975	2810
gene-b0976	1816
gene-b0977	569
gene-b0978	22983
gene-b0979	12808
gene-b4592	1789
gene-b0980	5561
gene-b0981	3012
gene-b0982	366
gene-b0983	258
gene-b0984	154
gene-b0985	17
gene-b0986	40
gene-b0987	58
gene-b4516	23
gene-b0988	1414
gene-b0989	77
gene-b0990	156
gene-b4723	50
gene-b0991	19
gene-b4517	63
gene-b0992	94
gene-b0993	514
gene-b0994	239
gene-b0995	308
gene-b0996	104
gene-b0997	350
gene-b0998	1478
gene-b0999	27701
gene-b1000	27597
gene-b1001	52
gene-b1002	15375
gene-b1003	40327
gene-b1004	37780
gene-b4518	5748
gene-b1006	861
gene-b1007	151
gene-b1008	45
gene-b1009	10
gene-b1010	63
gene-b1011	55
gene-b1012	28
gene-b1013	1386
gene-b1014	11378
gene-b4737	68
gene-b1015	3594
gene-b1018	84
gene-b1019	704
gene-b1020	51938
gene-b1021	313
gene-b1022	179
gene-b1023	110
gene-b1024	664
gene-b1025	158
gene-b1026	21
gene-b1027	26
gene-b1029	102
gene-b1032	88
gene-b1033	926
gene-b1034	552
gene-b1035	596
gene-b1036	482
gene-b1037	636
gene-b1038	153
gene-b1039	140
gene-b1040	1745
gene-b1041	67
gene-b1042	531
gene-b1043	8
gene-b1044	125
gene-b1045	3084
gene-b1046	5790
gene-b1047	442
gene-b1048	5083
gene-b1049	7243
gene-b1050	7367
gene-b1051	12272
gene-b1053	421
gene-b1054	1015
gene-b1055	226
gene-b1056	106
gene-b1057	143
gene-b1058	40
gene-b1059	577
gene-b1060	12972
gene-b1061	75
gene-b1062	237
gene-b1063	1169
gene-b1064	2580
gene-b1065	184
gene-b1066	1833
gene-b1067	7968
gene-b1068	4984
gene-b1069	352
gene-b1070	119
gene-b1071	67
gene-b1072	99
gene-b1073	23
gene-b1074	51
gene-b1075	154
gene-b1076	267
gene-b1077	278
gene-b1078	87
gene-b1079	79
gene-b1080	37
gene-b1081	101
gene-b1082	741
gene-b1083	1394
gene-b1084	26915
gene-b1085	3635
gene-b1086	485
gene-b1087	4106
gene-b4418	6281
gene-b1088	24001
gene-b1089	11850
gene-b1090	7373
gene-b1091	16081
gene-b1092	13970
gene-b1093	14255
gene-b1094	42183
gene-b1095	47640
gene-b1096	647
gene-b1097	656
gene-b1098	260
gene-b1099	599
gene-b1100	17244
gene-b1101	31601
gene-b1102	1127
gene-b1103	5256
gene-b1104	2204
gene-b1105	903
gene-b1106	598
gene-b1107	4037
gene-b1108	20656
gene-b1109	1492
gene-b1110	3116
gene-b1111	1155
gene-b1112	2592
gene-b1113	310
gene-b1114	14948
gene-b1115	153
gene-b1116	446
gene-b1117	226
gene-b1118	3755
gene-b1119	4900
gene-b1120	1579
gene-b1121	22
gene-b1122	6
gene-b1123	1251
gene-b1124	134
gene-b1125	410
gene-b1126	433
gene-b1127	14295
gene-b1128	9875
gene-b1129	2397
gene-b1130	1909
gene-b1131	511
gene-b1132	496
gene-b1133	1285
gene-b1134	255
gene-b1135	209
gene-b1136	5108
gene-b1137	249
gene-b1138	144
gene-b1139	263
gene-b1140	608
gene-b1141	352
gene-b1142	3175
gene-b1143	2025
gene-b1144	2565
gene-b1145	557
gene-b1146	173
gene-b1147	236
gene-b1148	58
gene-b1149	194
gene-b1150	27
gene-b1151	194
gene-b1153	59
gene-b1154	16
gene-b1155	504
gene-b1156	84
gene-b1158	7
gene-b1159	566
gene-b1160	4
gene-b4738	0
gene-b4739	1
gene-b1161	2
gene-b1162	1514
gene-b1163	686
gene-b1164	6274
gene-b1165	7917
gene-b1166	2259
gene-b1167	1942
gene-b1168	886
gene-b4520	345
gene-b1171	185
gene-b1172	29
gene-b4593	11
gene-b4594	40
gene-b1174	772
gene-b1175	2587
gene-b1176	325
gene-b1177	233
gene-b1178	5025
gene-b1179	1675
gene-b1180	10360
gene-b1181	3227
gene-b1182	310
gene-b1183	728
gene-b1184	1750
gene-b1185	1184
gene-b1186	342
gene-b1187	1355
gene-b1188	165168
gene-b1189	18151
gene-b1190	8582
gene-b4740	201
gene-b1191	328
gene-b1192	877
gene-b1193	2019
gene-b1194	987
gene-b1195	17514
gene-b1196	2211
gene-b1197	7411
gene-b1198	1886
gene-b1199	1040
gene-b1200	1841
gene-b1201	883
gene-b1202	1688
gene-b1203	1101
gene-b1204	381
gene-b1205	203368
gene-b1206	6779
gene-b1207	3867
gene-b1208	1345
gene-b1209	1277
gene-b1210	943
gene-b1211	377
gene-b1212	279
gene-b1213	768
gene-b1214	5543
gene-b1215	3719
gene-b4419	16
gene-b4420	112
gene-b4421	9
gene-b4422	17
gene-b4423	49
gene-b4424	0
gene-b1216	315
gene-b1217	643
gene-b1218	4240
gene-b1219	1824
gene-b1220	354
gene-b1221	973
gene-b1222	3688
gene-b1223	1234
gene-b1224	857
gene-b1225	729
gene-b1226	1056
gene-b1227	599
gene-b1228	32
gene-b4425	5
gene-b1229	1
gene-b1230	108
gene-b1231	133
gene-b1232	2673
gene-b1233	654
gene-b1234	2129
gene-b1235	26709
gene-b1236	7951
gene-b1237	299389
gene-b1238	165
gene-b1241	513605
gene-b1242	173
gene-b4711	2734
gene-b1243	8994
gene-b1244	641
gene-b1245	2074
gene-b1246	3722
gene-b1247	2647
gene-b1248	2114
gene-b1249	3129
gene-b4595	115
gene-b1250	840
gene-b1251	132
gene-b1252	1509
gene-b1253	278
gene-b1254	13804
gene-b1255	2166
gene-b1256	539
gene-b1257	1365
gene-b1258	1488
gene-b1259	1124
gene-b1260	709
gene-b1261	1897
gene-b1262	1911
gene-b1263	340
gene-b1264	130
gene-b1265	0
gene-b1266	3434
gene-b1267	8150
gene-b1268	2998
gene-b1269	1481
gene-b1270	600
gene-b1271	565
gene-b1272	2989
gene-b1273	1017
gene-b1274	16233
gene-b1275	637
gene-b4522	367
gene-b4523	363
gene-b4741	924
gene-b1276	56291
gene-b1277	6898
gene-b1278	1216
gene-b1279	2826
gene-b1280	2865
gene-b1281	228
gene-b1282	68
gene-b1283	4958
gene-b1284	1202
gene-b4596	268
gene-b1285	10800
gene-b4672	190
gene-b1286	559
gene-b1287	572
gene-b1288	21051
gene-b1289	1021
gene-b1290	4714
gene-b1291	4952
gene-b1292	8063
gene-b1293	10138
gene-b1294	7938
gene-b1295	103
gene-b1296	744
gene-b4742	418
gene-b1297	4358
gene-b1298	2740
gene-b1299	6219
gene-b1300	283
gene-b1301	444
gene-b1302	298
gene-b1303	722
gene-b1304	4033
gene-b1305	1252
gene-b1306	1508
gene-b1307	1010
gene-b1308	1805
gene-b1309	14
gene-b1310	48
gene-b1311	81
gene-b1312	42
gene-b1313	9
gene-b1314	77
gene-b1315	42
gene-b1316	136
gene-b1317	109
gene-b1319	1
gene-b1320	41
gene-b1321	13412
gene-b1322	7261
gene-b1323	6358
gene-b1324	6049
gene-b1325	7259
gene-b1326	12443
gene-b4525	160
gene-b4673	44
gene-b1327	306
gene-b1328	356
gene-b1329	4022
gene-b1330	447
gene-b1331	40
gene-b1332	1262
gene-b1333	88382
gene-b1334	33646
gene-b1335	174
gene-b1336	191
gene-b1337	733
gene-b1338	103
gene-b1339	132
gene-b4426	244
gene-b1340	1614
gene-b1341	3930
gene-b1342	2015
gene-b4699	118
gene-b4743	177
gene-b1343	746
gene-b1344	2263
gene-b1345	1362
gene-b1346	25
gene-b1347	46
gene-b4714	36
gene-b1348	1
gene-b1349	182
gene-b1350	315
gene-b1351	27
gene-b4526	3
gene-b1352	0
gene-b1353	88
gene-b4527	25
gene-b1355	7
gene-b1356	661
gene-b1357	171
gene-b1358	62
gene-b1359	227
gene-b1360	188
gene-b1361	348
gene-b4528	281
gene-b1363	267
gene-b1365	57
gene-b1366	95
gene-b1368	872
gene-b1370	171
gene-b1372	865
gene-b1373	20
gene-b1374	1060
gene-b1375	61
gene-b4744	171
gene-b1376	25955
gene-b1377	83
gene-b4427	11924
gene-b1378	135388
gene-b4529	2211
gene-b1379	3955
gene-b1380	16284
gene-b1381	1940
gene-b1382	532
gene-b1383	462
gene-b1384	1056
gene-b1385	1852
gene-b1386	358
gene-b1387	426
gene-b1388	193
gene-b1389	4
gene-b1390	118
gene-b1391	103
gene-b1392	133
gene-b1393	23
gene-b1394	148
gene-b1395	292
gene-b1396	62
gene-b1397	2069
gene-b1398	2645
gene-b1399	2229
gene-b1400	2130
gene-b4674	2
gene-b1402	90
gene-b1403	99
gene-b1404	165
gene-b1406	3193
gene-b1407	145
gene-b1408	1
gene-b1409	22
gene-b1410	154
gene-b1411	341
gene-b1412	644
gene-b1413	11338
gene-b1414	2872
gene-b1415	27341
gene-b1418	90
gene-b4597	81
gene-b1419	1125
gene-b4428	5228
gene-b1420	4810
gene-b4429	2978
gene-b1421	1015
gene-b1422	1064
gene-b1423	6584
gene-b1424	2140
gene-b1426	477
gene-b1427	901
gene-b1428	2390
gene-b1429	524
gene-b1430	237
gene-b1431	21607
gene-b1432	835
gene-b1433	395
gene-b1434	126
gene-b1435	764
gene-b1436	841
gene-b4532	936
gene-b1438	1695
gene-b1439	640
gene-b1440	9770
gene-b1441	3211
gene-b1442	1112
gene-b1443	729
gene-b1444	3533
gene-b4598	1052
gene-b1445	115
gene-b1446	3532
gene-b1447	1664
gene-b1448	470
gene-b1449	6632
gene-b1450	613
gene-b1451	423
gene-b1452	2252
gene-b1453	106
gene-b1454	2688
gene-b1455	55
gene-b1457	122
gene-b4745	102
gene-b1460	71
gene-b1461	414
gene-b1462	1433
gene-b1463	1624
