Geneid	1714__30min_-_N=3_library-read-1.fastq.gz
gene-b1464	347
gene-b1465	498
gene-b1466	322
gene-b1467	1006
gene-b1468	3055
gene-b1469	964
gene-b1471	4
gene-b1472	10
gene-b1473	35
gene-b1474	232
gene-b1475	160
gene-b1476	367
gene-b1477	4149
gene-b1478	12964
gene-b1479	2905
gene-b1480	5732
gene-b1481	289
gene-b1482	17181
gene-b1483	1472
gene-b1484	275
gene-b1485	237
gene-b1486	143
gene-b1487	500
gene-b1488	208
gene-b1489	10251
gene-b1490	26612
gene-b4746	1550
gene-b1491	513
gene-b1492	390109
gene-b1493	116774
gene-b1494	656
gene-b1495	196
gene-b1496	53
gene-b4747	8
gene-b1497	54
gene-b1498	142
gene-b1499	41
gene-b1500	2
gene-b1501	1057
gene-b1502	27
gene-b1503	12
gene-b1504	57
gene-b1505	64
gene-b1507	1190
gene-b1508	420
gene-b1511	1778
gene-b1512	1761
gene-b1513	731
gene-b1514	966
gene-b1515	1155
gene-b1516	874
gene-b1517	1593
gene-b1518	342
gene-b1519	7978
gene-b1520	1672
gene-b1521	2602
gene-b1522	388
gene-b1523	182
gene-b1524	100
gene-b1525	672
gene-b1526	1176
gene-b1527	86
gene-b1528	409
gene-b1529	4571
gene-b1530	33
gene-b1531	144
gene-b1532	119
gene-b1533	1763
gene-b1534	657
gene-b4599	30430
gene-b4698	98
gene-b1535	1830
gene-b1536	1720
gene-b1537	2247
gene-b1538	2944
gene-b1539	3202
gene-b1540	481
gene-b1541	63
gene-b1542	204
gene-b1543	840
gene-b4748	125
gene-b1544	54
gene-b1545	282
gene-b1546	4
gene-b1547	20
gene-b1548	48
gene-b4533	2
gene-b1549	6
gene-b1550	15
gene-b1551	14
gene-b4749	2
gene-b4724	11
gene-b1552	11
gene-b1553	9
gene-b4689	8
gene-b1554	3
gene-b1555	25
gene-b1556	16
gene-b1557	25
gene-b1558	130
gene-b4750	300
gene-b1559	255
gene-b1560	211
gene-b1561	443
gene-b1562	28209
gene-b1563	19698
gene-b1564	11432
gene-b1565	3139
gene-b1566	264
gene-b1567	115
gene-b1568	174
gene-b1569	81
gene-b1570	719
gene-b1571	109
gene-b1572	44
gene-b1573	148
gene-b1574	102
gene-b1575	6
gene-b1576	5
gene-b4534	248
gene-b1580	9555
gene-b1581	7024
gene-b1582	49
gene-b1583	224
gene-b1584	2063
gene-b1585	1310
gene-b1586	16147
gene-b1587	174
gene-b1588	408
gene-b1589	140
gene-b1590	1042
gene-b1591	1073
gene-b1592	514
gene-b1593	1213
gene-b1594	1464
gene-b1595	306
gene-b1596	523
gene-b1597	373
gene-b4601	565
gene-b1598	16108
gene-b1599	277
gene-b1600	48
gene-b1601	856
gene-b1602	15452
gene-b1603	4275
gene-b1604	1190
gene-b1605	207
gene-b1606	755
gene-b1607	126
gene-b1608	497
gene-b1609	329
gene-b1610	1994
gene-b1611	10885
gene-b1612	6750
gene-b1613	1534
gene-b1614	20707
gene-b1615	332
gene-b1616	218
gene-b1617	915
gene-b1618	1653
gene-b1619	30561
gene-b1620	416
gene-b1621	621
gene-b1622	911
gene-b1623	1060
gene-b1624	4473
gene-b4409	95
gene-b1625	749
gene-b1626	693
gene-b1627	155
gene-b1628	146
gene-b1629	335
gene-b1630	72
gene-b1631	77
gene-b1632	127
gene-b1633	214
gene-b1634	1483
gene-b1635	7218
gene-b1636	1122
gene-b1637	4697
gene-b1638	170
gene-b1639	473
gene-b1640	1789
gene-b1641	31994
gene-b1642	6890
gene-b1643	421
gene-b1644	154
gene-b1645	14789
gene-b1646	10166
gene-b1647	4086
gene-b1648	858
gene-b1649	756
gene-b1650	847
gene-b1651	794
gene-b1652	171
gene-b1653	1906
gene-b1654	3772
gene-b1655	409
gene-b1656	2314
gene-b1657	321
gene-b4602	2501
gene-b1658	658
gene-b1659	1704
gene-b1660	366
gene-b1661	81586
gene-b1662	3464
gene-b1663	5378
gene-b1664	22006
gene-b1665	60
gene-b1666	63
gene-b1667	2770
gene-b1668	13812
gene-b1669	732
gene-b1670	214
gene-b1671	224
gene-b1672	179
gene-b1673	252
gene-b1674	26
gene-b1675	564
gene-b1676	66200
gene-b1677	30424
gene-b1678	88861
gene-b1679	2939
gene-b1680	16523
gene-b1681	23700
gene-b1682	20965
gene-b1683	38409
gene-b1684	8274
gene-b4430	116
gene-b1685	852
gene-b1686	563
gene-b1687	633
gene-b1688	8847
gene-b4431	434
gene-b1689	95
gene-b1690	119
gene-b1691	46
gene-b1692	92
gene-b1693	131
gene-b1694	45
gene-b1695	74
gene-b1696	401
gene-b1697	75
gene-b1698	250
gene-b1699	65
gene-b1700	77
gene-b1701	264
gene-b1702	10409
gene-b1703	1131
gene-b1704	388
gene-b1705	156
gene-b1706	1882
gene-b1707	688
gene-b1708	4696
gene-b1709	832
gene-b1710	3984
gene-b1711	1052
gene-b1712	202845
gene-b1713	44570
gene-b1714	1003
gene-b1715	125
gene-b1716	36731
gene-b1717	47472
gene-b1718	99151
gene-b1719	48644
gene-b4535	20
gene-b1722	60
gene-b1723	2656
gene-b1724	4170
gene-b1725	13692
gene-b1726	13109
gene-b1727	417
gene-b1728	254
gene-b1729	2990
gene-b1730	207
gene-b1731	227
gene-b1732	19753
gene-b1733	1208
gene-b1734	289
gene-b1735	458
gene-b1736	308
gene-b1737	414
gene-b1738	249
gene-b1739	7383
gene-b1740	2427
gene-b1741	392
gene-b1742	67
gene-b1743	6676
gene-b1744	5747
gene-b1745	11130
gene-b1746	18089
gene-b1747	13458
gene-b1748	25735
gene-b1749	1136
gene-b1750	340
gene-b1751	147
gene-b1752	364
gene-b1753	240
gene-b1754	498
gene-b1755	395
gene-b1756	300
gene-b1757	536
gene-b1758	526
gene-b1759	200
gene-b1760	351
gene-b1761	951
gene-b1762	69
gene-b1763	929
gene-b1764	3619
gene-b1765	728
gene-b1766	891
gene-b1767	1959
gene-b1768	915
gene-b1769	343
gene-b1770	299
gene-b1771	186
gene-b1772	29
gene-b1773	70
gene-b1774	49
gene-b1775	36
gene-b1776	62
gene-b1777	2059
gene-b1778	4212
gene-b1779	241686
gene-b1780	674
gene-b1781	1458
gene-b1782	1105
gene-b1783	346915
gene-b1784	142103
gene-b1785	694
gene-b1786	941
gene-b1787	128
gene-b1788	41
gene-b1789	42
gene-b1790	676
gene-b1791	430
gene-b1792	569
gene-b1793	303
gene-b1794	704
gene-b4676	176
gene-b4675	243
gene-b1795	36928
gene-b1796	51
gene-b1797	127
gene-b1798	360
gene-b1799	1633
gene-b1800	615
gene-b1801	44
gene-b1802	50
gene-b1803	213
gene-b1804	191
gene-b1805	17158
gene-b1806	20902
gene-b1807	596
gene-b1808	181
gene-b1809	157
gene-b1810	4633
gene-b1811	731
gene-b1812	1917
gene-b1813	1951
gene-b1814	62216
gene-b1815	6162
gene-b1816	2554
gene-b4751	363
gene-b1817	14966
gene-b1818	18740
gene-b1819	24030
gene-b1820	589
gene-b1821	187
gene-b1822	480
gene-b1823	113398
gene-b1824	61856
gene-b1825	1599
gene-b1826	126
gene-b4536	160
gene-b1827	14556
gene-b1828	218
gene-b1829	11859
gene-b1830	3164
gene-b1831	2749
gene-b1832	942
gene-b1833	1027
gene-b1834	1801
gene-b1835	546
gene-b1836	11318
gene-b1837	4041
gene-b1838	3350
gene-b4432	10536
gene-b4433	5300
gene-b1839	420
gene-b1840	288
gene-b1841	327
gene-b1842	442
gene-b1843	2526
gene-b1844	1805
gene-b1845	6122
gene-b1846	847
gene-b1847	2781
gene-b1848	847
gene-b1849	201
gene-b1850	833
gene-b1851	301
gene-b1852	5155
gene-b1853	2490
gene-b1854	20811
gene-b1855	1872
gene-b1856	16499
gene-b1857	58169
gene-b1858	4868
gene-b1859	2073
gene-b1860	2619
gene-b1861	2461
gene-b4677	419
gene-b1862	115
gene-b1863	714
gene-b1864	2165
gene-b1865	5664
gene-b1866	11128
gene-b1867	333
gene-b1868	301
gene-b1869	470
gene-b1870	1296
gene-b1871	1549
gene-b1872	1688
gene-b1873	485
gene-b4717	1556
gene-b1874	4820
gene-b1875	1426
gene-b1876	3593
gene-b1877	61
gene-b1878	71
gene-b1879	462
gene-b1880	157
gene-b1881	795
gene-b1882	438
gene-b1883	112
gene-b1884	219
gene-b1885	591
gene-b1886	452
gene-b1887	451
gene-b1888	719
gene-b1889	369
gene-b1890	324
gene-b1891	1282
gene-b1892	249
gene-b1893	92
gene-b1894	39
gene-b1895	10271
gene-b1896	205334
gene-b1897	47734
gene-b4460	2506
gene-b1900	2970
gene-b1901	2133
gene-b1902	785
gene-b4537	74
gene-b4663	1356
gene-b1904	208
gene-b1905	1151
gene-b1906	2230
gene-b1907	1417
gene-b1908	1724
gene-b1909	52
gene-b1910	113
gene-b1911	44
gene-b1912	1069
gene-b1913	757
gene-b1914	392
gene-b4752	41
gene-b1915	141
gene-b1916	576
gene-b4719	365
gene-b1917	2782
gene-b1918	2248
gene-b1919	6901
gene-b1920	5790
gene-b1921	89
gene-b1922	293
gene-b1923	9641
gene-b1924	78
gene-b1925	160
gene-b1926	129
gene-b1927	12142
gene-b1928	7987
gene-b1929	940
gene-b1930	139
gene-b1931	1594
gene-b1932	106
gene-b1937	34
gene-b1938	83
gene-b1939	192
gene-b1940	31
gene-b1941	49
gene-b1942	44
gene-b1943	139
gene-b1944	39
gene-b1945	116
gene-b1946	80
gene-b1947	42
gene-b1948	76
gene-b1949	14
gene-b1950	77
gene-b1951	790
gene-b1952	721
gene-b1953	59969
gene-b1954	11514
gene-b1955	23331
gene-b1956	8795
gene-b1957	6746
gene-b1958	21869
gene-b1959	76
gene-b1960	217
gene-b1961	509
gene-b1962	4125
gene-b1963	3874
gene-b4603	4
gene-b1967	248322
gene-b1968	392
gene-b1969	220
gene-b1970	98
gene-b1971	10458
gene-b1972	3022
gene-b1973	24086
gene-b1974	124
gene-b1975	201
gene-b1976	4814
gene-b1977	337
gene-b1978	3245
gene-b1981	1994
gene-b1982	2896
gene-b1983	349
gene-b1984	162
gene-b1985	1367
gene-b1986	98
gene-b1987	498
gene-b1988	798
gene-b1989	405
gene-b1990	23057
gene-b1991	1397
gene-b1992	454
gene-b1993	663
gene-b1994	12
gene-b1996	18
gene-b1997	40
gene-b4435	303
gene-b2000	971
gene-b2001	396
gene-b2002	400
gene-b2003	62
gene-b2004	183
gene-b2005	75
gene-b2006	119
gene-b4538	539
gene-b2007	2884
gene-b2008	1897
gene-b2009	11660
gene-b2010	973
gene-b2011	724
gene-b2012	644
gene-b2013	2493
gene-b2014	252
gene-b4678	7
gene-b2015	21934
gene-b2016	8554
gene-b4539	2936
gene-b2017	2651
gene-b2018	37
gene-b2019	849
gene-b2020	1413
gene-b2021	734
gene-b2022	990
gene-b2023	491
gene-b2024	259
gene-b2025	414
gene-b2026	1189
gene-b2027	9168
gene-b2028	4211
gene-b2029	24315
gene-b2030	642
gene-b2032	1365
gene-b2033	1406
gene-b2034	4215
gene-b2035	1972
gene-b2036	4277
gene-b2037	1439
gene-b2038	1375
gene-b2039	2502
gene-b2040	3373
gene-b2041	3865
gene-b2042	7551
gene-b2043	164
gene-b2044	75
gene-b2045	87
gene-b2046	121
gene-b2047	72
gene-b2048	324
gene-b2049	103
gene-b2050	121
gene-b2051	33
gene-b2052	47
gene-b2053	83
gene-b2054	1
gene-b2055	28
gene-b2056	192
gene-b2057	111
gene-b2058	13
gene-b2059	118
gene-b2060	52
gene-b2061	28
gene-b2062	23
gene-b2063	10021
gene-b2064	1838
gene-b2065	795
gene-b2066	131
gene-b2067	2636
gene-b2068	1110
gene-b2069	686
gene-b2070	462
gene-b2071	1
gene-b2072	112
gene-b2073	91
gene-b4436	388
gene-b4667	295
gene-b4437	307
gene-b4668	151
gene-b2074	890
gene-b2075	1229
gene-b2076	456
gene-b2077	663
gene-b2078	514
gene-b2079	1406
gene-b2080	11809
gene-b2081	2008
gene-b4438	1109
gene-b2082	39
gene-b2085	48
gene-b2086	70967
gene-b2088	3
gene-b2089	39
gene-b2091	1508
gene-b2093	1519
gene-b2094	8406
gene-b2095	108643
gene-b2096	168260
gene-b2097	65223
gene-b2098	171
gene-b2099	191
gene-b2100	441
gene-b2101	414
gene-b2102	405
gene-b2103	1159
gene-b2104	685
gene-b2105	433
gene-b2106	169
gene-b2107	499
gene-b2108	27
gene-b2109	37
gene-b2110	5
gene-b2111	5
gene-b2112	530
gene-b2113	3196
gene-b2114	3585
gene-b2115	38
gene-b2118	378
gene-b4541	28
gene-b2119	21
gene-b2120	164
gene-b2121	85
gene-b2122	120
gene-b2123	142
gene-b2124	726
gene-b2125	684
gene-b2126	1016
gene-b2127	6312
gene-b4542	170
gene-b2128	423
gene-b2129	454
gene-b2130	3799
gene-b2131	14872
gene-b2132	1109
gene-b2133	2551
gene-b2134	1558
gene-b2135	76511
gene-b2136	1590
gene-b2137	10448
gene-b4679	6570
gene-b2140	769
gene-b2141	2172
gene-b2142	3365
gene-b2143	7719
gene-b2144	183
gene-b2145	55
gene-b2146	248
gene-b2147	727
gene-b2148	292
gene-b2149	661
gene-b2150	2622
gene-b2151	410
gene-b2152	218
gene-b2153	320
gene-b2154	537
gene-b2155	667
gene-b2156	38089
gene-b2157	2560
gene-b2158	1536
gene-b2159	935
gene-b2160	441
gene-b2161	41
gene-b2162	2
gene-b2163	58
gene-b2164	511
gene-b2165	70
gene-b2166	10
gene-b2167	33850
gene-b2168	13397
gene-b2169	12426
gene-b2170	108
gene-b4502	49
gene-b2171	304
gene-b2172	2335
gene-b2173	361
gene-b2174	43
gene-b2175	872
gene-b2176	292
gene-b2177	324
gene-b2178	131
gene-b2179	160
gene-b2180	6174
gene-b2181	17107
gene-b2182	587
gene-b2183	572
gene-b2184	204
gene-b2185	58
gene-b2186	1879
gene-b2187	1424
gene-b2188	2419
gene-b2189	270
gene-b2192	5
gene-b2193	1063
gene-b2194	627
gene-b2195	135
gene-b2196	201
gene-b2197	57
gene-b2198	74
gene-b2199	132
gene-b2200	87
gene-b2201	2358
gene-b2202	525
gene-b2203	44
gene-b2204	144
gene-b2205	103
gene-b2206	167
gene-b2207	8
gene-b2208	18
gene-b4604	88
gene-b2209	1429
gene-b2210	943
gene-b2211	598
gene-b2212	3599
gene-b2213	8359
gene-b2214	111
gene-b2215	29579
gene-b4439	794
gene-b2216	4470
gene-b2217	6742
gene-b2218	3841
gene-b2219	2132
gene-b2220	366
gene-b2221	30
gene-b2222	226
gene-b2223	330
gene-b2224	277
gene-b2225	498
gene-b2226	414
gene-b2229	27
gene-b2230	258
gene-b2231	4006
gene-b2232	566
gene-b2233	1512
gene-b4605	46
gene-b2234	2062
gene-b2235	2779
gene-b2236	1111
gene-b2237	1914
gene-b2239	29578
gene-b2240	13334
gene-b2241	14490
gene-b2242	13020
gene-b2243	4319
gene-b2244	548
gene-b2245	300
gene-b2246	302
gene-b2247	483
gene-b2248	275
gene-b2249	2158
gene-b2250	211
gene-b2251	143
gene-b2252	60
gene-b2253	708
gene-b2254	413
gene-b2255	864
gene-b2256	410
gene-b2257	335
gene-b4544	351
gene-b2258	173
gene-b2259	107
gene-b2260	850
gene-b2261	3115
gene-b2262	2081
gene-b2263	347
gene-b2264	1388
gene-b2265	1755
gene-b2266	26224
gene-b2267	809
gene-b2268	127
gene-b2269	246
gene-b2270	251
gene-b2271	74
gene-b2272	59
gene-b2273	24
gene-b2274	76
gene-b2275	211
gene-b2276	4133
gene-b2277	1575
gene-b2278	5679
gene-b2279	595
gene-b2280	882
gene-b2281	909
gene-b2282	1605
gene-b2283	8012
gene-b2284	1884
gene-b2285	1588
gene-b2286	4872
gene-b2287	1752
gene-b2288	1482
gene-b2289	6688
gene-b2290	1026
gene-b2291	829
gene-b2292	1352
gene-b2293	6500
gene-b2294	3628
gene-b2295	40628
gene-b2296	28909
gene-b2297	24096
gene-b2298	101
gene-b2299	740
gene-b2300	808
gene-b2301	816
gene-b2302	2685
gene-b2303	12695
gene-b2304	13319
gene-b2305	2259
gene-b2306	180
gene-b2307	341
gene-b2308	526
gene-b2309	2971
gene-b2310	5769
gene-b2311	102
gene-b2312	2137
gene-b2313	1780
gene-b2314	2657
gene-b2315	1948
gene-b2316	6997
gene-b2317	1776
gene-b2318	6314
gene-b2319	2222
gene-b2320	2892
gene-b2321	83
gene-b2322	151
gene-b2323	6564
gene-b2324	784
gene-b2325	238
gene-b2326	189
gene-b2327	198
gene-b2328	279
gene-b2329	1702
gene-b2330	693
gene-b2331	475
gene-b2332	1411
gene-b2333	66
gene-b2334	42
gene-b2335	14
gene-b2336	22
gene-b2339	17
gene-b2340	39746
gene-b2341	7212
gene-b2342	4899
gene-b2343	3541
gene-b2344	8463
gene-b2345	111
gene-b2346	5875
gene-b2347	3104
gene-b2348	148
gene-b2349	108
gene-b2350	74
gene-b2351	159
gene-b2352	62
gene-b2354	3048
gene-b2356	14
gene-b2357	12
gene-b2358	5
gene-b2359	29
gene-b2360	78
gene-b2361	25
gene-b2362	26
gene-b2363	188
gene-b4545	94
gene-b4501	1121
gene-b2364	712
gene-b2365	371
gene-b2366	341
gene-b2367	46
gene-b2368	218
gene-b2369	185
gene-b2370	837
gene-b2371	375
gene-b2372	22
gene-b2373	143
gene-b2374	73
gene-b2375	80
gene-b2376	297
gene-b2377	7575
gene-b2378	732
gene-b4680	13
gene-b2379	1077
gene-b2380	1509
gene-b2381	5628
gene-b2382	763
gene-b2383	105
gene-b2384	124
gene-b2385	258
gene-b2386	65
gene-b2387	32
gene-b2388	16478
gene-b2389	2506
gene-b2390	6538
gene-b2392	77332
gene-b2393	1600
gene-b2394	36
gene-b2395	598
gene-b2396	21
gene-b2397	15
gene-b2398	679
gene-b2399	801
gene-b2400	7937
gene-b2401	9
gene-b2402	27
gene-b2403	44
gene-b2404	37
gene-b2405	656
gene-b2406	283
gene-b2407	10
gene-b2408	1559
gene-b2409	868
gene-b2410	1747
gene-b4546	579
gene-b2411	3551
gene-b2412	9674
gene-b2413	627
gene-b2414	5724
gene-b2415	5029
gene-b2416	68720
gene-b2417	123488
gene-b2418	5696
gene-b2419	238
gene-b2420	380
gene-b2421	102
gene-b2422	480
gene-b2423	324
gene-b2424	309
gene-b2425	617
gene-b2426	3901
gene-b2427	86
gene-b2428	370
gene-b2429	321
gene-b2430	206
gene-b2431	1646
gene-b2432	337
gene-b2433	554
gene-b2434	815
gene-b2435	826
gene-b2436	534
gene-b2437	1136
gene-b2438	642
gene-b2439	495
gene-b2440	420
gene-b2441	2189
gene-b2442	191
gene-b2443	2735
gene-b2444	90
gene-b2445	283
gene-b2446	275
gene-b2447	108
gene-b2448	243
gene-b2449	2754
gene-b2450	1691
gene-b2451	296
gene-b2452	669
gene-b2453	235
gene-b2454	116
gene-b2455	41
gene-b2456	26
gene-b2457	21
gene-b2458	271
gene-b2459	224
gene-b2460	87
gene-b2461	60
gene-b2462	77
gene-b2463	13733
gene-b2464	115970
gene-b2465	123633
gene-b2466	3873
gene-b2467	83
gene-b2468	593
gene-b2469	799
gene-b2470	358
gene-b4606	3508
gene-b2471	320
gene-b2472	2705
gene-b4547	17082
gene-b2473	2138
gene-b2474	8063
gene-b2475	12992
gene-b2476	279
gene-b2477	4958
gene-b2478	3770
gene-b2479	13902
gene-b2480	611
gene-b2481	48
gene-b2482	54
gene-b2483	118
gene-b2484	122
gene-b2485	35
gene-b2486	723
gene-b2487	277
gene-b2488	123
gene-b2489	227
gene-b2490	78
gene-b2491	233
gene-b2492	219
gene-b2493	1366
gene-b2494	5868
gene-b2495	782
gene-b2496	1092
gene-b2497	244
gene-b2498	144
gene-b2499	178
gene-b2500	434
gene-b2501	14160
gene-b2502	5468
gene-b2503	364
gene-b2504	1127
gene-b2505	6
gene-b2506	366
gene-b2507	2492
gene-b2508	533
gene-b2509	1545
gene-b2510	1288
gene-b2511	18419
gene-b2512	40801
gene-b2513	3744
gene-b2514	4344
gene-b2515	19542
gene-b2516	16757
gene-b2517	4803
gene-b2518	312
gene-b2519	642
gene-b2520	20119
gene-b2521	5108
gene-b4440	162
gene-b2522	779
gene-b2523	3940
gene-b2524	847
gene-b2525	892
gene-b2526	4021
gene-b2527	2336
gene-b2528	12851
gene-b2529	33214
gene-b2530	39556
gene-b2531	6057
gene-b2532	5924
gene-b2533	431
gene-b2534	165
gene-b2535	52945
gene-b2536	4718
gene-b4706	39
gene-b2537	794
gene-b2538	270
gene-b2539	132
gene-b2540	33
gene-b2541	91
gene-b2542	453
gene-b2543	4061
gene-b2544	596
gene-b2545	371
gene-b2546	79
gene-b2547	191
gene-b2548	10
gene-b2549	421
gene-b2550	620
gene-b2551	1208
gene-b2552	392
gene-b2553	216
gene-b2554	781
gene-b2555	2174
gene-b2556	4237
gene-b4441	712
gene-b2557	624
gene-b2558	226
gene-b2559	247
gene-b2560	1263
gene-b2561	330
gene-b2562	511
gene-b4687	340
gene-b4608	76
gene-b2563	682
gene-b2564	1070
gene-b2565	3411
gene-b2566	42717
gene-b2567	16792
gene-b2568	2651
gene-b2569	4090
gene-b2570	725
gene-b2571	66336
gene-b2572	274957
gene-b2573	131195
gene-b4725	6449
gene-b2574	405
gene-b2575	149
gene-b2576	1710
gene-b2577	511
gene-b2578	858
gene-b2579	3370
gene-b2580	261
gene-b2581	860
gene-b2582	8439
gene-b2583	355
gene-b2584	14781
gene-b2585	21295
gene-b2586	3877
gene-b2587	100931
gene-b2588	222
gene-b2589	7369
gene-b2590	18271
gene-b2591	136414
gene-b2592	543032
gene-b4609	12491
gene-b2593	2562
gene-b2594	5042
gene-b2595	4224
gene-b2597	12075
gene-b2598	230
gene-b2599	1554
gene-b2600	3827
gene-b2601	4001
gene-b2602	1404
gene-b2603	1398
gene-b2604	541
gene-b2605	34
gene-b2606	13614
gene-b2607	9224
gene-b2608	9026
gene-b2609	3387
gene-b2610	3930
gene-b2611	946
gene-b4461	1419
gene-b2614	41092
gene-b2615	2812
gene-b2616	8636
gene-b2617	12417
gene-b2618	1076
gene-b2619	1436
gene-b2620	340
gene-b2621	1332685
gene-b2622	3362
gene-b2623	199
gene-b2624	44
gene-b2625	99
gene-b2626	103
gene-b2627	3537
gene-b2628	4430
gene-b2629	20
gene-b2630	29125
gene-b2631	17688
gene-b2632	939
gene-b2633	99
gene-b2634	311
gene-b2635	13
gene-b2636	65
gene-b2637	1584
gene-b2638	1146
gene-b2642	315
gene-b2643	47
gene-b2644	22
gene-b4548	35
gene-b2645	64
gene-b2646	119
gene-b2647	19975
gene-b2649	6
gene-b2650	3
gene-b2652	0
gene-b2659	39869
gene-b2660	8494
gene-b2661	6826
gene-b2662	7252
gene-b2663	1053
gene-b2664	14871
gene-b2665	17987
gene-b2666	3173
gene-b2667	136
gene-b2668	307
gene-b2669	2276
gene-b2670	1280
gene-b2671	1775
gene-b2672	46014
gene-b2673	1450
gene-b2674	6186
gene-b2675	5571
gene-b2676	665
gene-b2677	38
gene-b2678	136
gene-b2679	137
gene-b2682	247
gene-b2683	21
gene-b2684	123
gene-b2685	506
gene-b2686	3504
gene-b2687	7427
gene-b4442	1469
gene-b2688	9246
gene-b2689	437
gene-b2690	386
gene-b2691	88
gene-b2692	275
gene-b2693	574
gene-b2694	299
gene-b2695	224
gene-b2696	21705
gene-b2697	7863
gene-b2698	302
gene-b2699	7690
gene-b2700	384
gene-b2701	497
gene-b2702	1750
gene-b2703	1511
gene-b2704	465
gene-b2705	1534
gene-b2706	186
gene-b2707	594
gene-b2708	636
gene-b2709	1473
gene-b2710	780
gene-b2711	332
gene-b2712	1718
gene-b2713	313
gene-b2714	337
gene-b2715	1533
gene-b2716	728
gene-b2717	1604
gene-b2718	1075
gene-b2719	359
gene-b2720	9
gene-b2721	172
gene-b2722	34
gene-b2723	87
gene-b2724	15
gene-b2725	31
gene-b2726	54
gene-b2727	107
gene-b2728	32
gene-b2729	803
gene-b2730	4914
gene-b2731	4516
gene-b2732	514
gene-b2733	751
gene-b2734	68
gene-b2735	1115
gene-b2736	1535
gene-b2737	1911
gene-b2738	613
gene-b2739	569
gene-b2740	298
gene-b2741	103174
gene-b2742	23517
gene-b2743	1920
gene-b2744	760
gene-b2745	528
gene-b2746	309
gene-b2747	4281
gene-b2748	3442
gene-b2749	162
gene-b2750	1008
gene-b2751	2343
gene-b2752	1094
gene-b2753	382
gene-b2754	91
gene-b2755	482
gene-b2756	508
gene-b2757	316
gene-b2758	178
gene-b2759	59
gene-b2760	175
gene-b2761	639
gene-b4701	0
gene-b2762	775
gene-b2763	930
gene-b2764	1131
gene-b2765	32
gene-b2766	178
gene-b2767	50
gene-b2768	47
gene-b2769	60
gene-b2770	87
gene-b2771	89
gene-b4463	141
gene-b2774	9
gene-b2775	88
gene-b2776	86
gene-b2777	4456
gene-b4682	5
gene-b2778	11
gene-b2779	141961
gene-b2780	18022
gene-b2781	3830
gene-b2782	1290
gene-b2783	1158
gene-b2784	4040
gene-b2785	1881
gene-b2786	902
gene-b2787	474
gene-b2788	105
gene-b2789	430
gene-b2790	317
gene-b2791	164
gene-b2792	141
gene-b4408	10725
gene-b2793	923
gene-b2794	918
gene-b2795	3148
gene-b2796	6704
gene-b2797	2224
gene-b2798	99
gene-b2799	1305
gene-b2800	137
gene-b2801	237
gene-b2802	507
gene-b2803	795
gene-b2804	838
gene-b2805	730
gene-b2806	4061
gene-b2807	1773
gene-b2808	1913
gene-b4443	581
gene-b2809	3677
gene-b2810	1066
gene-b2811	2095
gene-b2812	1203
gene-b2813	678
gene-b2814	7
gene-b2815	19
gene-b2816	36
gene-b2817	173
gene-b2818	965
gene-b2819	1816
gene-b2820	606
gene-b2821	610
gene-b2822	2335
gene-b2823	169
gene-b2824	65
gene-b2825	88
gene-b2826	54
gene-b2827	802
gene-b2828	1407
gene-b2829	1699
gene-b2830	2254
gene-b4610	49
gene-b2831	157
gene-b2832	4528
gene-b2833	2197
gene-b2834	4103
gene-b2835	4029
gene-b2836	1754
gene-b4444	85
gene-b4445	3
gene-b2837	1395
gene-b2838	220
gene-b2839	429
gene-b2840	406
gene-b2841	2127
gene-b2842	333
gene-b2843	224
gene-b2844	1877
gene-b2845	403
gene-b2846	39
gene-b2847	38
gene-b2848	43
gene-b4683	12
gene-b2849	44
gene-b2851	5
gene-b2852	78
gene-b2853	86
gene-b2860	5
gene-b2861	59
gene-b2863	240
gene-b2864	35
gene-b2865	634
gene-b2866	731
gene-b2867	251
gene-b2868	140
gene-b2869	6751
gene-b2870	168
gene-b2871	77
gene-b2872	297
gene-b2873	59
gene-b2874	734
gene-b2875	713
gene-b2876	199
gene-b2877	1144
gene-b2878	354
gene-b2879	63
gene-b2880	188
gene-b2881	1176
gene-b2882	415
gene-b2883	445
gene-b4464	366
gene-b2886	298
gene-b2887	243
gene-b2888	34
gene-b4684	93
gene-b4753	52
gene-b2889	2388
gene-b2890	3717
gene-b2891	732
gene-b2892	2619
gene-b2893	1734
gene-b2894	2108
gene-b2895	1326
gene-b2896	1378
gene-b2897	1136
gene-b2898	9508
gene-b2899	1183
gene-b2900	1070
gene-b2901	2019
gene-b2902	197
gene-b2903	2462
gene-b2904	1555
gene-b2905	934
gene-b4754	15
gene-b2906	1137
gene-b2907	3942
gene-b2908	7732
gene-b2909	6790
gene-b2910	26200
gene-b2911	57316
gene-b2912	1159
gene-b4446	185
gene-b4665	131
gene-b2913	6573
gene-b2914	2024
gene-b2916	550
gene-b2917	302
gene-b2918	146
gene-b2919	18
gene-b2920	326
gene-b2921	448
gene-b2922	9469
gene-b2923	471
gene-b2924	6996
gene-b2925	79880
gene-b2926	49217
gene-b2927	11709
gene-b2928	598
gene-b2929	664
gene-b2930	481
gene-b4465	294
gene-b2933	361
gene-b2934	1
gene-b2935	2112
gene-b2936	11894
gene-b2937	3233
gene-b2938	56412
gene-b2939	951
gene-b2940	83
gene-b2941	43
gene-b2942	211
gene-b2943	1837
