Geneid	1714__30min_-_N=2_library-read-1.fastq.gz
gene-b0001	1791
gene-b0002	1302
gene-b0003	3704
gene-b0004	1758
gene-b0005	84
gene-b0006	343
gene-b0007	197
gene-b0008	16917
gene-b0009	418
gene-b0010	833
gene-b0011	334
gene-b0012	249
gene-b0013	45
gene-b0014	896308
gene-b0015	36071
gene-b0016	374
gene-b4412	558
gene-b0018	701
gene-b4413	285
gene-b0019	23362
gene-b0020	1767
gene-b0021	22
gene-b0022	9
gene-b0023	888
gene-b0024	878
gene-b0025	3421
gene-b0026	26862
gene-b0027	2979
gene-b0028	906
gene-b0029	2416
gene-b0030	205
gene-b0031	1142
gene-b0032	122
gene-b0033	682
gene-b0034	10
gene-b0035	21
gene-b0036	56
gene-b0037	449
gene-b0038	423
gene-b0039	499
gene-b0040	30
gene-b0041	8
gene-b0042	47
gene-b0043	52
gene-b0044	4
gene-b0045	101
gene-b0046	461
gene-b0047	831
gene-b0048	5553
gene-b0049	1832
gene-b0050	4050
gene-b0051	5353
gene-b0052	274
gene-b0053	10245
gene-b0054	24418
gene-b0055	204
gene-b0056	3212
gene-b0057	2169
gene-b0058	2712
gene-b0059	16405
gene-b0060	5124
gene-b0061	192
gene-b0062	2310
gene-b0063	2697
gene-b0064	1552
gene-b0065	3373
gene-b0066	431
gene-b0067	89
gene-b0068	223
gene-b0069	273
gene-b4577	63
gene-b4662	52
gene-b0070	704
gene-b0071	2664
gene-b0072	3132
gene-b0073	2838
gene-b0074	2014
gene-b0075	5
gene-b0076	276
gene-b4726	0
gene-b0077	1520
gene-b0078	620
gene-b0080	4690
gene-b0081	13385
gene-b0082	12790
gene-b0083	3186
gene-b0084	687
gene-b0085	590
gene-b0086	408
gene-b0087	409
gene-b0088	707
gene-b0089	736
gene-b0090	716
gene-b0091	1155
gene-b0092	1708
gene-b0093	4993
gene-b0094	8549
gene-b0095	20189
gene-b0096	230110
gene-b0097	2604
gene-b0098	11943
gene-b0099	113
gene-b0101	587
gene-b0102	2479
gene-b0103	2916
gene-b4727	8
gene-b0104	701
gene-b0106	194
gene-b0107	157
gene-b0108	15
gene-b0109	529
gene-b0110	426
gene-b0111	1033
gene-b0112	4399
gene-b0113	1167
gene-b0114	25699
gene-b0115	12232
gene-b0116	7133
gene-b0117	534
gene-b0118	26898
gene-b0119	12901
gene-b0120	1151
gene-b0121	768
gene-b0122	262
gene-b0123	970
gene-b0124	30084
gene-b0125	759
gene-b0126	1595
gene-b0127	1167
gene-b0128	1171
gene-b0129	430
gene-b0130	419
gene-b0131	1976
gene-b0132	654
gene-b0133	1925
gene-b0134	1404
gene-b0135	76
gene-b0136	13
gene-b0137	200
gene-b0138	6
gene-b0139	148
gene-b0140	0
gene-b0141	1
gene-b0142	43
gene-b0143	1098
gene-b0144	799
gene-b0145	20239
gene-b0146	45920
gene-b0147	107
gene-b0148	3957
gene-b0149	4073
gene-b0150	10977
gene-b0151	907
gene-b0152	163
gene-b0153	267
gene-b0154	7683
gene-b0155	7180
gene-b4728	3796
gene-b0156	13846
gene-b0157	184
gene-b0158	197
gene-b0159	3738
gene-b0160	455
gene-b0161	4339
gene-b0162	840
gene-b0163	4142
gene-b0164	72
gene-b0166	1330
gene-b0167	2942
gene-b0168	2656
gene-b4414	2078
gene-b0169	39286
gene-b0170	11374
gene-b0171	2492
gene-b0172	24118
gene-b0173	2003
gene-b0174	866
gene-b0175	2947
gene-b0176	4155
gene-b0177	11202
gene-b0178	20575
gene-b0179	15853
gene-b0180	5692
gene-b0181	4861
gene-b0182	1059
gene-b0183	139
gene-b0184	5622
gene-b0185	4672
gene-b0186	5097
gene-b0187	798
gene-b0188	1283
gene-b0189	6008
gene-b4406	7673
gene-b0190	711
gene-b0191	1352
gene-b0192	2992
gene-b0193	195
gene-b0194	10052
gene-b0195	466
gene-b0196	696
gene-b0197	1141
gene-b0198	83
gene-b0199	93
gene-b0200	282
gene-b0201	101557
gene-b0202	15
gene-b0203	9
gene-b0204	211518
gene-b0205	43
gene-b0206	95
gene-b0207	1342
gene-b0208	1167
gene-b0209	11746
gene-b0210	710
gene-b0211	853
gene-b0212	310
gene-b0213	687
gene-b0214	495
gene-b0215	2734
gene-b0216	122
gene-b0217	7
gene-b4586	46
gene-b0219	3219
gene-b0220	2011
gene-b0221	44422
gene-b0222	1518
gene-b0223	1341
gene-b0224	655
gene-b0225	4113
gene-b0226	6190
gene-b0227	621
gene-b0228	288
gene-b0231	3596
gene-b0232	561
gene-b0233	450
gene-b0234	17
gene-b0237	5144
gene-b0238	362
gene-b0239	2836
gene-b4710	775
gene-b4709	0
gene-b0241	3
gene-b0242	5800
gene-b0243	4640
gene-b0244	79
gene-b0245	88
gene-b0246	77
gene-b4504	22
gene-b0247	30
gene-b0248	229
gene-b0249	298
gene-b0250	4983
gene-b0251	117
gene-b0252	281
gene-b0253	985
gene-b0254	72
gene-b0256	789
gene-b4690	57
gene-b0258	226
gene-b0259	15
gene-b0260	318
gene-b0261	783
gene-b0262	29
gene-b0264	9
gene-b0265	14
gene-b0266	224
gene-b0267	43
gene-b0268	1972
gene-b0269	1608
gene-b0270	108
gene-b0271	574
gene-b0272	175
gene-b0273	287
gene-b4688	40
gene-b0274	49
gene-b0275	0
gene-b0276	523
gene-b0277	595
gene-b0278	41
gene-b0279	7
gene-b4729	25
gene-b0280	806
gene-b0281	1006
gene-b0282	118
gene-b0283	1177
gene-b0284	2109
gene-b0285	954
gene-b0286	447
gene-b0287	475
gene-b0288	397
gene-b0289	167
gene-b0290	651
gene-b0291	494
gene-b0292	87
gene-b0293	82
gene-b0294	13
gene-b0295	6579
gene-b4506	13700
gene-b0296	15450
gene-b4671	48
gene-b0298	0
gene-b0299	22
gene-b0301	22
gene-b0303	0
gene-b0304	367
gene-b0305	49
gene-b0306	142
gene-b0307	700
gene-b0308	516
gene-b0310	24
gene-b0311	92
gene-b0312	1380
gene-b0313	552
gene-b0314	3456
gene-b4730	1
gene-b0315	155
gene-b0316	160
gene-b0317	164
gene-b0318	53
gene-b0319	74
gene-b0320	208
gene-b0321	339
gene-b0322	77
gene-b0323	141
gene-b0324	1080
gene-b0325	13780
gene-b0326	11
gene-b0327	60
gene-b0328	305
gene-b0329	107640
gene-b0330	1811
gene-b0331	21330
gene-b0333	9346
gene-b0334	4378
gene-b0335	2496
gene-b0336	149
gene-b0337	577
gene-b0338	106
gene-b0339	91
gene-b0340	145
gene-b0341	91
gene-b0342	50
gene-b0343	78
gene-b0344	419
gene-b0345	1305
gene-b0346	6728
gene-b0347	188
gene-b0348	130
gene-b0349	52
gene-b0350	37
gene-b0351	314
gene-b0352	795
gene-b0353	1916
gene-b0354	1069
gene-b0355	154
gene-b0356	1340
gene-b0357	371
gene-b0358	1511
gene-b0360	1
gene-b0361	28
gene-b0363	1170
gene-b4731	5
gene-b0364	4
gene-b0365	170
gene-b0366	278
gene-b0367	216
gene-b0368	321
gene-b0369	1846
gene-b0372	27
gene-b0373	25
gene-b0375	37
gene-b0376	916
gene-b0377	1544
gene-b0378	1487
gene-b0379	539
gene-b0380	709
gene-b0381	1453
gene-b0382	410
gene-b0383	263
gene-b0384	10385
gene-b0385	12220
gene-b0386	1112
gene-b0387	151
gene-b0388	276
gene-b0389	1577
gene-b0390	239
gene-b0391	1015
gene-b4732	172
gene-b0393	1438
gene-b0394	3393
gene-b0396	1641
gene-b0397	481
gene-b0398	739
gene-b0399	1946
gene-b0400	756
gene-b0401	18606
gene-b0402	1939
gene-b0403	1105
gene-b0404	1095
gene-b0405	326
gene-b0406	360
gene-b0407	3533
gene-b0408	3771
gene-b0409	5536
gene-b0410	530
gene-b0411	1463
gene-b0412	522
gene-b0413	1411
gene-b0414	2160
gene-b0415	1470
gene-b0416	2788
gene-b0417	863
gene-b0418	1154
gene-b0419	15122
gene-b0420	1061
gene-b0421	929
gene-b0422	636
gene-b0423	1448
gene-b0424	3640
gene-b0425	3470
gene-b0426	12087
gene-b0427	203
gene-b0428	2249
gene-b0429	794
gene-b0430	2158
gene-b0431	3568
gene-b0432	1696
gene-b0433	61
gene-b0434	225
gene-b0435	18217
gene-b0436	1776
gene-b0437	14553
gene-b0438	172529
gene-b0439	37743
gene-b0440	689
gene-b0441	2767
gene-b0442	167
gene-b0443	372
gene-b0444	694
gene-b0445	1760
gene-b0446	1766
gene-b0447	809
gene-b0448	562
gene-b0449	516
gene-b0450	23
gene-b0451	438
gene-b0452	1338
gene-b0453	12237
gene-b0454	915
gene-b0455	37
gene-b0456	1197
gene-b0457	1397
gene-b0458	1457
gene-b0459	437
gene-b0460	2290
gene-b0461	2549
gene-b0462	5169
gene-b0463	3149
gene-b0464	2093
gene-b0465	2681
gene-b0466	345
gene-b0467	1145
gene-b0468	598
gene-b0469	246
gene-b0470	853
gene-b0471	2483
gene-b0472	1138
gene-b0473	108211
gene-b0474	877
gene-b0475	1055
gene-b0476	1038
gene-b0477	402
gene-b0478	5308
gene-b0479	219
gene-b0480	2932
gene-b0481	448
gene-b4585	54
gene-b0482	136
gene-b0483	3128
gene-b0484	9332
gene-b0485	6175
gene-b0486	3196
gene-b0487	1743
gene-b0488	3533
gene-b0489	10470
gene-b0490	99
gene-b0491	199
gene-b0492	10188
gene-b0493	201
gene-b0494	1909
gene-b0495	888
gene-b0496	681
gene-b0497	1813
gene-b0498	22
gene-b0502	111
gene-b0503	131
gene-b0504	29
gene-b0505	238
gene-b0506	10990
gene-b0507	727
gene-b0508	120
gene-b0509	44
gene-b0511	68
gene-b0512	148
gene-b0513	425
gene-b0514	286
gene-b0515	25
gene-b0516	138
gene-b0517	2
gene-b0518	44
gene-b4572	100
gene-b0520	71
gene-b0521	137
gene-b0522	25
gene-b0523	13
gene-b0524	3041
gene-b0525	11091
gene-b0526	1025
gene-b0527	41
gene-b0528	221
gene-b0529	1138
gene-b0530	153
gene-b0531	19
gene-b0532	75
gene-b0533	13
gene-b0534	21
gene-b0535	8
gene-b0536	368
gene-b0537	1396
gene-b0540	14
gene-b0541	70
gene-b0543	313
gene-b4733	49
gene-b0544	38
gene-b0545	890
gene-b0546	814
gene-b4588	48
gene-b0547	50
gene-b0548	14
gene-b0549	9
gene-b0550	26
gene-b4509	2
gene-b0551	10
gene-b0552	157
gene-b0554	35
gene-b0555	246
gene-b0556	54
gene-b4510	14
gene-b0557	53
gene-b0558	16
gene-b0559	26
gene-b4589	24
gene-b0560	136
gene-b0561	34
gene-b0563	2
gene-b0564	783
gene-b0565	3891
gene-b0566	100
gene-b0567	676
gene-b0568	1167
gene-b0569	1127
gene-b0570	264
gene-b0571	538
gene-b0572	22
gene-b0573	23
gene-b0574	21
gene-b0575	621
gene-b0576	207
gene-b0577	681
gene-b0578	682
gene-b0579	376
gene-b0580	1318
gene-b0581	6414
gene-b4700	55
gene-b4415	10
gene-b0582	73
gene-b0583	131
gene-b0584	1790
gene-b0585	2763
gene-b4511	341
gene-b0586	3560
gene-b0587	77
gene-b0588	46
gene-b0589	120
gene-b0590	225
gene-b0591	439
gene-b0592	1057
gene-b0593	2486
gene-b0594	2169
gene-b0595	1429
gene-b0596	1302
gene-b0597	489
gene-b0598	53663
gene-b4512	2024
gene-b0599	3365
gene-b0600	60
gene-b0601	242
gene-b0602	274
gene-b0603	46
gene-b0604	852
gene-b0605	5743
gene-b0606	4366
gene-b0607	21662
gene-b0608	1562
gene-b4734	101
gene-b0610	590
gene-b0611	4790
gene-b0612	91
gene-b0613	53
gene-b0614	4
gene-b0615	8
gene-b0616	30
gene-b0617	6
gene-b0618	57
gene-b0619	374
gene-b0620	388
gene-b0621	129
gene-b0622	113
gene-b0623	31011
gene-b0624	1058
gene-b0627	1924
gene-b0628	2259
gene-b0629	194
gene-b0630	114
gene-b0631	15766
gene-b0632	744
gene-b0633	5609
gene-b0634	1666
gene-b0635	339
gene-b0636	85
gene-b0637	58
gene-b0638	267
gene-b0639	378
gene-b0640	1616
gene-b0641	10852
gene-b0642	47374
gene-b0643	17294
gene-b0644	1128
gene-b0645	1
gene-b0646	17
gene-b0647	2
gene-b0648	57
gene-b0649	247
gene-b0650	193
gene-b0651	211
gene-b0652	234
gene-b0653	127
gene-b0654	180
gene-b0655	7087
gene-b0656	8
gene-b0657	1290
gene-b0658	6856
gene-b0659	4023
gene-b0660	14677
gene-b0661	5323
gene-b0662	14079
gene-b0664	31
gene-b0665	47
gene-b0666	667
gene-b0668	844
gene-b0670	489
gene-b0672	617
gene-b0673	416
gene-b0674	1260
gene-b0675	875
gene-b0676	2529
gene-b0677	6187
gene-b0678	4592
gene-b0679	10040
gene-b0680	3735
gene-b0681	127
gene-b0682	76
gene-b0683	7672
gene-b4637	1336
gene-b0684	2113
gene-b0685	1
gene-b0686	338
gene-b0687	2435
gene-b0688	9108
gene-b0689	10
gene-b0692	1104
gene-b0693	212
gene-b4590	0
gene-b0694	4691
gene-b0695	14641
gene-b0696	668
gene-b0697	162
gene-b0698	209
gene-b4513	2
gene-b0699	1205
gene-b0700	365
gene-b0702	30
gene-b0704	69
gene-b4514	0
gene-b0706	27
gene-b0707	794
gene-b0708	733
gene-b0709	364
gene-b0710	3213
gene-b0711	3074
gene-b0712	2729
gene-b0713	1272
gene-b0714	211
gene-b0715	62
gene-b0716	691
gene-b0717	168
gene-b0718	66
gene-b0719	33
gene-b0720	54559
gene-b4735	2055
gene-b0721	4254
gene-b0722	3415
gene-b0723	12554
gene-b0724	3036
gene-b0726	18907
gene-b0727	8585
gene-b0728	8792
gene-b0729	8594
gene-b0730	126
gene-b0731	138
gene-b0732	699
gene-b0733	26621
