Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b1449	2718
gene-b1450	222
gene-b1451	1592
gene-b1452	8426
gene-b1453	369
gene-b1454	42
gene-b1455	16
gene-b1457	356
gene-b4745	266
gene-b1460	113
gene-b1461	563
gene-b1462	302
gene-b1463	296
gene-b1464	967
gene-b1465	133
gene-b1466	157
gene-b1467	235
gene-b1468	657
gene-b1469	77
gene-b1471	22
gene-b1472	4
gene-b1473	131
gene-b1474	2225
gene-b1475	705
gene-b1476	596
gene-b1477	580
gene-b1478	418
gene-b1479	11301
gene-b1480	336
gene-b1481	43
gene-b1482	684
gene-b1483	253
gene-b1484	155
gene-b1485	231
gene-b1486	227
gene-b1487	418
gene-b1488	149
gene-b1489	296
gene-b1490	199
gene-b4746	13
gene-b1491	1324
gene-b1492	1102
gene-b1493	550
gene-b1494	3358
gene-b1495	1226
gene-b1496	496
gene-b4747	90
gene-b1497	2579
gene-b1498	3921
gene-b1499	31
gene-b1500	3
gene-b1501	556
gene-b1502	26
gene-b1503	14
gene-b1504	18
gene-b1505	75
gene-b1507	925
gene-b1508	217
gene-b1511	7232
gene-b1512	12190
gene-b1513	7691
gene-b1514	5101
gene-b1515	4322
gene-b1516	5421
gene-b1517	11953
gene-b1518	2670
gene-b1519	2979
gene-b1520	428
gene-b1521	6098
gene-b1522	460
gene-b1523	671
gene-b1524	3276
gene-b1525	1921
gene-b1526	628
gene-b1527	141
gene-b1528	273
gene-b1529	600
gene-b1530	913
gene-b1531	1501
gene-b1532	928
gene-b1533	1382
gene-b1534	512
gene-b4599	2437
gene-b4698	98
gene-b1535	1349
gene-b1536	22
gene-b1537	376
gene-b1538	9694
gene-b1539	7466
gene-b1540	1192
gene-b1541	133
gene-b1542	163
gene-b1543	187
gene-b4748	112
gene-b1544	59
gene-b1545	71
gene-b1546	7
gene-b1547	33
gene-b1548	26
gene-b4533	21
gene-b1549	169
gene-b1550	669
gene-b1551	7
gene-b4749	0
gene-b4724	9
gene-b1552	18
gene-b1553	46
gene-b4689	16
gene-b1554	66
gene-b1555	43
gene-b1556	32
gene-b1557	349
gene-b1558	176
gene-b4750	267
gene-b1559	163
gene-b1560	77
gene-b1561	93
gene-b1562	1812
gene-b1563	1365
gene-b1564	1233
gene-b1565	630
gene-b1566	140
gene-b1567	37
gene-b1568	49
gene-b1569	17
gene-b1570	1133
gene-b1571	32
gene-b1572	24
gene-b1573	47
gene-b1574	21
gene-b1575	13
gene-b1576	4
gene-b4534	68
gene-b1580	1656
gene-b1581	1964
gene-b1582	97
gene-b1583	693
gene-b1584	4099
gene-b1585	1814
gene-b1586	272
gene-b1587	134
gene-b1588	805
gene-b1589	157
gene-b1590	1505
gene-b1591	1989
gene-b1592	544
gene-b1593	1092
gene-b1594	5742
gene-b1595	215
gene-b1596	9348
gene-b1597	128
gene-b4601	78
gene-b1598	533
gene-b1599	198
gene-b1600	219
gene-b1601	580
gene-b1602	12286
gene-b1603	5581
gene-b1604	10658
gene-b1605	423
gene-b1606	675
gene-b1607	587
gene-b1608	1457
gene-b1609	1929
gene-b1610	2860
gene-b1611	12095
gene-b1612	109513
gene-b1613	6638
gene-b1614	3239
gene-b1615	141
gene-b1616	507
gene-b1617	1923
gene-b1618	1592
gene-b1619	4234
gene-b1620	572
gene-b1621	9182
gene-b1622	6304
gene-b1623	10583
gene-b1624	3674
gene-b4409	519
gene-b1625	728
gene-b1626	1444
gene-b1627	1550
gene-b1628	3395
gene-b1629	3932
gene-b1630	1447
gene-b1631	746
gene-b1632	1889
gene-b1633	1077
gene-b1634	7801
gene-b1635	3267
gene-b1636	3112
gene-b1637	17904
gene-b1638	1397
gene-b1639	851
gene-b1640	2954
gene-b1641	15502
gene-b1642	2444
gene-b1643	297
gene-b1644	508
gene-b1645	1197
gene-b1646	1082
gene-b1647	4809
gene-b1648	39
gene-b1649	273
gene-b1650	1512
gene-b1651	2951
gene-b1652	1166
gene-b1653	3008
gene-b1654	12467
gene-b1655	1975
gene-b1656	5493
gene-b1657	226
gene-b4602	686
gene-b1658	2511
gene-b1659	1241
gene-b1660	816
gene-b1661	9465
gene-b1662	10010
gene-b1663	1595
gene-b1664	6089
gene-b1665	47
gene-b1666	95
gene-b1667	2962
gene-b1668	504
gene-b1669	108
gene-b1670	117
gene-b1671	190
gene-b1672	132
gene-b1673	281
gene-b1674	35
gene-b1675	50
gene-b1676	35187
gene-b1677	9132
gene-b1678	717
gene-b1679	247
gene-b1680	1231
gene-b1681	1555
gene-b1682	1566
gene-b1683	1803
gene-b1684	358
gene-b4430	114
gene-b1685	822
gene-b1686	486
gene-b1687	2659
gene-b1688	2241
gene-b4431	14
gene-b1689	130
gene-b1690	80
gene-b1691	51
gene-b1692	178
gene-b1693	424
gene-b1694	118
gene-b1695	130
gene-b1696	260
gene-b1697	93
gene-b1698	87
gene-b1699	79
gene-b1700	58
gene-b1701	384
gene-b1702	50424
gene-b1703	1296
gene-b1704	711
gene-b1705	291
gene-b1706	4825
gene-b1707	421
gene-b1708	2071
gene-b1709	530
gene-b1710	1719
gene-b1711	1419
gene-b1712	14103
gene-b1713	35952
gene-b1714	11353
gene-b1715	657
gene-b1716	63003
gene-b1717	76536
gene-b1718	314004
gene-b1719	110206
gene-b4535	34
gene-b1722	341
gene-b1723	896
gene-b1724	394
gene-b1725	3188
gene-b1726	2456
gene-b1727	751
gene-b1728	661
gene-b1729	2746
gene-b1730	164
gene-b1731	151
gene-b1732	1384
gene-b1733	954
gene-b1734	918
gene-b1735	804
gene-b1736	907
gene-b1737	904
gene-b1738	254
gene-b1739	320
gene-b1740	4319
gene-b1741	4159
gene-b1742	435
gene-b1743	879
gene-b1744	210
gene-b1745	674
gene-b1746	695
gene-b1747	566
gene-b1748	1116
gene-b1749	3772
gene-b1750	282
gene-b1751	64
gene-b1752	185
gene-b1753	163
gene-b1754	395
gene-b1755	341
gene-b1756	349
gene-b1757	782
gene-b1758	259
gene-b1759	114
gene-b1760	116
gene-b1761	2913
gene-b1762	404
gene-b1763	18043
gene-b1764	24644
gene-b1765	1777
gene-b1766	4759
gene-b1767	5637
gene-b1768	2173
gene-b1769	1326
gene-b1770	3475
gene-b1771	273
gene-b1772	285
gene-b1773	246
gene-b1774	247
gene-b1775	424
gene-b1776	411
gene-b1777	6663
gene-b1778	14264
gene-b1779	495042
gene-b1780	15388
gene-b1781	3242
gene-b1782	11559
gene-b1783	1574
gene-b1784	478
gene-b1785	50
gene-b1786	6773
gene-b1787	817
gene-b1788	288
gene-b1789	212
gene-b1790	487
gene-b1791	768
gene-b1792	583
gene-b1793	274
gene-b1794	3632
gene-b4676	204
gene-b4675	134
gene-b1795	562
gene-b1796	278
gene-b1797	1560
gene-b1798	927
gene-b1799	3747
gene-b1800	273
gene-b1801	161
gene-b1802	226
gene-b1803	203
gene-b1804	1377
gene-b1805	2693
gene-b1806	2438
gene-b1807	4452
gene-b1808	5286
gene-b1809	1721
gene-b1810	338
gene-b1811	348
gene-b1812	3457
gene-b1813	2162
gene-b1814	49514
gene-b1815	810
gene-b1816	2489
gene-b4751	290
gene-b1817	41454
gene-b1818	37233
gene-b1819	52882
gene-b1820	5093
gene-b1821	397
gene-b1822	1607
gene-b1823	229488
gene-b1824	114047
gene-b1825	3016
gene-b1826	287
gene-b4536	640
gene-b1827	19880
gene-b1828	357
gene-b1829	2320
gene-b1830	20491
gene-b1831	14863
gene-b1832	1917
gene-b1833	1093
gene-b1834	2567
gene-b1835	3395
gene-b1836	262
gene-b1837	306
gene-b1838	384
gene-b4432	917
gene-b4433	464
gene-b1839	1837
gene-b1840	3133
gene-b1841	3284
gene-b1842	614
gene-b1843	2018
gene-b1844	2114
gene-b1845	2218
gene-b1846	992
gene-b1847	12512
gene-b1848	9356
gene-b1849	806
gene-b1850	6487
gene-b1851	1935
gene-b1852	14483
gene-b1853	5978
gene-b1854	48999
gene-b1855	5951
gene-b1856	13899
gene-b1857	20342
gene-b1858	2488
gene-b1859	1973
gene-b1860	7195
gene-b1861	8600
gene-b4677	28
gene-b1862	342
gene-b1863	3664
gene-b1864	11553
gene-b1865	12995
gene-b1866	27387
gene-b1867	845
gene-b1868	1123
gene-b1869	471
gene-b1870	2972
gene-b1871	3327
gene-b1872	1357
gene-b1873	252
gene-b4717	129
gene-b1874	2737
gene-b1875	3636
gene-b1876	21151
gene-b1877	607
gene-b1878	1239
gene-b1879	4600
gene-b1880	3142
gene-b1881	1073
gene-b1882	461
gene-b1883	286
gene-b1884	467
gene-b1885	658
gene-b1886	532
gene-b1887	741
gene-b1888	1862
gene-b1889	397
gene-b1890	359
gene-b1891	6340
gene-b1892	5686
gene-b1893	509
gene-b1894	10
gene-b1895	389
gene-b1896	2691
gene-b1897	460
gene-b4460	510
gene-b1900	1125
gene-b1901	868
gene-b1902	482
gene-b4537	300
gene-b4663	92
gene-b1904	2590
gene-b1905	3123
gene-b1906	508
gene-b1907	3324
gene-b1908	1514
gene-b1909	452
gene-b1910	515
gene-b1911	365
gene-b1912	5628
gene-b1913	3205
gene-b1914	859
gene-b4752	358
gene-b1915	1153
gene-b1916	425
gene-b4719	83
gene-b1917	777
gene-b1918	578
gene-b1919	1754
gene-b1920	3402
gene-b1921	6936
gene-b1922	28371
gene-b1923	5579
gene-b1924	1414
gene-b1925	1501
gene-b1926	1417
gene-b1927	1056
gene-b1928	3277
gene-b1929	16031
gene-b1930	1658
gene-b1931	459
gene-b1932	161
gene-b1937	1877
gene-b1938	18284
gene-b1939	11713
gene-b1940	3064
gene-b1941	4026
gene-b1942	1278
gene-b1943	1519
gene-b1944	10108
gene-b1945	23511
gene-b1946	12217
gene-b1947	3317
gene-b1948	3112
gene-b1949	1197
gene-b1950	1507
gene-b1951	1303
gene-b1952	294
gene-b1953	290
gene-b1954	315
gene-b1955	299
gene-b1956	1633
gene-b1957	240
gene-b1958	1662
gene-b1959	350
gene-b1960	1000
gene-b1961	5035
gene-b1962	343
gene-b1963	76
gene-b4603	8
gene-b1967	4368
gene-b1968	1833
gene-b1969	893
gene-b1970	118
gene-b1971	595
gene-b1972	302
gene-b1973	3390
gene-b1974	107
gene-b1975	693
gene-b1976	30021
gene-b1977	1832
gene-b1978	2381
gene-b1981	2325
gene-b1982	4940
gene-b1983	18130
gene-b1984	44
gene-b1985	377
gene-b1986	28
gene-b1987	466
gene-b1988	163
gene-b1989	24
gene-b1990	1108
gene-b1991	1930
gene-b1992	750
gene-b1993	792
gene-b1994	151
gene-b1996	93
gene-b1997	20
gene-b4435	198
gene-b2000	4587
gene-b2001	793
gene-b2002	191
gene-b2003	27
gene-b2004	132
gene-b2005	36
gene-b2006	61
gene-b4538	736
gene-b2007	15295
gene-b2008	8466
gene-b2009	19367
gene-b2010	375
gene-b2011	5248
gene-b2012	783
gene-b2013	359
gene-b2014	2552
gene-b4678	160
gene-b2015	1536
gene-b2016	3022
gene-b4539	1793
gene-b2017	1854
gene-b2018	14
gene-b2019	514
gene-b2020	1122
gene-b2021	605
gene-b2022	1637
gene-b2023	747
gene-b2024	579
gene-b2025	813
gene-b2026	1174
gene-b2027	26478
gene-b2028	2607
gene-b2029	127774
gene-b2030	2743
gene-b2032	19383
gene-b2033	22225
gene-b2034	39567
gene-b2035	13501
gene-b2036	32530
gene-b2037	9739
gene-b2038	10418
gene-b2039	13190
gene-b2040	11916
gene-b2041	14081
gene-b2042	4278
gene-b2043	244
gene-b2044	160
gene-b2045	82
gene-b2046	91
gene-b2047	55
gene-b2048	59
gene-b2049	62
gene-b2050	107
gene-b2051	72
gene-b2052	115
gene-b2053	155
gene-b2054	22
gene-b2055	65
gene-b2056	58
gene-b2057	108
gene-b2058	31
gene-b2059	76
gene-b2060	108
gene-b2061	8
gene-b2062	25
gene-b2063	1429
gene-b2064	7613
gene-b2065	4067
gene-b2066	4010
gene-b2067	1902
gene-b2068	415
gene-b2069	2106
gene-b2070	735
gene-b2071	26
gene-b2072	111
gene-b2073	38
gene-b4436	307
gene-b4667	220
gene-b4437	119
gene-b4668	80
gene-b2074	261
gene-b2075	613
gene-b2076	432
gene-b2077	200
gene-b2078	334
gene-b2079	776
gene-b2080	97
gene-b2081	3740
gene-b4438	1203
gene-b2082	106
gene-b2085	13
gene-b2086	301
gene-b2088	17
gene-b2089	491
gene-b2091	64414
gene-b2093	70932
gene-b2094	123267
gene-b2095	358090
gene-b2096	269383
gene-b2097	3781
gene-b2098	576
gene-b2099	1091
gene-b2100	1333
gene-b2101	683
gene-b2102	170
gene-b2103	371
gene-b2104	454
gene-b2105	310
gene-b2106	261
gene-b2107	1101
gene-b2108	198
gene-b2109	25
gene-b2110	11
gene-b2111	14
gene-b2112	110
gene-b2113	12342
gene-b2114	25469
gene-b2115	166
gene-b2118	424
gene-b4541	7
gene-b2119	22
gene-b2120	87
gene-b2121	57
gene-b2122	141
gene-b2123	168
gene-b2124	3055
gene-b2125	9377
gene-b2126	10507
gene-b2127	362
gene-b4542	83
gene-b2128	228
gene-b2129	142
gene-b2130	297
gene-b2131	291
gene-b2132	3233
gene-b2133	6180
gene-b2134	2534
gene-b2135	350
gene-b2136	323
gene-b2137	243
gene-b4679	69
gene-b2140	922
gene-b2141	97
gene-b2142	181
gene-b2143	3401
gene-b2144	1991
gene-b2145	658
gene-b2146	2621
gene-b2147	3377
gene-b2148	37519
gene-b2149	90199
gene-b2150	171401
gene-b2151	14445
gene-b2152	2319
gene-b2153	3046
gene-b2154	950
gene-b2155	1415
gene-b2156	3791
gene-b2157	1511
gene-b2158	804
gene-b2159	1714
gene-b2160	1648
gene-b2161	96
gene-b2162	28
gene-b2163	87
gene-b2164	637
gene-b2165	569
gene-b2166	420
gene-b2167	3894
gene-b2168	2777
gene-b2169	3048
gene-b2170	349
gene-b4502	155
gene-b2171	1322
gene-b2172	4992
gene-b2173	2833
gene-b2174	2448
gene-b2175	90953
gene-b2176	1281
gene-b2177	947
gene-b2178	735
gene-b2179	716
gene-b2180	2026
gene-b2181	783
gene-b2182	2710
gene-b2183	1742
gene-b2184	878
gene-b2185	1433
gene-b2186	11617
gene-b2187	1896
gene-b2188	7727
gene-b2189	377
gene-b2192	216
gene-b2193	1117
gene-b2194	827
gene-b2195	691
gene-b2196	1557
gene-b2197	611
gene-b2198	316
gene-b2199	939
gene-b2200	612
gene-b2201	1147
gene-b2202	304
gene-b2203	63
gene-b2204	334
gene-b2205	334
gene-b2206	1224
gene-b2207	159
gene-b2208	154
gene-b4604	21
gene-b2209	6418
gene-b2210	1852
gene-b2211	1644
gene-b2212	418
gene-b2213	824
gene-b2214	1062
gene-b2215	407652
gene-b4439	76
gene-b2216	10182
gene-b2217	11604
gene-b2218	4043
gene-b2219	2294
gene-b2220	1907
gene-b2221	81
gene-b2222	8
gene-b2223	53
gene-b2224	110
gene-b2225	33
gene-b2226	217
gene-b2229	44
gene-b2230	140
gene-b2231	27499
gene-b2232	1994
gene-b2233	1282
gene-b4605	13
gene-b2234	26492
gene-b2235	16033
gene-b2236	4595
gene-b2237	3132
gene-b2239	538796
gene-b2240	422686
gene-b2241	66774
gene-b2242	57147
gene-b2243	19366
gene-b2244	1093
gene-b2245	209
gene-b2246	238
gene-b2247	206
gene-b2248	152
gene-b2249	1493
gene-b2250	269
gene-b2251	585
gene-b2252	50
gene-b2253	127
gene-b2254	107
gene-b2255	466
gene-b2256	192
gene-b2257	191
gene-b4544	63
gene-b2258	160
gene-b2259	332
gene-b2260	3195
gene-b2261	7536
gene-b2262	5905
gene-b2263	2258
gene-b2264	3070
gene-b2265	5601
gene-b2266	820
gene-b2267	761
gene-b2268	827
gene-b2269	436
gene-b2270	210
gene-b2271	22
gene-b2272	203
gene-b2273	86
gene-b2274	157
gene-b2275	1925
gene-b2276	24688
gene-b2277	20273
gene-b2278	50717
gene-b2279	4995
gene-b2280	12140
gene-b2281	14451
gene-b2282	36406
gene-b2283	142635
gene-b2284	60245
gene-b2285	46859
gene-b2286	125226
gene-b2287	45285
gene-b2288	39438
gene-b2289	17908
gene-b2290	2475
gene-b2291	771
gene-b2292	1860
gene-b2293	5052
gene-b2294	4523
gene-b2295	4998
gene-b2296	55735
gene-b2297	257324
gene-b2298	240
gene-b2299	2836
gene-b2300	2510
gene-b2301	501
gene-b2302	119
gene-b2303	5477
gene-b2304	6251
gene-b2305	744
gene-b2306	527
gene-b2307	903
gene-b2308	1290
gene-b2309	5667
gene-b2310	3593
gene-b2311	230
gene-b2312	3253
gene-b2313	2946
gene-b2314	2350
gene-b2315	6118
gene-b2316	43223
gene-b2317	2691
gene-b2318	5513
gene-b2319	8799
gene-b2320	7965
gene-b2321	903
gene-b2322	730
gene-b2323	58252
gene-b2324	6381
gene-b2325	1575
gene-b2326	2232
gene-b2327	1357
gene-b2328	2399
gene-b2329	13122
gene-b2330	7452
gene-b2331	465
gene-b2332	682
gene-b2333	43
gene-b2334	134
gene-b2335	49
gene-b2336	33
gene-b2339	28
gene-b2340	10912
gene-b2341	5333
gene-b2342	3671
gene-b2343	477
gene-b2344	9696
gene-b2345	406
gene-b2346	4396
gene-b2347	161
gene-b2348	25
gene-b2349	2154
gene-b2350	4465
gene-b2351	12461
gene-b2352	10665
gene-b2354	168
gene-b2356	5
gene-b2357	0
gene-b2358	8
gene-b2359	36
gene-b2360	277
gene-b2361	18
gene-b2362	26
gene-b2363	437
gene-b4545	58
gene-b4501	279
gene-b2364	3246
gene-b2365	9468
gene-b2366	13502
gene-b2367	56
gene-b2368	60
gene-b2369	1139
gene-b2370	2476
gene-b2371	23
gene-b2372	30
gene-b2373	156
gene-b2374	95
gene-b2375	54
gene-b2376	126
gene-b2377	259
gene-b2378	584
gene-b4680	56
gene-b2379	1349
gene-b2380	1008
gene-b2381	1634
gene-b2382	309
gene-b2383	175
gene-b2384	78
gene-b2385	83
gene-b2386	47
gene-b2387	10
gene-b2388	9591
gene-b2389	288
gene-b2390	274
gene-b2392	1130
gene-b2393	9950
gene-b2394	719
gene-b2395	3022
gene-b2396	157
gene-b2397	72
gene-b2398	2042
gene-b2399	2794
gene-b2400	26973
gene-b2401	77
gene-b2402	350
gene-b2403	2081
gene-b2404	1087
gene-b2405	178
gene-b2406	258
gene-b2407	102
gene-b2408	77
gene-b2409	301
gene-b2410	4289
gene-b4546	850
gene-b2411	4414
gene-b2412	6918
gene-b2413	1526
gene-b2414	6409
gene-b2415	7273
gene-b2416	84877
gene-b2417	40025
gene-b2418	3379
gene-b2419	399
gene-b2420	1057
gene-b2421	597
gene-b2422	215
gene-b2423	130
gene-b2424	107
gene-b2425	121
gene-b2426	22214
gene-b2427	392
gene-b2428	892
gene-b2429	810
gene-b2430	522
gene-b2431	5156
gene-b2432	1101
gene-b2433	506
gene-b2434	565
gene-b2435	3018
gene-b2436	2170
gene-b2437	1409
gene-b2438	710
gene-b2439	628
gene-b2440	538
gene-b2441	3905
gene-b2442	637
gene-b2443	665
gene-b2444	44
gene-b2445	63
gene-b2446	43
gene-b2447	78
gene-b2448	164
gene-b2449	753
gene-b2450	2935
gene-b2451	54
gene-b2452	64
gene-b2453	294
gene-b2454	33
gene-b2455	55
gene-b2456	12
gene-b2457	91
gene-b2458	295
gene-b2459	189
gene-b2460	139
gene-b2461	187
gene-b2462	116
gene-b2463	66531
gene-b2464	1196
gene-b2465	896
gene-b2466	822
gene-b2467	854
gene-b2468	353
gene-b2469	828
gene-b2470	714
gene-b4606	1562
gene-b2471	510
gene-b2472	961
gene-b4547	943
gene-b2473	524
gene-b2474	4299
gene-b2475	2094
gene-b2476	1724
gene-b2477	15962
gene-b2478	13553
gene-b2479	3169
gene-b2480	5085
gene-b2481	27
gene-b2482	119
gene-b2483	30
gene-b2484	73
gene-b2485	37
gene-b2486	220
gene-b2487	159
gene-b2488	151
gene-b2489	115
gene-b2490	53
gene-b2491	237
gene-b2492	381
gene-b2493	1445
gene-b2494	4221
gene-b2495	1227
gene-b2496	3689
gene-b2497	536
gene-b2498	10938
gene-b2499	461
gene-b2500	1094
gene-b2501	11594
gene-b2502	7419
gene-b2503	486
gene-b2504	659
gene-b2505	26
gene-b2506	235
gene-b2507	101753
gene-b2508	27165
gene-b2509	2597
gene-b2510	1145
gene-b2511	8710
gene-b2512	23100
gene-b2513	12468
gene-b2514	15260
gene-b2515	11661
gene-b2516	4762
gene-b2517	5685
gene-b2518	6950
gene-b2519	680
gene-b2520	7489
gene-b2521	7812
gene-b4440	1072
gene-b2522	7592
gene-b2523	16721
gene-b2524	4557
gene-b2525	6435
gene-b2526	23047
gene-b2527	10445
gene-b2528	12065
gene-b2529	34116
gene-b2530	64250
gene-b2531	9210
gene-b2532	12569
gene-b2533	5993
gene-b2534	193
gene-b2535	6663
gene-b2536	1282
gene-b4706	310
gene-b2537	3220
gene-b2538	229
gene-b2539	135
gene-b2540	68
gene-b2541	158
gene-b2542	183
gene-b2543	173
gene-b2544	200
gene-b2545	199
gene-b2546	59
gene-b2547	207
gene-b2548	76
gene-b2549	513
gene-b2550	637
gene-b2551	46312
gene-b2552	2519
gene-b2553	911
gene-b2554	1213
gene-b2555	1748
gene-b2556	1447
gene-b4441	104
gene-b2557	2585
gene-b2558	931
gene-b2559	490
gene-b2560	973
gene-b2561	237
gene-b2562	924
gene-b4687	334
gene-b4608	382
gene-b2563	4676
gene-b2564	4509
gene-b2565	5372
gene-b2566	23311
gene-b2567	12386
gene-b2568	9318
gene-b2569	15365
gene-b2570	1771
gene-b2571	16310
gene-b2572	22640
gene-b2573	14682
gene-b4725	904
gene-b2574	731
gene-b2575	1145
gene-b2576	5255
gene-b2577	1260
gene-b2578	210
gene-b2579	6358
gene-b2580	789
gene-b2581	2660
gene-b2582	1469
gene-b2583	800
gene-b2584	21885
gene-b2585	16781
gene-b2586	1829
gene-b2587	25668
gene-b2588	91
gene-b2589	7596
gene-b2590	43561
gene-b2591	13040
gene-b2592	38516
gene-b4609	2065
gene-b2593	3154
gene-b2594	4146
gene-b2595	21101
gene-b2597	8624
gene-b2598	160
gene-b2599	1578
gene-b2600	3096
gene-b2601	1849
gene-b2602	145
gene-b2603	1038
gene-b2604	1233
gene-b2605	446
gene-b2606	82935
gene-b2607	55680
gene-b2608	67760
gene-b2609	21750
gene-b2610	9723
gene-b2611	1797
gene-b4461	2203
gene-b2614	40368
gene-b2615	2180
gene-b2616	58918
gene-b2617	14287
gene-b2618	6966
gene-b2619	11337
gene-b2620	2170
gene-b2621	417316
gene-b2622	2392
gene-b2623	963
gene-b2624	66
gene-b2625	129
gene-b2626	167
gene-b2627	2682
gene-b2628	3615
gene-b2629	20
gene-b2630	11735
gene-b2631	2824
gene-b2632	65
gene-b2633	41
gene-b2634	111
gene-b2635	20
gene-b2636	56
gene-b2637	127
gene-b2638	278
gene-b2642	1208
gene-b2643	14
gene-b2644	15
gene-b4548	11
gene-b2645	33
gene-b2646	55
gene-b2647	696
gene-b2649	14
gene-b2650	3
gene-b2652	5
gene-b2659	953
gene-b2660	302
gene-b2661	372
gene-b2662	431
gene-b2663	146
gene-b2664	731
gene-b2665	458
gene-b2666	28
gene-b2667	123
gene-b2668	362
gene-b2669	28760
gene-b2670	8458
gene-b2671	2335
gene-b2672	362
gene-b2673	220
gene-b2674	1195
gene-b2675	1717
gene-b2676	496
gene-b2677	2007
gene-b2678	1025
gene-b2679	1339
gene-b2682	1529
gene-b2683	203
gene-b2684	2054
gene-b2685	563
gene-b2686	713
gene-b2687	2081
gene-b4442	769
gene-b2688	12787
gene-b2689	1494
gene-b2690	1151
gene-b2691	4385
gene-b2692	17928
gene-b2693	21703
gene-b2694	9000
gene-b2695	6512
gene-b2696	2645
gene-b2697	66991
gene-b2698	2986
gene-b2699	68712
gene-b2700	2084
gene-b2701	510
gene-b2702	1180
gene-b2703	752
gene-b2704	180
gene-b2705	595
gene-b2706	184
gene-b2707	2443
gene-b2708	2092
gene-b2709	2748
gene-b2710	212
gene-b2711	194
gene-b2712	1444
gene-b2713	234
gene-b2714	1035
gene-b2715	882
gene-b2716	590
gene-b2717	714
gene-b2718	454
gene-b2719	117
gene-b2720	58
gene-b2721	123
gene-b2722	31
gene-b2723	20
gene-b2724	9
gene-b2725	26
gene-b2726	299
gene-b2727	967
gene-b2728	500
gene-b2729	1189
gene-b2730	1401
gene-b2731	810
gene-b2732	108
gene-b2733	11216
gene-b2734	266
gene-b2735	1352
gene-b2736	993
gene-b2737	1394
gene-b2738	929
gene-b2739	760
gene-b2740	269
gene-b2741	42016
gene-b2742	14160
gene-b2743	3166
gene-b2744	2660
gene-b2745	4433
gene-b2746	3717
gene-b2747	4699
gene-b2748	2310
gene-b2749	186
gene-b2750	260
gene-b2751	494
gene-b2752	142
gene-b2753	331
gene-b2754	54
gene-b2755	326
gene-b2756	258
gene-b2757	98
gene-b2758	220
gene-b2759	31
gene-b2760	94
gene-b2761	541
gene-b4701	0
gene-b2762	179
gene-b2763	189
gene-b2764	281
gene-b2765	477
gene-b2766	1416
gene-b2767	150
gene-b2768	285
gene-b2769	104
gene-b2770	28
gene-b2771	35
gene-b4463	112
gene-b2774	48
gene-b2775	122
gene-b2776	238
gene-b2777	1094
gene-b4682	3
gene-b2778	62
gene-b2779	234310
gene-b2780	20932
gene-b2781	2159
gene-b2782	2436
gene-b2783	1494
gene-b2784	12932
gene-b2785	2949
gene-b2786	3614
gene-b2787	555
gene-b2788	363
gene-b2789	285
gene-b2790	2450
gene-b2791	1375
gene-b2792	1153
gene-b4408	11788
gene-b2793	913
gene-b2794	2081
gene-b2795	13032
gene-b2796	511991
gene-b2797	324054
gene-b2798	3381
gene-b2799	2001
gene-b2800	434
gene-b2801	1695
gene-b2802	13224
gene-b2803	9343
gene-b2804	2722
gene-b2805	10153
gene-b2806	2957
gene-b2807	1224
gene-b2808	676
gene-b4443	16305
gene-b2809	264
gene-b2810	2103
gene-b2811	1887
gene-b2812	1488
gene-b2813	1723
gene-b2814	104
gene-b2815	150
gene-b2816	139
gene-b2817	1354
gene-b2818	859
gene-b2819	1938
gene-b2820	4649
gene-b2821	2895
gene-b2822	5395
gene-b2823	287
gene-b2824	218
gene-b2825	199
gene-b2826	88
gene-b2827	3911
gene-b2828	6215
gene-b2829	10811
gene-b2830	4323
gene-b4610	55
gene-b2831	167
gene-b2832	1863
gene-b2833	669
gene-b2834	1612
gene-b2835	642
gene-b2836	1319
gene-b4444	23
gene-b4445	4
gene-b2837	1805
gene-b2838	316
gene-b2839	696
gene-b2840	587
gene-b2841	1452
gene-b2842	487
gene-b2843	705
gene-b2844	10124
gene-b2845	5223
gene-b2846	112
gene-b2847	361
gene-b2848	206
gene-b4683	38
gene-b2849	42
gene-b2851	8
gene-b2852	84
gene-b2853	45
gene-b2860	31
gene-b2861	37
gene-b2863	617
gene-b2864	122
gene-b2865	1348
gene-b2866	1200
gene-b2867	429
gene-b2868	236
gene-b2869	12954
gene-b2870	123
gene-b2871	86
gene-b2872	230
gene-b2873	112
gene-b2874	169
gene-b2875	5735
gene-b2876	3150
gene-b2877	474
gene-b2878	498
gene-b2879	39
gene-b2880	100
gene-b2881	371
gene-b2882	64
gene-b2883	244
gene-b4464	159
gene-b2886	53
gene-b2887	138
gene-b2888	42
gene-b4684	26
gene-b4753	15
gene-b2889	773
gene-b2890	35632
gene-b2891	8033
gene-b2892	8199
gene-b2893	3535
gene-b2894	2868
gene-b2895	1974
gene-b2896	4067
gene-b2897	4300
gene-b2898	21373
gene-b2899	2099
gene-b2900	2674
gene-b2901	10204
gene-b2902	658
gene-b2903	64176
gene-b2904	28588
gene-b2905	19664
gene-b4754	25
gene-b2906	3971
gene-b2907	6972
gene-b2908	13983
gene-b2909	16437
gene-b2910	3269
gene-b2911	6020
gene-b2912	1459
gene-b4446	193
gene-b4665	88
gene-b2913	3496
gene-b2914	11510
gene-b2916	723
gene-b2917	227
gene-b2918	95
gene-b2919	95
