Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b0334	5435
gene-b0335	3549
gene-b0336	716
gene-b0337	1767
gene-b0338	564
gene-b0339	118
gene-b0340	202
gene-b0341	157
gene-b0342	107
gene-b0343	652
gene-b0344	2009
gene-b0345	1399
gene-b0346	3471
gene-b0347	69
gene-b0348	33
gene-b0349	77
gene-b0350	57
gene-b0351	320
gene-b0352	144
gene-b0353	181
gene-b0354	1776
gene-b0355	2902
gene-b0356	3382
gene-b0357	696
gene-b0358	38
gene-b0360	11
gene-b0361	14
gene-b0363	65
gene-b4731	4
gene-b0364	16
gene-b0365	39
gene-b0366	58
gene-b0367	81
gene-b0368	305
gene-b0369	8579
gene-b0372	127
gene-b0373	69
gene-b0375	274
gene-b0376	1169
gene-b0377	903
gene-b0378	864
gene-b0379	114
gene-b0380	12551
gene-b0381	11809
gene-b0382	809
gene-b0383	682
gene-b0384	223
gene-b0385	653
gene-b0386	1496
gene-b0387	437
gene-b0388	902
gene-b0389	929
gene-b0390	876
gene-b0391	2091
gene-b4732	338
gene-b0393	9631
gene-b0394	836
gene-b0396	627
gene-b0397	2697
gene-b0398	1708
gene-b0399	536
gene-b0400	465
gene-b0401	2176
gene-b0402	2612
gene-b0403	1024
gene-b0404	1225
gene-b0405	2310
gene-b0406	11210
gene-b0407	6089
gene-b0408	21716
gene-b0409	7971
gene-b0410	592
gene-b0411	61173
gene-b0412	171
gene-b0413	2813
gene-b0414	4952
gene-b0415	8429
gene-b0416	22391
gene-b0417	3337
gene-b0418	1558
gene-b0419	2542
gene-b0420	10785
gene-b0421	16328
gene-b0422	4173
gene-b0423	13485
gene-b0424	1434
gene-b0425	1309
gene-b0426	21758
gene-b0427	1753
gene-b0428	29501
gene-b0429	26267
gene-b0430	73978
gene-b0431	148076
gene-b0432	64484
gene-b0433	2829
gene-b0434	6868
gene-b0435	1291
gene-b0436	38479
gene-b0437	11469
gene-b0438	23531
gene-b0439	34892
gene-b0440	6029
gene-b0441	7051
gene-b0442	369
gene-b0443	179
gene-b0444	1139
gene-b0445	3160
gene-b0446	530
gene-b0447	974
gene-b0448	932
gene-b0449	905
gene-b0450	28
gene-b0451	327
gene-b0452	1146
gene-b0453	260
gene-b0454	93
gene-b0455	24
gene-b0456	116
gene-b0457	1794
gene-b0458	6232
gene-b0459	2924
gene-b0460	1724
gene-b0461	1326
gene-b0462	20732
gene-b0463	10273
gene-b0464	1914
gene-b0465	7983
gene-b0466	296
gene-b0467	461
gene-b0468	707
gene-b0469	1386
gene-b0470	8813
gene-b0471	7904
gene-b0472	6404
gene-b0473	40974
gene-b0474	3333
gene-b0475	424
gene-b0476	1246
gene-b0477	3361
gene-b0478	3901
gene-b0479	529
gene-b0480	1816
gene-b0481	606
gene-b4585	205
gene-b0482	431
gene-b0483	1866
gene-b0484	3561
gene-b0485	71
gene-b0486	168
gene-b0487	896
gene-b0488	1423
gene-b0489	982
gene-b0490	247
gene-b0491	792
gene-b0492	7602
gene-b0493	809
gene-b0494	1279
gene-b0495	899
gene-b0496	482
gene-b0497	361
gene-b0498	295
gene-b0502	400
gene-b0503	749
gene-b0504	26
gene-b0505	141
gene-b0506	7154
gene-b0507	179
gene-b0508	91
gene-b0509	36
gene-b0511	15
gene-b0512	21
gene-b0513	41
gene-b0514	75
gene-b0515	270
gene-b0516	170
gene-b0517	50
gene-b0518	57
gene-b4572	104
gene-b0520	64
gene-b0521	101
gene-b0522	488
gene-b0523	252
gene-b0524	15861
gene-b0525	51723
gene-b0526	5813
gene-b0527	208
gene-b0528	783
gene-b0529	4125
gene-b0530	42
gene-b0531	28
gene-b0532	64
gene-b0533	49
gene-b0534	2
gene-b0535	26
gene-b0536	481
gene-b0537	1758
gene-b0540	12
gene-b0541	49
gene-b0543	1593
gene-b4733	503
gene-b0544	195
gene-b0545	301
gene-b0546	617
gene-b4588	75
gene-b0547	27
gene-b0548	4
gene-b0549	6
gene-b0550	10
gene-b4509	3
gene-b0551	72
gene-b0552	14822
gene-b0554	90
gene-b0555	279
gene-b0556	1736
gene-b4510	595
gene-b0557	6091
gene-b0558	28
gene-b0559	75
gene-b4589	38
gene-b0560	37
gene-b0561	55
gene-b0563	53
gene-b0564	620
gene-b0565	59531
gene-b0566	207
gene-b0567	957
gene-b0568	1682
gene-b0569	1416
gene-b0570	1062
gene-b0571	662
gene-b0572	35
gene-b0573	9
gene-b0574	75
gene-b0575	165
gene-b0576	1701
gene-b0577	1790
gene-b0578	13844
gene-b0579	915
gene-b0580	262
gene-b0581	229
gene-b4700	17
gene-b4415	28
gene-b0582	134
gene-b0583	177
gene-b0584	347
gene-b0585	248
gene-b4511	61
gene-b0586	2187
gene-b0587	37
gene-b0588	155
gene-b0589	281
gene-b0590	154
gene-b0591	477
gene-b0592	1264
gene-b0593	1012
gene-b0594	1481
gene-b0595	1819
gene-b0596	1083
gene-b0597	752
gene-b0598	37877
gene-b4512	2625
gene-b0599	2755
gene-b0600	220
gene-b0601	99
gene-b0602	66
gene-b0603	136
gene-b0604	2117
gene-b0605	158333
gene-b0606	22911
gene-b0607	2043
gene-b0608	129
gene-b4734	47
gene-b0610	621
gene-b0611	3577
gene-b0612	38
gene-b0613	20
gene-b0614	12
gene-b0615	56
gene-b0616	39
gene-b0617	4
gene-b0618	104
gene-b0619	429
gene-b0620	305
gene-b0621	170
gene-b0622	32
gene-b0623	23742
gene-b0624	476
gene-b0627	839
gene-b0628	15621
gene-b0629	386
gene-b0630	3458
gene-b0631	1257
gene-b0632	6523
gene-b0633	2960
gene-b0634	4971
gene-b0635	5758
gene-b0636	2921
gene-b0637	2236
gene-b0638	618
gene-b0639	1400
gene-b0640	7193
gene-b0641	15550
gene-b0642	45406
gene-b0643	3907
gene-b0644	748
gene-b0645	4
gene-b0646	95
gene-b0647	14
gene-b0648	67
gene-b0649	229
gene-b0650	644
gene-b0651	9432
gene-b0652	2491
gene-b0653	2304
gene-b0654	2413
gene-b0655	13292
gene-b0656	181
gene-b0657	4645
gene-b0658	9497
gene-b0659	4171
gene-b0660	8008
gene-b0661	29202
gene-b0662	2904
gene-b0664	1637
gene-b0665	2257
gene-b0666	3627
gene-b0668	3948
gene-b0670	2178
gene-b0672	1501
gene-b0673	962
gene-b0674	2236
gene-b0675	8898
gene-b0676	4188
gene-b0677	5954
gene-b0678	8121
gene-b0679	9989
gene-b0680	25117
gene-b0681	865
gene-b0682	87
gene-b0683	10522
gene-b4637	2554
gene-b0684	14378
gene-b0685	555
gene-b0686	724
gene-b0687	6212
gene-b0688	23361
gene-b0689	140
gene-b0692	133
gene-b0693	98
gene-b4590	31
gene-b0694	196
gene-b0695	3033
gene-b0696	395
gene-b0697	257
gene-b0698	112
gene-b4513	1
gene-b0699	1447
gene-b0700	665
gene-b0702	84
gene-b0704	120
gene-b4514	61
gene-b0706	152
gene-b0707	82
gene-b0708	386
gene-b0709	322
gene-b0710	6262
gene-b0711	5730
gene-b0712	2728
gene-b0713	965
gene-b0714	1386
gene-b0715	180
gene-b0716	192
gene-b0717	52
gene-b0718	119
gene-b0719	79
gene-b0720	153321
gene-b4735	8625
gene-b0721	80756
gene-b0722	67999
gene-b0723	233355
gene-b0724	53798
gene-b0726	222486
gene-b0727	91519
gene-b0728	29133
gene-b0729	33999
gene-b0730	300
gene-b0731	130
gene-b0732	1022
gene-b0733	76590
gene-b0734	55462
gene-b4515	12865
gene-b0735	10773
gene-b0736	2910
gene-b0737	3227
gene-b0738	3310
gene-b0739	9666
gene-b0740	26605
gene-b0741	33867
gene-b0742	28601
gene-b0743	2401
gene-b0744	2544
gene-b0745	5318
gene-b0746	3294
gene-b0747	5432
gene-b0748	7015
gene-b0749	4496
gene-b0750	748
gene-b0751	1033
gene-b0752	691
gene-b0753	68
gene-b0754	810
gene-b0755	44708
gene-b0756	16175
gene-b0757	12236
gene-b0758	10450
gene-b0759	6028
gene-b0760	1547
gene-b0761	484
gene-b0762	237
gene-b0763	3340
gene-b0764	1687
gene-b0765	3156
gene-b0766	1286
gene-b0767	1287
gene-b0768	234
gene-b0769	14
gene-b0770	42
gene-b0771	429
gene-b0772	15079
gene-b0773	2479
gene-b0774	129
gene-b0775	355
gene-b0776	257
gene-b0777	217
gene-b0778	87
gene-b0779	19831
gene-b0780	1521
gene-b0781	14978
gene-b0782	13605
gene-b0783	15963
gene-b0784	5779
gene-b0785	4491
gene-b0786	3339
gene-b0787	112
gene-b0788	85
gene-b0789	119
gene-b0790	42
gene-b0791	2005
gene-b0792	836
gene-b0793	246
gene-b0794	579
gene-b0795	422
gene-b0796	245
gene-b0797	385
gene-b0798	104
gene-b0799	10523
gene-b0800	5717
gene-b0801	1112
gene-b0802	662
gene-b0803	58
gene-b0804	224
gene-b0805	1714
gene-b0806	52
gene-b0807	551
gene-b0808	327
gene-b0809	12188
gene-b0810	3239
gene-b0811	48787
gene-b0812	5310
gene-b0813	222
gene-b4736	300
gene-b0814	59506
gene-b0815	908
gene-b4416	837
gene-b4705	642
gene-b0817	2043
gene-b0818	1180
gene-b0819	4018
gene-b0820	6819
gene-b0821	328
gene-b0822	640
gene-b0823	497
gene-b0824	86
gene-b0825	686
gene-b0826	8126
gene-b0827	5030
gene-b0828	647
gene-b0829	2252
gene-b0830	1145
gene-b0831	645
gene-b0832	180
gene-b0833	2677
gene-b0834	1061
gene-b0835	2314
gene-b0836	3914
gene-b0837	919
gene-b0838	841
gene-b0839	5022
gene-b0840	1014
gene-b0841	1575
gene-b0842	1013
gene-b0843	252
gene-b0844	1104
gene-b0845	589
gene-b0846	463
gene-b4417	283
gene-b0847	1914
gene-b0848	639
gene-b0849	1568
gene-b0850	1485
gene-b0851	2141
gene-b0852	4770
gene-b0853	17779
gene-b0854	538
gene-b0855	198
gene-b0856	61
gene-b0857	275
gene-b0858	289
gene-b0859	1601
gene-b0860	323
gene-b0861	765
gene-b0862	918
gene-b0863	1275
gene-b0864	1075
gene-b0865	546
gene-b0866	593
gene-b0867	415
gene-b0868	1848
gene-b0869	1743
gene-b0870	4529
gene-b0871	563
gene-b0872	168
gene-b0873	164
gene-b0874	240
gene-b0875	100
gene-b0876	2345
gene-b0877	3319
gene-b0878	1032
gene-b0879	1665
gene-b0880	5206
gene-b0881	7939
gene-b0882	67968
gene-b0883	333
gene-b0884	4565
gene-b0885	1532
gene-b0886	3352
gene-b0887	3490
gene-b0888	13685
gene-b0889	4008
gene-b0890	23135
gene-b0891	1897
gene-b0892	3498
gene-b0893	37204
gene-b0894	407
gene-b0895	114
gene-b0896	133
gene-b0897	74
gene-b0898	355
gene-b0899	866
gene-b0900	466
gene-b0901	167
gene-b0902	6318
gene-b0903	246953
gene-b0904	7640
gene-b0905	13268
gene-b0906	290
gene-b0907	4904
gene-b0908	2110
gene-b0909	61
gene-b0910	6850
gene-b0911	252286
gene-b0912	6559
gene-b0913	1241
gene-b0914	17479
gene-b0915	1624
gene-b0916	861
gene-b0917	2971
gene-b0918	5707
gene-b0919	550
gene-b0920	618
gene-b0921	2140
gene-b0922	11185
gene-b0923	8012
gene-b0924	31232
