Geneid	1714__ROC_MOXI_N=2_library-read-1.fastq.gz
gene-b0001	207
gene-b0002	2066
gene-b0003	1792
gene-b0004	1506
gene-b0005	263
gene-b0006	1058
gene-b0007	99
gene-b0008	52033
gene-b0009	3721
gene-b0010	1188
gene-b0011	98
gene-b0012	56
gene-b0013	28
gene-b0014	134933
gene-b0015	10899
gene-b0016	732
gene-b4412	407
gene-b0018	437
gene-b4413	97
gene-b0019	3671
gene-b0020	1176
gene-b0021	85
gene-b0022	251
gene-b0023	64010
gene-b0024	26619
gene-b0025	5977
gene-b0026	49522
gene-b0027	4950
gene-b0028	3081
gene-b0029	3062
gene-b0030	2798
gene-b0031	1021
gene-b0032	1581
gene-b0033	4426
gene-b0034	90
gene-b0035	57
gene-b0036	48
gene-b0037	302
gene-b0038	460
gene-b0039	346
gene-b0040	38
gene-b0041	46
gene-b0042	29
gene-b0043	37
gene-b0044	7
gene-b0045	102
gene-b0046	422
gene-b0047	303
gene-b0048	2634
gene-b0049	1871
gene-b0050	5413
gene-b0051	6750
gene-b0052	3674
gene-b0053	29321
gene-b0054	24723
gene-b0055	2188
gene-b0056	1217
gene-b0057	543
gene-b0058	3723
gene-b0059	18595
gene-b0060	5447
gene-b0061	95
gene-b0062	138
gene-b0063	199
gene-b0064	3130
gene-b0065	1420
gene-b0066	562
gene-b0067	331
gene-b0068	447
gene-b0069	771
gene-b4577	136
gene-b4662	71
gene-b0070	755
gene-b0071	312
gene-b0072	365
gene-b0073	182
gene-b0074	184
gene-b0075	8
gene-b0076	63
gene-b4726	1
gene-b0077	702
gene-b0078	64
gene-b0080	2951
gene-b0081	3343
gene-b0082	12547
gene-b0083	4917
gene-b0084	2955
gene-b0085	7464
gene-b0086	7007
gene-b0087	3075
gene-b0088	5230
gene-b0089	2155
gene-b0090	3225
gene-b0091	4425
gene-b0092	4964
gene-b0093	6895
gene-b0094	12432
gene-b0095	26502
gene-b0096	25505
gene-b0097	3828
gene-b0098	26296
gene-b0099	1211
gene-b0101	3294
gene-b0102	3273
gene-b0103	2224
gene-b4727	29
gene-b0104	7879
gene-b0106	902
gene-b0107	193
gene-b0108	19
gene-b0109	545
gene-b0110	296
gene-b0111	825
gene-b0112	688
gene-b0113	2818
gene-b0114	870834
gene-b0115	277853
gene-b0116	322199
gene-b0117	484
gene-b0118	47368
gene-b0119	1098
gene-b0120	7135
gene-b0121	4945
gene-b0122	2117
gene-b0123	921
gene-b0124	697
gene-b0125	4847
gene-b0126	4157
gene-b0127	2560
gene-b0128	2100
gene-b0129	550
gene-b0130	986
gene-b0131	773
gene-b0132	1232
gene-b0133	6204
gene-b0134	804
gene-b0135	46
gene-b0136	51
gene-b0137	98
gene-b0138	21
gene-b0139	130
gene-b0140	18
gene-b0141	9
gene-b0142	1437
gene-b0143	11255
gene-b0144	3758
gene-b0145	17975
gene-b0146	7518
gene-b0147	711
gene-b0148	7120
gene-b0149	4452
gene-b0150	17968
gene-b0151	3770
gene-b0152	1541
gene-b0153	4916
gene-b0154	4300
gene-b0155	1894
gene-b4728	2110
gene-b0156	10848
gene-b0157	946
gene-b0158	1065
gene-b0159	3573
gene-b0160	828
gene-b0161	17066
gene-b0162	1926
gene-b0163	866
gene-b0164	222
gene-b0166	1630
gene-b0167	4643
gene-b0168	5870
gene-b4414	10544
gene-b0169	262171
gene-b0170	118491
gene-b0171	106079
gene-b0172	39041
gene-b0173	4116
gene-b0174	3483
gene-b0175	3875
gene-b0176	12286
gene-b0177	61981
gene-b0178	12886
gene-b0179	26788
gene-b0180	42489
gene-b0181	17774
gene-b0182	13337
gene-b0183	2321
gene-b0184	28940
gene-b0185	14045
gene-b0186	621
gene-b0187	336
gene-b0188	2558
gene-b0189	1208
gene-b4406	620
gene-b0190	428
gene-b0191	499
gene-b0192	924
gene-b0193	204
gene-b0194	51577
gene-b0195	2251
gene-b0196	1406
gene-b0197	860
gene-b0198	163
gene-b0199	178
gene-b0200	609
gene-b0201	9757
gene-b0202	153
gene-b0203	604
gene-b0204	13748
gene-b0205	1204
gene-b0206	1328
gene-b0207	1155
gene-b0208	650
gene-b0209	922
gene-b0210	725
gene-b0211	20748
gene-b0212	796
gene-b0213	683
gene-b0214	425
gene-b0215	3406
gene-b0216	202
gene-b0217	475
gene-b4586	206
gene-b0219	220
gene-b0220	291
gene-b0221	1489
gene-b0222	2008
gene-b0223	3565
gene-b0224	3698
gene-b0225	3635
gene-b0226	1229
gene-b0227	34
gene-b0228	281
gene-b0231	4610
gene-b0232	1347
gene-b0233	1843
gene-b0234	267
gene-b0237	7945
gene-b0238	19332
gene-b0239	5833
gene-b4710	1211
gene-b4709	6
gene-b0241	9
gene-b0242	2875
gene-b0243	2231
gene-b0244	224
gene-b0245	184
gene-b0246	160
gene-b4504	152
gene-b0247	227
gene-b0248	197
gene-b0249	468
gene-b0250	535
gene-b0251	79
gene-b0252	80
gene-b0253	572
gene-b0254	132
gene-b0256	589
gene-b4690	38
gene-b0258	410
gene-b0259	58
gene-b0260	101
gene-b0261	680
gene-b0262	197
gene-b0264	4
gene-b0265	142
gene-b0266	288
gene-b0267	43
gene-b0268	493
gene-b0269	629
gene-b0270	100
gene-b0271	202
gene-b0272	179
gene-b0273	145
gene-b4688	50
gene-b0274	70
gene-b0275	0
gene-b0276	292
gene-b0277	386
gene-b0278	294
gene-b0279	84
gene-b4729	291
gene-b0280	2799
gene-b0281	2079
gene-b0282	60
gene-b0283	124
gene-b0284	103
gene-b0285	80
gene-b0286	16
gene-b0287	243
gene-b0288	476
gene-b0289	137
gene-b0290	415
gene-b0291	150
gene-b0292	19
gene-b0293	53
gene-b0294	19
gene-b0295	1164
gene-b4506	1624
gene-b0296	2013
gene-b4671	7
gene-b0298	6
gene-b0299	29
gene-b0301	32
gene-b0303	58
gene-b0304	57
gene-b0305	68
gene-b0306	4482
gene-b0307	12856
gene-b0308	8006
gene-b0310	191
gene-b0311	2619
gene-b0312	2906
gene-b0313	625
gene-b0314	1637
gene-b4730	8
gene-b0315	1259
gene-b0316	323
gene-b0317	32
gene-b0318	31
gene-b0319	82
gene-b0320	65
gene-b0321	77
gene-b0322	16
gene-b0323	81
gene-b0324	1694
gene-b0325	818
gene-b0326	24
gene-b0327	58
gene-b0328	121
gene-b0329	203
gene-b0330	139
gene-b0331	4811
gene-b0333	1533
gene-b0334	851
gene-b0335	1123
gene-b0336	917
gene-b0337	1819
gene-b0338	419
gene-b0339	120
gene-b0340	152
gene-b0341	115
gene-b0342	46
gene-b0343	114
gene-b0344	410
gene-b0345	736
gene-b0346	1194
gene-b0347	17
gene-b0348	39
gene-b0349	37
gene-b0350	20
gene-b0351	255
gene-b0352	135
gene-b0353	141
gene-b0354	1348
gene-b0355	4742
gene-b0356	5128
gene-b0357	1209
gene-b0358	12
gene-b0360	0
gene-b0361	4
gene-b0363	53
gene-b4731	13
gene-b0364	30
gene-b0365	40
gene-b0366	30
gene-b0367	73
gene-b0368	312
gene-b0369	9262
gene-b0372	95
gene-b0373	42
gene-b0375	311
gene-b0376	884
gene-b0377	804
gene-b0378	772
gene-b0379	154
gene-b0380	12453
gene-b0381	11692
gene-b0382	414
gene-b0383	279
gene-b0384	112
gene-b0385	448
gene-b0386	737
gene-b0387	236
gene-b0388	653
gene-b0389	816
gene-b0390	795
gene-b0391	1626
gene-b4732	307
gene-b0393	9883
gene-b0394	553
gene-b0396	682
gene-b0397	3185
gene-b0398	1733
gene-b0399	475
gene-b0400	533
gene-b0401	1778
gene-b0402	2395
gene-b0403	784
gene-b0404	885
gene-b0405	2870
gene-b0406	16164
gene-b0407	6408
gene-b0408	19668
gene-b0409	7148
gene-b0410	544
gene-b0411	71081
gene-b0412	127
gene-b0413	2473
gene-b0414	4929
gene-b0415	11096
gene-b0416	26807
gene-b0417	4086
gene-b0418	2003
gene-b0419	2521
gene-b0420	10103
gene-b0421	13694
gene-b0422	4326
gene-b0423	21348
gene-b0424	1139
gene-b0425	923
gene-b0426	18577
gene-b0427	1860
gene-b0428	17854
gene-b0429	16740
gene-b0430	47415
gene-b0431	113330
gene-b0432	48656
gene-b0433	3648
gene-b0434	6636
gene-b0435	964
gene-b0436	35729
gene-b0437	7663
gene-b0438	17904
gene-b0439	33678
gene-b0440	2868
gene-b0441	4865
gene-b0442	298
gene-b0443	98
gene-b0444	667
gene-b0445	1572
gene-b0446	430
gene-b0447	1192
gene-b0448	1150
gene-b0449	934
gene-b0450	31
gene-b0451	262
gene-b0452	669
gene-b0453	183
gene-b0454	40
gene-b0455	43
gene-b0456	139
gene-b0457	1959
gene-b0458	4767
gene-b0459	2654
gene-b0460	1575
gene-b0461	1040
gene-b0462	21533
gene-b0463	8585
gene-b0464	1311
gene-b0465	7287
gene-b0466	201
gene-b0467	277
gene-b0468	829
gene-b0469	1187
gene-b0470	8010
gene-b0471	6952
gene-b0472	6328
gene-b0473	38250
gene-b0474	2269
gene-b0475	323
gene-b0476	753
gene-b0477	3291
gene-b0478	3799
gene-b0479	296
gene-b0480	1195
gene-b0481	591
gene-b4585	185
gene-b0482	330
gene-b0483	1024
gene-b0484	2540
gene-b0485	73
gene-b0486	152
gene-b0487	737
gene-b0488	1106
gene-b0489	773
gene-b0490	111
gene-b0491	635
gene-b0492	7516
gene-b0493	613
gene-b0494	869
gene-b0495	628
gene-b0496	349
gene-b0497	339
gene-b0498	203
gene-b0502	504
gene-b0503	835
gene-b0504	23
gene-b0505	82
gene-b0506	4882
gene-b0507	71
gene-b0508	50
gene-b0509	26
gene-b0511	4
gene-b0512	23
gene-b0513	66
gene-b0514	48
gene-b0515	116
gene-b0516	130
gene-b0517	24
gene-b0518	32
gene-b4572	80
gene-b0520	45
gene-b0521	110
gene-b0522	700
gene-b0523	236
gene-b0524	15956
gene-b0525	51905
gene-b0526	6440
gene-b0527	322
gene-b0528	1202
gene-b0529	5236
gene-b0530	28
gene-b0531	6
gene-b0532	40
gene-b0533	27
gene-b0534	8
gene-b0535	38
gene-b0536	287
gene-b0537	1264
gene-b0540	17
gene-b0541	42
gene-b0543	1677
gene-b4733	589
gene-b0544	133
gene-b0545	175
gene-b0546	428
gene-b4588	32
gene-b0547	20
gene-b0548	1
gene-b0549	1
gene-b0550	7
gene-b4509	3
gene-b0551	71
gene-b0552	8007
gene-b0554	67
gene-b0555	210
gene-b0556	2397
gene-b4510	704
gene-b0557	6581
gene-b0558	24
gene-b0559	58
gene-b4589	8
gene-b0560	39
gene-b0561	64
gene-b0563	20
gene-b0564	838
gene-b0565	67250
gene-b0566	159
gene-b0567	1674
