Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b1457	245
gene-b4745	190
gene-b1460	58
gene-b1461	256
gene-b1462	211
gene-b1463	216
gene-b1464	745
gene-b1465	121
gene-b1466	91
gene-b1467	160
gene-b1468	494
gene-b1469	30
gene-b1471	7
gene-b1472	0
gene-b1473	82
gene-b1474	1350
gene-b1475	384
gene-b1476	271
gene-b1477	448
gene-b1478	350
gene-b1479	7746
gene-b1480	236
gene-b1481	8
gene-b1482	508
gene-b1483	148
gene-b1484	79
gene-b1485	146
gene-b1486	126
gene-b1487	265
gene-b1488	51
gene-b1489	149
gene-b1490	158
gene-b4746	10
gene-b1491	680
gene-b1492	15876
gene-b1493	10851
gene-b1494	1628
gene-b1495	479
gene-b1496	147
gene-b4747	36
gene-b1497	923
gene-b1498	1308
gene-b1499	36
gene-b1500	0
gene-b1501	218
gene-b1502	23
gene-b1503	11
gene-b1504	17
gene-b1505	25
gene-b1507	478
gene-b1508	158
gene-b1511	5464
gene-b1512	9636
gene-b1513	7060
gene-b1514	4153
gene-b1515	3007
gene-b1516	2844
gene-b1517	5779
gene-b1518	1070
gene-b1519	1568
gene-b1520	291
gene-b1521	4389
gene-b1522	363
gene-b1523	457
gene-b1524	2292
gene-b1525	1095
gene-b1526	422
gene-b1527	71
gene-b1528	125
gene-b1529	378
gene-b1530	596
gene-b1531	1414
gene-b1532	699
gene-b1533	1021
gene-b1534	287
gene-b4599	1220
gene-b4698	63
gene-b1535	852
gene-b1536	24
gene-b1537	207
gene-b1538	7025
gene-b1539	4599
gene-b1540	872
gene-b1541	91
gene-b1542	102
gene-b1543	104
gene-b4748	94
gene-b1544	59
gene-b1545	30
gene-b1546	4
gene-b1547	24
gene-b1548	15
gene-b4533	4
gene-b1549	74
gene-b1550	406
gene-b1551	8
gene-b4749	0
gene-b4724	9
gene-b1552	25
gene-b1553	12
gene-b4689	7
gene-b1554	26
gene-b1555	63
gene-b1556	47
gene-b1557	554
gene-b1558	148
gene-b4750	172
gene-b1559	126
gene-b1560	104
gene-b1561	63
gene-b1562	862
gene-b1563	844
gene-b1564	701
gene-b1565	322
gene-b1566	67
gene-b1567	19
gene-b1568	40
gene-b1569	27
gene-b1570	941
gene-b1571	17
gene-b1572	33
gene-b1573	23
gene-b1574	3
gene-b1575	6
gene-b1576	4
gene-b4534	74
gene-b1580	1824
gene-b1581	2050
gene-b1582	41
gene-b1583	301
gene-b1584	2352
gene-b1585	937
gene-b1586	163
gene-b1587	94
gene-b1588	659
gene-b1589	77
gene-b1590	812
gene-b1591	1323
gene-b1592	405
gene-b1593	856
gene-b1594	5326
gene-b1595	123
gene-b1596	14857
gene-b1597	120
gene-b4601	61
gene-b1598	322
gene-b1599	211
gene-b1600	177
gene-b1601	345
gene-b1602	6833
gene-b1603	3518
gene-b1604	5850
gene-b1605	353
gene-b1606	440
gene-b1607	379
gene-b1608	1463
gene-b1609	1239
gene-b1610	2306
gene-b1611	13192
gene-b1612	63526
gene-b1613	4292
gene-b1614	2217
gene-b1615	52
gene-b1616	302
gene-b1617	993
gene-b1618	1276
gene-b1619	2039
gene-b1620	398
gene-b1621	5886
gene-b1622	3678
gene-b1623	7269
gene-b1624	2853
gene-b4409	267
gene-b1625	858
gene-b1626	1039
gene-b1627	805
gene-b1628	1821
gene-b1629	2642
gene-b1630	930
gene-b1631	561
gene-b1632	1293
gene-b1633	759
gene-b1634	5804
gene-b1635	2038
gene-b1636	2156
gene-b1637	14146
gene-b1638	1159
gene-b1639	568
gene-b1640	2738
gene-b1641	8999
gene-b1642	1587
gene-b1643	178
gene-b1644	313
gene-b1645	930
gene-b1646	1027
gene-b1647	4400
gene-b1648	46
gene-b1649	138
gene-b1650	1151
gene-b1651	1493
gene-b1652	949
gene-b1653	3138
gene-b1654	6562
gene-b1655	902
gene-b1656	3648
gene-b1657	166
gene-b4602	390
gene-b1658	1688
gene-b1659	881
gene-b1660	747
gene-b1661	8028
gene-b1662	4970
gene-b1663	1005
gene-b1664	4744
gene-b1665	44
gene-b1666	54
gene-b1667	2037
gene-b1668	329
gene-b1669	115
gene-b1670	52
gene-b1671	119
gene-b1672	103
gene-b1673	139
gene-b1674	35
gene-b1675	27
gene-b1676	26573
gene-b1677	5213
gene-b1678	674
gene-b1679	275
gene-b1680	1248
gene-b1681	1663
gene-b1682	1563
gene-b1683	1922
gene-b1684	297
gene-b4430	74
gene-b1685	475
gene-b1686	265
gene-b1687	1836
gene-b1688	1300
gene-b4431	20
gene-b1689	79
gene-b1690	34
gene-b1691	23
gene-b1692	152
gene-b1693	290
gene-b1694	76
gene-b1695	65
gene-b1696	106
gene-b1697	78
gene-b1698	89
gene-b1699	70
gene-b1700	46
gene-b1701	261
gene-b1702	32238
gene-b1703	750
gene-b1704	631
gene-b1705	325
gene-b1706	5694
gene-b1707	198
gene-b1708	1073
gene-b1709	428
gene-b1710	971
gene-b1711	911
gene-b1712	11317
gene-b1713	33328
gene-b1714	9581
gene-b1715	327
gene-b1716	45702
gene-b1717	54424
gene-b1718	143280
gene-b1719	87247
gene-b4535	28
gene-b1722	232
gene-b1723	591
gene-b1724	268
gene-b1725	1899
gene-b1726	1479
gene-b1727	379
gene-b1728	360
gene-b1729	1389
gene-b1730	98
gene-b1731	73
gene-b1732	973
gene-b1733	501
gene-b1734	357
gene-b1735	457
gene-b1736	335
gene-b1737	388
gene-b1738	105
gene-b1739	153
gene-b1740	2430
gene-b1741	3893
gene-b1742	486
gene-b1743	466
gene-b1744	120
gene-b1745	310
gene-b1746	464
gene-b1747	315
gene-b1748	781
gene-b1749	2117
gene-b1750	194
gene-b1751	46
gene-b1752	82
gene-b1753	101
gene-b1754	263
gene-b1755	237
gene-b1756	229
gene-b1757	642
gene-b1758	204
gene-b1759	67
gene-b1760	50
gene-b1761	1753
gene-b1762	324
gene-b1763	16067
gene-b1764	18019
gene-b1765	1310
gene-b1766	4264
gene-b1767	3460
gene-b1768	1487
gene-b1769	778
gene-b1770	1616
gene-b1771	164
gene-b1772	201
gene-b1773	142
gene-b1774	180
gene-b1775	300
gene-b1776	298
gene-b1777	4000
gene-b1778	8310
gene-b1779	274318
gene-b1780	9229
gene-b1781	1858
gene-b1782	9195
gene-b1783	1245
gene-b1784	320
gene-b1785	38
gene-b1786	2866
gene-b1787	371
gene-b1788	121
gene-b1789	189
gene-b1790	391
gene-b1791	653
gene-b1792	385
gene-b1793	158
gene-b1794	2525
gene-b4676	141
gene-b4675	106
gene-b1795	373
gene-b1796	163
gene-b1797	743
gene-b1798	545
gene-b1799	2526
gene-b1800	206
gene-b1801	109
gene-b1802	134
gene-b1803	187
gene-b1804	1019
gene-b1805	1543
gene-b1806	1782
gene-b1807	3724
gene-b1808	3919
gene-b1809	972
gene-b1810	248
gene-b1811	222
gene-b1812	2271
gene-b1813	1366
gene-b1814	29965
gene-b1815	762
gene-b1816	3169
gene-b4751	298
gene-b1817	40977
gene-b1818	40813
gene-b1819	54661
gene-b1820	4847
gene-b1821	299
gene-b1822	1333
gene-b1823	130973
gene-b1824	64733
gene-b1825	2148
gene-b1826	150
gene-b4536	320
gene-b1827	11388
gene-b1828	269
gene-b1829	1832
gene-b1830	15063
gene-b1831	10126
gene-b1832	1280
gene-b1833	747
gene-b1834	1994
gene-b1835	2717
gene-b1836	184
gene-b1837	210
gene-b1838	188
gene-b4432	571
gene-b4433	274
gene-b1839	1111
gene-b1840	2009
gene-b1841	1792
gene-b1842	540
gene-b1843	1052
gene-b1844	1319
gene-b1845	1760
gene-b1846	730
gene-b1847	9298
gene-b1848	7492
gene-b1849	552
gene-b1850	4541
gene-b1851	1450
gene-b1852	11482
gene-b1853	3603
gene-b1854	30291
gene-b1855	4799
gene-b1856	14313
gene-b1857	25894
gene-b1858	2672
gene-b1859	1845
gene-b1860	6189
gene-b1861	6343
gene-b4677	14
gene-b1862	270
gene-b1863	2566
gene-b1864	7975
gene-b1865	5865
gene-b1866	19659
gene-b1867	348
gene-b1868	692
gene-b1869	328
gene-b1870	1784
gene-b1871	2308
gene-b1872	761
gene-b1873	172
gene-b4717	90
gene-b1874	2020
gene-b1875	2278
gene-b1876	13615
gene-b1877	467
gene-b1878	771
gene-b1879	3679
gene-b1880	2069
gene-b1881	553
gene-b1882	348
gene-b1883	204
gene-b1884	284
gene-b1885	422
gene-b1886	260
gene-b1887	493
gene-b1888	1213
gene-b1889	259
gene-b1890	306
gene-b1891	3825
gene-b1892	2997
gene-b1893	247
gene-b1894	4
gene-b1895	191
gene-b1896	1755
gene-b1897	397
gene-b4460	291
gene-b1900	547
gene-b1901	534
gene-b1902	328
gene-b4537	158
gene-b4663	87
gene-b1904	1356
gene-b1905	1417
gene-b1906	357
gene-b1907	3943
gene-b1908	1387
gene-b1909	289
gene-b1910	390
gene-b1911	303
gene-b1912	3102
gene-b1913	2793
gene-b1914	681
gene-b4752	250
gene-b1915	809
gene-b1916	254
gene-b4719	69
gene-b1917	668
gene-b1918	525
gene-b1919	1312
gene-b1920	2099
gene-b1921	4408
gene-b1922	13729
gene-b1923	3297
gene-b1924	996
gene-b1925	739
gene-b1926	881
gene-b1927	628
gene-b1928	1684
gene-b1929	7538
gene-b1930	758
gene-b1931	255
gene-b1932	91
gene-b1937	958
gene-b1938	12480
gene-b1939	8119
gene-b1940	2515
gene-b1941	3115
gene-b1942	858
gene-b1943	819
gene-b1944	6738
gene-b1945	17282
gene-b1946	7790
gene-b1947	2337
gene-b1948	2402
gene-b1949	1024
gene-b1950	1336
gene-b1951	953
gene-b1952	208
gene-b1953	220
gene-b1954	288
gene-b1955	196
gene-b1956	963
gene-b1957	177
gene-b1958	1317
gene-b1959	259
gene-b1960	829
gene-b1961	3896
gene-b1962	283
gene-b1963	87
gene-b4603	6
gene-b1967	2240
gene-b1968	1177
gene-b1969	592
gene-b1970	45
gene-b1971	252
gene-b1972	142
gene-b1973	6113
gene-b1974	140
gene-b1975	437
gene-b1976	15967
gene-b1977	847
gene-b1978	1915
gene-b1981	1761
gene-b1982	3457
gene-b1983	15432
gene-b1984	16
gene-b1985	239
gene-b1986	22
gene-b1987	366
gene-b1988	142
gene-b1989	21
gene-b1990	872
gene-b1991	1314
gene-b1992	563
gene-b1993	560
gene-b1994	99
gene-b1996	86
gene-b1997	7
gene-b4435	182
gene-b2000	3783
gene-b2001	611
gene-b2002	129
gene-b2003	27
gene-b2004	73
gene-b2005	15
gene-b2006	39
gene-b4538	534
gene-b2007	7044
gene-b2008	7486
gene-b2009	12960
gene-b2010	326
gene-b2011	4085
gene-b2012	599
gene-b2013	172
gene-b2014	1620
gene-b4678	131
gene-b2015	1067
gene-b2016	2280
gene-b4539	1364
gene-b2017	1451
gene-b2018	10
gene-b2019	327
gene-b2020	665
gene-b2021	287
gene-b2022	1056
gene-b2023	417
gene-b2024	413
gene-b2025	535
gene-b2026	783
gene-b2027	18296
gene-b2028	2241
gene-b2029	83059
gene-b2030	1767
gene-b2032	12161
gene-b2033	14639
gene-b2034	26118
gene-b2035	8848
gene-b2036	20972
gene-b2037	5724
gene-b2038	5327
gene-b2039	8107
gene-b2040	6910
gene-b2041	8837
gene-b2042	3668
gene-b2043	246
gene-b2044	121
gene-b2045	104
gene-b2046	70
gene-b2047	60
gene-b2048	114
gene-b2049	76
gene-b2050	104
gene-b2051	78
gene-b2052	184
gene-b2053	242
gene-b2054	33
gene-b2055	65
gene-b2056	85
gene-b2057	59
gene-b2058	14
gene-b2059	55
gene-b2060	87
gene-b2061	4
gene-b2062	11
gene-b2063	1160
gene-b2064	5318
gene-b2065	3115
gene-b2066	3155
gene-b2067	1569
gene-b2068	341
gene-b2069	2464
gene-b2070	644
gene-b2071	9
gene-b2072	61
gene-b2073	46
gene-b4436	145
gene-b4667	107
gene-b4437	98
gene-b4668	77
gene-b2074	216
gene-b2075	567
gene-b2076	332
gene-b2077	192
gene-b2078	241
gene-b2079	636
gene-b2080	64
gene-b2081	3414
gene-b4438	880
gene-b2082	48
gene-b2085	14
gene-b2086	257
gene-b2088	3
gene-b2089	294
gene-b2091	40668
gene-b2093	46900
gene-b2094	94015
gene-b2095	299320
gene-b2096	232400
gene-b2097	2040
gene-b2098	316
gene-b2099	574
gene-b2100	743
gene-b2101	367
gene-b2102	168
gene-b2103	221
gene-b2104	283
gene-b2105	120
gene-b2106	109
gene-b2107	486
gene-b2108	77
gene-b2109	25
gene-b2110	7
gene-b2111	25
gene-b2112	78
gene-b2113	10010
gene-b2114	15196
gene-b2115	129
gene-b2118	251
gene-b4541	15
gene-b2119	22
gene-b2120	56
gene-b2121	28
gene-b2122	87
gene-b2123	180
gene-b2124	2179
gene-b2125	6638
gene-b2126	8138
gene-b2127	229
gene-b4542	52
gene-b2128	147
gene-b2129	118
gene-b2130	196
gene-b2131	205
gene-b2132	2080
gene-b2133	4013
gene-b2134	1954
gene-b2135	241
gene-b2136	294
gene-b2137	183
gene-b4679	43
gene-b2140	604
gene-b2141	51
gene-b2142	126
gene-b2143	5496
gene-b2144	1297
gene-b2145	484
gene-b2146	2842
gene-b2147	3417
gene-b2148	28070
gene-b2149	61494
gene-b2150	126945
gene-b2151	15815
gene-b2152	2107
gene-b2153	1921
gene-b2154	715
gene-b2155	1510
gene-b2156	2729
gene-b2157	1203
gene-b2158	635
gene-b2159	1586
gene-b2160	1546
gene-b2161	68
gene-b2162	31
gene-b2163	29
gene-b2164	328
gene-b2165	257
gene-b2166	119
gene-b2167	2895
gene-b2168	2174
gene-b2169	2428
gene-b2170	354
gene-b4502	136
gene-b2171	779
gene-b2172	4363
gene-b2173	3118
gene-b2174	2072
gene-b2175	40861
gene-b2176	1037
gene-b2177	688
gene-b2178	475
gene-b2179	363
gene-b2180	1610
gene-b2181	415
gene-b2182	2385
gene-b2183	1555
gene-b2184	697
gene-b2185	968
gene-b2186	8721
gene-b2187	1184
gene-b2188	5532
gene-b2189	383
gene-b2192	149
gene-b2193	647
gene-b2194	594
gene-b2195	366
gene-b2196	1127
gene-b2197	523
gene-b2198	256
gene-b2199	789
gene-b2200	447
gene-b2201	707
gene-b2202	215
gene-b2203	47
gene-b2204	203
gene-b2205	224
gene-b2206	793
gene-b2207	74
gene-b2208	67
gene-b4604	10
gene-b2209	3476
gene-b2210	1308
gene-b2211	1712
gene-b2212	347
gene-b2213	474
gene-b2214	752
gene-b2215	272192
gene-b4439	56
gene-b2216	6929
gene-b2217	6688
gene-b2218	3426
gene-b2219	1440
gene-b2220	1446
gene-b2221	35
gene-b2222	5
gene-b2223	38
gene-b2224	44
gene-b2225	58
gene-b2226	121
gene-b2229	32
gene-b2230	119
gene-b2231	21461
gene-b2232	1108
gene-b2233	897
gene-b4605	19
gene-b2234	25524
gene-b2235	13108
gene-b2236	3640
gene-b2237	2877
gene-b2239	305892
gene-b2240	295285
gene-b2241	48711
gene-b2242	40619
gene-b2243	15272
gene-b2244	946
gene-b2245	157
gene-b2246	165
gene-b2247	143
gene-b2248	97
gene-b2249	891
gene-b2250	140
gene-b2251	368
gene-b2252	34
gene-b2253	88
gene-b2254	75
gene-b2255	299
gene-b2256	120
gene-b2257	124
gene-b4544	56
gene-b2258	144
gene-b2259	250
gene-b2260	3005
gene-b2261	6372
gene-b2262	4655
gene-b2263	1731
gene-b2264	2631
gene-b2265	4142
gene-b2266	539
gene-b2267	403
gene-b2268	398
gene-b2269	195
gene-b2270	138
gene-b2271	25
gene-b2272	130
gene-b2273	46
gene-b2274	47
gene-b2275	914
gene-b2276	14611
gene-b2277	14757
gene-b2278	28274
gene-b2279	2922
gene-b2280	6859
gene-b2281	9101
gene-b2282	24419
gene-b2283	94757
gene-b2284	51471
gene-b2285	32812
gene-b2286	94237
gene-b2287	38501
gene-b2288	26607
gene-b2289	8908
gene-b2290	1713
gene-b2291	621
gene-b2292	1282
gene-b2293	3409
gene-b2294	3095
gene-b2295	2581
gene-b2296	46448
gene-b2297	188951
gene-b2298	183
gene-b2299	2317
gene-b2300	2021
gene-b2301	362
gene-b2302	83
gene-b2303	3735
gene-b2304	4408
gene-b2305	445
gene-b2306	286
gene-b2307	595
gene-b2308	800
gene-b2309	3343
gene-b2310	2030
gene-b2311	134
gene-b2312	2004
gene-b2313	1886
gene-b2314	2137
gene-b2315	6112
gene-b2316	28224
gene-b2317	1977
gene-b2318	4599
gene-b2319	7387
gene-b2320	4857
gene-b2321	808
gene-b2322	734
gene-b2323	42107
gene-b2324	5825
gene-b2325	1091
gene-b2326	1921
gene-b2327	1377
gene-b2328	1862
gene-b2329	9730
gene-b2330	6093
gene-b2331	363
gene-b2332	424
gene-b2333	17
gene-b2334	41
gene-b2335	53
gene-b2336	18
gene-b2339	27
gene-b2340	4946
gene-b2341	3781
gene-b2342	2784
gene-b2343	214
gene-b2344	6537
gene-b2345	303
gene-b2346	2217
gene-b2347	83
gene-b2348	18
gene-b2349	1152
gene-b2350	2399
gene-b2351	7788
gene-b2352	5829
gene-b2354	71
gene-b2356	3
gene-b2357	9
gene-b2358	1
gene-b2359	27
gene-b2360	154
gene-b2361	9
gene-b2362	7
gene-b2363	314
gene-b4545	45
gene-b4501	226
gene-b2364	2413
gene-b2365	8978
gene-b2366	14346
gene-b2367	76
gene-b2368	29
gene-b2369	700
gene-b2370	1432
gene-b2371	59
gene-b2372	25
gene-b2373	113
gene-b2374	60
gene-b2375	19
gene-b2376	62
gene-b2377	187
gene-b2378	974
gene-b4680	3
gene-b2379	666
gene-b2380	866
gene-b2381	1174
gene-b2382	184
gene-b2383	137
gene-b2384	29
gene-b2385	67
gene-b2386	48
gene-b2387	6
gene-b2388	6278
gene-b2389	168
gene-b2390	169
gene-b2392	772
gene-b2393	13763
gene-b2394	694
gene-b2395	1804
gene-b2396	94
gene-b2397	54
gene-b2398	1575
gene-b2399	2035
gene-b2400	19527
gene-b2401	31
gene-b2402	231
gene-b2403	1432
gene-b2404	765
gene-b2405	149
gene-b2406	156
gene-b2407	65
gene-b2408	44
gene-b2409	216
gene-b2410	3990
gene-b4546	886
gene-b2411	3970
gene-b2412	3726
gene-b2413	1115
gene-b2414	3335
gene-b2415	6456
gene-b2416	65492
gene-b2417	28103
gene-b2418	2157
gene-b2419	258
gene-b2420	439
gene-b2421	418
gene-b2422	155
gene-b2423	104
gene-b2424	113
gene-b2425	66
gene-b2426	15112
gene-b2427	318
gene-b2428	1288
gene-b2429	1019
gene-b2430	522
gene-b2431	3656
gene-b2432	703
gene-b2433	441
gene-b2434	403
gene-b2435	2002
gene-b2436	1441
gene-b2437	985
gene-b2438	476
gene-b2439	545
gene-b2440	484
gene-b2441	2598
gene-b2442	747
gene-b2443	540
gene-b2444	29
gene-b2445	70
gene-b2446	23
gene-b2447	50
gene-b2448	72
gene-b2449	309
gene-b2450	1626
gene-b2451	22
gene-b2452	36
gene-b2453	198
gene-b2454	21
gene-b2455	56
gene-b2456	32
gene-b2457	52
gene-b2458	203
gene-b2459	116
gene-b2460	103
gene-b2461	105
gene-b2462	100
gene-b2463	45440
gene-b2464	782
gene-b2465	755
gene-b2466	657
gene-b2467	578
gene-b2468	213
gene-b2469	379
gene-b2470	572
gene-b4606	1104
gene-b2471	450
gene-b2472	860
gene-b4547	472
gene-b2473	364
gene-b2474	3586
gene-b2475	1566
gene-b2476	1158
gene-b2477	12328
gene-b2478	9562
gene-b2479	2155
gene-b2480	2366
gene-b2481	15
gene-b2482	30
gene-b2483	11
gene-b2484	27
gene-b2485	18
gene-b2486	209
gene-b2487	127
gene-b2488	103
gene-b2489	82
gene-b2490	52
gene-b2491	217
gene-b2492	208
gene-b2493	1004
gene-b2494	2879
gene-b2495	996
gene-b2496	2990
gene-b2497	367
gene-b2498	10221
gene-b2499	317
gene-b2500	561
gene-b2501	8131
gene-b2502	4900
gene-b2503	334
gene-b2504	532
gene-b2505	10
gene-b2506	142
gene-b2507	69770
gene-b2508	20770
gene-b2509	2298
gene-b2510	846
gene-b2511	6008
gene-b2512	13661
gene-b2513	8357
gene-b2514	12842
gene-b2515	8254
gene-b2516	3976
gene-b2517	4840
gene-b2518	3399
gene-b2519	545
gene-b2520	6059
gene-b2521	5718
gene-b4440	833
gene-b2522	4861
gene-b2523	12583
gene-b2524	3167
gene-b2525	5417
gene-b2526	20620
gene-b2527	8450
gene-b2528	12141
gene-b2529	26287
gene-b2530	53186
gene-b2531	8767
gene-b2532	8208
gene-b2533	4026
gene-b2534	71
gene-b2535	6064
gene-b2536	944
gene-b4706	155
gene-b2537	1608
gene-b2538	186
gene-b2539	138
gene-b2540	50
gene-b2541	78
gene-b2542	109
gene-b2543	71
gene-b2544	131
gene-b2545	121
gene-b2546	52
gene-b2547	117
gene-b2548	34
gene-b2549	427
gene-b2550	448
gene-b2551	40995
gene-b2552	1080
gene-b2553	456
gene-b2554	899
gene-b2555	1499
gene-b2556	998
gene-b4441	59
gene-b2557	1602
gene-b2558	659
gene-b2559	434
gene-b2560	609
gene-b2561	183
gene-b2562	502
gene-b4687	126
gene-b4608	227
gene-b2563	2827
gene-b2564	3045
gene-b2565	3509
gene-b2566	14800
gene-b2567	7762
gene-b2568	5932
gene-b2569	10801
gene-b2570	1387
gene-b2571	13011
gene-b2572	14737
gene-b2573	10661
gene-b4725	811
gene-b2574	455
gene-b2575	664
gene-b2576	3897
gene-b2577	739
gene-b2578	101
gene-b2579	4387
gene-b2580	486
gene-b2581	1970
gene-b2582	759
gene-b2583	502
gene-b2584	15725
gene-b2585	11688
gene-b2586	1359
gene-b2587	15840
gene-b2588	136
gene-b2589	5464
gene-b2590	34786
gene-b2591	14008
gene-b2592	40128
gene-b4609	1845
gene-b2593	2209
gene-b2594	3110
gene-b2595	14433
gene-b2597	6745
gene-b2598	122
gene-b2599	1088
gene-b2600	5456
gene-b2601	4239
gene-b2602	101
gene-b2603	820
gene-b2604	1098
gene-b2605	438
gene-b2606	52614
gene-b2607	38409
gene-b2608	39371
gene-b2609	14902
gene-b2610	7023
gene-b2611	1443
gene-b4461	1648
gene-b2614	27879
gene-b2615	1557
gene-b2616	47679
gene-b2617	8902
gene-b2618	4853
gene-b2619	7865
gene-b2620	1023
gene-b2621	193332
gene-b2622	1260
gene-b2623	450
gene-b2624	23
gene-b2625	92
gene-b2626	62
gene-b2627	1630
gene-b2628	1938
gene-b2629	31
gene-b2630	6791
gene-b2631	2012
gene-b2632	96
gene-b2633	12
gene-b2634	102
gene-b2635	17
gene-b2636	55
gene-b2637	94
gene-b2638	157
gene-b2642	672
gene-b2643	19
gene-b2644	17
gene-b4548	19
gene-b2645	40
gene-b2646	41
gene-b2647	430
gene-b2649	23
gene-b2650	3
gene-b2652	0
gene-b2659	513
gene-b2660	186
gene-b2661	190
gene-b2662	207
gene-b2663	60
gene-b2664	365
gene-b2665	278
gene-b2666	20
gene-b2667	52
gene-b2668	197
gene-b2669	15015
gene-b2670	3971
gene-b2671	1250
gene-b2672	211
gene-b2673	213
gene-b2674	1184
gene-b2675	1853
gene-b2676	495
gene-b2677	1255
gene-b2678	763
gene-b2679	1165
gene-b2682	1082
gene-b2683	155
gene-b2684	1109
gene-b2685	471
gene-b2686	657
gene-b2687	1632
gene-b4442	577
gene-b2688	9441
gene-b2689	989
gene-b2690	826
gene-b2691	3199
gene-b2692	11281
gene-b2693	14969
gene-b2694	5460
gene-b2695	3744
gene-b2696	1756
gene-b2697	45121
gene-b2698	2612
gene-b2699	63228
gene-b2700	2078
gene-b2701	500
gene-b2702	1946
gene-b2703	1598
gene-b2704	502
gene-b2705	1242
gene-b2706	248
gene-b2707	2139
gene-b2708	2120
gene-b2709	1820
gene-b2710	154
gene-b2711	158
gene-b2712	1281
gene-b2713	152
gene-b2714	933
gene-b2715	525
gene-b2716	508
gene-b2717	477
gene-b2718	263
gene-b2719	100
gene-b2720	71
gene-b2721	72
gene-b2722	30
gene-b2723	44
gene-b2724	16
gene-b2725	16
gene-b2726	208
gene-b2727	766
gene-b2728	367
gene-b2729	1220
gene-b2730	1204
gene-b2731	571
gene-b2732	73
gene-b2733	9569
gene-b2734	148
gene-b2735	888
gene-b2736	624
gene-b2737	885
gene-b2738	408
gene-b2739	409
gene-b2740	147
gene-b2741	19659
gene-b2742	7756
gene-b2743	2549
gene-b2744	2348
gene-b2745	3735
gene-b2746	2284
gene-b2747	3393
gene-b2748	1974
gene-b2749	118
gene-b2750	204
gene-b2751	454
gene-b2752	101
gene-b2753	261
gene-b2754	84
gene-b2755	192
gene-b2756	167
gene-b2757	79
gene-b2758	95
gene-b2759	19
gene-b2760	73
gene-b2761	360
gene-b4701	1
gene-b2762	93
gene-b2763	188
gene-b2764	158
gene-b2765	257
gene-b2766	1332
gene-b2767	148
gene-b2768	335
gene-b2769	72
gene-b2770	39
gene-b2771	13
gene-b4463	38
gene-b2774	27
gene-b2775	92
gene-b2776	150
gene-b2777	759
gene-b4682	1
gene-b2778	33
gene-b2779	159246
gene-b2780	17492
gene-b2781	1633
gene-b2782	1445
gene-b2783	998
gene-b2784	8653
gene-b2785	2419
gene-b2786	2159
gene-b2787	344
gene-b2788	228
gene-b2789	145
gene-b2790	1570
gene-b2791	918
gene-b2792	901
gene-b4408	12897
gene-b2793	594
gene-b2794	1685
gene-b2795	10292
gene-b2796	288914
gene-b2797	227018
gene-b2798	2982
gene-b2799	1352
gene-b2800	303
gene-b2801	1253
gene-b2802	9099
gene-b2803	6293
gene-b2804	1551
gene-b2805	6362
gene-b2806	1920
gene-b2807	682
gene-b2808	403
gene-b4443	12078
gene-b2809	219
gene-b2810	2035
gene-b2811	1474
gene-b2812	1062
gene-b2813	1055
gene-b2814	46
gene-b2815	73
gene-b2816	76
gene-b2817	790
gene-b2818	556
gene-b2819	1560
gene-b2820	3985
gene-b2821	2225
gene-b2822	4168
gene-b2823	150
gene-b2824	92
gene-b2825	148
gene-b2826	89
gene-b2827	2713
gene-b2828	4335
gene-b2829	9139
gene-b2830	3105
gene-b4610	59
gene-b2831	108
gene-b2832	1408
gene-b2833	429
gene-b2834	1256
gene-b2835	438
gene-b2836	965
gene-b4444	8
gene-b4445	6
gene-b2837	1220
gene-b2838	231
gene-b2839	461
gene-b2840	516
gene-b2841	909
gene-b2842	279
gene-b2843	438
gene-b2844	7277
gene-b2845	3124
gene-b2846	57
gene-b2847	113
gene-b2848	88
gene-b4683	13
gene-b2849	36
gene-b2851	13
gene-b2852	51
gene-b2853	24
gene-b2860	35
gene-b2861	20
gene-b2863	346
gene-b2864	98
gene-b2865	771
gene-b2866	895
gene-b2867	313
gene-b2868	173
gene-b2869	6929
gene-b2870	83
gene-b2871	48
gene-b2872	175
gene-b2873	66
gene-b2874	103
gene-b2875	4587
gene-b2876	2583
gene-b2877	243
gene-b2878	274
gene-b2879	29
gene-b2880	45
gene-b2881	268
gene-b2882	39
gene-b2883	109
gene-b4464	148
gene-b2886	34
gene-b2887	65
gene-b2888	19
gene-b4684	1
gene-b4753	0
gene-b2889	534
gene-b2890	25247
gene-b2891	6985
gene-b2892	6573
gene-b2893	2895
gene-b2894	1680
gene-b2895	1368
gene-b2896	2559
gene-b2897	2677
gene-b2898	14837
gene-b2899	1473
gene-b2900	1554
gene-b2901	7320
gene-b2902	451
gene-b2903	39353
gene-b2904	17813
gene-b2905	13313
gene-b4754	21
gene-b2906	3138
gene-b2907	5824
gene-b2908	10620
gene-b2909	11435
gene-b2910	2251
gene-b2911	4543
gene-b2912	1302
gene-b4446	177
gene-b4665	55
gene-b2913	2080
gene-b2914	8060
gene-b2916	449
gene-b2917	174
gene-b2918	72
gene-b2919	73
gene-b2920	147
gene-b2921	217
gene-b2922	2077
gene-b2923	521
gene-b2924	1241
gene-b2925	110936
gene-b2926	44002
gene-b2927	7841
gene-b2928	760
gene-b2929	903
gene-b2930	134
gene-b4465	76
gene-b2933	133
gene-b2934	26
gene-b2935	28202
gene-b2936	4175
