Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b0335	1653
gene-b0336	538
gene-b0337	1176
gene-b0338	430
gene-b0339	67
gene-b0340	111
gene-b0341	122
gene-b0342	47
gene-b0343	200
gene-b0344	740
gene-b0345	1061
gene-b0346	2423
gene-b0347	40
gene-b0348	24
gene-b0349	32
gene-b0350	35
gene-b0351	237
gene-b0352	129
gene-b0353	143
gene-b0354	1113
gene-b0355	1305
gene-b0356	1693
gene-b0357	432
gene-b0358	17
gene-b0360	3
gene-b0361	13
gene-b0363	35
gene-b4731	0
gene-b0364	12
gene-b0365	28
gene-b0366	42
gene-b0367	37
gene-b0368	265
gene-b0369	7171
gene-b0372	73
gene-b0373	32
gene-b0375	234
gene-b0376	1085
gene-b0377	517
gene-b0378	505
gene-b0379	153
gene-b0380	7482
gene-b0381	8226
gene-b0382	878
gene-b0383	589
gene-b0384	155
gene-b0385	365
gene-b0386	772
gene-b0387	285
gene-b0388	580
gene-b0389	682
gene-b0390	469
gene-b0391	1222
gene-b4732	215
gene-b0393	5408
gene-b0394	805
gene-b0396	494
gene-b0397	2426
gene-b0398	1142
gene-b0399	365
gene-b0400	361
gene-b0401	1706
gene-b0402	1990
gene-b0403	956
gene-b0404	875
gene-b0405	2368
gene-b0406	7728
gene-b0407	4589
gene-b0408	16012
gene-b0409	5994
gene-b0410	478
gene-b0411	86422
gene-b0412	121
gene-b0413	2023
gene-b0414	4200
gene-b0415	6032
gene-b0416	16575
gene-b0417	2726
gene-b0418	1262
gene-b0419	2087
gene-b0420	8361
gene-b0421	13166
gene-b0422	3526
gene-b0423	10030
gene-b0424	1022
gene-b0425	1029
gene-b0426	11714
gene-b0427	1663
gene-b0428	18084
gene-b0429	16516
gene-b0430	50730
gene-b0431	108016
gene-b0432	44002
gene-b0433	3276
gene-b0434	4722
gene-b0435	682
gene-b0436	31677
gene-b0437	9074
gene-b0438	17431
gene-b0439	30184
gene-b0440	4014
gene-b0441	5117
gene-b0442	233
gene-b0443	103
gene-b0444	847
gene-b0445	2246
gene-b0446	367
gene-b0447	714
gene-b0448	752
gene-b0449	466
gene-b0450	15
gene-b0451	223
gene-b0452	798
gene-b0453	195
gene-b0454	29
gene-b0455	34
gene-b0456	79
gene-b0457	1265
gene-b0458	2395
gene-b0459	1652
gene-b0460	1000
gene-b0461	836
gene-b0462	13760
gene-b0463	6311
gene-b0464	1098
gene-b0465	4069
gene-b0466	235
gene-b0467	362
gene-b0468	558
gene-b0469	945
gene-b0470	6202
gene-b0471	5397
gene-b0472	4931
gene-b0473	41357
gene-b0474	1939
gene-b0475	327
gene-b0476	803
gene-b0477	2445
gene-b0478	3222
gene-b0479	344
gene-b0480	1385
gene-b0481	355
gene-b4585	162
gene-b0482	346
gene-b0483	1102
gene-b0484	2880
gene-b0485	354
gene-b0486	380
gene-b0487	603
gene-b0488	848
gene-b0489	584
gene-b0490	196
gene-b0491	477
gene-b0492	6504
gene-b0493	546
gene-b0494	1027
gene-b0495	646
gene-b0496	339
gene-b0497	292
gene-b0498	169
gene-b0502	267
gene-b0503	633
