Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b0342	2
gene-b0343	128
gene-b0344	267
gene-b0345	828
gene-b0346	5708
gene-b0347	21
gene-b0348	30
gene-b0349	28
gene-b0350	24
gene-b0351	190
gene-b0352	249
gene-b0353	782
gene-b0354	552
gene-b0355	79
gene-b0356	428
gene-b0357	55
gene-b0358	854
gene-b0360	0
gene-b0361	10
gene-b0363	323
gene-b4731	0
gene-b0364	0
gene-b0365	14
gene-b0366	39
gene-b0367	107
gene-b0368	178
gene-b0369	1656
gene-b0372	1
gene-b0373	0
gene-b0375	14
gene-b0376	250
gene-b0377	429
gene-b0378	484
gene-b0379	128
gene-b0380	1710
gene-b0381	1922
gene-b0382	382
gene-b0383	213
gene-b0384	2089
gene-b0385	18370
gene-b0386	352
gene-b0387	145
gene-b0388	186
gene-b0389	627
gene-b0390	213
gene-b0391	757
gene-b4732	22
gene-b0393	268
gene-b0394	1064
gene-b0396	673
gene-b0397	151
gene-b0398	183
gene-b0399	556
gene-b0400	322
gene-b0401	17817
gene-b0402	1014
gene-b0403	267
gene-b0404	365
gene-b0405	72
gene-b0406	159
gene-b0407	1189
gene-b0408	2147
gene-b0409	5132
gene-b0410	126
gene-b0411	1124
gene-b0412	245
gene-b0413	939
gene-b0414	1541
gene-b0415	763
gene-b0416	3620
gene-b0417	319
gene-b0418	712
gene-b0419	8007
gene-b0420	383
gene-b0421	482
gene-b0422	340
gene-b0423	746
gene-b0424	1053
gene-b0425	1282
gene-b0426	10892
gene-b0427	118
gene-b0428	1268
gene-b0429	587
gene-b0430	1505
gene-b0431	2495
gene-b0432	704
gene-b0433	19
gene-b0434	88
gene-b0435	13335
gene-b0436	501
gene-b0437	7148
gene-b0438	102239
gene-b0439	10802
gene-b0440	90
gene-b0441	1978
gene-b0442	260
gene-b0443	36
gene-b0444	324
gene-b0445	1427
gene-b0446	1956
gene-b0447	623
gene-b0448	520
gene-b0449	301
gene-b0450	0
gene-b0451	33
gene-b0452	236
gene-b0453	2067
gene-b0454	637
gene-b0455	42
gene-b0456	190
gene-b0457	470
gene-b0458	1312
gene-b0459	196
gene-b0460	1247
gene-b0461	1634
gene-b0462	2763
gene-b0463	949
gene-b0464	508
gene-b0465	2596
gene-b0466	89
gene-b0467	378
gene-b0468	312
gene-b0469	50
gene-b0470	165
gene-b0471	921
gene-b0472	523
gene-b0473	25437
gene-b0474	330
gene-b0475	898
gene-b0476	531
gene-b0477	15
gene-b0478	3497
gene-b0479	82
gene-b0480	1220
gene-b0481	127
gene-b4585	64
gene-b0482	180
gene-b0483	2051
gene-b0484	5642
gene-b0485	726
gene-b0486	922
gene-b0487	880
gene-b0488	2220
gene-b0489	7072
gene-b0490	25
gene-b0491	196
gene-b0492	3954
gene-b0493	128
gene-b0494	1914
gene-b0495	590
gene-b0496	340
gene-b0497	576
gene-b0498	40
gene-b0502	49
gene-b0503	97
gene-b0504	10
gene-b0505	236
gene-b0506	11003
gene-b0507	168
gene-b0508	38
gene-b0509	22
gene-b0511	116
gene-b0512	84
gene-b0513	41
gene-b0514	180
gene-b0515	21
gene-b0516	95
gene-b0517	2
gene-b0518	2
gene-b4572	53
gene-b0520	84
gene-b0521	26
gene-b0522	103
gene-b0523	2
gene-b0524	743
gene-b0525	3341
gene-b0526	311
gene-b0527	52
gene-b0528	573
gene-b0529	1392
gene-b0530	53
gene-b0531	1
gene-b0532	47
gene-b0533	2
gene-b0534	0
gene-b0535	6
gene-b0536	400
gene-b0537	704
gene-b0540	13
gene-b0541	0
gene-b0543	502
gene-b4733	192
gene-b0544	4
gene-b0545	592
gene-b0546	468
gene-b4588	30
gene-b0547	29
gene-b0548	0
gene-b0549	0
gene-b0550	0
gene-b4509	0
gene-b0551	40
gene-b0552	98
gene-b0554	0
gene-b0555	110
gene-b0556	40
gene-b4510	30
gene-b0557	16
gene-b0558	3
gene-b0559	13
gene-b4589	6
gene-b0560	19
gene-b0561	36
gene-b0563	4
gene-b0564	540
gene-b0565	2087
gene-b0566	100
gene-b0567	443
gene-b0568	577
gene-b0569	758
gene-b0570	51
gene-b0571	42
gene-b0572	5
gene-b0573	2
gene-b0574	54
gene-b0575	191
gene-b0576	203
gene-b0577	371
gene-b0578	680
gene-b0579	260
gene-b0580	937
gene-b0581	4014
gene-b4700	1
gene-b4415	14
gene-b0582	24
gene-b0583	81
gene-b0584	710
gene-b0585	1705
gene-b4511	294
gene-b0586	2766
gene-b0587	2
gene-b0588	94
gene-b0589	24
gene-b0590	143
gene-b0591	370
gene-b0592	554
gene-b0593	358
gene-b0594	724
gene-b0595	413
gene-b0596	562
gene-b0597	191
gene-b0598	39370
gene-b4512	667
gene-b0599	1627
gene-b0600	27
gene-b0601	85
gene-b0602	173
gene-b0603	23
gene-b0604	83
gene-b0605	3596
gene-b0606	2548
gene-b0607	11872
gene-b0608	353
gene-b4734	55
gene-b0610	353
gene-b0611	2612
gene-b0612	43
gene-b0613	2
gene-b0614	1
gene-b0615	1
gene-b0616	1
gene-b0617	1
gene-b0618	24
gene-b0619	162
gene-b0620	88
gene-b0621	154
gene-b0622	19
gene-b0623	75014
gene-b0624	639
gene-b0627	635
gene-b0628	1994
gene-b0629	123
gene-b0630	48
gene-b0631	9592
gene-b0632	329
gene-b0633	1463
gene-b0634	383
gene-b0635	214
gene-b0636	8
gene-b0637	10
gene-b0638	53
gene-b0639	135
gene-b0640	1240
gene-b0641	8847
gene-b0642	19851
gene-b0643	14446
gene-b0644	1197
gene-b0645	0
gene-b0646	1
gene-b0647	0
gene-b0648	5
gene-b0649	2
gene-b0650	94
gene-b0651	236
gene-b0652	303
gene-b0653	36
gene-b0654	77
gene-b0655	4055
gene-b0656	45
gene-b0657	2287
gene-b0658	11486
gene-b0659	3127
gene-b0660	6709
gene-b0661	2647
gene-b0662	10754
gene-b0664	75
gene-b0665	35
gene-b0666	723
gene-b0668	670
gene-b0670	551
gene-b0672	744
gene-b0673	505
gene-b0674	909
gene-b0675	713
gene-b0676	1941
gene-b0677	3061
gene-b0678	3091
gene-b0679	6128
gene-b0680	1458
gene-b0681	27
gene-b0682	0
gene-b0683	6348
gene-b4637	1086
gene-b0684	1162
gene-b0685	8
gene-b0686	152
gene-b0687	861
gene-b0688	4902
gene-b0689	2
gene-b0692	796
gene-b0693	192
gene-b4590	0
gene-b0694	1255
gene-b0695	6633
gene-b0696	345
gene-b0697	84
gene-b0698	55
gene-b4513	0
gene-b0699	1429
gene-b0700	46
gene-b0702	0
gene-b0704	8
gene-b4514	0
gene-b0706	0
gene-b0707	243
gene-b0708	411
gene-b0709	34
gene-b0710	1204
gene-b0711	1080
gene-b0712	681
gene-b0713	385
gene-b0714	97
gene-b0715	47
gene-b0716	219
gene-b0717	48
gene-b0718	21
gene-b0719	28
gene-b0720	26822
gene-b4735	1390
gene-b0721	1539
gene-b0722	1154
gene-b0723	4371
gene-b0724	1283
gene-b0726	4609
gene-b0727	3381
gene-b0728	1761
gene-b0729	3485
gene-b0730	35
gene-b0731	47
gene-b0732	384
gene-b0733	17655
gene-b0734	17252
gene-b4515	2959
gene-b0735	1926
gene-b0736	102
gene-b0737	517
gene-b0738	290
gene-b0739	1772
gene-b0740	5392
gene-b0741	5666
gene-b0742	5226
gene-b0743	511
gene-b0744	264
gene-b0745	361
gene-b0746	158
gene-b0747	218
gene-b0748	71
gene-b0749	65
gene-b0750	264
gene-b0751	2351
gene-b0752	1782
gene-b0753	983
gene-b0754	477
gene-b0755	57958
gene-b0756	3142
gene-b0757	1937
gene-b0758	1609
gene-b0759	2127
gene-b0760	214
gene-b0761	39
gene-b0762	31
gene-b0763	107
gene-b0764	177
gene-b0765	191
gene-b0766	66
gene-b0767	348
gene-b0768	45
gene-b0769	12
gene-b0770	8
gene-b0771	37
gene-b0772	277
gene-b0773	1191
gene-b0774	1252
gene-b0775	1284
gene-b0776	459
gene-b0777	101
gene-b0778	1
gene-b0779	13101
gene-b0780	375
gene-b0781	2573
gene-b0782	1485
gene-b0783	1887
gene-b0784	853
gene-b0785	850
gene-b0786	23392
gene-b0787	137
gene-b0788	178
gene-b0789	431
gene-b0790	678
gene-b0791	10152
gene-b0792	2375
gene-b0793	170
gene-b0794	180
gene-b0795	270
gene-b0796	103
gene-b0797	100
gene-b0798	28
gene-b0799	1819
gene-b0800	2313
gene-b0801	680
gene-b0802	2833
gene-b0803	247
gene-b0804	112
gene-b0805	241
gene-b0806	3940
gene-b0807	155
gene-b0808	908
gene-b0809	625
gene-b0810	731
gene-b0811	6365
gene-b0812	133916
gene-b0813	114
gene-b4736	332
gene-b0814	68385
gene-b0815	85
gene-b4416	7146
gene-b4705	6888
gene-b0817	887
gene-b0818	516
gene-b0819	1941
gene-b0820	805
gene-b0821	112
gene-b0822	173
gene-b0823	285
gene-b0824	34
gene-b0825	124
gene-b0826	1209
gene-b0827	1718
gene-b0828	860
gene-b0829	1220
gene-b0830	296
gene-b0831	245
gene-b0832	171
gene-b0833	13
gene-b0834	2
gene-b0835	22
gene-b0836	926702
gene-b0837	1047
gene-b0838	298
gene-b0839	5254
gene-b0840	172
gene-b0841	134
gene-b0842	5253
gene-b0843	179
gene-b0844	227
gene-b0845	217
gene-b0846	137
gene-b4417	298
gene-b0847	821
gene-b0848	264
gene-b0849	303
gene-b0850	7
gene-b0851	162
gene-b0852	213
gene-b0853	894
gene-b0854	4092
gene-b0855	585
gene-b0856	390
gene-b0857	511
gene-b0858	0
gene-b0859	55
gene-b0860	4
gene-b0861	342
gene-b0862	178
gene-b0863	1691
gene-b0864	579
gene-b0865	2316
gene-b0866	2187
gene-b0867	1814
gene-b0868	552
gene-b0869	205
gene-b0870	1455
gene-b0871	3245
gene-b0872	146
gene-b0873	44
gene-b0874	25
gene-b0875	1153
gene-b0876	1729
gene-b0877	684
gene-b0878	941
gene-b0879	2887
gene-b0880	18697
gene-b0881	7844
gene-b0882	132810
gene-b0883	143
gene-b0884	151
gene-b0885	519
gene-b0886	141
gene-b0887	347
gene-b0888	200
gene-b0889	1078
gene-b0890	2890
gene-b0891	197
gene-b0892	361
gene-b0893	12955
gene-b0894	144
gene-b0895	94
gene-b0896	209
gene-b0897	727
gene-b0898	804
gene-b0899	278
gene-b0900	57
