Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b1484	130
gene-b1485	68
gene-b1486	56
gene-b1487	11
gene-b1488	20
gene-b1489	2290
gene-b1490	5441
gene-b4746	194
gene-b1491	17
gene-b1492	6968
gene-b1493	2853
gene-b1494	112
gene-b1495	93
gene-b1496	4
gene-b4747	1
gene-b1497	17
gene-b1498	160
gene-b1499	1
gene-b1500	0
gene-b1501	428
gene-b1502	5
gene-b1503	0
gene-b1504	4
gene-b1505	25
gene-b1507	251
gene-b1508	100
gene-b1511	697
gene-b1512	727
gene-b1513	331
gene-b1514	386
gene-b1515	135
gene-b1516	72
gene-b1517	244
gene-b1518	71
gene-b1519	2129
gene-b1520	430
gene-b1521	1124
gene-b1522	170
gene-b1523	158
gene-b1524	169
gene-b1525	376
gene-b1526	230
gene-b1527	26
gene-b1528	198
gene-b1529	2069
gene-b1530	148
gene-b1531	72
gene-b1532	41
gene-b1533	524
gene-b1534	194
gene-b4599	4666
gene-b4698	2
gene-b1535	1049
gene-b1536	536
gene-b1537	422
gene-b1538	695
gene-b1539	1450
gene-b1540	323
gene-b1541	1
gene-b1542	78
gene-b1543	182
gene-b4748	17
gene-b1544	17
gene-b1545	142
gene-b1546	3
gene-b1547	25
gene-b1548	12
gene-b4533	2
gene-b1549	1
gene-b1550	1
gene-b1551	0
gene-b4749	0
gene-b4724	1
gene-b1552	49
gene-b1553	2
gene-b4689	2
gene-b1554	56
gene-b1555	9
gene-b1556	18
gene-b1557	12
gene-b1558	85
gene-b4750	167
gene-b1559	118
gene-b1560	59
gene-b1561	305
gene-b1562	25431
gene-b1563	38892
gene-b1564	19540
gene-b1565	3100
gene-b1566	4
gene-b1567	12
gene-b1568	85
gene-b1569	58
gene-b1570	142
gene-b1571	28
gene-b1572	39
gene-b1573	76
gene-b1574	145
gene-b1575	0
gene-b1576	0
gene-b4534	4
gene-b1580	615
gene-b1581	392
gene-b1582	148
gene-b1583	167
gene-b1584	1112
gene-b1585	432
gene-b1586	7665
gene-b1587	128
gene-b1588	80
gene-b1589	24
gene-b1590	500
gene-b1591	541
gene-b1592	444
gene-b1593	1713
gene-b1594	674
gene-b1595	152
gene-b1596	194
gene-b1597	184
gene-b4601	218
gene-b1598	5576
gene-b1599	180
gene-b1600	0
gene-b1601	374
gene-b1602	10253
gene-b1603	2308
gene-b1604	477
gene-b1605	95
gene-b1606	99
gene-b1607	45
gene-b1608	149
gene-b1609	249
gene-b1610	362
gene-b1611	6421
gene-b1612	10834
gene-b1613	448
gene-b1614	10311
gene-b1615	160
gene-b1616	32
gene-b1617	113
gene-b1618	1210
gene-b1619	8690
gene-b1620	532
gene-b1621	220
gene-b1622	193
gene-b1623	322
gene-b1624	4483
gene-b4409	14
gene-b1625	74
gene-b1626	185
gene-b1627	4
gene-b1628	124
gene-b1629	142
gene-b1630	54
gene-b1631	6
gene-b1632	5
gene-b1633	26
gene-b1634	411
gene-b1635	2179
gene-b1636	285
gene-b1637	1908
gene-b1638	63
gene-b1639	167
gene-b1640	1079
gene-b1641	14368
gene-b1642	3419
gene-b1643	97
gene-b1644	60
gene-b1645	5552
gene-b1646	3790
gene-b1647	1125
gene-b1648	457
gene-b1649	13
gene-b1650	198
gene-b1651	286
gene-b1652	41
gene-b1653	588
gene-b1654	3622
gene-b1655	150
gene-b1656	3248
gene-b1657	230
gene-b4602	375
gene-b1658	161
gene-b1659	647
gene-b1660	144
gene-b1661	13834
gene-b1662	743
gene-b1663	2730
gene-b1664	4412
gene-b1665	2
gene-b1666	0
gene-b1667	1901
gene-b1668	2276
gene-b1669	259
gene-b1670	18
gene-b1671	35
gene-b1672	145
gene-b1673	180
gene-b1674	33
gene-b1675	216
gene-b1676	15786
gene-b1677	42863
gene-b1678	31868
gene-b1679	425
gene-b1680	2531
gene-b1681	5061
gene-b1682	4076
gene-b1683	10653
gene-b1684	3064
gene-b4430	24
gene-b1685	331
gene-b1686	563
gene-b1687	574
gene-b1688	3254
gene-b4431	9
gene-b1689	54
gene-b1690	3
gene-b1691	7
gene-b1692	8
gene-b1693	58
gene-b1694	30
gene-b1695	49
gene-b1696	119
gene-b1697	35
gene-b1698	6
gene-b1699	102
gene-b1700	0
gene-b1701	89
gene-b1702	9046
gene-b1703	323
gene-b1704	127
gene-b1705	55
gene-b1706	916
gene-b1707	121
gene-b1708	1450
gene-b1709	105
gene-b1710	690
gene-b1711	416
gene-b1712	128627
gene-b1713	28658
gene-b1714	538
gene-b1715	15
gene-b1716	21097
gene-b1717	20470
gene-b1718	134359
gene-b1719	42354
gene-b4535	0
gene-b1722	66
gene-b1723	1477
gene-b1724	382
gene-b1725	8521
gene-b1726	6471
gene-b1727	480
gene-b1728	251
gene-b1729	2291
gene-b1730	125
gene-b1731	46
gene-b1732	1787
gene-b1733	626
gene-b1734	200
gene-b1735	460
gene-b1736	192
gene-b1737	136
gene-b1738	117
gene-b1739	4171
gene-b1740	848
gene-b1741	187
gene-b1742	35
gene-b1743	2146
gene-b1744	2283
gene-b1745	2183
gene-b1746	3510
gene-b1747	2799
gene-b1748	4906
gene-b1749	494
gene-b1750	135
gene-b1751	30
gene-b1752	176
gene-b1753	28
gene-b1754	115
gene-b1755	165
gene-b1756	81
gene-b1757	146
gene-b1758	436
gene-b1759	7
gene-b1760	97
gene-b1761	222
gene-b1762	39
gene-b1763	573
gene-b1764	2394
gene-b1765	665
gene-b1766	379
gene-b1767	312
gene-b1768	504
gene-b1769	90
gene-b1770	363
gene-b1771	19
gene-b1772	11
gene-b1773	34
gene-b1774	30
gene-b1775	11
gene-b1776	24
gene-b1777	1557
gene-b1778	2083
gene-b1779	48733
gene-b1780	228
gene-b1781	569
gene-b1782	629
gene-b1783	114618
gene-b1784	32060
gene-b1785	468
gene-b1786	402
gene-b1787	101
gene-b1788	9
gene-b1789	28
gene-b1790	181
gene-b1791	51
gene-b1792	220
gene-b1793	165
gene-b1794	168
gene-b4676	13
gene-b4675	6
gene-b1795	9710
gene-b1796	17
gene-b1797	16
gene-b1798	82
gene-b1799	616
gene-b1800	623
gene-b1801	62
gene-b1802	11
gene-b1803	79
gene-b1804	100
gene-b1805	17049
gene-b1806	16497
gene-b1807	90
gene-b1808	36
gene-b1809	124
gene-b1810	2119
gene-b1811	148
gene-b1812	670
gene-b1813	335
gene-b1814	31181
gene-b1815	579
gene-b1816	397
gene-b4751	73
gene-b1817	9537
gene-b1818	14356
gene-b1819	21111
gene-b1820	300
gene-b1821	43
gene-b1822	145
gene-b1823	40475
gene-b1824	21282
gene-b1825	851
gene-b1826	30
gene-b4536	98
gene-b1827	6089
gene-b1828	59
gene-b1829	9382
gene-b1830	1390
gene-b1831	1275
gene-b1832	421
gene-b1833	294
gene-b1834	338
gene-b1835	45
gene-b1836	1516
gene-b1837	755
gene-b1838	644
gene-b4432	1745
gene-b4433	923
gene-b1839	258
gene-b1840	122
gene-b1841	80
gene-b1842	37
gene-b1843	426
gene-b1844	566
gene-b1845	1533
gene-b1846	838
gene-b1847	1683
gene-b1848	1550
gene-b1849	75
gene-b1850	846
gene-b1851	277
gene-b1852	2056
gene-b1853	1798
gene-b1854	8990
gene-b1855	425
gene-b1856	4819
gene-b1857	9176
gene-b1858	3655
gene-b1859	1106
gene-b1860	788
gene-b1861	1401
gene-b4677	92
gene-b1862	64
gene-b1863	215
gene-b1864	789
gene-b1865	1267
gene-b1866	2238
gene-b1867	73
gene-b1868	161
gene-b1869	152
gene-b1870	390
gene-b1871	401
gene-b1872	851
gene-b1873	207
gene-b4717	1152
gene-b1874	4206
gene-b1875	260
gene-b1876	680
gene-b1877	4
gene-b1878	1
gene-b1879	519
gene-b1880	12
gene-b1881	377
gene-b1882	118
gene-b1883	33
gene-b1884	190
gene-b1885	229
gene-b1886	292
gene-b1887	534
gene-b1888	281
gene-b1889	113
gene-b1890	250
gene-b1891	525
gene-b1892	59
gene-b1893	2
gene-b1894	0
gene-b1895	1706
gene-b1896	26637
gene-b1897	5226
gene-b4460	1887
gene-b1900	1566
gene-b1901	2013
gene-b1902	1048
gene-b4537	4
gene-b4663	107
gene-b1904	86
gene-b1905	314
gene-b1906	472
gene-b1907	1191
gene-b1908	2191
gene-b1909	0
gene-b1910	87
gene-b1911	59
gene-b1912	1056
gene-b1913	274
gene-b1914	311
gene-b4752	12
gene-b1915	27
gene-b1916	468
gene-b4719	130
gene-b1917	1762
gene-b1918	681
gene-b1919	1684
gene-b1920	5930
gene-b1921	156
gene-b1922	144
gene-b1923	5266
gene-b1924	100
gene-b1925	16
gene-b1926	10
gene-b1927	3226
gene-b1928	8122
gene-b1929	353
gene-b1930	32
gene-b1931	279
gene-b1932	103
gene-b1937	21
gene-b1938	85
gene-b1939	59
gene-b1940	27
gene-b1941	36
gene-b1942	12
gene-b1943	27
gene-b1944	47
gene-b1945	90
gene-b1946	123
gene-b1947	0
gene-b1948	27
gene-b1949	21
gene-b1950	16
gene-b1951	84
gene-b1952	120
gene-b1953	40579
gene-b1954	7663
gene-b1955	12765
gene-b1956	2065
gene-b1957	3545
gene-b1958	6025
gene-b1959	42
gene-b1960	85
gene-b1961	111
gene-b1962	553
gene-b1963	494
gene-b4603	2
gene-b1967	44249
gene-b1968	310
gene-b1969	110
gene-b1970	100
gene-b1971	1961
gene-b1972	966
gene-b1973	6624
gene-b1974	1
gene-b1975	415
gene-b1976	5373
gene-b1977	328
gene-b1978	804
gene-b1981	1091
gene-b1982	1179
gene-b1983	247
gene-b1984	132
gene-b1985	1094
gene-b1986	0
gene-b1987	103
gene-b1988	187
gene-b1989	72
gene-b1990	12169
gene-b1991	375
gene-b1992	317
gene-b1993	646
gene-b1994	12
gene-b1996	73
gene-b1997	26
gene-b4435	97
gene-b2000	516
gene-b2001	177
gene-b2002	273
gene-b2003	27
gene-b2004	232
gene-b2005	0
gene-b2006	51
gene-b4538	321
gene-b2007	1299
gene-b2008	1029
gene-b2009	4472
gene-b2010	397
gene-b2011	824
gene-b2012	1094
gene-b2013	2400
gene-b2014	150
gene-b4678	1
gene-b2015	9774
gene-b2016	8662
gene-b4539	4895
gene-b2017	5645
gene-b2018	0
gene-b2019	661
gene-b2020	767
gene-b2021	340
gene-b2022	635
gene-b2023	198
gene-b2024	193
gene-b2025	224
gene-b2026	659
gene-b2027	3930
gene-b2028	655
gene-b2029	13697
gene-b2030	104
gene-b2032	359
gene-b2033	1136
gene-b2034	1367
gene-b2035	704
gene-b2036	2408
gene-b2037	506
gene-b2038	402
gene-b2039	741
gene-b2040	1091
gene-b2041	1833
gene-b2042	4044
gene-b2043	45
gene-b2044	7
gene-b2045	2
gene-b2046	3
gene-b2047	60
gene-b2048	58
gene-b2049	52
gene-b2050	69
gene-b2051	0
gene-b2052	8
gene-b2053	7
gene-b2054	2
gene-b2055	1
gene-b2056	29
gene-b2057	49
gene-b2058	0
gene-b2059	37
gene-b2060	56
gene-b2061	1
gene-b2062	0
gene-b2063	2689
gene-b2064	1043
gene-b2065	788
gene-b2066	19
gene-b2067	707
gene-b2068	84
gene-b2069	308
gene-b2070	416
gene-b2071	26
gene-b2072	0
gene-b2073	40
gene-b4436	54
gene-b4667	15
gene-b4437	22
gene-b4668	12
gene-b2074	200
gene-b2075	172
gene-b2076	26
gene-b2077	381
gene-b2078	132
gene-b2079	506
gene-b2080	7679
gene-b2081	639
gene-b4438	319
gene-b2082	64
gene-b2085	86
gene-b2086	54407
gene-b2088	0
gene-b2089	69
gene-b2091	1531
gene-b2093	1000
gene-b2094	5554
gene-b2095	85278
gene-b2096	137651
gene-b2097	57410
gene-b2098	8
gene-b2099	107
gene-b2100	240
gene-b2101	101
gene-b2102	165
gene-b2103	530
gene-b2104	285
gene-b2105	243
gene-b2106	169
gene-b2107	175
gene-b2108	31
gene-b2109	65
gene-b2110	2
gene-b2111	0
gene-b2112	178
gene-b2113	2216
gene-b2114	1080
gene-b2115	2
gene-b2118	54
gene-b4541	0
gene-b2119	1
gene-b2120	28
gene-b2121	47
gene-b2122	86
gene-b2123	86
gene-b2124	358
gene-b2125	305
gene-b2126	935
gene-b2127	1203
gene-b4542	7
gene-b2128	260
gene-b2129	207
gene-b2130	361
gene-b2131	1915
gene-b2132	565
gene-b2133	1003
gene-b2134	950
gene-b2135	63454
gene-b2136	227
gene-b2137	1818
gene-b4679	1177
gene-b2140	252
gene-b2141	446
gene-b2142	613
gene-b2143	3220
gene-b2144	39
gene-b2145	11
gene-b2146	67
gene-b2147	190
gene-b2148	143
gene-b2149	502
gene-b2150	2926
gene-b2151	194
gene-b2152	131
gene-b2153	203
gene-b2154	349
gene-b2155	328
gene-b2156	8798
gene-b2157	817
gene-b2158	443
gene-b2159	74
gene-b2160	114
gene-b2161	42
gene-b2162	0
gene-b2163	8
gene-b2164	76
gene-b2165	16
gene-b2166	1
gene-b2167	21715
gene-b2168	3480
gene-b2169	4040
gene-b2170	83
gene-b4502	18
gene-b2171	170
gene-b2172	1844
gene-b2173	79
gene-b2174	6
gene-b2175	315
gene-b2176	149
gene-b2177	78
gene-b2178	25
gene-b2179	1
gene-b2180	2586
gene-b2181	10741
gene-b2182	396
gene-b2183	307
gene-b2184	101
gene-b2185	8
gene-b2186	594
gene-b2187	310
gene-b2188	778
gene-b2189	2
gene-b2192	0
gene-b2193	709
gene-b2194	349
gene-b2195	83
gene-b2196	63
gene-b2197	0
gene-b2198	39
gene-b2199	54
gene-b2200	163
gene-b2201	1963
gene-b2202	604
gene-b2203	15
gene-b2204	5
gene-b2205	43
gene-b2206	102
gene-b2207	1
gene-b2208	1
gene-b4604	0
gene-b2209	926
gene-b2210	1311
gene-b2211	269
gene-b2212	626
gene-b2213	1858
gene-b2214	9
gene-b2215	13638
gene-b4439	63
gene-b2216	2060
gene-b2217	6507
gene-b2218	1387
gene-b2219	2479
gene-b2220	208
gene-b2221	45
gene-b2222	0
gene-b2223	55
gene-b2224	66
gene-b2225	176
gene-b2226	244
gene-b2229	66
gene-b2230	132
gene-b2231	1558
gene-b2232	76
gene-b2233	455
gene-b4605	2
gene-b2234	572
gene-b2235	834
gene-b2236	533
gene-b2237	1327
gene-b2239	11625
gene-b2240	11024
gene-b2241	23697
gene-b2242	16460
gene-b2243	8326
gene-b2244	373
gene-b2245	180
gene-b2246	110
gene-b2247	205
gene-b2248	300
gene-b2249	1185
gene-b2250	397
gene-b2251	80
gene-b2252	115
gene-b2253	215
gene-b2254	50
gene-b2255	248
gene-b2256	190
gene-b2257	54
gene-b4544	177
gene-b2258	10
gene-b2259	17
gene-b2260	380
gene-b2261	1114
gene-b2262	661
gene-b2263	90
gene-b2264	263
gene-b2265	348
gene-b2266	11760
gene-b2267	88
gene-b2268	58
gene-b2269	24
gene-b2270	120
gene-b2271	4
gene-b2272	0
gene-b2273	1
gene-b2274	1
gene-b2275	50
gene-b2276	2429
gene-b2277	440
gene-b2278	1845
gene-b2279	84
gene-b2280	233
gene-b2281	185
gene-b2282	528
gene-b2283	2221
gene-b2284	1069
gene-b2285	503
gene-b2286	1996
gene-b2287	561
gene-b2288	653
gene-b2289	14798
gene-b2290	840
gene-b2291	194
gene-b2292	828
gene-b2293	5854
gene-b2294	2320
gene-b2295	25510
gene-b2296	7804
gene-b2297	5768
gene-b2298	203
gene-b2299	335
gene-b2300	487
gene-b2301	69
gene-b2302	769
gene-b2303	2208
gene-b2304	3214
gene-b2305	461
gene-b2306	134
gene-b2307	27
gene-b2308	153
gene-b2309	878
gene-b2310	2222
gene-b2311	97
gene-b2312	684
gene-b2313	516
gene-b2314	3212
gene-b2315	2626
gene-b2316	3578
gene-b2317	1094
gene-b2318	5092
gene-b2319	734
gene-b2320	1402
gene-b2321	26
gene-b2322	56
gene-b2323	4112
gene-b2324	233
gene-b2325	28
gene-b2326	184
gene-b2327	130
gene-b2328	33
gene-b2329	452
gene-b2330	212
gene-b2331	890
gene-b2332	1175
gene-b2333	1
gene-b2334	0
gene-b2335	14
gene-b2336	6
gene-b2339	29
gene-b2340	16234
gene-b2341	2491
gene-b2342	1324
gene-b2343	3374
gene-b2344	2451
gene-b2345	11
gene-b2346	3195
gene-b2347	669
gene-b2348	10
gene-b2349	2
gene-b2350	8
gene-b2351	100
gene-b2352	22
gene-b2354	594
gene-b2356	0
gene-b2357	0
gene-b2358	0
gene-b2359	1
gene-b2360	42
gene-b2361	0
gene-b2362	26
gene-b2363	113
gene-b4545	173
gene-b4501	422
gene-b2364	377
gene-b2365	80
gene-b2366	252
gene-b2367	44
gene-b2368	167
gene-b2369	60
gene-b2370	280
gene-b2371	342
gene-b2372	57
gene-b2373	70
gene-b2374	8
gene-b2375	47
gene-b2376	205
gene-b2377	4243
gene-b2378	332
gene-b4680	43
gene-b2379	543
gene-b2380	145
gene-b2381	870
gene-b2382	308
gene-b2383	78
gene-b2384	37
gene-b2385	72
gene-b2386	35
gene-b2387	27
gene-b2388	2807
gene-b2389	414
gene-b2390	2584
gene-b2392	41158
gene-b2393	460
gene-b2394	36
gene-b2395	106
gene-b2396	46
gene-b2397	39
gene-b2398	672
gene-b2399	635
gene-b2400	2797
gene-b2401	25
gene-b2402	9
gene-b2403	4
gene-b2404	2
gene-b2405	74
gene-b2406	98
gene-b2407	1
gene-b2408	544
gene-b2409	180
gene-b2410	3245
gene-b4546	269
gene-b2411	712
gene-b2412	5078
gene-b2413	249
gene-b2414	5970
gene-b2415	4930
gene-b2416	25700
gene-b2417	130245
gene-b2418	1208
gene-b2419	10
gene-b2420	189
gene-b2421	194
gene-b2422	748
gene-b2423	742
gene-b2424	549
gene-b2425	858
gene-b2426	10794
gene-b2427	82
gene-b2428	86
gene-b2429	191
gene-b2430	88
gene-b2431	1737
gene-b2432	76
gene-b2433	261
gene-b2434	334
gene-b2435	516
gene-b2436	217
gene-b2437	148
gene-b2438	339
gene-b2439	164
gene-b2440	307
gene-b2441	685
gene-b2442	87
gene-b2443	1751
gene-b2444	37
gene-b2445	37
gene-b2446	1
gene-b2447	110
gene-b2448	68
gene-b2449	1463
gene-b2450	766
gene-b2451	115
gene-b2452	81
gene-b2453	87
gene-b2454	22
gene-b2455	14
gene-b2456	0
gene-b2457	6
gene-b2458	186
gene-b2459	77
gene-b2460	102
gene-b2461	117
gene-b2462	49
gene-b2463	6690
gene-b2464	20703
gene-b2465	31652
gene-b2466	1023
gene-b2467	79
gene-b2468	331
gene-b2469	164
gene-b2470	364
gene-b4606	785
gene-b2471	235
gene-b2472	3821
gene-b4547	21778
gene-b2473	1007
gene-b2474	2051
gene-b2475	5469
gene-b2476	25
gene-b2477	4596
gene-b2478	1650
gene-b2479	7106
gene-b2480	334
gene-b2481	1
gene-b2482	38
gene-b2483	7
gene-b2484	15
gene-b2485	6
gene-b2486	210
gene-b2487	100
gene-b2488	26
gene-b2489	53
gene-b2490	38
gene-b2491	19
gene-b2492	99
gene-b2493	669
gene-b2494	2050
gene-b2495	268
gene-b2496	62
gene-b2497	9
gene-b2498	216
gene-b2499	8
gene-b2500	138
gene-b2501	2587
gene-b2502	1661
gene-b2503	166
gene-b2504	259
gene-b2505	3
gene-b2506	194
gene-b2507	998
gene-b2508	142
gene-b2509	430
gene-b2510	318
gene-b2511	4004
gene-b2512	11075
gene-b2513	869
gene-b2514	1634
gene-b2515	12611
gene-b2516	5617
gene-b2517	1029
gene-b2518	126
gene-b2519	276
gene-b2520	6949
gene-b2521	1329
gene-b4440	112
gene-b2522	293
gene-b2523	907
gene-b2524	174
gene-b2525	480
gene-b2526	2340
gene-b2527	769
gene-b2528	9527
gene-b2529	16404
gene-b2530	18400
gene-b2531	4502
gene-b2532	5057
gene-b2533	254
gene-b2534	9
gene-b2535	6845
gene-b2536	629
gene-b4706	69
gene-b2537	364
gene-b2538	66
gene-b2539	2
gene-b2540	1
gene-b2541	1
gene-b2542	257
gene-b2543	1003
gene-b2544	148
gene-b2545	235
gene-b2546	54
gene-b2547	208
gene-b2548	31
gene-b2549	53
gene-b2550	183
gene-b2551	611
gene-b2552	463
gene-b2553	62
gene-b2554	17
gene-b2555	456
gene-b2556	1563
gene-b4441	87
gene-b2557	170
gene-b2558	47
gene-b2559	76
gene-b2560	244
gene-b2561	73
gene-b2562	34
gene-b4687	80
gene-b4608	18
gene-b2563	248
gene-b2564	562
gene-b2565	1118
gene-b2566	12171
gene-b2567	4901
gene-b2568	2246
gene-b2569	907
gene-b2570	231
gene-b2571	24707
gene-b2572	97376
gene-b2573	41570
gene-b4725	3088
gene-b2574	166
gene-b2575	77
gene-b2576	558
gene-b2577	288
gene-b2578	645
gene-b2579	2774
gene-b2580	340
gene-b2581	420
gene-b2582	4145
gene-b2583	143
gene-b2584	8923
gene-b2585	5031
gene-b2586	1729
gene-b2587	60835
gene-b2588	24
gene-b2589	3469
gene-b2590	870
gene-b2591	109407
gene-b2592	196788
gene-b4609	3302
gene-b2593	678
gene-b2594	876
gene-b2595	1421
gene-b2597	6755
gene-b2598	49
gene-b2599	871
gene-b2600	1683
gene-b2601	1746
gene-b2602	727
gene-b2603	537
gene-b2604	477
gene-b2605	2
gene-b2606	15151
gene-b2607	10684
gene-b2608	4124
gene-b2609	2650
gene-b2610	4497
gene-b2611	461
gene-b4461	454
gene-b2614	11862
gene-b2615	393
gene-b2616	11062
gene-b2617	5082
gene-b2618	793
gene-b2619	1109
gene-b2620	111
gene-b2621	2442432
gene-b2622	1880
gene-b2623	56
gene-b2624	0
gene-b2625	8
gene-b2626	55
gene-b2627	807
gene-b2628	1063
gene-b2629	1
gene-b2630	24088
gene-b2631	8325
gene-b2632	87
gene-b2633	147
gene-b2634	51
gene-b2635	0
gene-b2636	10
gene-b2637	646
gene-b2638	198
gene-b2642	66
gene-b2643	7
gene-b2644	4
gene-b4548	4
gene-b2645	10
gene-b2646	48
gene-b2647	8386
gene-b2649	1
gene-b2650	1
gene-b2652	0
gene-b2659	1925
gene-b2660	589
gene-b2661	671
gene-b2662	911
gene-b2663	246
gene-b2664	3605
gene-b2665	9598
gene-b2666	757
gene-b2667	48
gene-b2668	60
gene-b2669	901
gene-b2670	2400
gene-b2671	861
gene-b2672	38564
gene-b2673	776
gene-b2674	2159
gene-b2675	1637
gene-b2676	231
gene-b2677	21
gene-b2678	44
gene-b2679	70
gene-b2682	89
gene-b2683	19
gene-b2684	108
gene-b2685	225
gene-b2686	2940
gene-b2687	15452
gene-b4442	1110
gene-b2688	4646
gene-b2689	124
gene-b2690	216
gene-b2691	74
gene-b2692	131
gene-b2693	268
gene-b2694	174
gene-b2695	306
gene-b2696	9463
gene-b2697	1436
gene-b2698	25
gene-b2699	13131
gene-b2700	79
gene-b2701	84
gene-b2702	641
gene-b2703	609
gene-b2704	85
gene-b2705	472
gene-b2706	104
gene-b2707	299
gene-b2708	590
gene-b2709	625
gene-b2710	205
gene-b2711	119
gene-b2712	657
gene-b2713	132
gene-b2714	28
gene-b2715	520
gene-b2716	403
gene-b2717	2687
gene-b2718	1332
gene-b2719	274
gene-b2720	24
gene-b2721	5
gene-b2722	0
gene-b2723	1
gene-b2724	22
gene-b2725	2
gene-b2726	88
gene-b2727	88
gene-b2728	1
gene-b2729	466
gene-b2730	4233
gene-b2731	694
gene-b2732	246
gene-b2733	167
gene-b2734	10
gene-b2735	1350
gene-b2736	1106
gene-b2737	816
gene-b2738	278
gene-b2739	330
gene-b2740	158
gene-b2741	118959
gene-b2742	19242
gene-b2743	2252
gene-b2744	715
gene-b2745	503
gene-b2746	114
gene-b2747	586
gene-b2748	663
gene-b2749	70
gene-b2750	244
gene-b2751	1164
gene-b2752	473
gene-b2753	251
gene-b2754	42
gene-b2755	209
gene-b2756	212
gene-b2757	48
gene-b2758	59
gene-b2759	32
gene-b2760	28
gene-b2761	111
gene-b4701	0
gene-b2762	725
gene-b2763	1116
gene-b2764	1281
gene-b2765	1
gene-b2766	129
gene-b2767	19
gene-b2768	10
gene-b2769	75
gene-b2770	3
gene-b2771	6
gene-b4463	120
gene-b2774	1
gene-b2775	31
gene-b2776	27
gene-b2777	2899
gene-b4682	1
gene-b2778	6
gene-b2779	36764
gene-b2780	9424
gene-b2781	1995
gene-b2782	649
gene-b2783	675
gene-b2784	1764
gene-b2785	918
gene-b2786	158
gene-b2787	143
gene-b2788	5
gene-b2789	196
gene-b2790	465
gene-b2791	27
gene-b2792	69
gene-b4408	3362
gene-b2793	167
gene-b2794	444
gene-b2795	991
gene-b2796	2130
gene-b2797	1143
gene-b2798	159
gene-b2799	1395
gene-b2800	92
gene-b2801	96
gene-b2802	507
gene-b2803	421
gene-b2804	235
gene-b2805	508
gene-b2806	1848
gene-b2807	419
gene-b2808	468
gene-b4443	124
gene-b2809	375
gene-b2810	509
gene-b2811	1084
gene-b2812	814
gene-b2813	682
gene-b2814	8
gene-b2815	8
gene-b2816	0
gene-b2817	65
gene-b2818	204
gene-b2819	423
gene-b2820	329
gene-b2821	234
gene-b2822	933
gene-b2823	99
gene-b2824	47
gene-b2825	84
gene-b2826	8
gene-b2827	293
gene-b2828	507
gene-b2829	1576
gene-b2830	2450
gene-b4610	26
gene-b2831	195
gene-b2832	635
gene-b2833	557
gene-b2834	1301
gene-b2835	1607
gene-b2836	956
gene-b4444	6
gene-b4445	0
gene-b2837	388
gene-b2838	61
gene-b2839	36
gene-b2840	62
gene-b2841	1979
gene-b2842	314
gene-b2843	43
gene-b2844	2300
gene-b2845	163
gene-b2846	4
gene-b2847	35
gene-b2848	7
gene-b4683	0
gene-b2849	1
gene-b2851	3
gene-b2852	6
gene-b2853	2
gene-b2860	1
gene-b2861	41
gene-b2863	32
gene-b2864	69
gene-b2865	370
gene-b2866	186
gene-b2867	216
gene-b2868	80
gene-b2869	2416
gene-b2870	70
gene-b2871	2
gene-b2872	91
gene-b2873	129
gene-b2874	344
gene-b2875	426
gene-b2876	260
gene-b2877	760
gene-b2878	319
gene-b2879	39
gene-b2880	23
gene-b2881	488
gene-b2882	213
gene-b2883	163
gene-b4464	73
gene-b2886	71
gene-b2887	28
gene-b2888	43
gene-b4684	17
gene-b4753	16
gene-b2889	417
gene-b2890	1149
gene-b2891	425
gene-b2892	874
gene-b2893	461
gene-b2894	655
gene-b2895	1152
gene-b2896	657
gene-b2897	491
gene-b2898	2605
gene-b2899	1242
gene-b2900	120
gene-b2901	1111
gene-b2902	14
gene-b2903	826
gene-b2904	561
gene-b2905	215
gene-b4754	1
gene-b2906	693
gene-b2907	3465
gene-b2908	3905
gene-b2909	3676
gene-b2910	15704
gene-b2911	27422
gene-b2912	917
gene-b4446	106
gene-b4665	67
gene-b2913	3182
gene-b2914	1214
gene-b2916	452
gene-b2917	108
gene-b2918	6
gene-b2919	3
gene-b2920	37
gene-b2921	258
gene-b2922	1938
gene-b2923	194
gene-b2924	1650
gene-b2925	23725
gene-b2926	20379
gene-b2927	4226
gene-b2928	206
gene-b2929	347
gene-b2930	311
gene-b4465	72
gene-b2933	134
gene-b2934	1
gene-b2935	1291
gene-b2936	8692
gene-b2937	937
gene-b2938	31832
gene-b2939	92
gene-b2940	21
gene-b2941	15
gene-b2942	190
gene-b2943	320
gene-b2944	0
gene-b2945	124
gene-b2946	211
gene-b2947	1543
gene-b2948	210
gene-b2949	156
gene-b2950	97
gene-b2951	275
gene-b2952	382
gene-b2953	72
gene-b2954	140
gene-b2955	109
gene-b2956	26
gene-b2957	239
gene-b2958	1263
gene-b2959	3120
gene-b2960	2079
gene-b2961	132
gene-b2962	103
gene-b2963	60
gene-b2964	4325
gene-b2965	181
gene-b2966	325
gene-b2967	0
gene-b2968	91
gene-b2971	2
gene-b2972	7
gene-b4466	1471
gene-b2975	553
gene-b2976	1110
gene-b2977	269
gene-b4467	230
gene-b4468	62
gene-b2979	84
gene-b2980	5389
gene-b2981	265
gene-b2982	34
gene-b2983	55
gene-b2984	7
gene-b2985	8
gene-b2986	25
gene-b2987	114
gene-b2988	2398
