Geneid	1714__30min_MOXI_N=2_library-read-1.fastq.gz
gene-b0001	1895
gene-b0002	1072
gene-b0003	2494
gene-b0004	1290
gene-b0005	197
gene-b0006	191
gene-b0007	260
gene-b0008	18404
gene-b0009	633
gene-b0010	2066
gene-b0011	392
gene-b0012	357
gene-b0013	25
gene-b0014	753819
gene-b0015	42286
gene-b0016	485
gene-b4412	801
gene-b0018	963
gene-b4413	294
gene-b0019	27195
gene-b0020	2225
gene-b0021	38
gene-b0022	2
gene-b0023	1789
gene-b0024	924
gene-b0025	3074
gene-b0026	17035
gene-b0027	2560
gene-b0028	792
gene-b0029	1800
gene-b0030	362
gene-b0031	844
gene-b0032	111
gene-b0033	533
gene-b0034	71
gene-b0035	46
gene-b0036	169
gene-b0037	339
gene-b0038	445
gene-b0039	702
gene-b0040	11
gene-b0041	4
gene-b0042	3
gene-b0043	2
gene-b0044	10
gene-b0045	93
gene-b0046	242
gene-b0047	352
gene-b0048	2656
gene-b0049	1240
gene-b0050	1952
gene-b0051	4048
gene-b0052	525
gene-b0053	9699
gene-b0054	17720
gene-b0055	367
gene-b0056	3030
gene-b0057	2253
gene-b0058	3339
gene-b0059	11611
gene-b0060	8266
gene-b0061	178
gene-b0062	2373
gene-b0063	2006
gene-b0064	1976
gene-b0065	6285
gene-b0066	876
gene-b0067	80
gene-b0068	372
gene-b0069	451
gene-b4577	14
gene-b4662	13
gene-b0070	1213
gene-b0071	1810
gene-b0072	1174
gene-b0073	812
gene-b0074	796
gene-b0075	10
gene-b0076	256
gene-b4726	0
gene-b0077	476
gene-b0078	526
gene-b0080	2958
gene-b0081	8221
gene-b0082	11908
gene-b0083	4180
gene-b0084	794
gene-b0085	580
gene-b0086	378
gene-b0087	716
gene-b0088	503
gene-b0089	581
gene-b0090	645
gene-b0091	967
gene-b0092	2032
gene-b0093	5290
gene-b0094	7864
gene-b0095	14145
gene-b0096	292290
gene-b0097	2624
gene-b0098	11538
gene-b0099	128
gene-b0101	388
gene-b0102	2003
gene-b0103	2373
gene-b4727	12
gene-b0104	782
gene-b0106	164
gene-b0107	148
gene-b0108	21
gene-b0109	564
gene-b0110	605
gene-b0111	903
gene-b0112	2108
gene-b0113	1474
gene-b0114	17856
gene-b0115	9238
gene-b0116	7704
gene-b0117	302
gene-b0118	20763
gene-b0119	23846
gene-b0120	1494
gene-b0121	490
gene-b0122	582
gene-b0123	1047
gene-b0124	23725
gene-b0125	855
