Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b1455	21
gene-b1457	56
gene-b4745	55
gene-b1460	15
gene-b1461	167
gene-b1462	643
gene-b1463	928
gene-b1464	538
gene-b1465	175
gene-b1466	152
gene-b1467	356
gene-b1468	1310
gene-b1469	385
gene-b1471	3
gene-b1472	0
gene-b1473	93
gene-b1474	118
gene-b1475	222
gene-b1476	220
gene-b1477	2004
gene-b1478	9116
gene-b1479	2626
gene-b1480	9519
gene-b1481	169
gene-b1482	26975
gene-b1483	1400
gene-b1484	113
gene-b1485	113
gene-b1486	71
gene-b1487	211
gene-b1488	92
gene-b1489	5665
gene-b1490	8821
gene-b4746	369
gene-b1491	427
gene-b1492	154599
gene-b1493	79308
gene-b1494	416
gene-b1495	174
gene-b1496	41
gene-b4747	1
gene-b1497	102
gene-b1498	311
gene-b1499	22
gene-b1500	0
gene-b1501	676
gene-b1502	24
gene-b1503	31
gene-b1504	31
gene-b1505	61
gene-b1507	494
gene-b1508	99
gene-b1511	1270
gene-b1512	969
gene-b1513	1166
gene-b1514	690
gene-b1515	742
gene-b1516	683
gene-b1517	1062
gene-b1518	368
gene-b1519	6581
gene-b1520	1182
gene-b1521	2323
gene-b1522	256
gene-b1523	54
gene-b1524	258
gene-b1525	480
gene-b1526	556
gene-b1527	47
gene-b1528	307
gene-b1529	782
gene-b1530	81
gene-b1531	201
gene-b1532	142
gene-b1533	1229
gene-b1534	373
gene-b4599	8895
gene-b4698	18
gene-b1535	713
gene-b1536	1713
gene-b1537	829
gene-b1538	3212
gene-b1539	2924
gene-b1540	920
gene-b1541	36
gene-b1542	162
gene-b1543	414
gene-b4748	68
gene-b1544	20
gene-b1545	328
gene-b1546	6
gene-b1547	38
gene-b1548	39
gene-b4533	19
gene-b1549	23
gene-b1550	46
gene-b1551	1
gene-b4749	0
gene-b4724	0
gene-b1552	9
gene-b1553	11
gene-b4689	10
gene-b1554	19
gene-b1555	34
gene-b1556	6
gene-b1557	43
gene-b1558	104
gene-b4750	312
gene-b1559	101
gene-b1560	20
gene-b1561	217
gene-b1562	7005
gene-b1563	19054
gene-b1564	15402
gene-b1565	1355
gene-b1566	124
gene-b1567	12
gene-b1568	46
gene-b1569	26
gene-b1570	514
gene-b1571	73
gene-b1572	77
gene-b1573	215
gene-b1574	74
gene-b1575	25
gene-b1576	42
gene-b4534	17
gene-b1580	1417
gene-b1581	1023
gene-b1582	108
gene-b1583	646
gene-b1584	1574
gene-b1585	1195
gene-b1586	9247
gene-b1587	355
gene-b1588	310
gene-b1589	64
gene-b1590	392
gene-b1591	463
gene-b1592	411
gene-b1593	806
gene-b1594	1488
gene-b1595	170
gene-b1596	1097
gene-b1597	144
gene-b4601	56
gene-b1598	3110
gene-b1599	134
gene-b1600	16
gene-b1601	278
gene-b1602	3915
gene-b1603	2366
gene-b1604	1114
gene-b1605	226
gene-b1606	260
gene-b1607	72
gene-b1608	740
gene-b1609	594
gene-b1610	1338
gene-b1611	13205
gene-b1612	7368
gene-b1613	998
gene-b1614	12538
gene-b1615	155
gene-b1616	88
gene-b1617	459
gene-b1618	1201
gene-b1619	8909
gene-b1620	337
gene-b1621	444
gene-b1622	609
gene-b1623	600
gene-b1624	2765
gene-b4409	21
gene-b1625	1687
gene-b1626	1739
gene-b1627	674
gene-b1628	492
gene-b1629	789
gene-b1630	218
gene-b1631	95
gene-b1632	142
gene-b1633	119
gene-b1634	745
gene-b1635	6039
gene-b1636	509
gene-b1637	5080
gene-b1638	477
gene-b1639	175
gene-b1640	670
gene-b1641	15681
gene-b1642	2866
gene-b1643	307
gene-b1644	137
gene-b1645	10691
gene-b1646	9389
gene-b1647	2851
gene-b1648	438
gene-b1649	293
gene-b1650	631
gene-b1651	1043
gene-b1652	180
gene-b1653	1085
gene-b1654	10104
gene-b1655	248
gene-b1656	2844
gene-b1657	346
gene-b4602	518
gene-b1658	609
gene-b1659	650
gene-b1660	447
gene-b1661	56798
gene-b1662	1394
gene-b1663	4039
gene-b1664	9840
gene-b1665	20
gene-b1666	35
gene-b1667	3141
gene-b1668	2502
gene-b1669	466
gene-b1670	122
gene-b1671	29
gene-b1672	90
gene-b1673	157
gene-b1674	45
gene-b1675	267
gene-b1676	27567
gene-b1677	62501
gene-b1678	52922
gene-b1679	910
gene-b1680	4778
gene-b1681	7715
gene-b1682	5227
gene-b1683	14414
gene-b1684	4075
gene-b4430	406
gene-b1685	3220
gene-b1686	294
gene-b1687	927
gene-b1688	2843
gene-b4431	109
gene-b1689	31
gene-b1690	35
gene-b1691	7
gene-b1692	108
gene-b1693	195
gene-b1694	28
gene-b1695	61
gene-b1696	90
gene-b1697	70
gene-b1698	180
gene-b1699	120
gene-b1700	55
gene-b1701	196
gene-b1702	13142
gene-b1703	813
gene-b1704	266
gene-b1705	178
gene-b1706	2109
gene-b1707	194
gene-b1708	1895
gene-b1709	1990
gene-b1710	5017
gene-b1711	1258
gene-b1712	202338
gene-b1713	43673
gene-b1714	1392
gene-b1715	44
gene-b1716	21368
gene-b1717	16787
gene-b1718	81550
gene-b1719	43081
gene-b4535	13
gene-b1722	115
gene-b1723	3943
gene-b1724	3305
gene-b1725	11543
gene-b1726	3237
gene-b1727	754
gene-b1728	138
gene-b1729	1084
gene-b1730	83
gene-b1731	224
gene-b1732	21418
gene-b1733	484
gene-b1734	325
gene-b1735	222
gene-b1736	175
gene-b1737	335
gene-b1738	77
gene-b1739	9910
gene-b1740	2536
gene-b1741	318
gene-b1742	50
gene-b1743	5074
gene-b1744	2033
gene-b1745	2970
gene-b1746	4651
gene-b1747	4496
gene-b1748	9190
gene-b1749	936
gene-b1750	279
gene-b1751	54
gene-b1752	204
gene-b1753	320
gene-b1754	378
gene-b1755	206
gene-b1756	134
gene-b1757	343
gene-b1758	414
gene-b1759	97
gene-b1760	146
gene-b1761	579
gene-b1762	13
gene-b1763	1066
gene-b1764	3238
gene-b1765	1533
gene-b1766	514
gene-b1767	2386
gene-b1768	1028
gene-b1769	187
gene-b1770	564
gene-b1771	110
gene-b1772	24
gene-b1773	83
gene-b1774	59
gene-b1775	13
gene-b1776	101
gene-b1777	2251
gene-b1778	3288
gene-b1779	115634
gene-b1780	1028
gene-b1781	582
gene-b1782	1897
gene-b1783	78107
gene-b1784	14531
gene-b1785	361
gene-b1786	1370
gene-b1787	258
gene-b1788	52
gene-b1789	9
gene-b1790	224
gene-b1791	134
gene-b1792	664
gene-b1793	119
gene-b1794	549
gene-b4676	104
gene-b4675	90
gene-b1795	14958
gene-b1796	43
gene-b1797	72
gene-b1798	310
gene-b1799	1455
gene-b1800	207
gene-b1801	40
gene-b1802	63
gene-b1803	138
gene-b1804	259
gene-b1805	9766
gene-b1806	6335
gene-b1807	1389
gene-b1808	501
gene-b1809	197
gene-b1810	4081
gene-b1811	690
gene-b1812	1434
gene-b1813	890
gene-b1814	11680
gene-b1815	2377
gene-b1816	1340
gene-b4751	85
gene-b1817	13739
gene-b1818	24279
gene-b1819	28092
gene-b1820	718
gene-b1821	92
gene-b1822	248
gene-b1823	49124
gene-b1824	26692
gene-b1825	1563
gene-b1826	62
gene-b4536	172
gene-b1827	6569
gene-b1828	306
gene-b1829	10287
gene-b1830	2693
gene-b1831	2398
gene-b1832	1335
gene-b1833	716
gene-b1834	790
gene-b1835	619
gene-b1836	12149
gene-b1837	1754
gene-b1838	1993
gene-b4432	983
gene-b4433	571
gene-b1839	262
gene-b1840	246
gene-b1841	211
gene-b1842	158
gene-b1843	1208
gene-b1844	786
gene-b1845	2285
gene-b1846	910
gene-b1847	3142
gene-b1848	2967
gene-b1849	137
gene-b1850	1797
gene-b1851	483
gene-b1852	2613
gene-b1853	1788
gene-b1854	6300
gene-b1855	1238
gene-b1856	10040
gene-b1857	21177
gene-b1858	9051
gene-b1859	2118
gene-b1860	1772
gene-b1861	1403
gene-b4677	97
gene-b1862	88
gene-b1863	841
gene-b1864	4854
gene-b1865	4557
gene-b1866	19756
gene-b1867	225
gene-b1868	172
gene-b1869	326
gene-b1870	884
gene-b1871	1026
gene-b1872	887
gene-b1873	250
gene-b4717	526
gene-b1874	2666
gene-b1875	488
gene-b1876	3476
gene-b1877	66
gene-b1878	36
gene-b1879	480
gene-b1880	113
gene-b1881	275
gene-b1882	178
gene-b1883	97
gene-b1884	83
gene-b1885	171
gene-b1886	275
gene-b1887	308
gene-b1888	317
gene-b1889	79
gene-b1890	91
gene-b1891	525
gene-b1892	211
gene-b1893	160
gene-b1894	5
gene-b1895	3876
gene-b1896	80993
gene-b1897	30657
gene-b4460	872
gene-b1900	837
gene-b1901	1254
gene-b1902	865
gene-b4537	119
gene-b4663	524
gene-b1904	123
gene-b1905	635
gene-b1906	375
gene-b1907	775
gene-b1908	3689
gene-b1909	52
gene-b1910	50
gene-b1911	116
gene-b1912	1189
gene-b1913	768
gene-b1914	651
gene-b4752	44
gene-b1915	141
gene-b1916	411
gene-b4719	183
gene-b1917	1173
gene-b1918	1168
gene-b1919	2136
gene-b1920	8640
gene-b1921	195
gene-b1922	593
gene-b1923	4978
gene-b1924	109
gene-b1925	48
gene-b1926	93
gene-b1927	5762
gene-b1928	5698
gene-b1929	2027
gene-b1930	263
gene-b1931	855
gene-b1932	62
gene-b1937	60
gene-b1938	268
gene-b1939	310
gene-b1940	130
gene-b1941	157
gene-b1942	52
gene-b1943	43
gene-b1944	171
gene-b1945	427
gene-b1946	185
gene-b1947	47
gene-b1948	75
gene-b1949	49
gene-b1950	125
gene-b1951	282
gene-b1952	216
gene-b1953	34703
gene-b1954	9313
gene-b1955	15941
gene-b1956	4072
gene-b1957	6764
gene-b1958	7516
gene-b1959	31
gene-b1960	104
gene-b1961	914
gene-b1962	2217
gene-b1963	1262
gene-b4603	6
gene-b1967	84488
gene-b1968	442
gene-b1969	317
gene-b1970	47
gene-b1971	2567
gene-b1972	965
gene-b1973	8972
gene-b1974	138
gene-b1975	174
gene-b1976	3510
gene-b1977	161
gene-b1978	1318
gene-b1981	1227
gene-b1982	2007
gene-b1983	1067
gene-b1984	43
gene-b1985	633
gene-b1986	5
gene-b1987	254
gene-b1988	528
gene-b1989	139
gene-b1990	19273
gene-b1991	579
gene-b1992	597
gene-b1993	535
gene-b1994	95
gene-b1996	28
gene-b1997	4
gene-b4435	70
gene-b2000	1333
gene-b2001	192
gene-b2002	63
gene-b2003	39
gene-b2004	48
gene-b2005	4
gene-b2006	39
gene-b4538	183
gene-b2007	2023
gene-b2008	1681
gene-b2009	8328
gene-b2010	555
gene-b2011	1020
gene-b2012	768
gene-b2013	1705
gene-b2014	456
gene-b4678	16
gene-b2015	7599
gene-b2016	6044
gene-b4539	2953
gene-b2017	3759
gene-b2018	20
gene-b2019	1052
gene-b2020	1317
gene-b2021	524
gene-b2022	987
gene-b2023	448
gene-b2024	261
gene-b2025	357
gene-b2026	646
gene-b2027	6986
gene-b2028	1396
gene-b2029	25088
gene-b2030	453
gene-b2032	933
gene-b2033	1896
gene-b2034	3461
gene-b2035	1885
gene-b2036	4101
gene-b2037	1139
gene-b2038	1074
gene-b2039	2384
gene-b2040	4274
gene-b2041	4693
gene-b2042	19820
gene-b2043	121
gene-b2044	83
gene-b2045	126
gene-b2046	57
gene-b2047	47
gene-b2048	185
gene-b2049	100
gene-b2050	161
gene-b2051	25
gene-b2052	36
gene-b2053	60
gene-b2054	8
gene-b2055	26
gene-b2056	28
gene-b2057	106
gene-b2058	46
gene-b2059	76
gene-b2060	49
gene-b2061	1
gene-b2062	55
gene-b2063	1466
gene-b2064	1052
gene-b2065	878
gene-b2066	329
gene-b2067	1381
gene-b2068	375
gene-b2069	491
gene-b2070	359
gene-b2071	32
gene-b2072	17
gene-b2073	20
gene-b4436	80
gene-b4667	50
gene-b4437	97
gene-b4668	71
gene-b2074	343
gene-b2075	404
gene-b2076	254
gene-b2077	315
gene-b2078	280
gene-b2079	944
gene-b2080	12038
gene-b2081	2106
gene-b4438	378
gene-b2082	41
gene-b2085	121
gene-b2086	12491
gene-b2088	1
gene-b2089	22
gene-b2091	2308
gene-b2093	3313
gene-b2094	9974
gene-b2095	71694
gene-b2096	94969
gene-b2097	31823
gene-b2098	133
gene-b2099	206
gene-b2100	208
gene-b2101	350
gene-b2102	245
gene-b2103	2030
gene-b2104	1860
gene-b2105	60
gene-b2106	234
gene-b2107	180
gene-b2108	45
gene-b2109	33
gene-b2110	0
gene-b2111	2
gene-b2112	403
gene-b2113	3772
gene-b2114	5847
gene-b2115	19
gene-b2118	346
gene-b4541	40
gene-b2119	36
gene-b2120	73
gene-b2121	78
gene-b2122	194
gene-b2123	93
gene-b2124	752
gene-b2125	628
gene-b2126	962
gene-b2127	4176
gene-b4542	49
gene-b2128	365
gene-b2129	651
gene-b2130	1426
gene-b2131	6383
gene-b2132	1646
gene-b2133	1646
gene-b2134	1076
gene-b2135	56475
gene-b2136	820
gene-b2137	3470
gene-b4679	2521
gene-b2140	624
gene-b2141	382
gene-b2142	1231
gene-b2143	3970
gene-b2144	199
gene-b2145	53
gene-b2146	242
gene-b2147	452
gene-b2148	1208
gene-b2149	2160
gene-b2150	9568
gene-b2151	815
gene-b2152	461
gene-b2153	883
gene-b2154	640
gene-b2155	1571
gene-b2156	10674
gene-b2157	1226
gene-b2158	684
gene-b2159	1198
gene-b2160	682
gene-b2161	45
gene-b2162	41
gene-b2163	19
gene-b2164	259
gene-b2165	72
gene-b2166	9
gene-b2167	12259
gene-b2168	4251
gene-b2169	5625
gene-b2170	185
gene-b4502	141
gene-b2171	410
gene-b2172	3057
gene-b2173	273
gene-b2174	81
gene-b2175	1647
gene-b2176	364
gene-b2177	304
gene-b2178	91
gene-b2179	156
gene-b2180	1406
gene-b2181	6144
gene-b2182	841
gene-b2183	1082
gene-b2184	401
gene-b2185	827
gene-b2186	1637
gene-b2187	1070
gene-b2188	2058
gene-b2189	53
gene-b2192	11
gene-b2193	640
gene-b2194	280
gene-b2195	85
gene-b2196	251
gene-b2197	160
gene-b2198	143
gene-b2199	216
gene-b2200	198
gene-b2201	1129
gene-b2202	452
gene-b2203	37
gene-b2204	122
gene-b2205	71
gene-b2206	181
gene-b2207	15
gene-b2208	33
gene-b4604	28
gene-b2209	598
gene-b2210	399
gene-b2211	1052
gene-b2212	1375
gene-b2213	3218
gene-b2214	113
gene-b2215	21464
gene-b4439	117
gene-b2216	2646
gene-b2217	4753
gene-b2218	1800
gene-b2219	2644
gene-b2220	451
gene-b2221	49
gene-b2222	43
gene-b2223	116
gene-b2224	193
gene-b2225	225
gene-b2226	161
gene-b2229	8
gene-b2230	135
gene-b2231	15762
gene-b2232	627
gene-b2233	691
gene-b4605	18
gene-b2234	7422
gene-b2235	1992
gene-b2236	356
gene-b2237	1265
gene-b2239	11505
gene-b2240	12208
gene-b2241	13756
gene-b2242	9406
gene-b2243	6586
gene-b2244	591
gene-b2245	267
gene-b2246	112
gene-b2247	298
gene-b2248	124
gene-b2249	1112
gene-b2250	202
gene-b2251	70
gene-b2252	44
gene-b2253	833
gene-b2254	517
gene-b2255	1496
gene-b2256	574
gene-b2257	233
gene-b4544	324
gene-b2258	174
gene-b2259	36
gene-b2260	697
gene-b2261	1581
gene-b2262	1879
gene-b2263	503
gene-b2264	1341
gene-b2265	1842
gene-b2266	22244
gene-b2267	212
gene-b2268	284
gene-b2269	105
gene-b2270	141
gene-b2271	59
gene-b2272	52
gene-b2273	59
gene-b2274	3
gene-b2275	77
gene-b2276	3115
gene-b2277	1878
gene-b2278	3526
gene-b2279	403
gene-b2280	834
gene-b2281	972
gene-b2282	1938
gene-b2283	8456
gene-b2284	4590
gene-b2285	2547
gene-b2286	7664
gene-b2287	2843
gene-b2288	2799
gene-b2289	4288
gene-b2290	1057
gene-b2291	195
gene-b2292	609
gene-b2293	2588
gene-b2294	1817
gene-b2295	12241
gene-b2296	12245
gene-b2297	15463
gene-b2298	72
gene-b2299	1222
gene-b2300	1520
gene-b2301	285
gene-b2302	1590
gene-b2303	2544
gene-b2304	3509
gene-b2305	720
gene-b2306	307
gene-b2307	182
gene-b2308	262
gene-b2309	1205
gene-b2310	2470
gene-b2311	73
gene-b2312	3613
gene-b2313	1758
gene-b2314	1530
gene-b2315	1066
gene-b2316	5831
gene-b2317	1485
gene-b2318	3525
gene-b2319	2294
gene-b2320	2695
gene-b2321	167
gene-b2322	98
gene-b2323	7643
gene-b2324	990
gene-b2325	101
gene-b2326	204
gene-b2327	230
gene-b2328	491
gene-b2329	1918
gene-b2330	1523
gene-b2331	533
gene-b2332	991
gene-b2333	24
gene-b2334	45
gene-b2335	31
gene-b2336	15
gene-b2339	15
gene-b2340	11775
gene-b2341	3334
gene-b2342	2506
gene-b2343	2852
gene-b2344	1938
gene-b2345	46
gene-b2346	2992
gene-b2347	869
gene-b2348	39
gene-b2349	87
gene-b2350	251
gene-b2351	596
gene-b2352	345
gene-b2354	285
gene-b2356	3
gene-b2357	3
gene-b2358	3
gene-b2359	27
gene-b2360	163
gene-b2361	37
gene-b2362	24
gene-b2363	175
gene-b4545	43
gene-b4501	303
gene-b2364	442
gene-b2365	285
gene-b2366	431
gene-b2367	26
gene-b2368	128
gene-b2369	149
gene-b2370	407
gene-b2371	254
gene-b2372	97
gene-b2373	49
gene-b2374	91
gene-b2375	47
gene-b2376	190
gene-b2377	2796
gene-b2378	388
gene-b4680	56
gene-b2379	983
gene-b2380	457
gene-b2381	806
gene-b2382	169
gene-b2383	55
gene-b2384	66
gene-b2385	56
gene-b2386	38
gene-b2387	6
gene-b2388	2808
gene-b2389	971
gene-b2390	2243
gene-b2392	45101
gene-b2393	1914
gene-b2394	58
gene-b2395	467
gene-b2396	14
gene-b2397	19
gene-b2398	405
gene-b2399	278
gene-b2400	7416
gene-b2401	19
gene-b2402	31
gene-b2403	94
gene-b2404	46
gene-b2405	577
gene-b2406	162
gene-b2407	19
gene-b2408	604
gene-b2409	227
gene-b2410	2085
gene-b4546	328
gene-b2411	2643
gene-b2412	4874
gene-b2413	1012
gene-b2414	11242
gene-b2415	5369
gene-b2416	32871
gene-b2417	81476
gene-b2418	746
gene-b2419	236
gene-b2420	326
gene-b2421	259
gene-b2422	1632
gene-b2423	865
gene-b2424	891
gene-b2425	2097
gene-b2426	3202
gene-b2427	65
gene-b2428	91
gene-b2429	172
gene-b2430	130
gene-b2431	1708
gene-b2432	402
gene-b2433	621
gene-b2434	959
gene-b2435	632
gene-b2436	401
gene-b2437	433
gene-b2438	223
gene-b2439	315
gene-b2440	240
gene-b2441	1348
gene-b2442	146
gene-b2443	1103
gene-b2444	25
gene-b2445	56
gene-b2446	103
gene-b2447	150
gene-b2448	50
gene-b2449	1589
gene-b2450	1315
gene-b2451	195
gene-b2452	223
gene-b2453	125
gene-b2454	18
gene-b2455	49
gene-b2456	10
gene-b2457	66
gene-b2458	188
gene-b2459	122
gene-b2460	152
gene-b2461	39
gene-b2462	85
gene-b2463	4547
gene-b2464	59142
gene-b2465	65815
gene-b2466	1474
gene-b2467	266
gene-b2468	159
gene-b2469	450
gene-b2470	279
gene-b4606	881
gene-b2471	646
gene-b2472	2468
gene-b4547	6363
gene-b2473	1757
gene-b2474	2469
gene-b2475	4903
gene-b2476	316
gene-b2477	4599
gene-b2478	2728
gene-b2479	3414
gene-b2480	638
gene-b2481	19
gene-b2482	58
gene-b2483	29
gene-b2484	45
gene-b2485	18
gene-b2486	151
gene-b2487	145
gene-b2488	87
gene-b2489	158
gene-b2490	53
gene-b2491	135
gene-b2492	147
gene-b2493	869
gene-b2494	4700
gene-b2495	729
gene-b2496	876
gene-b2497	98
gene-b2498	445
gene-b2499	155
gene-b2500	295
gene-b2501	4213
gene-b2502	1814
gene-b2503	166
gene-b2504	484
gene-b2505	2
gene-b2506	115
gene-b2507	4010
gene-b2508	2594
gene-b2509	1718
gene-b2510	429
gene-b2511	8498
gene-b2512	15706
gene-b2513	2194
gene-b2514	3926
gene-b2515	8582
gene-b2516	6369
gene-b2517	4078
gene-b2518	706
gene-b2519	327
gene-b2520	6605
gene-b2521	3800
gene-b4440	208
gene-b2522	569
gene-b2523	1779
gene-b2524	519
gene-b2525	1123
gene-b2526	5422
gene-b2527	2153
gene-b2528	13970
gene-b2529	25233
gene-b2530	41231
gene-b2531	12942
gene-b2532	4547
gene-b2533	914
gene-b2534	80
gene-b2535	9569
gene-b2536	743
gene-b4706	49
gene-b2537	624
gene-b2538	204
gene-b2539	57
gene-b2540	63
gene-b2541	166
gene-b2542	273
gene-b2543	1054
gene-b2544	258
gene-b2545	218
gene-b2546	128
gene-b2547	197
gene-b2548	131
gene-b2549	149
gene-b2550	428
gene-b2551	3404
gene-b2552	364
gene-b2553	314
gene-b2554	527
gene-b2555	849
gene-b2556	2097
gene-b4441	239
gene-b2557	645
gene-b2558	172
gene-b2559	308
gene-b2560	404
gene-b2561	205
gene-b2562	219
gene-b4687	106
gene-b4608	16
gene-b2563	308
gene-b2564	504
gene-b2565	1253
gene-b2566	11768
gene-b2567	5462
gene-b2568	2204
gene-b2569	2943
gene-b2570	433
gene-b2571	12027
gene-b2572	42805
gene-b2573	37587
gene-b4725	3236
gene-b2574	89
gene-b2575	58
gene-b2576	2761
gene-b2577	241
gene-b2578	325
gene-b2579	1035
gene-b2580	143
gene-b2581	544
gene-b2582	3569
gene-b2583	301
gene-b2584	8940
gene-b2585	6995
gene-b2586	2130
gene-b2587	47798
gene-b2588	197
gene-b2589	13234
gene-b2590	10819
gene-b2591	163555
gene-b2592	473027
gene-b4609	9376
gene-b2593	2562
gene-b2594	5513
gene-b2595	3062
gene-b2597	7004
gene-b2598	114
gene-b2599	1223
gene-b2600	1691
gene-b2601	1658
gene-b2602	406
gene-b2603	678
gene-b2604	513
gene-b2605	154
gene-b2606	51483
gene-b2607	41791
gene-b2608	26201
gene-b2609	21389
gene-b2610	5598
gene-b2611	2475
gene-b4461	1387
gene-b2614	56449
gene-b2615	1658
gene-b2616	20277
gene-b2617	5125
gene-b2618	1051
gene-b2619	1886
gene-b2620	472
gene-b2621	2323590
gene-b2622	1781
gene-b2623	187
gene-b2624	10
gene-b2625	39
gene-b2626	41
gene-b2627	1285
gene-b2628	1765
gene-b2629	35
gene-b2630	13863
gene-b2631	5984
gene-b2632	207
gene-b2633	123
gene-b2634	83
gene-b2635	28
gene-b2636	93
gene-b2637	1014
gene-b2638	285
gene-b2642	155
gene-b2643	43
gene-b2644	45
gene-b4548	23
gene-b2645	38
gene-b2646	70
gene-b2647	8881
gene-b2649	6
gene-b2650	3
gene-b2652	0
gene-b2659	23186
gene-b2660	6962
gene-b2661	5673
gene-b2662	7400
gene-b2663	1092
gene-b2664	9115
gene-b2665	27673
gene-b2666	1581
gene-b2667	42
gene-b2668	368
gene-b2669	3436
gene-b2670	1579
gene-b2671	653
gene-b2672	41675
gene-b2673	12312
gene-b2674	22249
gene-b2675	21017
gene-b2676	5806
gene-b2677	190
gene-b2678	117
gene-b2679	164
gene-b2682	194
gene-b2683	58
gene-b2684	298
gene-b2685	243
gene-b2686	1778
gene-b2687	12599
gene-b4442	1158
gene-b2688	10818
gene-b2689	690
gene-b2690	722
gene-b2691	85
gene-b2692	503
gene-b2693	961
gene-b2694	769
gene-b2695	525
gene-b2696	14366
gene-b2697	5027
gene-b2698	300
gene-b2699	28905
gene-b2700	437
gene-b2701	668
gene-b2702	1911
gene-b2703	1742
gene-b2704	543
gene-b2705	2019
gene-b2706	168
gene-b2707	557
gene-b2708	779
gene-b2709	1019
gene-b2710	650
gene-b2711	253
gene-b2712	813
gene-b2713	63
gene-b2714	398
gene-b2715	322
gene-b2716	234
gene-b2717	1071
gene-b2718	515
gene-b2719	112
gene-b2720	40
gene-b2721	76
gene-b2722	10
gene-b2723	67
gene-b2724	14
gene-b2725	18
gene-b2726	31
gene-b2727	107
gene-b2728	12
gene-b2729	468
gene-b2730	2412
gene-b2731	1624
gene-b2732	157
gene-b2733	681
gene-b2734	43
gene-b2735	814
gene-b2736	314
gene-b2737	362
gene-b2738	103
gene-b2739	177
gene-b2740	151
gene-b2741	98364
gene-b2742	20326
gene-b2743	1623
gene-b2744	1295
gene-b2745	1117
gene-b2746	319
gene-b2747	1032
gene-b2748	1275
gene-b2749	102
gene-b2750	881
gene-b2751	3771
gene-b2752	3319
gene-b2753	483
gene-b2754	241
gene-b2755	516
gene-b2756	248
gene-b2757	201
gene-b2758	148
gene-b2759	18
gene-b2760	106
gene-b2761	274
gene-b4701	1
gene-b2762	1461
gene-b2763	3502
gene-b2764	2820
gene-b2765	43
gene-b2766	356
gene-b2767	47
gene-b2768	121
gene-b2769	75
gene-b2770	29
gene-b2771	28
gene-b4463	72
gene-b2774	1
gene-b2775	112
gene-b2776	75
gene-b2777	3073
gene-b4682	2
gene-b2778	18
gene-b2779	73568
gene-b2780	11506
gene-b2781	2928
gene-b2782	677
gene-b2783	658
gene-b2784	3427
gene-b2785	1743
gene-b2786	667
gene-b2787	339
gene-b2788	108
gene-b2789	996
gene-b2790	659
gene-b2791	357
gene-b2792	179
gene-b4408	40518
gene-b2793	299
gene-b2794	1117
gene-b2795	1493
gene-b2796	6087
gene-b2797	3609
gene-b2798	115
gene-b2799	760
gene-b2800	95
gene-b2801	324
gene-b2802	794
gene-b2803	539
gene-b2804	696
gene-b2805	743
gene-b2806	1919
gene-b2807	845
gene-b2808	940
gene-b4443	498
gene-b2809	1816
gene-b2810	834
gene-b2811	948
gene-b2812	936
gene-b2813	555
gene-b2814	12
gene-b2815	29
gene-b2816	48
gene-b2817	341
gene-b2818	371
gene-b2819	631
gene-b2820	1015
gene-b2821	1029
gene-b2822	1616
gene-b2823	61
gene-b2824	34
gene-b2825	88
gene-b2826	34
gene-b2827	1155
gene-b2828	2803
gene-b2829	3564
gene-b2830	2811
gene-b4610	17
gene-b2831	455
gene-b2832	1599
gene-b2833	516
gene-b2834	3303
gene-b2835	1719
gene-b2836	970
gene-b4444	17
gene-b4445	7
gene-b2837	654
gene-b2838	335
gene-b2839	248
gene-b2840	276
gene-b2841	867
gene-b2842	125
gene-b2843	181
gene-b2844	3153
gene-b2845	227
gene-b2846	12
gene-b2847	29
gene-b2848	29
gene-b4683	8
gene-b2849	5
gene-b2851	3
gene-b2852	20
gene-b2853	11
gene-b2860	4
gene-b2861	11
gene-b2863	100
gene-b2864	126
gene-b2865	711
gene-b2866	409
gene-b2867	192
gene-b2868	107
gene-b2869	1484
gene-b2870	38
gene-b2871	82
gene-b2872	102
gene-b2873	47
gene-b2874	197
gene-b2875	1191
gene-b2876	551
gene-b2877	957
gene-b2878	328
gene-b2879	89
gene-b2880	49
gene-b2881	427
gene-b2882	165
gene-b2883	212
gene-b4464	257
gene-b2886	79
gene-b2887	153
gene-b2888	23
gene-b4684	104
gene-b4753	49
gene-b2889	1453
gene-b2890	8908
gene-b2891	6298
gene-b2892	1551
gene-b2893	1128
gene-b2894	1034
gene-b2895	1310
gene-b2896	743
gene-b2897	686
gene-b2898	5175
gene-b2899	2135
gene-b2900	443
gene-b2901	1542
gene-b2902	180
gene-b2903	1700
gene-b2904	557
gene-b2905	487
gene-b4754	4
gene-b2906	816
gene-b2907	3767
gene-b2908	5761
gene-b2909	4199
gene-b2910	11704
gene-b2911	25500
gene-b2912	2085
gene-b4446	81
gene-b4665	47
gene-b2913	4461
gene-b2914	5032
gene-b2916	561
gene-b2917	387
gene-b2918	103
gene-b2919	48
gene-b2920	84
gene-b2921	167
gene-b2922	4414
gene-b2923	262
gene-b2924	5574
gene-b2925	34963
gene-b2926	26382
gene-b2927	4331
gene-b2928	555
gene-b2929	1056
gene-b2930	315
gene-b4465	72
gene-b2933	438
gene-b2934	1
gene-b2935	3444
gene-b2936	2500
gene-b2937	2555
gene-b2938	15533
gene-b2939	125
gene-b2940	115
gene-b2941	1755
gene-b2942	21860
gene-b2943	1041
