Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b0338	162
gene-b0339	31
gene-b0340	71
gene-b0341	75
gene-b0342	60
gene-b0343	115
gene-b0344	300
gene-b0345	924
gene-b0346	3564
gene-b0347	101
gene-b0348	105
gene-b0349	29
gene-b0350	38
gene-b0351	150
gene-b0352	191
gene-b0353	320
gene-b0354	744
gene-b0355	211
gene-b0356	576
gene-b0357	231
gene-b0358	399
gene-b0360	11
gene-b0361	14
gene-b0363	421
gene-b4731	0
gene-b0364	23
gene-b0365	179
gene-b0366	137
gene-b0367	135
gene-b0368	184
gene-b0369	3290
gene-b0372	40
gene-b0373	4
gene-b0375	42
gene-b0376	682
gene-b0377	465
gene-b0378	936
gene-b0379	233
gene-b0380	1538
gene-b0381	2330
gene-b0382	1032
gene-b0383	559
gene-b0384	5833
gene-b0385	5241
gene-b0386	725
gene-b0387	98
gene-b0388	573
gene-b0389	2281
gene-b0390	777
gene-b0391	985
gene-b4732	113
gene-b0393	1114
gene-b0394	1079
gene-b0396	1237
gene-b0397	657
gene-b0398	1030
gene-b0399	1560
gene-b0400	669
gene-b0401	13608
gene-b0402	1937
gene-b0403	765
gene-b0404	861
gene-b0405	696
gene-b0406	920
gene-b0407	2720
gene-b0408	2975
gene-b0409	2421
gene-b0410	167
gene-b0411	2694
gene-b0412	414
gene-b0413	2078
gene-b0414	4124
gene-b0415	2145
gene-b0416	4467
gene-b0417	1773
gene-b0418	1175
gene-b0419	8807
gene-b0420	1340
gene-b0421	1425
gene-b0422	811
gene-b0423	1441
gene-b0424	1460
gene-b0425	1763
gene-b0426	6849
gene-b0427	246
gene-b0428	2247
gene-b0429	1121
gene-b0430	3156
gene-b0431	5811
gene-b0432	2637
gene-b0433	232
gene-b0434	266
gene-b0435	18897
gene-b0436	5051
gene-b0437	12049
gene-b0438	74897
gene-b0439	66279
gene-b0440	818
gene-b0441	2479
gene-b0442	112
gene-b0443	124
gene-b0444	401
gene-b0445	758
gene-b0446	1026
gene-b0447	910
gene-b0448	858
gene-b0449	557
gene-b0450	24
gene-b0451	207
gene-b0452	1065
gene-b0453	15613
gene-b0454	542
gene-b0455	75
gene-b0456	1055
gene-b0457	1370
gene-b0458	1299
gene-b0459	618
gene-b0460	2087
gene-b0461	2225
gene-b0462	3807
gene-b0463	3016
gene-b0464	1686
