Geneid	1714__30min_MMC_N=3_library-read-1.fastq.gz
gene-b0001	2999
gene-b0002	1358
gene-b0003	2285
gene-b0004	1810
gene-b0005	364
gene-b0006	149
gene-b0007	192
gene-b0008	20479
gene-b0009	760
gene-b0010	834
gene-b0011	376
gene-b0012	307
gene-b0013	28
gene-b0014	1255460
gene-b0015	61924
gene-b0016	1089
gene-b4412	1270
gene-b0018	1334
gene-b4413	466
gene-b0019	30040
gene-b0020	3014
gene-b0021	99
gene-b0022	5
gene-b0023	1127
gene-b0024	1096
gene-b0025	3597
gene-b0026	36121
gene-b0027	3963
gene-b0028	1635
gene-b0029	1721
gene-b0030	438
gene-b0031	1224
gene-b0032	112
gene-b0033	707
gene-b0034	138
gene-b0035	67
gene-b0036	107
gene-b0037	817
gene-b0038	956
gene-b0039	769
gene-b0040	49
gene-b0041	64
gene-b0042	67
gene-b0043	43
gene-b0044	29
gene-b0045	244
gene-b0046	805
gene-b0047	1040
gene-b0048	4070
gene-b0049	1413
gene-b0050	8876
gene-b0051	9985
gene-b0052	606
gene-b0053	15248
gene-b0054	33260
gene-b0055	692
gene-b0056	5315
gene-b0057	3644
gene-b0058	3836
gene-b0059	16428
gene-b0060	6299
gene-b0061	334
gene-b0062	2518
gene-b0063	3111
gene-b0064	3368
gene-b0065	5537
gene-b0066	1395
gene-b0067	136
gene-b0068	229
gene-b0069	648
gene-b4577	122
gene-b4662	72
gene-b0070	1573
gene-b0071	2974
gene-b0072	2404
gene-b0073	1840
gene-b0074	1930
gene-b0075	48
gene-b0076	309
gene-b4726	6
gene-b0077	1302
gene-b0078	203
gene-b0080	2880
gene-b0081	4513
gene-b0082	13745
gene-b0083	4071
gene-b0084	717
gene-b0085	288
gene-b0086	400
gene-b0087	265
gene-b0088	705
gene-b0089	559
gene-b0090	503
gene-b0091	1281
gene-b0092	4104
gene-b0093	9337
gene-b0094	11874
gene-b0095	25498
gene-b0096	255052
gene-b0097	5454
gene-b0098	20446
gene-b0099	194
gene-b0101	1292
gene-b0102	2351
gene-b0103	3474
gene-b4727	15
gene-b0104	956
gene-b0106	172
gene-b0107	196
gene-b0108	2
gene-b0109	451
gene-b0110	363
gene-b0111	1041
gene-b0112	4387
gene-b0113	1118
gene-b0114	25949
gene-b0115	10394
gene-b0116	11742
gene-b0117	326
gene-b0118	28442
gene-b0119	10028
gene-b0120	2609
gene-b0121	869
gene-b0122	1241
gene-b0123	1249
gene-b0124	37619
gene-b0125	848
gene-b0126	1142
gene-b0127	1189
gene-b0128	1072
gene-b0129	443
gene-b0130	476
gene-b0131	994
gene-b0132	1433
gene-b0133	3777
gene-b0134	863
gene-b0135	134
gene-b0136	73
gene-b0137	392
gene-b0138	13
gene-b0139	168
gene-b0140	23
gene-b0141	3
gene-b0142	24
gene-b0143	1206
gene-b0144	1411
gene-b0145	26139
gene-b0146	60609
gene-b0147	180
gene-b0148	4666
gene-b0149	4519
gene-b0150	13343
gene-b0151	967
gene-b0152	76
gene-b0153	2536
gene-b0154	7290
gene-b0155	11407
gene-b4728	8966
gene-b0156	53319
gene-b0157	658
gene-b0158	311
gene-b0159	4283
gene-b0160	547
gene-b0161	5792
gene-b0162	637
gene-b0163	2266
gene-b0164	95
gene-b0166	1219
gene-b0167	3469
gene-b0168	3444
gene-b4414	4862
gene-b0169	86965
gene-b0170	11423
gene-b0171	4878
gene-b0172	25615
gene-b0173	1802
gene-b0174	776
gene-b0175	2796
gene-b0176	4436
gene-b0177	10801
gene-b0178	20618
gene-b0179	23583
gene-b0180	10392
gene-b0181	5718
gene-b0182	1763
gene-b0183	176
gene-b0184	6456
gene-b0185	4387
gene-b0186	6312
gene-b0187	1400
gene-b0188	1101
gene-b0189	12058
gene-b4406	10044
gene-b0190	581
gene-b0191	790
gene-b0192	1844
gene-b0193	236
gene-b0194	10755
gene-b0195	425
gene-b0196	417
gene-b0197	1061
gene-b0198	86
gene-b0199	145
gene-b0200	457
gene-b0201	100638
gene-b0202	1
gene-b0203	3
gene-b0204	172662
gene-b0205	165
gene-b0206	264
gene-b0207	1446
gene-b0208	1681
gene-b0209	8735
gene-b0210	1388
gene-b0211	1338
gene-b0212	385
gene-b0213	624
gene-b0214	314
gene-b0215	7276
gene-b0216	319
gene-b0217	17
gene-b4586	5
gene-b0219	3638
gene-b0220	646
gene-b0221	38472
gene-b0222	1767
gene-b0223	1782
gene-b0224	1327
gene-b0225	11559
gene-b0226	9408
gene-b0227	264
gene-b0228	259
gene-b0231	3985
gene-b0232	712
gene-b0233	684
gene-b0234	14
gene-b0237	2380
gene-b0238	655
gene-b0239	4689
gene-b4710	1582
gene-b4709	0
gene-b0241	32
gene-b0242	4536
gene-b0243	4285
gene-b0244	233
gene-b0245	97
gene-b0246	108
gene-b4504	23
gene-b0247	107
gene-b0248	174
gene-b0249	658
gene-b0250	9849
gene-b0251	199
gene-b0252	317
gene-b0253	1305
gene-b0254	136
gene-b0256	934
gene-b4690	84
gene-b0258	583
gene-b0259	38
gene-b0260	365
gene-b0261	837
gene-b0262	185
gene-b0264	0
gene-b0265	19
gene-b0266	615
gene-b0267	131
gene-b0268	2223
gene-b0269	2108
gene-b0270	314
gene-b0271	469
gene-b0272	135
gene-b0273	275
gene-b4688	65
gene-b0274	101
gene-b0275	0
gene-b0276	738
gene-b0277	1326
gene-b0278	136
gene-b0279	10
gene-b4729	44
gene-b0280	1306
gene-b0281	1478
gene-b0282	248
gene-b0283	1225
gene-b0284	1464
gene-b0285	1264
gene-b0286	312
gene-b0287	347
gene-b0288	365
gene-b0289	304
gene-b0290	701
gene-b0291	396
gene-b0292	121
gene-b0293	63
gene-b0294	14
gene-b0295	15875
gene-b4506	19349
gene-b0296	27733
gene-b4671	74
gene-b0298	0
gene-b0299	15
gene-b0301	7
gene-b0303	10
gene-b0304	365
gene-b0305	32
gene-b0306	140
gene-b0307	594
gene-b0308	691
gene-b0310	91
gene-b0311	456
gene-b0312	1419
gene-b0313	454
gene-b0314	4275
gene-b4730	1
gene-b0315	247
gene-b0316	131
gene-b0317	186
gene-b0318	25
gene-b0319	152
gene-b0320	146
gene-b0321	292
gene-b0322	719
gene-b0323	157
gene-b0324	2074
gene-b0325	11983
gene-b0326	107
gene-b0327	235
gene-b0328	443
gene-b0329	59937
gene-b0330	2930
gene-b0331	27212
gene-b0333	10024
gene-b0334	3826
gene-b0335	3658
gene-b0336	84
gene-b0337	530
gene-b0338	245
gene-b0339	59
gene-b0340	134
gene-b0341	217
gene-b0342	100
gene-b0343	188
gene-b0344	678
gene-b0345	1315
gene-b0346	7062
gene-b0347	111
gene-b0348	137
gene-b0349	116
gene-b0350	82
gene-b0351	457
gene-b0352	523
gene-b0353	1748
gene-b0354	1242
gene-b0355	460
gene-b0356	1115
gene-b0357	176
gene-b0358	1344
gene-b0360	34
gene-b0361	43
gene-b0363	1236
gene-b4731	19
gene-b0364	27
gene-b0365	207
gene-b0366	515
gene-b0367	251
gene-b0368	581
gene-b0369	1781
gene-b0372	99
gene-b0373	51
gene-b0375	171
gene-b0376	794
gene-b0377	1186
gene-b0378	895
gene-b0379	169
gene-b0380	3222
gene-b0381	3320
gene-b0382	2445
gene-b0383	1162
gene-b0384	12877
gene-b0385	19200
gene-b0386	637
gene-b0387	300
gene-b0388	515
gene-b0389	4102
gene-b0390	564
gene-b0391	2968
gene-b4732	163
gene-b0393	1419
gene-b0394	2019
gene-b0396	1766
gene-b0397	271
gene-b0398	783
gene-b0399	1721
gene-b0400	993
gene-b0401	26826
gene-b0402	2508
gene-b0403	1231
gene-b0404	1235
gene-b0405	177
gene-b0406	392
gene-b0407	1011
gene-b0408	3352
gene-b0409	4904
gene-b0410	417
gene-b0411	2290
gene-b0412	628
gene-b0413	1613
gene-b0414	2973
gene-b0415	1579
gene-b0416	5105
gene-b0417	572
gene-b0418	1358
gene-b0419	12404
gene-b0420	973
gene-b0421	1306
gene-b0422	815
gene-b0423	2871
gene-b0424	2712
gene-b0425	3994
gene-b0426	24156
gene-b0427	396
gene-b0428	2536
gene-b0429	1423
gene-b0430	2871
gene-b0431	4867
gene-b0432	1379
gene-b0433	47
gene-b0434	392
gene-b0435	42639
gene-b0436	1365
gene-b0437	20274
gene-b0438	174218
gene-b0439	54477
gene-b0440	333
gene-b0441	2629
gene-b0442	488
gene-b0443	325
gene-b0444	335
gene-b0445	2184
gene-b0446	4582
gene-b0447	2976
gene-b0448	1294
gene-b0449	741
gene-b0450	20
gene-b0451	344
gene-b0452	1007
gene-b0453	13474
gene-b0454	1355
gene-b0455	67
gene-b0456	374
gene-b0457	2634
gene-b0458	1396
gene-b0459	1138
gene-b0460	3723
gene-b0461	5181
gene-b0462	7016
gene-b0463	3823
gene-b0464	1974
gene-b0465	5091
gene-b0466	275
gene-b0467	837
gene-b0468	783
gene-b0469	115
gene-b0470	1177
gene-b0471	2666
gene-b0472	1368
gene-b0473	124535
gene-b0474	581
gene-b0475	880
gene-b0476	1140
gene-b0477	803
gene-b0478	6322
gene-b0479	333
gene-b0480	3004
gene-b0481	278
gene-b4585	105
gene-b0482	206
gene-b0483	5789
gene-b0484	16851
gene-b0485	12949
gene-b0486	9872
gene-b0487	4082
gene-b0488	8315
gene-b0489	16841
gene-b0490	131
gene-b0491	560
gene-b0492	19380
gene-b0493	284
gene-b0494	4945
gene-b0495	1536
gene-b0496	551
gene-b0497	1620
gene-b0498	132
gene-b0502	26
gene-b0503	282
gene-b0504	68
gene-b0505	245
gene-b0506	34288
gene-b0507	670
gene-b0508	373
gene-b0509	62
gene-b0511	308
gene-b0512	174
gene-b0513	471
gene-b0514	272
gene-b0515	46
gene-b0516	251
gene-b0517	9
gene-b0518	58
gene-b4572	207
gene-b0520	162
gene-b0521	179
gene-b0522	126
gene-b0523	36
gene-b0524	5250
gene-b0525	17065
gene-b0526	1108
gene-b0527	91
gene-b0528	512
gene-b0529	1410
gene-b0530	336
gene-b0531	175
gene-b0532	139
gene-b0533	73
gene-b0534	47
gene-b0535	231
gene-b0536	889
gene-b0537	1557
gene-b0540	0
gene-b0541	42
gene-b0543	1137
gene-b4733	344
gene-b0544	76
gene-b0545	1485
gene-b0546	1951
gene-b4588	98
gene-b0547	135
gene-b0548	1
gene-b0549	9
gene-b0550	27
gene-b4509	18
gene-b0551	37
gene-b0552	175
gene-b0554	163
gene-b0555	459
gene-b0556	129
gene-b4510	52
gene-b0557	74
gene-b0558	10
gene-b0559	31
gene-b4589	20
gene-b0560	48
gene-b0561	146
gene-b0563	71
gene-b0564	1221
gene-b0565	9738
gene-b0566	196
gene-b0567	673
gene-b0568	842
gene-b0569	1713
gene-b0570	341
gene-b0571	528
gene-b0572	54
gene-b0573	50
