Geneid	1714__30min_MMC_N=3_library-read-1.fastq.gz
gene-b0574	103
gene-b0575	421
gene-b0576	328
gene-b0577	994
gene-b0578	1717
gene-b0579	1415
gene-b0580	3058
gene-b0581	16374
gene-b4700	29
gene-b4415	25
gene-b0582	96
gene-b0583	324
gene-b0584	1155
gene-b0585	1932
gene-b4511	440
gene-b0586	5966
gene-b0587	50
gene-b0588	97
gene-b0589	250
gene-b0590	423
gene-b0591	399
gene-b0592	2098
gene-b0593	1642
gene-b0594	2193
gene-b0595	1381
gene-b0596	1238
gene-b0597	504
gene-b0598	57786
gene-b4512	1528
gene-b0599	2534
gene-b0600	161
gene-b0601	403
gene-b0602	207
gene-b0603	66
gene-b0604	844
gene-b0605	15161
gene-b0606	5711
gene-b0607	39880
gene-b0608	1289
gene-b4734	258
gene-b0610	369
gene-b0611	8922
gene-b0612	58
gene-b0613	35
gene-b0614	54
gene-b0615	106
gene-b0616	10
gene-b0617	14
gene-b0618	183
gene-b0619	488
gene-b0620	378
gene-b0621	375
gene-b0622	401
gene-b0623	60900
gene-b0624	2453
gene-b0627	1693
gene-b0628	3002
gene-b0629	273
gene-b0630	491
gene-b0631	16555
gene-b0632	468
gene-b0633	4263
gene-b0634	1816
gene-b0635	522
gene-b0636	99
gene-b0637	155
gene-b0638	212
gene-b0639	324
gene-b0640	2634
gene-b0641	16813
gene-b0642	55928
gene-b0643	20984
gene-b0644	2917
gene-b0645	37
gene-b0646	93
gene-b0647	28
gene-b0648	117
gene-b0649	327
gene-b0650	144
gene-b0651	313
gene-b0652	344
gene-b0653	282
gene-b0654	415
gene-b0655	7427
gene-b0656	48
gene-b0657	4372
gene-b0658	15549
gene-b0659	7265
gene-b0660	18981
gene-b0661	5978
gene-b0662	26448
gene-b0664	537
gene-b0665	331
gene-b0666	1437
gene-b0668	1486
gene-b0670	957
gene-b0672	1264
gene-b0673	1077
gene-b0674	1506
gene-b0675	1768
gene-b0676	2687
gene-b0677	7754
gene-b0678	9047
gene-b0679	11575
gene-b0680	7645
gene-b0681	124
gene-b0682	159
gene-b0683	9124
gene-b4637	1902
gene-b0684	3116
gene-b0685	138
gene-b0686	186
gene-b0687	2006
gene-b0688	12078
gene-b0689	68
gene-b0692	1304
gene-b0693	334
gene-b4590	25
gene-b0694	3326
gene-b0695	13211
gene-b0696	931
gene-b0697	232
gene-b0698	158
gene-b4513	37
gene-b0699	3456
gene-b0700	518
gene-b0702	49
gene-b0704	110
gene-b4514	1
gene-b0706	4
gene-b0707	503
gene-b0708	1290
gene-b0709	467
gene-b0710	4713
gene-b0711	4473
gene-b0712	4180
gene-b0713	1152
gene-b0714	253
gene-b0715	104
gene-b0716	886
gene-b0717	224
gene-b0718	91
gene-b0719	27
gene-b0720	84631
gene-b4735	5145
gene-b0721	5635
gene-b0722	3399
gene-b0723	9000
gene-b0724	2487
gene-b0726	12100
gene-b0727	7681
gene-b0728	4543
gene-b0729	6604
gene-b0730	239
gene-b0731	91
gene-b0732	673
gene-b0733	35866
gene-b0734	41214
gene-b4515	9356
gene-b0735	5089
gene-b0736	956
gene-b0737	1135
gene-b0738	1401
gene-b0739	7517
gene-b0740	15886
gene-b0741	17470
gene-b0742	15304
gene-b0743	1235
gene-b0744	540
gene-b0745	714
gene-b0746	334
gene-b0747	440
gene-b0748	404
gene-b0749	238
gene-b0750	1142
gene-b0751	7924
gene-b0752	4501
gene-b0753	4541
gene-b0754	781
gene-b0755	102054
gene-b0756	4504
gene-b0757	2170
gene-b0758	3068
gene-b0759	2293
gene-b0760	696
gene-b0761	250
gene-b0762	358
gene-b0763	310
gene-b0764	355
gene-b0765	749
gene-b0766	404
gene-b0767	1411
gene-b0768	347
gene-b0769	67
gene-b0770	135
gene-b0771	142
gene-b0772	886
gene-b0773	3123
gene-b0774	2045
gene-b0775	2402
gene-b0776	1575
gene-b0777	203
gene-b0778	21
gene-b0779	37197
gene-b0780	749
gene-b0781	7649
gene-b0782	5428
gene-b0783	5600
gene-b0784	2012
gene-b0785	2098
gene-b0786	44953
gene-b0787	383
gene-b0788	409
gene-b0789	1809
gene-b0790	1271
gene-b0791	13226
gene-b0792	4928
gene-b0793	511
gene-b0794	950
gene-b0795	808
gene-b0796	514
gene-b0797	232
gene-b0798	87
gene-b0799	3832
gene-b0800	7284
gene-b0801	2001
gene-b0802	12091
gene-b0803	547
gene-b0804	389
gene-b0805	727
gene-b0806	9246
gene-b0807	393
gene-b0808	1554
gene-b0809	1153
gene-b0810	728
gene-b0811	11998
gene-b0812	746411
gene-b0813	166
gene-b4736	1117
gene-b0814	177580
gene-b0815	293
gene-b4416	91073
gene-b4705	90355
gene-b0817	2947
gene-b0818	1089
gene-b0819	6031
gene-b0820	2137
gene-b0821	835
gene-b0822	1292
gene-b0823	1478
gene-b0824	141
gene-b0825	680
gene-b0826	2076
gene-b0827	1891
gene-b0828	2375
gene-b0829	2371
gene-b0830	941
gene-b0831	468
gene-b0832	159
gene-b0833	233
gene-b0834	46
gene-b0835	155
gene-b0836	1894295
gene-b0837	3627
gene-b0838	627
gene-b0839	16905
gene-b0840	696
gene-b0841	418
gene-b0842	9635
gene-b0843	415
gene-b0844	433
gene-b0845	258
gene-b0846	285
gene-b4417	1426
gene-b0847	1921
gene-b0848	524
gene-b0849	774
gene-b0850	179
gene-b0851	400
gene-b0852	1028
gene-b0853	2909
gene-b0854	14274
gene-b0855	2620
gene-b0856	841
gene-b0857	1637
gene-b0858	200
gene-b0859	269
gene-b0860	97
gene-b0861	657
gene-b0862	441
gene-b0863	2378
gene-b0864	1576
gene-b0865	9469
gene-b0866	6140
gene-b0867	4723
gene-b0868	1453
gene-b0869	973
gene-b0870	12988
gene-b0871	22966
gene-b0872	360
gene-b0873	195
gene-b0874	129
gene-b0875	3276
gene-b0876	5680
gene-b0877	2222
gene-b0878	1312
gene-b0879	6232
gene-b0880	32838
gene-b0881	22966
gene-b0882	314294
gene-b0883	379
gene-b0884	668
gene-b0885	2171
gene-b0886	611
gene-b0887	591
gene-b0888	553
gene-b0889	1784
gene-b0890	4980
gene-b0891	663
gene-b0892	577
gene-b0893	25376
gene-b0894	312
gene-b0895	75
gene-b0896	649
gene-b0897	1958
gene-b0898	3117
gene-b0899	877
gene-b0900	461
gene-b0901	143
gene-b0902	19897
gene-b0903	361057
gene-b0904	18108
gene-b0905	669
gene-b0906	3153
gene-b0907	3459
gene-b0908	589
gene-b0909	260
gene-b0910	5184
gene-b0911	95489
gene-b0912	4133
gene-b0913	880
gene-b0914	2316
gene-b0915	943
gene-b0916	270
gene-b0917	1015
gene-b0918	2246
gene-b0919	1160
gene-b0920	725
gene-b0921	635
gene-b0922	1017
gene-b0923	556
gene-b0924	2728
gene-b0925	33226
gene-b0926	2291
gene-b0927	1774
gene-b0928	5888
gene-b0929	3201
gene-b0930	33425
gene-b0931	803
gene-b0932	24340
gene-b0933	485
gene-b0934	68
gene-b0935	48
gene-b0936	27
gene-b0937	154
gene-b0938	46
gene-b0939	143
gene-b0940	408
gene-b0941	174
gene-b0942	105
gene-b0943	138
gene-b0944	545
gene-b0945	116
gene-b0946	142
gene-b0947	469
gene-b0948	2206
gene-b0949	7238
gene-b0950	15659
gene-b0951	5941
gene-b0952	2500
gene-b0953	28763
gene-b0954	23102
gene-b0955	109199
gene-b0956	1251
gene-b0957	84688
gene-b0958	9900
gene-b0959	322
gene-b0960	941
gene-b0961	71
gene-b0962	8957
gene-b0963	31427
gene-b0964	3768
gene-b0965	32207
gene-b0966	283744
gene-b0967	20469
gene-b0968	3015
gene-b0969	3471
gene-b0970	16455
gene-b0971	272
gene-b0972	6811
gene-b0973	5018
gene-b0974	2846
gene-b0975	3516
gene-b0976	1758
gene-b0977	962
gene-b0978	14087
gene-b0979	7135
gene-b4592	1077
gene-b0980	3625
gene-b0981	3529
gene-b0982	241
gene-b0983	196
gene-b0984	153
gene-b0985	56
gene-b0986	143
gene-b0987	5
gene-b4516	6
gene-b0988	1482
gene-b0989	65
gene-b0990	125
gene-b4723	22
gene-b0991	11
gene-b4517	40
gene-b0992	159
gene-b0993	475
gene-b0994	156
gene-b0995	344
gene-b0996	3165
gene-b0997	8489
gene-b0998	3077
gene-b0999	33310
gene-b1000	29493
gene-b1001	77
gene-b1002	22199
gene-b1003	56054
gene-b1004	48591
gene-b4518	1758
gene-b1006	561
gene-b1007	117
gene-b1008	87
gene-b1009	47
gene-b1010	1
gene-b1011	50
gene-b1012	152
gene-b1013	1335
gene-b1014	10817
gene-b4737	78
gene-b1015	3588
gene-b1018	156
gene-b1019	778
gene-b1020	54374
gene-b1021	410
gene-b1022	390
gene-b1023	184
gene-b1024	317
gene-b1025	182
gene-b1026	19
gene-b1027	6
gene-b1029	103
gene-b1032	80
gene-b1033	751
gene-b1034	583
gene-b1035	892
gene-b1036	838
gene-b1037	573
gene-b1038	65
gene-b1039	193
gene-b1040	1542
gene-b1041	138
gene-b1042	842
gene-b1043	86
gene-b1044	110
gene-b1045	2691
gene-b1046	4786
gene-b1047	354
gene-b1048	6976
gene-b1049	9897
gene-b1050	8953
gene-b1051	14517
gene-b1053	367
gene-b1054	829
gene-b1055	238
gene-b1056	212
gene-b1057	72
gene-b1058	53
gene-b1059	551
gene-b1060	8378
gene-b1061	65
gene-b1062	506
gene-b1063	1724
gene-b1064	2371
gene-b1065	147
gene-b1066	1929
gene-b1067	10078
gene-b1068	5621
gene-b1069	540
gene-b1070	275
gene-b1071	179
gene-b1072	54
gene-b1073	52
gene-b1074	68
gene-b1075	139
gene-b1076	291
gene-b1077	171
gene-b1078	156
gene-b1079	71
gene-b1080	22
gene-b1081	88
gene-b1082	587
gene-b1083	1356
gene-b1084	20685
gene-b1085	1644
gene-b1086	476
gene-b1087	3153
gene-b4418	8537
gene-b1088	31982
gene-b1089	16126
gene-b1090	8949
gene-b1091	11091
gene-b1092	10151
gene-b1093	9571
gene-b1094	47521
gene-b1095	62517
gene-b1096	685
gene-b1097	724
gene-b1098	316
gene-b1099	535
gene-b1100	17265
gene-b1101	33780
gene-b1102	1359
gene-b1103	4685
gene-b1104	1953
gene-b1105	1315
gene-b1106	598
gene-b1107	3851
gene-b1108	21165
gene-b1109	1871
gene-b1110	4811
gene-b1111	3818
gene-b1112	4708
gene-b1113	107
gene-b1114	11606
gene-b1115	133
gene-b1116	283
gene-b1117	133
gene-b1118	3237
gene-b1119	5229
gene-b1120	1884
gene-b1121	45
gene-b1122	6
gene-b1123	1470
gene-b1124	212
gene-b1125	628
gene-b1126	395
gene-b1127	16329
gene-b1128	10402
gene-b1129	1457
gene-b1130	1366
gene-b1131	593
gene-b1132	546
gene-b1133	1337
gene-b1134	145
gene-b1135	171
gene-b1136	8068
gene-b1137	172
gene-b1138	399
gene-b1139	154
gene-b1140	446
gene-b1141	272
gene-b1142	4572
gene-b1143	2671
gene-b1144	3574
gene-b1145	913
gene-b1146	359
gene-b1147	302
gene-b1148	104
gene-b1149	230
gene-b1150	21
gene-b1151	131
gene-b1153	64
gene-b1154	39
gene-b1155	519
gene-b1156	185
gene-b1158	3
gene-b1159	738
gene-b1160	2
gene-b4738	0
gene-b4739	1
gene-b1161	35
gene-b1162	1296
gene-b1163	834
gene-b1164	3943
gene-b1165	6521
gene-b1166	2314
gene-b1167	1071
gene-b1168	992
gene-b4520	380
gene-b1171	220
gene-b1172	57
gene-b4593	46
gene-b4594	28
gene-b1174	716
gene-b1175	2896
gene-b1176	391
gene-b1177	355
gene-b1178	3942
gene-b1179	1030
gene-b1180	10742
gene-b1181	3093
gene-b1182	427
gene-b1183	955
gene-b1184	2431
gene-b1185	895
gene-b1186	507
gene-b1187	1618
gene-b1188	128739
gene-b1189	22409
gene-b1190	10917
gene-b4740	223
gene-b1191	419
gene-b1192	1457
gene-b1193	1463
gene-b1194	617
gene-b1195	15613
gene-b1196	2527
gene-b1197	4681
gene-b1198	2254
gene-b1199	1687
gene-b1200	2271
gene-b1201	864
gene-b1202	1185
gene-b1203	1407
gene-b1204	310
gene-b1205	305735
gene-b1206	12748
gene-b1207	3692
gene-b1208	1740
gene-b1209	1045
gene-b1210	1091
gene-b1211	265
gene-b1212	174
gene-b1213	774
gene-b1214	7154
gene-b1215	5739
gene-b4419	172
gene-b4420	177
gene-b4421	20
gene-b4422	99
gene-b4423	13
gene-b4424	0
gene-b1216	276
gene-b1217	650
gene-b1218	4785
gene-b1219	1902
gene-b1220	403
gene-b1221	616
gene-b1222	1994
gene-b1223	1704
gene-b1224	694
gene-b1225	842
gene-b1226	1012
gene-b1227	434
gene-b1228	12
gene-b4425	77
gene-b1229	15
gene-b1230	200
gene-b1231	101
gene-b1232	2054
gene-b1233	490
gene-b1234	1763
gene-b1235	19449
gene-b1236	9644
gene-b1237	428639
gene-b1238	105
gene-b1241	595910
gene-b1242	296
gene-b4711	3789
gene-b1243	12433
gene-b1244	910
gene-b1245	1894
gene-b1246	3971
gene-b1247	3275
gene-b1248	2842
gene-b1249	3298
gene-b4595	178
gene-b1250	1988
gene-b1251	80
gene-b1252	1643
gene-b1253	263
gene-b1254	13555
gene-b1255	3324
gene-b1256	439
gene-b1257	727
gene-b1258	528
gene-b1259	543
gene-b1260	762
gene-b1261	1263
gene-b1262	1332
gene-b1263	309
gene-b1264	67
gene-b1265	7
gene-b1266	2721
gene-b1267	7280
gene-b1268	2529
gene-b1269	1203
gene-b1270	883
gene-b1271	717
gene-b1272	3630
gene-b1273	857
gene-b1274	12298
gene-b1275	843
gene-b4522	213
gene-b4523	206
gene-b4741	577
gene-b1276	58481
gene-b1277	7225
gene-b1278	1673
gene-b1279	2558
gene-b1280	2507
gene-b1281	271
gene-b1282	102
gene-b1283	5849
gene-b1284	1646
gene-b4596	302
gene-b1285	9664
gene-b4672	190
gene-b1286	889
gene-b1287	754
gene-b1288	18369
gene-b1289	1448
gene-b1290	3905
gene-b1291	6009
gene-b1292	8242
gene-b1293	10282
gene-b1294	7532
gene-b1295	111
gene-b1296	730
gene-b4742	378
gene-b1297	4564
gene-b1298	3426
gene-b1299	5699
gene-b1300	216
gene-b1301	444
gene-b1302	296
gene-b1303	422
gene-b1304	7513
gene-b1305	1879
gene-b1306	2079
gene-b1307	1397
gene-b1308	2323
gene-b1309	44
gene-b1310	12
gene-b1311	135
gene-b1312	21
gene-b1313	71
gene-b1314	173
gene-b1315	109
gene-b1316	106
gene-b1317	100
gene-b1319	7
gene-b1320	57
gene-b1321	10643
gene-b1322	6783
gene-b1323	6145
gene-b1324	6489
gene-b1325	7038
gene-b1326	11784
gene-b4525	171
gene-b4673	83
gene-b1327	222
gene-b1328	277
gene-b1329	1735
gene-b1330	650
gene-b1331	104
gene-b1332	1599
gene-b1333	118261
gene-b1334	34135
gene-b1335	198
gene-b1336	113
gene-b1337	635
gene-b1338	117
gene-b1339	264
gene-b4426	241
gene-b1340	1697
gene-b1341	3441
gene-b1342	1595
gene-b4699	157
gene-b4743	118
gene-b1343	544
gene-b1344	2282
gene-b1345	1158
gene-b1346	14
gene-b1347	24
gene-b4714	13
gene-b1348	2
gene-b1349	72
gene-b1350	440
gene-b1351	9
gene-b4526	3
gene-b1352	2
gene-b1353	87
gene-b4527	1
gene-b1355	23
gene-b1356	896
gene-b1357	136
gene-b1358	51
gene-b1359	230
gene-b1360	298
gene-b1361	250
gene-b4528	95
gene-b1363	473
gene-b1365	19
gene-b1366	106
gene-b1368	507
gene-b1370	308
gene-b1372	753
gene-b1373	14
gene-b1374	1499
gene-b1375	28
gene-b4744	108
gene-b1376	36850
gene-b1377	287
gene-b4427	11478
gene-b1378	136954
gene-b4529	4422
gene-b1379	4658
gene-b1380	17978
gene-b1381	1839
gene-b1382	545
gene-b1383	407
gene-b1384	1158
gene-b1385	2418
gene-b1386	267
gene-b1387	291
gene-b1388	94
gene-b1389	8
gene-b1390	111
gene-b1391	155
gene-b1392	197
gene-b1393	7
gene-b1394	77
gene-b1395	203
gene-b1396	88
gene-b1397	2501
gene-b1398	2319
gene-b1399	2674
gene-b1400	1807
gene-b4674	4
gene-b1402	112
gene-b1403	32
gene-b1404	55
gene-b1406	3202
gene-b1407	194
gene-b1408	72
gene-b1409	23
gene-b1410	317
gene-b1411	321
gene-b1412	910
gene-b1413	10151
gene-b1414	2434
gene-b1415	26134
gene-b1418	116
gene-b4597	53
gene-b1419	1143
gene-b4428	4697
gene-b1420	3969
gene-b4429	1871
gene-b1421	616
gene-b1422	1226
gene-b1423	6636
gene-b1424	1758
gene-b1426	607
gene-b1427	703
gene-b1428	1743
gene-b1429	916
gene-b1430	321
gene-b1431	25035
gene-b1432	836
gene-b1433	648
gene-b1434	170
gene-b1435	579
gene-b1436	760
gene-b4532	1505
gene-b1438	2270
gene-b1439	900
gene-b1440	10642
gene-b1441	3156
gene-b1442	1388
gene-b1443	772
gene-b1444	3226
gene-b4598	824
gene-b1445	56
gene-b1446	3173
gene-b1447	1427
gene-b1448	682
gene-b1449	4239
gene-b1450	379
gene-b1451	496
gene-b1452	3501
gene-b1453	152
gene-b1454	1483
gene-b1455	44
gene-b1457	150
gene-b4745	122
gene-b1460	75
gene-b1461	265
gene-b1462	1520
