Geneid	1714__ROC_MMC_N=3_library-read-1.fastq.gz
gene-b0098	28623
gene-b0099	919
gene-b0101	1918
gene-b0102	2910
gene-b0103	1805
gene-b4727	144
gene-b0104	4636
gene-b0106	1603
gene-b0107	1255
gene-b0108	164
gene-b0109	513
gene-b0110	249
gene-b0111	549
gene-b0112	1401
gene-b0113	2087
gene-b0114	60630
gene-b0115	20773
gene-b0116	35155
gene-b0117	809
gene-b0118	14174
gene-b0119	2374
gene-b0120	25838
gene-b0121	17945
gene-b0122	2621
gene-b0123	3041
gene-b0124	2577
gene-b0125	4916
gene-b0126	2979
gene-b0127	4074
gene-b0128	2255
gene-b0129	714
gene-b0130	2087
gene-b0131	1222
gene-b0132	1995
gene-b0133	4288
gene-b0134	1474
gene-b0135	2202
gene-b0136	1423
gene-b0137	1788
gene-b0138	1471
gene-b0139	4088
gene-b0140	1049
gene-b0141	330
gene-b0142	779
gene-b0143	6179
gene-b0144	1525
gene-b0145	3040
gene-b0146	3891
gene-b0147	534
gene-b0148	7472
gene-b0149	5753
gene-b0150	8110
gene-b0151	1584
gene-b0152	689
gene-b0153	3154
gene-b0154	4202
gene-b0155	2557
gene-b4728	5609
gene-b0156	30434
gene-b0157	2178
gene-b0158	2104
gene-b0159	8476
gene-b0160	1712
gene-b0161	35673
gene-b0162	3296
gene-b0163	677
gene-b0164	602
gene-b0166	1313
gene-b0167	3185
gene-b0168	3402
gene-b4414	7935
gene-b0169	248145
gene-b0170	103613
gene-b0171	29137
gene-b0172	11769
gene-b0173	2372
gene-b0174	1785
gene-b0175	2535
gene-b0176	5076
gene-b0177	17173
gene-b0178	3527
gene-b0179	8507
gene-b0180	15728
gene-b0181	9732
gene-b0182	6606
gene-b0183	1314
gene-b0184	14138
gene-b0185	7393
gene-b0186	1857
gene-b0187	724
gene-b0188	2194
gene-b0189	1007
gene-b4406	823
gene-b0190	423
gene-b0191	632
gene-b0192	1039
gene-b0193	547
gene-b0194	19363
gene-b0195	895
gene-b0196	635
gene-b0197	1574
gene-b0198	418
gene-b0199	459
gene-b0200	389
gene-b0201	117082
gene-b0202	119
gene-b0203	565
gene-b0204	149048
gene-b0205	237
gene-b0206	249
gene-b0207	895
gene-b0208	1453
gene-b0209	1504
gene-b0210	2229
gene-b0211	56822
gene-b0212	2537
gene-b0213	1408
gene-b0214	787
gene-b0215	3050
gene-b0216	197
gene-b0217	1127
gene-b4586	1180
gene-b0219	375
gene-b0220	400
gene-b0221	2902
gene-b0222	1368
gene-b0223	4051
gene-b0224	10037
gene-b0225	17476
gene-b0226	7211
gene-b0227	418
gene-b0228	820
gene-b0231	8308
gene-b0232	1780
gene-b0233	1749
gene-b0234	978
gene-b0237	3355
gene-b0238	4858
gene-b0239	3336
gene-b4710	655
gene-b4709	66
gene-b0241	1036
gene-b0242	3297
gene-b0243	3465
gene-b0244	404
gene-b0245	1025
gene-b0246	1236
gene-b4504	609
gene-b0247	1544
gene-b0248	982
gene-b0249	1219
gene-b0250	2585
gene-b0251	486
gene-b0252	1179
gene-b0253	1214
gene-b0254	1826
gene-b0256	1420
gene-b4690	219
gene-b0258	2866
gene-b0259	181
gene-b0260	715
gene-b0261	1352
gene-b0262	1930
gene-b0264	25
gene-b0265	128
gene-b0266	409
gene-b0267	852
gene-b0268	712
gene-b0269	1781
gene-b0270	1178
gene-b0271	1540
gene-b0272	711
gene-b0273	784
gene-b4688	313
gene-b0274	160
gene-b0275	10
gene-b0276	965
gene-b0277	11202
gene-b0278	7734
gene-b0279	2453
gene-b4729	1098
gene-b0280	6432
gene-b0281	4159
gene-b0282	2100
gene-b0283	3184
gene-b0284	1275
gene-b0285	823
gene-b0286	238
gene-b0287	357
gene-b0288	981
gene-b0289	976
gene-b0290	2789
gene-b0291	1955
gene-b0292	545
gene-b0293	1491
gene-b0294	695
gene-b0295	1847
gene-b4506	1711
gene-b0296	1946
gene-b4671	137
gene-b0298	62
gene-b0299	235
gene-b0301	453
gene-b0303	508
gene-b0304	752
gene-b0305	487
gene-b0306	645
gene-b0307	2029
gene-b0308	2049
gene-b0310	1445
gene-b0311	2851
gene-b0312	2945
gene-b0313	745
gene-b0314	1735
gene-b4730	35
gene-b0315	14789
gene-b0316	1262
gene-b0317	554
gene-b0318	206
gene-b0319	866
gene-b0320	2493
gene-b0321	1406
gene-b0322	251
gene-b0323	1846
gene-b0324	6241
gene-b0325	2745
gene-b0326	578
gene-b0327	518
gene-b0328	875
gene-b0329	1134
gene-b0330	1353
gene-b0331	3094
gene-b0333	2848
gene-b0334	1687
gene-b0335	1612
gene-b0336	705
gene-b0337	1533
gene-b0338	2007
gene-b0339	994
gene-b0340	1558
gene-b0341	1534
gene-b0342	901
gene-b0343	1428
gene-b0344	1661
gene-b0345	626
gene-b0346	798
gene-b0347	932
gene-b0348	733
gene-b0349	1303
gene-b0350	938
gene-b0351	1807
gene-b0352	1889
gene-b0353	1122
gene-b0354	1876
gene-b0355	5340
gene-b0356	5638
gene-b0357	1183
gene-b0358	724
gene-b0360	105
gene-b0361	125
gene-b0363	1634
gene-b4731	164
gene-b0364	528
gene-b0365	584
gene-b0366	1424
gene-b0367	885
gene-b0368	2822
gene-b0369	27824
gene-b0372	548
gene-b0373	162
gene-b0375	353
gene-b0376	443
gene-b0377	1233
gene-b0378	1562
gene-b0379	401
gene-b0380	1461
gene-b0381	2729
gene-b0382	897
gene-b0383	1535
gene-b0384	484
gene-b0385	1745
gene-b0386	416
gene-b0387	573
gene-b0388	1260
gene-b0389	1484
gene-b0390	1322
gene-b0391	1752
gene-b4732	167
gene-b0393	2258
gene-b0394	736
gene-b0396	1182
gene-b0397	2926
gene-b0398	1783
gene-b0399	1090
gene-b0400	2029
gene-b0401	2516
gene-b0402	2198
gene-b0403	1136
gene-b0404	1089
gene-b0405	1989
gene-b0406	4052
gene-b0407	1992
gene-b0408	6438
gene-b0409	3041
gene-b0410	219
gene-b0411	8896
gene-b0412	547
gene-b0413	5630
gene-b0414	12188
gene-b0415	20129
gene-b0416	48286
gene-b0417	6298
gene-b0418	2954
gene-b0419	2167
gene-b0420	3547
gene-b0421	4113
gene-b0422	1386
gene-b0423	15341
gene-b0424	1188
gene-b0425	846
gene-b0426	6521
gene-b0427	1611
gene-b0428	4705
gene-b0429	3648
gene-b0430	9232
gene-b0431	21931
gene-b0432	9364
gene-b0433	2868
gene-b0434	5328
gene-b0435	732
gene-b0436	23719
gene-b0437	3775
gene-b0438	7725
gene-b0439	15898
gene-b0440	576
gene-b0441	3852
gene-b0442	496
gene-b0443	258
gene-b0444	595
gene-b0445	1498
gene-b0446	2627
gene-b0447	5066
gene-b0448	8244
gene-b0449	3107
gene-b0450	476
gene-b0451	1418
gene-b0452	1158
gene-b0453	600
gene-b0454	142
gene-b0455	677
gene-b0456	813
gene-b0457	12630
gene-b0458	19800
gene-b0459	13940
gene-b0460	13227
gene-b0461	6391
gene-b0462	9981
gene-b0463	5706
gene-b0464	1612
gene-b0465	11768
gene-b0466	344
gene-b0467	705
gene-b0468	978
gene-b0469	1698
gene-b0470	10593
gene-b0471	7341
gene-b0472	6241
gene-b0473	11731
gene-b0474	1815
gene-b0475	1511
gene-b0476	1828
gene-b0477	3835
gene-b0478	5498
gene-b0479	701
gene-b0480	2162
gene-b0481	954
gene-b4585	267
gene-b0482	587
gene-b0483	833
gene-b0484	3132
gene-b0485	578
gene-b0486	1530
gene-b0487	1559
gene-b0488	2534
gene-b0489	5143
gene-b0490	685
gene-b0491	403
gene-b0492	3067
gene-b0493	1348
gene-b0494	1614
gene-b0495	1612
gene-b0496	1975
gene-b0497	4415
gene-b0498	2041
gene-b0502	1098
gene-b0503	2138
gene-b0504	303
gene-b0505	262
gene-b0506	6029
gene-b0507	1871
gene-b0508	4375
gene-b0509	1433
gene-b0511	846
gene-b0512	1110
gene-b0513	1363
gene-b0514	726
gene-b0515	1096
gene-b0516	1055
gene-b0517	374
gene-b0518	1043
gene-b4572	1675
gene-b0520	839
gene-b0521	868
gene-b0522	1991
gene-b0523	592
gene-b0524	10127
gene-b0525	27411
gene-b0526	5471
gene-b0527	501
gene-b0528	1211
gene-b0529	5382
gene-b0530	1256
gene-b0531	759
gene-b0532	1888
gene-b0533	1316
gene-b0534	715
gene-b0535	1379
gene-b0536	466
gene-b0537	3565
gene-b0540	39
gene-b0541	178
gene-b0543	1722
gene-b4733	506
gene-b0544	1564
gene-b0545	1376
gene-b0546	1521
gene-b4588	209
gene-b0547	284
gene-b0548	36
gene-b0549	106
gene-b0550	62
gene-b4509	50
gene-b0551	336
gene-b0552	1284
gene-b0554	377
gene-b0555	1185
gene-b0556	1113
gene-b4510	508
gene-b0557	1798
gene-b0558	673
gene-b0559	538
gene-b4589	181
gene-b0560	342
gene-b0561	551
gene-b0563	318
gene-b0564	1442
gene-b0565	13540
gene-b0566	1039
gene-b0567	1665
gene-b0568	5089
gene-b0569	7121
gene-b0570	1442
gene-b0571	566
gene-b0572	1444
gene-b0573	1124
gene-b0574	2521
gene-b0575	2282
gene-b0576	2387
gene-b0577	1209
gene-b0578	2329
gene-b0579	792
gene-b0580	323
gene-b0581	870
gene-b4700	24
gene-b4415	154
gene-b0582	133
gene-b0583	1539
gene-b0584	1968
gene-b0585	1405
gene-b4511	279
gene-b0586	5935
gene-b0587	1267
gene-b0588	889
gene-b0589	1220
gene-b0590	1853
gene-b0591	3254
gene-b0592	4760
gene-b0593	2640
gene-b0594	1721
gene-b0595	1764
gene-b0596	1275
gene-b0597	1001
gene-b0598	7018
gene-b4512	935
gene-b0599	1633
gene-b0600	1117
gene-b0601	415
gene-b0602	871
gene-b0603	731
gene-b0604	1470
gene-b0605	92503
gene-b0606	21989
gene-b0607	3499
gene-b0608	1079
gene-b4734	152
gene-b0610	765
gene-b0611	1899
gene-b0612	1280
gene-b0613	399
gene-b0614	692
gene-b0615	3124
gene-b0616	1520
gene-b0617	296
gene-b0618	2631
gene-b0619	7373
gene-b0620	3894
gene-b0621	3573
gene-b0622	1047
gene-b0623	7618
gene-b0624	398
gene-b0627	1020
gene-b0628	5142
gene-b0629	2766
gene-b0630	8370
gene-b0631	3067
gene-b0632	6376
gene-b0633	2539
gene-b0634	4572
gene-b0635	11762
gene-b0636	6899
gene-b0637	5032
gene-b0638	536
gene-b0639	969
gene-b0640	3364
gene-b0641	6023
gene-b0642	21711
gene-b0643	1462
gene-b0644	983
gene-b0645	475
gene-b0646	945
gene-b0647	308
gene-b0648	699
gene-b0649	995
gene-b0650	1516
gene-b0651	1541
gene-b0652	1765
gene-b0653	1989
gene-b0654	2000
gene-b0655	9069
gene-b0656	247
gene-b0657	3495
gene-b0658	6132
gene-b0659	2383
gene-b0660	5849
gene-b0661	23701
gene-b0662	2911
gene-b0664	745
gene-b0665	958
gene-b0666	1384
gene-b0668	2157
gene-b0670	1275
gene-b0672	748
gene-b0673	635
gene-b0674	1534
gene-b0675	2998
gene-b0676	3830
gene-b0677	2277
gene-b0678	3379
gene-b0679	4499
gene-b0680	12484
gene-b0681	1056
gene-b0682	385
gene-b0683	16447
gene-b4637	3972
gene-b0684	30978
gene-b0685	980
gene-b0686	656
gene-b0687	1481
gene-b0688	6128
gene-b0689	905
gene-b0692	910
gene-b0693	1412
gene-b4590	209
gene-b0694	408
gene-b0695	6432
gene-b0696	1660
gene-b0697	1688
gene-b0698	695
gene-b4513	64
gene-b0699	10918
gene-b0700	2870
gene-b0702	283
gene-b0704	283
gene-b4514	179
gene-b0706	383
gene-b0707	105
gene-b0708	828
gene-b0709	843
gene-b0710	1538
gene-b0711	1715
gene-b0712	1601
gene-b0713	680
gene-b0714	1550
gene-b0715	899
gene-b0716	1173
gene-b0717	842
gene-b0718	2229
gene-b0719	806
gene-b0720	14332
gene-b4735	1507
gene-b0721	6193
gene-b0722	5177
gene-b0723	15439
gene-b0724	3601
gene-b0726	25243
gene-b0727	8712
gene-b0728	4526
gene-b0729	4436
gene-b0730	775
gene-b0731	1633
gene-b0732	5131
gene-b0733	25018
gene-b0734	16201
gene-b4515	2596
gene-b0735	2628
gene-b0736	1704
gene-b0737	2055
gene-b0738	1512
gene-b0739	4504
gene-b0740	7705
gene-b0741	8351
gene-b0742	9010
gene-b0743	2170
gene-b0744	4615
gene-b0745	7164
gene-b0746	3773
gene-b0747	6379
gene-b0748	12563
gene-b0749	5187
gene-b0750	707
gene-b0751	1074
gene-b0752	715
gene-b0753	444
gene-b0754	1429
gene-b0755	35329
gene-b0756	4502
gene-b0757	4460
gene-b0758	5531
gene-b0759	4718
gene-b0760	1577
gene-b0761	435
gene-b0762	438
gene-b0763	2016
gene-b0764	1098
gene-b0765	1902
gene-b0766	1343
gene-b0767	1320
gene-b0768	1100
gene-b0769	1575
gene-b0770	1901
gene-b0771	2878
gene-b0772	3224
gene-b0773	880
gene-b0774	707
gene-b0775	643
gene-b0776	934
gene-b0777	1029
gene-b0778	893
gene-b0779	62637
gene-b0780	3770
gene-b0781	3539
gene-b0782	2401
gene-b0783	3106
gene-b0784	1300
gene-b0785	1127
gene-b0786	2488
gene-b0787	1144
gene-b0788	679
gene-b0789	1203
gene-b0790	369
gene-b0791	557
gene-b0792	570
gene-b0793	805
gene-b0794	1141
gene-b0795	608
gene-b0796	409
gene-b0797	2156
gene-b0798	310
gene-b0799	6155
gene-b0800	2167
gene-b0801	963
gene-b0802	8313
gene-b0803	335
gene-b0804	906
gene-b0805	3164
gene-b0806	313
gene-b0807	752
gene-b0808	1602
gene-b0809	12920
gene-b0810	4392
gene-b0811	26120
gene-b0812	4883
gene-b0813	1064
gene-b4736	1299
gene-b0814	116624
gene-b0815	2504
gene-b4416	1306
gene-b4705	1123
gene-b0817	2170
gene-b0818	2062
gene-b0819	19389
gene-b0820	38880
gene-b0821	2124
gene-b0822	1255
gene-b0823	4285
gene-b0824	364
gene-b0825	910
gene-b0826	6613
gene-b0827	6056
gene-b0828	426
gene-b0829	1766
gene-b0830	1480
gene-b0831	924
gene-b0832	758
gene-b0833	6061
gene-b0834	1881
gene-b0835	2788
gene-b0836	42283
gene-b0837	695
gene-b0838	479
gene-b0839	3222
gene-b0840	6670
gene-b0841	20061
gene-b0842	2162
gene-b0843	527
gene-b0844	960
gene-b0845	750
gene-b0846	964
gene-b4417	898
gene-b0847	6980
gene-b0848	1076
gene-b0849	1576
gene-b0850	803
gene-b0851	1298
gene-b0852	3245
gene-b0853	5399
gene-b0854	1778
gene-b0855	1188
gene-b0856	476
gene-b0857	1708
gene-b0858	620
gene-b0859	2791
gene-b0860	1073
gene-b0861	614
gene-b0862	604
gene-b0863	779
gene-b0864	844
gene-b0865	778
gene-b0866	588
gene-b0867	888
gene-b0868	1436
gene-b0869	974
gene-b0870	1463
gene-b0871	1330
gene-b0872	615
gene-b0873	669
gene-b0874	565
gene-b0875	420
gene-b0876	2154
gene-b0877	5054
gene-b0878	1627
gene-b0879	2842
gene-b0880	1322
gene-b0881	3561
gene-b0882	20363
gene-b0883	3931
gene-b0884	36588
gene-b0885	1269
gene-b0886	2671
gene-b0887	3014
gene-b0888	2321
gene-b0889	902
gene-b0890	10488
gene-b0891	936
gene-b0892	1944
gene-b0893	9249
gene-b0894	1632
gene-b0895	533
gene-b0896	926
gene-b0897	508
gene-b0898	3511
gene-b0899	1368
gene-b0900	1072
gene-b0901	894
gene-b0902	14153
gene-b0903	56232
gene-b0904	3575
gene-b0905	4324
gene-b0906	869
gene-b0907	1535
gene-b0908	782
gene-b0909	478
gene-b0910	4199
gene-b0911	218239
gene-b0912	6378
gene-b0913	3740
gene-b0914	36394
gene-b0915	4452
gene-b0916	2299
gene-b0917	1643
gene-b0918	3235
gene-b0919	1092
gene-b0920	630
gene-b0921	1002
gene-b0922	1976
gene-b0923	2071
gene-b0924	9803
gene-b0925	3041
gene-b0926	2890
gene-b0927	3424
gene-b0928	11152
gene-b0929	9890
gene-b0930	32400
gene-b0931	5675
gene-b0932	9237
gene-b0933	820
gene-b0934	352
gene-b0935	821
gene-b0936	437
gene-b0937	383
gene-b0938	486
gene-b0939	1046
gene-b0940	2590
gene-b0941	1054
gene-b0942	729
gene-b0943	1186
gene-b0944	1699
gene-b0945	1372
gene-b0946	1232
gene-b0947	2083
gene-b0948	8216
gene-b0949	6149
gene-b0950	3541
gene-b0951	2631
gene-b0952	1488
gene-b0953	1632
gene-b0954	9628
gene-b0955	58044
gene-b0956	1302
gene-b0957	42625
gene-b0958	16712
gene-b0959	1005
gene-b0960	5809
gene-b0961	1393
gene-b0962	2396
gene-b0963	9676
gene-b0964	712
gene-b0965	2576
gene-b0966	10778
gene-b0967	3518
gene-b0968	299
gene-b0969	479
gene-b0970	13414
gene-b0971	25
gene-b0972	695
gene-b0973	624
gene-b0974	534
gene-b0975	1275
gene-b0976	493
gene-b0977	963
gene-b0978	4049
gene-b0979	2049
gene-b4592	413
gene-b0980	2003
gene-b0981	3847
gene-b0982	1441
gene-b0983	2241
gene-b0984	3277
gene-b0985	1860
gene-b0986	1894
gene-b0987	1248
gene-b4516	516
gene-b0988	1658
gene-b0989	377
gene-b0990	3038
gene-b4723	704
gene-b0991	213
gene-b4517	307
gene-b0992	1113
gene-b0993	2726
gene-b0994	542
gene-b0995	927
gene-b0996	693
gene-b0997	2615
gene-b0998	1029
gene-b0999	675
gene-b1000	654
gene-b1001	2634
gene-b1002	2293
gene-b1003	558
gene-b1004	448
gene-b4518	195
gene-b1006	1104
gene-b1007	790
gene-b1008	586
gene-b1009	495
gene-b1010	200
gene-b1011	212
gene-b1012	449
gene-b1013	1233
gene-b1014	13032
gene-b4737	154
gene-b1015	3730
gene-b1018	1056
gene-b1019	2153
gene-b1020	1571
gene-b1021	987
gene-b1022	2886
gene-b1023	2059
gene-b1024	1718
gene-b1025	2365
gene-b1026	244
gene-b1027	37
gene-b1029	2270
gene-b1032	62
gene-b1033	1548
gene-b1034	2014
gene-b1035	2980
gene-b1036	1760
gene-b1037	1621
gene-b1038	382
gene-b1039	259
gene-b1040	483
gene-b1041	556
gene-b1042	2723
gene-b1043	245
gene-b1044	627
gene-b1045	683
gene-b1046	1176
gene-b1047	2119
gene-b1048	12397
gene-b1049	19750
gene-b1050	516
gene-b1051	753
gene-b1053	1828
gene-b1054	2835
gene-b1055	1342
gene-b1056	1002
gene-b1057	421
gene-b1058	176
gene-b1059	1200
gene-b1060	827
gene-b1061	2112
gene-b1062	1281
gene-b1063	1314
gene-b1064	3027
gene-b1065	390
gene-b1066	657
gene-b1067	1908
gene-b1068	1753
gene-b1069	2177
gene-b1070	800
gene-b1071	315
gene-b1072	393
gene-b1073	814
gene-b1074	1430
gene-b1075	3203
gene-b1076	5972
gene-b1077	2239
gene-b1078	2528
gene-b1079	1701
gene-b1080	1254
gene-b1081	1031
gene-b1082	1702
gene-b1083	1559
gene-b1084	9882
gene-b1085	710
gene-b1086	1256
gene-b1087	1841
gene-b4418	17730
gene-b1088	99607
gene-b1089	54070
gene-b1090	39110
gene-b1091	24695
gene-b1092	20063
gene-b1093	18384
gene-b1094	39118
gene-b1095	129460
gene-b1096	983
gene-b1097	1903
gene-b1098	857
gene-b1099	1860
gene-b1100	2731
gene-b1101	15581
gene-b1102	2557
gene-b1103	1532
gene-b1104	1015
gene-b1105	571
gene-b1106	422
gene-b1107	1665
gene-b1108	2967
gene-b1109	5041
gene-b1110	7139
gene-b1111	16357
gene-b1112	7408
gene-b1113	1271
gene-b1114	5585
gene-b1115	620
gene-b1116	2429
gene-b1117	1150
gene-b1118	2300
gene-b1119	2661
gene-b1120	1814
gene-b1121	1604
gene-b1122	658
gene-b1123	27747
gene-b1124	5911
gene-b1125	16054
gene-b1126	14217
gene-b1127	3367
gene-b1128	4348
gene-b1129	2220
gene-b1130	1907
gene-b1131	13896
gene-b1132	7043
gene-b1133	27591
gene-b1134	2366
gene-b1135	2976
gene-b1136	6053
gene-b1137	1978
gene-b1138	3481
gene-b1139	4464
gene-b1140	2723
gene-b1141	793
gene-b1142	2097
gene-b1143	1932
gene-b1144	2799
gene-b1145	1586
gene-b1146	469
gene-b1147	1451
gene-b1148	438
gene-b1149	1598
gene-b1150	365
gene-b1151	1114
gene-b1153	1309
gene-b1154	1527
gene-b1155	2408
gene-b1156	1099
gene-b1158	447
gene-b1159	2778
gene-b1160	203
gene-b4738	6
gene-b4739	18
gene-b1161	370
gene-b1162	1085
gene-b1163	1533
gene-b1164	772
gene-b1165	711
gene-b1166	313
gene-b1167	292
gene-b1168	3699
gene-b4520	1173
gene-b1171	1015
gene-b1172	3156
gene-b4593	1765
gene-b4594	138
gene-b1174	853
gene-b1175	2138
gene-b1176	833
gene-b1177	697
gene-b1178	2423
gene-b1179	1238
gene-b1180	4975
gene-b1181	1772
gene-b1182	1391
gene-b1183	1140
gene-b1184	4963
gene-b1185	973
gene-b1186	2069
gene-b1187	1830
gene-b1188	1647
gene-b1189	4110
gene-b1190	3601
gene-b4740	531
gene-b1191	1371
gene-b1192	753
gene-b1193	769
gene-b1194	1149
gene-b1195	350
gene-b1196	774
gene-b1197	1042
gene-b1198	3029
gene-b1199	1214
gene-b1200	1396
gene-b1201	2068
gene-b1202	3671
gene-b1203	19946
gene-b1204	1332
gene-b1205	7874
gene-b1206	2798
gene-b1207	62705
gene-b1208	4338
gene-b1209	2411
gene-b1210	5134
gene-b1211	2984
gene-b1212	2215
gene-b1213	1453
gene-b1214	8322
gene-b1215	9585
gene-b4419	207
gene-b4420	351
gene-b4421	120
gene-b4422	149
gene-b4423	39
gene-b4424	64
gene-b1216	7236
gene-b1217	288
gene-b1218	1363
gene-b1219	2225
gene-b1220	1087
gene-b1221	2553
gene-b1222	3959
gene-b1223	749
gene-b1224	3755
gene-b1225	2764
gene-b1226	2556
gene-b1227	2300
gene-b1228	278
gene-b4425	1447
gene-b1229	482
gene-b1230	4549
gene-b1231	847
gene-b1232	11149
gene-b1233	1571
gene-b1234	1175
gene-b1235	1654
gene-b1236	3834
gene-b1237	172244
gene-b1238	2153
gene-b1241	16994
gene-b1242	1137
gene-b4711	9800
gene-b1243	207945
gene-b1244	29360
gene-b1245	36297
gene-b1246	54584
gene-b1247	32774
gene-b1248	1729
gene-b1249	2305
gene-b4595	896
gene-b1250	13547
gene-b1251	717
gene-b1252	1895
gene-b1253	935
gene-b1254	6610
gene-b1255	2948
gene-b1256	581
gene-b1257	1141
gene-b1258	1345
gene-b1259	74
gene-b1260	904
gene-b1261	2241
gene-b1262	1823
gene-b1263	1884
gene-b1264	1049
gene-b1265	11
gene-b1266	2661
gene-b1267	3903
gene-b1268	4514
gene-b1269	7566
gene-b1270	1093
gene-b1271	1050
gene-b1272	3931
gene-b1273	592
gene-b1274	6874
gene-b1275	1726
gene-b4522	390
gene-b4523	350
gene-b4741	379
gene-b1276	5124
gene-b1277	8079
gene-b1278	825
gene-b1279	513
gene-b1280	1690
gene-b1281	2626
gene-b1282	1187
gene-b1283	3930
gene-b1284	2603
gene-b4596	706
gene-b1285	3276
gene-b4672	84
gene-b1286	6512
gene-b1287	1903
gene-b1288	44117
gene-b1289	636
gene-b1290	1135
gene-b1291	794
gene-b1292	752
gene-b1293	916
gene-b1294	2644
gene-b1295	429
gene-b1296	1577
gene-b4742	470
gene-b1297	2253
gene-b1298	586
gene-b1299	1551
gene-b1300	1715
gene-b1301	3005
gene-b1302	2033
gene-b1303	988
gene-b1304	20842
gene-b1305	2847
gene-b1306	3154
gene-b1307	1751
gene-b1308	4006
gene-b1309	1642
gene-b1310	1405
gene-b1311	1152
gene-b1312	618
gene-b1313	1196
gene-b1314	988
gene-b1315	1083
gene-b1316	1485
gene-b1317	472
gene-b1319	898
gene-b1320	787
gene-b1321	1489
gene-b1322	1388
gene-b1323	3453
gene-b1324	6669
gene-b1325	1853
gene-b1326	2719
gene-b4525	304
gene-b4673	162
gene-b1327	1166
gene-b1328	1274
gene-b1329	4573
gene-b1330	10031
gene-b1331	164
gene-b1332	1446
gene-b1333	25832
gene-b1334	99443
gene-b1335	606
gene-b1336	906
gene-b1337	1102
gene-b1338	529
gene-b1339	624
gene-b4426	94
gene-b1340	1305
gene-b1341	1955
gene-b1342	1238
gene-b4699	93
gene-b4743	55
gene-b1343	1653
gene-b1344	4469
gene-b1345	2867
gene-b1346	483
gene-b1347	325
gene-b4714	312
gene-b1348	253
gene-b1349	1356
gene-b1350	5719
gene-b1351	810
gene-b4526	390
gene-b1352	469
gene-b1353	1674
gene-b4527	220
gene-b1355	129
gene-b1356	1593
gene-b1357	458
gene-b1358	194
gene-b1359	717
gene-b1360	1371
gene-b1361	1714
gene-b4528	382
gene-b1363	4915
gene-b1365	385
gene-b1366	1097
gene-b1368	1342
gene-b1370	1006
gene-b1372	1988
gene-b1373	279
gene-b1374	2261
gene-b1375	1282
gene-b4744	1919
gene-b1376	1843
gene-b1377	1632
gene-b4427	3968
gene-b1378	58912
gene-b4529	780
gene-b1379	2414
gene-b1380	3537
gene-b1381	3274
gene-b1382	483
gene-b1383	372
gene-b1384	1070
gene-b1385	1613
gene-b1386	929
gene-b1387	1162
gene-b1388	650
gene-b1389	262
gene-b1390	965
gene-b1391	586
gene-b1392	943
gene-b1393	505
gene-b1394	737
gene-b1395	2306
gene-b1396	453
gene-b1397	2568
gene-b1398	5017
gene-b1399	3242
gene-b1400	1965
gene-b4674	2
gene-b1402	142
gene-b1403	26
gene-b1404	204
gene-b1406	1100
gene-b1407	2822
gene-b1408	422
gene-b1409	627
gene-b1410	1963
gene-b1411	1712
gene-b1412	1659
gene-b1413	11127
gene-b1414	1442
gene-b1415	5876
gene-b1418	636
gene-b4597	197
gene-b1419	542
gene-b4428	872
gene-b1420	859
gene-b4429	571
gene-b1421	3390
gene-b1422	1915
gene-b1423	1189
gene-b1424	3578
gene-b1426	189
gene-b1427	912
gene-b1428	480
gene-b1429	968
gene-b1430	1274
