Geneid	1714__ROC_MMC_N=3_library-read-1.fastq.gz
gene-b0001	174
gene-b0002	2045
gene-b0003	1229
gene-b0004	1297
gene-b0005	539
gene-b0006	759
gene-b0007	439
gene-b0008	24002
gene-b0009	2639
gene-b0010	2129
gene-b0011	810
gene-b0012	636
gene-b0013	171
gene-b0014	55022
gene-b0015	5013
gene-b0016	280
gene-b4412	569
gene-b0018	619
gene-b4413	142
gene-b0019	84462
gene-b0020	11193
gene-b0021	557
gene-b0022	398
gene-b0023	30482
gene-b0024	6480
gene-b0025	3788
gene-b0026	20606
gene-b0027	2363
gene-b0028	2215
gene-b0029	1817
gene-b0030	843
gene-b0031	757
gene-b0032	1565
gene-b0033	4094
gene-b0034	341
gene-b0035	769
gene-b0036	841
gene-b0037	2199
gene-b0038	2676
gene-b0039	1404
gene-b0040	826
gene-b0041	918
gene-b0042	869
gene-b0043	1099
gene-b0044	347
gene-b0045	1929
gene-b0046	554
gene-b0047	1164
gene-b0048	2108
gene-b0049	2525
gene-b0050	5234
gene-b0051	7492
gene-b0052	1736
gene-b0053	7729
gene-b0054	8790
gene-b0055	1595
gene-b0056	2401
gene-b0057	1215
gene-b0058	4445
gene-b0059	36879
gene-b0060	8070
gene-b0061	1010
gene-b0062	1266
gene-b0063	915
gene-b0064	1941
gene-b0065	2518
gene-b0066	1015
gene-b0067	1261
gene-b0068	1038
gene-b0069	1898
gene-b4577	309
gene-b4662	182
gene-b0070	1267
gene-b0071	1406
gene-b0072	1484
gene-b0073	1132
gene-b0074	1062
gene-b0075	145
gene-b0076	1042
gene-b4726	70
gene-b0077	970
gene-b0078	204
gene-b0080	1452
gene-b0081	2628
gene-b0082	4952
gene-b0083	1896
gene-b0084	1306
gene-b0085	2514
gene-b0086	1832
gene-b0087	965
gene-b0088	2124
gene-b0089	1297
gene-b0090	1969
gene-b0091	2512
gene-b0092	2435
gene-b0093	4218
gene-b0094	6222
gene-b0095	14161
gene-b0096	152419
gene-b0097	9487
