Geneid	1714__ROC_-_N=3_library-read-1.fastq.gz
gene-b0001	659
gene-b0002	2811
gene-b0003	3474
gene-b0004	2203
gene-b0005	492
gene-b0006	815
gene-b0007	147
gene-b0008	30756
gene-b0009	4371
gene-b0010	795
gene-b0011	90
gene-b0012	82
gene-b0013	33
gene-b0014	133387
gene-b0015	12029
gene-b0016	849
gene-b4412	509
gene-b0018	537
gene-b4413	160
gene-b0019	2875
gene-b0020	1475
gene-b0021	164
gene-b0022	115
gene-b0023	19162
gene-b0024	3183
gene-b0025	4871
gene-b0026	34658
gene-b0027	4834
gene-b0028	1972
gene-b0029	1466
gene-b0030	1607
gene-b0031	1618
gene-b0032	939
gene-b0033	2356
gene-b0034	98
gene-b0035	53
gene-b0036	33
gene-b0037	296
gene-b0038	182
gene-b0039	302
gene-b0040	57
gene-b0041	43
gene-b0042	29
gene-b0043	36
gene-b0044	9
gene-b0045	129
gene-b0046	847
gene-b0047	570
gene-b0048	1418
gene-b0049	885
gene-b0050	2876
gene-b0051	3717
gene-b0052	4039
gene-b0053	31495
gene-b0054	24045
gene-b0055	2063
gene-b0056	955
gene-b0057	413
gene-b0058	309
gene-b0059	1517
gene-b0060	1400
gene-b0061	139
gene-b0062	550
gene-b0063	620
gene-b0064	5284
gene-b0065	1770
gene-b0066	437
gene-b0067	185
gene-b0068	196
gene-b0069	609
gene-b4577	819
gene-b4662	457
gene-b0070	1012
gene-b0071	415
gene-b0072	439
gene-b0073	307
gene-b0074	239
gene-b0075	224
gene-b0076	182
gene-b4726	21
gene-b0077	766
gene-b0078	79
gene-b0080	3730
gene-b0081	3371
gene-b0082	10923
gene-b0083	6609
gene-b0084	6702
gene-b0085	8039
gene-b0086	6497
gene-b0087	3675
gene-b0088	5917
gene-b0089	2827
gene-b0090	4391
gene-b0091	4314
gene-b0092	5855
gene-b0093	7971
gene-b0094	15385
gene-b0095	76226
gene-b0096	25423
gene-b0097	3483
gene-b0098	24428
gene-b0099	973
gene-b0101	3033
gene-b0102	1983
gene-b0103	2033
gene-b4727	48
gene-b0104	5675
gene-b0106	519
gene-b0107	213
gene-b0108	10
gene-b0109	953
gene-b0110	203
gene-b0111	944
gene-b0112	1204
gene-b0113	3270
gene-b0114	156103
gene-b0115	36033
gene-b0116	79123
gene-b0117	283
gene-b0118	81612
gene-b0119	669
gene-b0120	2535
gene-b0121	1281
gene-b0122	7008
gene-b0123	1169
gene-b0124	1021
gene-b0125	4022
gene-b0126	4917
gene-b0127	1441
gene-b0128	2381
gene-b0129	1178
gene-b0130	935
gene-b0131	1127
gene-b0132	3306
gene-b0133	7370
gene-b0134	573
gene-b0135	89
gene-b0136	53
gene-b0137	294
gene-b0138	33
gene-b0139	68
gene-b0140	37
gene-b0141	3
gene-b0142	570
gene-b0143	4148
gene-b0144	2060
gene-b0145	9851
gene-b0146	17228
gene-b0147	716
gene-b0148	6435
gene-b0149	3052
gene-b0150	5701
gene-b0151	1023
gene-b0152	567
gene-b0153	2272
gene-b0154	2186
gene-b0155	3946
gene-b4728	1712
gene-b0156	16695
gene-b0157	548
gene-b0158	983
gene-b0159	2044
gene-b0160	1236
gene-b0161	15736
gene-b0162	3390
gene-b0163	1286
gene-b0164	232
gene-b0166	1234
gene-b0167	2478
gene-b0168	3067
gene-b4414	4656
gene-b0169	79726
gene-b0170	20927
gene-b0171	60114
gene-b0172	17946
gene-b0173	1769
gene-b0174	2869
gene-b0175	3684
gene-b0176	12518
gene-b0177	67924
gene-b0178	25812
gene-b0179	42193
gene-b0180	32440
gene-b0181	8744
gene-b0182	7086
gene-b0183	759
gene-b0184	18294
gene-b0185	5531
gene-b0186	1240
gene-b0187	891
gene-b0188	4153
gene-b0189	1688
gene-b4406	762
gene-b0190	282
gene-b0191	232
gene-b0192	998
gene-b0193	215
gene-b0194	18166
gene-b0195	948
gene-b0196	881
gene-b0197	3136
gene-b0198	201
gene-b0199	182
gene-b0200	1016
gene-b0201	143784
gene-b0202	172
gene-b0203	1583
gene-b0204	74585
gene-b0205	1235
gene-b0206	661
gene-b0207	1278
gene-b0208	1419
gene-b0209	2245
gene-b0210	686
gene-b0211	16681
gene-b0212	1075
gene-b0213	1137
gene-b0214	626
gene-b0215	6081
gene-b0216	207
gene-b0217	71
gene-b4586	58
gene-b0219	356
gene-b0220	184
gene-b0221	4640
gene-b0222	3084
gene-b0223	5295
gene-b0224	4997
gene-b0225	2633
gene-b0226	1081
gene-b0227	22
gene-b0228	340
gene-b0231	552
gene-b0232	289
gene-b0233	441
gene-b0234	81
gene-b0237	7227
gene-b0238	4015
gene-b0239	3658
gene-b4710	1129
gene-b4709	7
gene-b0241	33
gene-b0242	4664
gene-b0243	2793
gene-b0244	349
gene-b0245	36
gene-b0246	27
gene-b4504	28
gene-b0247	47
gene-b0248	59
gene-b0249	226
gene-b0250	1084
gene-b0251	82
gene-b0252	128
gene-b0253	630
gene-b0254	113
gene-b0256	729
gene-b4690	39
gene-b0258	281
gene-b0259	29
gene-b0260	126
gene-b0261	1010
gene-b0262	163
gene-b0264	6
gene-b0265	101
gene-b0266	535
gene-b0267	37
gene-b0268	668
gene-b0269	1047
gene-b0270	201
gene-b0271	253
gene-b0272	242
gene-b0273	123
gene-b4688	51
gene-b0274	61
gene-b0275	0
gene-b0276	812
gene-b0277	503
gene-b0278	225
gene-b0279	123
gene-b4729	416
gene-b0280	3774
gene-b0281	1692
gene-b0282	84
gene-b0283	191
gene-b0284	211
gene-b0285	72
gene-b0286	14
gene-b0287	899
gene-b0288	387
gene-b0289	220
gene-b0290	520
gene-b0291	140
gene-b0292	22
gene-b0293	87
gene-b0294	33
gene-b0295	347
gene-b4506	503
gene-b0296	304
gene-b4671	102
gene-b0298	15
gene-b0299	81
gene-b0301	21
gene-b0303	40
gene-b0304	266
gene-b0305	128
gene-b0306	4162
gene-b0307	10498
gene-b0308	6698
gene-b0310	523
gene-b0311	14800
gene-b0312	5456
gene-b0313	1299
gene-b0314	3078
gene-b4730	46
gene-b0315	1287
gene-b0316	909
gene-b0317	40
gene-b0318	63
gene-b0319	106
gene-b0320	50
gene-b0321	62
gene-b0322	130
gene-b0323	56
gene-b0324	1577
gene-b0325	1204
gene-b0326	25
gene-b0327	157
gene-b0328	236
gene-b0329	366
gene-b0330	267
gene-b0331	97716
gene-b0333	44943
gene-b0334	38494
gene-b0335	39783
gene-b0336	301
gene-b0337	747
gene-b0338	334
gene-b0339	57
gene-b0340	113
gene-b0341	140
gene-b0342	331
gene-b0343	3140
gene-b0344	5052
gene-b0345	840
gene-b0346	3497
gene-b0347	44
gene-b0348	43
gene-b0349	64
gene-b0350	57
gene-b0351	379
gene-b0352	188
gene-b0353	196
gene-b0354	936
gene-b0355	2443
gene-b0356	754
gene-b0357	81
gene-b0358	56
gene-b0360	3
gene-b0361	8
gene-b0363	67
gene-b4731	5
gene-b0364	7
gene-b0365	42
gene-b0366	112
gene-b0367	97
gene-b0368	239
gene-b0369	5138
gene-b0372	101
gene-b0373	50
gene-b0375	425
gene-b0376	1244
gene-b0377	790
gene-b0378	625
gene-b0379	161
gene-b0380	18443
gene-b0381	11335
gene-b0382	3650
gene-b0383	2987
gene-b0384	641
gene-b0385	1099
gene-b0386	1800
gene-b0387	594
gene-b0388	577
gene-b0389	962
gene-b0390	1183
gene-b0391	2715
gene-b4732	226
gene-b0393	4794
gene-b0394	494
gene-b0396	707
gene-b0397	1385
gene-b0398	880
gene-b0399	423
gene-b0400	584
gene-b0401	1934
gene-b0402	2173
gene-b0403	1002
gene-b0404	1671
gene-b0405	808
gene-b0406	4135
gene-b0407	3222
gene-b0408	16951
gene-b0409	5470
gene-b0410	557
gene-b0411	84004
gene-b0412	235
gene-b0413	1271
gene-b0414	1889
gene-b0415	1610
gene-b0416	5286
gene-b0417	1208
