Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b0337	317
gene-b0338	229
gene-b0339	77
gene-b0340	51
gene-b0341	114
gene-b0342	89
gene-b0343	266
gene-b0344	901
gene-b0345	1200
gene-b0346	5148
gene-b0347	99
gene-b0348	24
gene-b0349	36
gene-b0350	16
gene-b0351	365
gene-b0352	311
gene-b0353	775
gene-b0354	899
gene-b0355	405
gene-b0356	650
gene-b0357	83
gene-b0358	1103
gene-b0360	3
gene-b0361	36
gene-b0363	701
gene-b4731	6
gene-b0364	38
gene-b0365	188
gene-b0366	305
gene-b0367	194
gene-b0368	383
gene-b0369	2769
gene-b0372	31
gene-b0373	62
gene-b0375	51
gene-b0376	318
gene-b0377	1061
gene-b0378	893
gene-b0379	72
gene-b0380	4806
gene-b0381	3975
gene-b0382	2561
gene-b0383	2946
gene-b0384	4694
gene-b0385	15481
gene-b0386	239
gene-b0387	126
gene-b0388	667
gene-b0389	3192
gene-b0390	575
gene-b0391	1922
gene-b4732	114
gene-b0393	814
gene-b0394	812
gene-b0396	1211
gene-b0397	275
gene-b0398	465
gene-b0399	880
gene-b0400	372
gene-b0401	29497
gene-b0402	2647
gene-b0403	933
gene-b0404	433
gene-b0405	156
gene-b0406	833
gene-b0407	799
gene-b0408	3073
gene-b0409	5632
gene-b0410	315
gene-b0411	5156
gene-b0412	203
gene-b0413	2286
gene-b0414	3686
gene-b0415	2038
gene-b0416	5332
gene-b0417	636
gene-b0418	1100
gene-b0419	9784
gene-b0420	891
gene-b0421	1441
gene-b0422	455
gene-b0423	2077
gene-b0424	2143
gene-b0425	2668
gene-b0426	21738
gene-b0427	466
gene-b0428	3416
gene-b0429	2426
gene-b0430	6113
gene-b0431	10893
gene-b0432	3483
gene-b0433	189
gene-b0434	289
gene-b0435	34464
gene-b0436	1771
gene-b0437	13580
gene-b0438	120423
gene-b0439	38472
gene-b0440	344
gene-b0441	2994
gene-b0442	196
gene-b0443	221
gene-b0444	441
gene-b0445	2788
gene-b0446	3793
gene-b0447	1722
gene-b0448	1067
gene-b0449	786
gene-b0450	58
gene-b0451	169
gene-b0452	624
gene-b0453	9485
gene-b0454	1032
gene-b0455	104
gene-b0456	200
gene-b0457	1400
gene-b0458	1618
gene-b0459	1234
gene-b0460	2740
gene-b0461	4814
gene-b0462	5678
gene-b0463	2292
gene-b0464	1014
gene-b0465	3372
gene-b0466	299
gene-b0467	610
gene-b0468	245
gene-b0469	109
gene-b0470	798
gene-b0471	2120
gene-b0472	1698
gene-b0473	74098
gene-b0474	695
gene-b0475	561
gene-b0476	897
gene-b0477	519
gene-b0478	4102
gene-b0479	136
gene-b0480	2000
gene-b0481	309
gene-b4585	77
gene-b0482	192
gene-b0483	3457
gene-b0484	11556
gene-b0485	4741
gene-b0486	4589
gene-b0487	2755
gene-b0488	9058
gene-b0489	16439
gene-b0490	126
gene-b0491	479
gene-b0492	11051
gene-b0493	389
gene-b0494	4783
gene-b0495	1445
gene-b0496	621
gene-b0497	796
gene-b0498	66
gene-b0502	82
gene-b0503	226
gene-b0504	47
gene-b0505	129
gene-b0506	28754
gene-b0507	408
gene-b0508	158
gene-b0509	0
gene-b0511	205
gene-b0512	233
gene-b0513	225
gene-b0514	189
gene-b0515	170
gene-b0516	254
gene-b0517	15
gene-b0518	12
gene-b4572	99
gene-b0520	21
gene-b0521	59
gene-b0522	16
gene-b0523	1
gene-b0524	2362
gene-b0525	8576
gene-b0526	591
gene-b0527	19
gene-b0528	565
gene-b0529	2214
gene-b0530	226
gene-b0531	128
gene-b0532	117
gene-b0533	31
gene-b0534	34
gene-b0535	77
gene-b0536	543
gene-b0537	951
gene-b0540	0
gene-b0541	17
gene-b0543	472
gene-b4733	171
gene-b0544	53
gene-b0545	1219
gene-b0546	1552
gene-b4588	93
gene-b0547	152
gene-b0548	0
gene-b0549	1
gene-b0550	0
gene-b4509	7
gene-b0551	70
gene-b0552	682
gene-b0554	135
gene-b0555	282
gene-b0556	120
gene-b4510	29
