Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b1461	164
gene-b1462	412
gene-b1463	802
gene-b1464	334
gene-b1465	336
gene-b1466	138
gene-b1467	427
gene-b1468	977
gene-b1469	638
gene-b1471	8
gene-b1472	1
gene-b1473	28
gene-b1474	276
gene-b1475	147
gene-b1476	464
gene-b1477	7476
gene-b1478	9801
gene-b1479	2265
gene-b1480	3750
gene-b1481	75
gene-b1482	11659
gene-b1483	831
gene-b1484	89
gene-b1485	176
gene-b1486	88
gene-b1487	165
gene-b1488	33
gene-b1489	6631
gene-b1490	17524
gene-b4746	1174
gene-b1491	202
gene-b1492	211863
gene-b1493	61672
gene-b1494	780
gene-b1495	140
gene-b1496	32
gene-b4747	42
gene-b1497	195
gene-b1498	508
gene-b1499	17
gene-b1500	2
gene-b1501	795
gene-b1502	26
gene-b1503	48
gene-b1504	23
gene-b1505	91
gene-b1507	984
gene-b1508	330
gene-b1511	1480
gene-b1512	1792
gene-b1513	1247
gene-b1514	935
gene-b1515	781
gene-b1516	593
gene-b1517	1067
gene-b1518	195
gene-b1519	2759
gene-b1520	543
gene-b1521	2617
gene-b1522	156
gene-b1523	126
gene-b1524	257
gene-b1525	474
gene-b1526	869
gene-b1527	107
gene-b1528	220
gene-b1529	2545
gene-b1530	168
gene-b1531	152
gene-b1532	190
gene-b1533	612
gene-b1534	498
gene-b4599	19369
gene-b4698	37
gene-b1535	1869
gene-b1536	1251
gene-b1537	767
gene-b1538	2328
gene-b1539	2560
gene-b1540	460
gene-b1541	33
gene-b1542	130
gene-b1543	720
gene-b4748	243
gene-b1544	84
gene-b1545	388
gene-b1546	11
gene-b1547	29
gene-b1548	48
gene-b4533	2
gene-b1549	3
gene-b1550	93
gene-b1551	8
gene-b4749	1
gene-b4724	16
gene-b1552	2
gene-b1553	7
gene-b4689	4
gene-b1554	54
gene-b1555	64
gene-b1556	23
gene-b1557	153
gene-b1558	83
gene-b4750	244
gene-b1559	125
gene-b1560	134
gene-b1561	593
gene-b1562	37606
gene-b1563	38913
gene-b1564	25738
gene-b1565	7121
gene-b1566	365
gene-b1567	41
gene-b1568	75
gene-b1569	44
gene-b1570	547
gene-b1571	100
gene-b1572	49
gene-b1573	110
gene-b1574	262
gene-b1575	5
gene-b1576	5
gene-b4534	36
gene-b1580	8558
gene-b1581	3100
gene-b1582	26
gene-b1583	634
gene-b1584	2322
gene-b1585	1010
gene-b1586	15369
gene-b1587	303
gene-b1588	329
gene-b1589	104
gene-b1590	1091
gene-b1591	899
gene-b1592	592
gene-b1593	1622
gene-b1594	1749
gene-b1595	112
gene-b1596	1719
gene-b1597	343
gene-b4601	484
gene-b1598	13652
gene-b1599	150
gene-b1600	9
gene-b1601	931
gene-b1602	17111
gene-b1603	3372
gene-b1604	1322
gene-b1605	53
gene-b1606	258
gene-b1607	156
gene-b1608	239
gene-b1609	379
gene-b1610	2078
gene-b1611	10566
gene-b1612	20233
gene-b1613	1650
gene-b1614	18837
gene-b1615	212
gene-b1616	155
gene-b1617	663
gene-b1618	1288
gene-b1619	21057
gene-b1620	521
gene-b1621	665
gene-b1622	1284
gene-b1623	1237
gene-b1624	5746
gene-b4409	70
gene-b1625	1876
gene-b1626	2010
gene-b1627	289
gene-b1628	252
gene-b1629	332
gene-b1630	138
gene-b1631	98
gene-b1632	121
gene-b1633	75
gene-b1634	1916
gene-b1635	4864
gene-b1636	968
gene-b1637	3526
gene-b1638	313
gene-b1639	326
gene-b1640	1384
gene-b1641	27801
gene-b1642	7101
gene-b1643	251
gene-b1644	113
gene-b1645	9229
gene-b1646	6891
gene-b1647	2112
gene-b1648	217
gene-b1649	277
gene-b1650	386
gene-b1651	364
gene-b1652	204
gene-b1653	1308
gene-b1654	5322
gene-b1655	715
gene-b1656	4323
gene-b1657	393
gene-b4602	2541
gene-b1658	494
gene-b1659	1159
gene-b1660	328
gene-b1661	34509
gene-b1662	2113
gene-b1663	5218
gene-b1664	10421
gene-b1665	35
gene-b1666	34
gene-b1667	4753
gene-b1668	6350
gene-b1669	393
gene-b1670	102
gene-b1671	163
gene-b1672	74
gene-b1673	268
gene-b1674	5
gene-b1675	336
gene-b1676	34342
gene-b1677	39632
gene-b1678	51667
gene-b1679	1538
gene-b1680	10802
gene-b1681	15501
gene-b1682	14399
gene-b1683	27385
gene-b1684	6735
gene-b4430	143
gene-b1685	1025
gene-b1686	555
gene-b1687	810
gene-b1688	5128
gene-b4431	176
gene-b1689	111
gene-b1690	81
gene-b1691	55
gene-b1692	50
gene-b1693	217
gene-b1694	22
gene-b1695	58
gene-b1696	249
gene-b1697	81
gene-b1698	241
gene-b1699	67
gene-b1700	37
gene-b1701	357
gene-b1702	22286
gene-b1703	815
gene-b1704	280
gene-b1705	166
gene-b1706	1210
gene-b1707	416
gene-b1708	3514
gene-b1709	240
gene-b1710	1249
gene-b1711	706
gene-b1712	189077
gene-b1713	44502
gene-b1714	1249
gene-b1715	93
gene-b1716	48278
gene-b1717	50129
gene-b1718	242014
gene-b1719	77698
gene-b4535	10
gene-b1722	123
gene-b1723	2846
gene-b1724	1505
gene-b1725	13217
gene-b1726	14157
gene-b1727	596
gene-b1728	398
gene-b1729	4595
gene-b1730	233
gene-b1731	135
gene-b1732	5458
gene-b1733	1254
gene-b1734	664
gene-b1735	718
gene-b1736	431
gene-b1737	671
gene-b1738	102
gene-b1739	7051
gene-b1740	2023
gene-b1741	643
gene-b1742	57
gene-b1743	5018
gene-b1744	2064
gene-b1745	3522
gene-b1746	5833
gene-b1747	4106
gene-b1748	7728
gene-b1749	998
gene-b1750	228
gene-b1751	118
gene-b1752	335
gene-b1753	239
gene-b1754	245
gene-b1755	200
gene-b1756	204
gene-b1757	257
gene-b1758	451
gene-b1759	179
gene-b1760	160
gene-b1761	567
gene-b1762	99
gene-b1763	1776
gene-b1764	5244
gene-b1765	976
gene-b1766	685
gene-b1767	893
gene-b1768	799
gene-b1769	447
gene-b1770	619
gene-b1771	199
gene-b1772	56
gene-b1773	15
gene-b1774	32
gene-b1775	47
gene-b1776	26
gene-b1777	1533
gene-b1778	2847
gene-b1779	178690
gene-b1780	1026
gene-b1781	1752
gene-b1782	1112
gene-b1783	246599
gene-b1784	106380
gene-b1785	650
gene-b1786	927
gene-b1787	110
gene-b1788	54
gene-b1789	63
gene-b1790	154
gene-b1791	178
gene-b1792	508
gene-b1793	298
gene-b1794	698
gene-b4676	103
gene-b4675	101
gene-b1795	29212
gene-b1796	53
gene-b1797	145
gene-b1798	224
gene-b1799	635
gene-b1800	840
gene-b1801	99
gene-b1802	69
gene-b1803	144
gene-b1804	337
gene-b1805	21817
gene-b1806	28486
gene-b1807	503
gene-b1808	390
gene-b1809	149
gene-b1810	2826
gene-b1811	386
gene-b1812	979
gene-b1813	834
gene-b1814	101190
gene-b1815	1783
gene-b1816	1177
gene-b4751	240
gene-b1817	24533
gene-b1818	30635
gene-b1819	44442
gene-b1820	930
gene-b1821	119
gene-b1822	448
gene-b1823	153232
gene-b1824	85745
gene-b1825	2413
gene-b1826	275
gene-b4536	213
gene-b1827	16181
gene-b1828	181
gene-b1829	14033
gene-b1830	2366
gene-b1831	2814
gene-b1832	474
gene-b1833	970
gene-b1834	875
gene-b1835	343
gene-b1836	5315
gene-b1837	2710
gene-b1838	2816
gene-b4432	5177
gene-b4433	2703
gene-b1839	331
gene-b1840	283
gene-b1841	438
gene-b1842	315
gene-b1843	1622
gene-b1844	806
gene-b1845	3183
gene-b1846	1248
gene-b1847	4347
gene-b1848	2954
gene-b1849	89
gene-b1850	1275
gene-b1851	605
gene-b1852	4499
gene-b1853	2033
gene-b1854	17893
gene-b1855	1029
gene-b1856	10927
gene-b1857	25703
gene-b1858	8097
gene-b1859	3603
gene-b1860	1624
gene-b1861	2945
gene-b4677	220
gene-b1862	87
gene-b1863	620
gene-b1864	1878
gene-b1865	4417
gene-b1866	6679
gene-b1867	366
gene-b1868	365
gene-b1869	271
gene-b1870	1080
gene-b1871	1160
gene-b1872	3256
gene-b1873	1130
gene-b4717	1934
gene-b1874	7827
gene-b1875	997
gene-b1876	2206
gene-b1877	146
gene-b1878	84
gene-b1879	708
gene-b1880	223
gene-b1881	671
gene-b1882	244
gene-b1883	136
gene-b1884	273
gene-b1885	251
gene-b1886	347
gene-b1887	479
gene-b1888	609
gene-b1889	311
gene-b1890	216
gene-b1891	966
gene-b1892	149
gene-b1893	81
gene-b1894	1
gene-b1895	4032
gene-b1896	76008
gene-b1897	12515
gene-b4460	2512
gene-b1900	2914
gene-b1901	2531
gene-b1902	1029
gene-b4537	86
gene-b4663	1000
gene-b1904	296
gene-b1905	745
gene-b1906	1443
gene-b1907	1302
gene-b1908	2703
gene-b1909	48
gene-b1910	174
gene-b1911	141
gene-b1912	1845
gene-b1913	738
gene-b1914	491
gene-b4752	16
gene-b1915	92
gene-b1916	622
gene-b4719	260
gene-b1917	1970
gene-b1918	1313
gene-b1919	3174
gene-b1920	4891
gene-b1921	317
gene-b1922	1426
gene-b1923	7450
gene-b1924	152
gene-b1925	172
gene-b1926	120
gene-b1927	6042
gene-b1928	6316
gene-b1929	1435
gene-b1930	288
gene-b1931	511
gene-b1932	46
gene-b1937	83
gene-b1938	780
gene-b1939	606
gene-b1940	193
gene-b1941	326
gene-b1942	132
gene-b1943	284
gene-b1944	567
gene-b1945	1498
gene-b1946	734
gene-b1947	238
gene-b1948	210
gene-b1949	78
gene-b1950	171
gene-b1951	398
gene-b1952	260
gene-b1953	53916
gene-b1954	8625
gene-b1955	19997
gene-b1956	3788
gene-b1957	4359
gene-b1958	10194
gene-b1959	50
gene-b1960	60
gene-b1961	492
gene-b1962	1678
gene-b1963	1890
gene-b4603	6
gene-b1967	219725
gene-b1968	508
gene-b1969	421
gene-b1970	145
gene-b1971	5280
gene-b1972	2289
gene-b1973	13307
gene-b1974	148
gene-b1975	388
gene-b1976	9116
gene-b1977	510
gene-b1978	2058
gene-b1981	1804
gene-b1982	1544
gene-b1983	1130
gene-b1984	172
gene-b1985	1134
gene-b1986	38
gene-b1987	277
gene-b1988	666
gene-b1989	157
gene-b1990	19338
gene-b1991	840
gene-b1992	384
gene-b1993	523
gene-b1994	119
gene-b1996	76
gene-b1997	32
gene-b4435	279
gene-b2000	1577
gene-b2001	396
gene-b2002	204
gene-b2003	47
gene-b2004	248
gene-b2005	35
gene-b2006	53
gene-b4538	521
gene-b2007	3649
gene-b2008	1354
gene-b2009	7383
gene-b2010	858
gene-b2011	1435
gene-b2012	1134
gene-b2013	3344
gene-b2014	291
gene-b4678	7
gene-b2015	21703
gene-b2016	14529
gene-b4539	8545
gene-b2017	8205
gene-b2018	51
gene-b2019	2327
gene-b2020	3670
gene-b2021	1373
gene-b2022	1928
gene-b2023	956
gene-b2024	688
gene-b2025	600
gene-b2026	1099
gene-b2027	10679
gene-b2028	3288
gene-b2029	33617
gene-b2030	762
gene-b2032	2257
gene-b2033	3566
gene-b2034	7504
gene-b2035	3388
gene-b2036	7535
gene-b2037	2624
gene-b2038	2596
gene-b2039	3536
gene-b2040	4765
gene-b2041	6184
gene-b2042	4695
gene-b2043	48
gene-b2044	32
gene-b2045	60
gene-b2046	54
gene-b2047	79
gene-b2048	260
gene-b2049	75
gene-b2050	92
gene-b2051	16
gene-b2052	89
gene-b2053	98
gene-b2054	24
gene-b2055	135
gene-b2056	49
gene-b2057	50
gene-b2058	23
gene-b2059	78
gene-b2060	50
gene-b2061	22
gene-b2062	39
gene-b2063	7287
gene-b2064	1706
gene-b2065	920
gene-b2066	282
gene-b2067	983
gene-b2068	319
gene-b2069	428
gene-b2070	414
gene-b2071	122
gene-b2072	39
gene-b2073	43
gene-b4436	284
gene-b4667	218
gene-b4437	150
gene-b4668	100
gene-b2074	167
gene-b2075	282
gene-b2076	92
gene-b2077	425
gene-b2078	274
gene-b2079	922
gene-b2080	9856
gene-b2081	1366
gene-b4438	925
gene-b2082	94
gene-b2085	114
gene-b2086	62850
gene-b2088	13
gene-b2089	31
gene-b2091	4681
gene-b2093	6396
gene-b2094	22285
gene-b2095	204952
gene-b2096	321326
gene-b2097	59258
gene-b2098	231
gene-b2099	393
gene-b2100	370
gene-b2101	354
gene-b2102	326
gene-b2103	1252
gene-b2104	779
gene-b2105	302
gene-b2106	281
gene-b2107	518
gene-b2108	159
gene-b2109	94
gene-b2110	1
gene-b2111	5
gene-b2112	334
gene-b2113	4407
gene-b2114	3347
gene-b2115	4
gene-b2118	382
gene-b4541	5
gene-b2119	81
gene-b2120	104
gene-b2121	112
gene-b2122	213
gene-b2123	151
gene-b2124	1204
gene-b2125	944
gene-b2126	1735
gene-b2127	3026
gene-b4542	104
gene-b2128	324
gene-b2129	146
gene-b2130	1724
gene-b2131	6145
gene-b2132	660
gene-b2133	2067
gene-b2134	1480
gene-b2135	81795
gene-b2136	923
gene-b2137	3664
gene-b4679	6515
gene-b2140	497
gene-b2141	673
gene-b2142	1594
gene-b2143	5647
gene-b2144	168
gene-b2145	97
gene-b2146	525
gene-b2147	757
gene-b2148	1363
gene-b2149	4145
gene-b2150	8185
gene-b2151	1530
gene-b2152	228
gene-b2153	783
gene-b2154	413
gene-b2155	601
gene-b2156	22111
gene-b2157	1302
gene-b2158	1700
gene-b2159	369
gene-b2160	305
gene-b2161	79
gene-b2162	63
gene-b2163	15
gene-b2164	405
gene-b2165	54
gene-b2166	8
gene-b2167	29170
gene-b2168	8583
gene-b2169	9556
gene-b2170	28
gene-b4502	81
gene-b2171	360
gene-b2172	3699
gene-b2173	236
gene-b2174	126
gene-b2175	3019
gene-b2176	258
gene-b2177	101
gene-b2178	157
gene-b2179	124
gene-b2180	7039
gene-b2181	19729
gene-b2182	622
gene-b2183	501
gene-b2184	178
gene-b2185	171
gene-b2186	2389
gene-b2187	598
gene-b2188	1274
gene-b2189	120
gene-b2192	74
gene-b2193	717
gene-b2194	570
gene-b2195	209
gene-b2196	251
gene-b2197	68
gene-b2198	87
gene-b2199	210
gene-b2200	176
gene-b2201	2422
gene-b2202	587
gene-b2203	47
gene-b2204	116
gene-b2205	123
gene-b2206	202
gene-b2207	16
gene-b2208	5
gene-b4604	60
gene-b2209	1608
gene-b2210	810
gene-b2211	334
gene-b2212	1675
gene-b2213	4609
gene-b2214	76
gene-b2215	31631
gene-b4439	600
gene-b2216	3585
gene-b2217	7747
gene-b2218	2435
gene-b2219	4349
gene-b2220	676
gene-b2221	91
gene-b2222	153
gene-b2223	139
gene-b2224	148
gene-b2225	580
gene-b2226	101
gene-b2229	61
gene-b2230	193
gene-b2231	3687
gene-b2232	242
gene-b2233	1092
gene-b4605	35
gene-b2234	1362
gene-b2235	2939
gene-b2236	743
gene-b2237	1898
gene-b2239	42528
gene-b2240	26989
gene-b2241	40146
gene-b2242	36760
gene-b2243	12029
gene-b2244	357
gene-b2245	160
gene-b2246	142
gene-b2247	329
gene-b2248	147
gene-b2249	1207
gene-b2250	498
gene-b2251	93
gene-b2252	26
gene-b2253	276
gene-b2254	181
gene-b2255	572
gene-b2256	200
gene-b2257	108
gene-b4544	207
gene-b2258	62
gene-b2259	15
gene-b2260	590
gene-b2261	1763
gene-b2262	1394
gene-b2263	293
gene-b2264	653
gene-b2265	695
gene-b2266	12969
gene-b2267	584
gene-b2268	135
gene-b2269	229
gene-b2270	237
gene-b2271	54
gene-b2272	24
gene-b2273	16
gene-b2274	33
gene-b2275	259
gene-b2276	7236
gene-b2277	3128
gene-b2278	7574
gene-b2279	605
gene-b2280	1294
gene-b2281	1318
gene-b2282	3086
gene-b2283	12706
gene-b2284	4642
gene-b2285	3033
gene-b2286	8386
gene-b2287	3301
gene-b2288	2586
gene-b2289	19649
gene-b2290	1731
gene-b2291	294
gene-b2292	962
gene-b2293	4662
gene-b2294	2209
gene-b2295	30076
gene-b2296	15547
gene-b2297	21579
gene-b2298	118
gene-b2299	893
gene-b2300	819
gene-b2301	299
gene-b2302	1023
gene-b2303	7900
gene-b2304	9076
gene-b2305	1458
gene-b2306	125
gene-b2307	278
gene-b2308	366
gene-b2309	1959
gene-b2310	2369
gene-b2311	17
gene-b2312	1949
gene-b2313	1411
gene-b2314	2546
gene-b2315	2510
gene-b2316	7237
gene-b2317	2189
gene-b2318	6668
gene-b2319	1782
gene-b2320	3075
gene-b2321	234
gene-b2322	48
gene-b2323	6572
gene-b2324	776
gene-b2325	152
gene-b2326	365
gene-b2327	227
gene-b2328	236
gene-b2329	1318
gene-b2330	721
gene-b2331	702
gene-b2332	1553
gene-b2333	77
gene-b2334	23
gene-b2335	35
gene-b2336	14
gene-b2339	23
gene-b2340	66867
gene-b2341	4215
gene-b2342	2405
gene-b2343	3292
gene-b2344	4301
gene-b2345	71
gene-b2346	3268
gene-b2347	1323
gene-b2348	102
gene-b2349	145
gene-b2350	194
gene-b2351	358
gene-b2352	654
gene-b2354	4263
gene-b2356	2
gene-b2357	45
gene-b2358	20
gene-b2359	8
gene-b2360	143
gene-b2361	12
gene-b2362	19
gene-b2363	256
gene-b4545	261
gene-b4501	823
gene-b2364	863
gene-b2365	324
gene-b2366	552
gene-b2367	105
gene-b2368	314
gene-b2369	173
gene-b2370	813
gene-b2371	231
gene-b2372	188
gene-b2373	249
gene-b2374	49
gene-b2375	272
gene-b2376	302
gene-b2377	6882
gene-b2378	1088
gene-b4680	47
gene-b2379	594
gene-b2380	449
gene-b2381	1858
gene-b2382	557
gene-b2383	53
gene-b2384	65
gene-b2385	49
gene-b2386	94
gene-b2387	24
gene-b2388	12304
gene-b2389	966
gene-b2390	5047
gene-b2392	62626
gene-b2393	1208
gene-b2394	63
gene-b2395	331
gene-b2396	12
gene-b2397	26
gene-b2398	894
gene-b2399	935
gene-b2400	5305
gene-b2401	5
gene-b2402	1
gene-b2403	87
gene-b2404	20
gene-b2405	616
gene-b2406	251
gene-b2407	86
gene-b2408	635
gene-b2409	289
gene-b2410	3598
gene-b4546	697
gene-b2411	1686
gene-b2412	7402
gene-b2413	726
gene-b2414	13620
gene-b2415	4583
gene-b2416	44467
gene-b2417	109954
gene-b2418	3756
gene-b2419	196
gene-b2420	437
gene-b2421	185
gene-b2422	1040
gene-b2423	843
gene-b2424	904
gene-b2425	1165
gene-b2426	9189
gene-b2427	31
gene-b2428	154
gene-b2429	142
gene-b2430	109
gene-b2431	2053
gene-b2432	254
gene-b2433	338
gene-b2434	236
gene-b2435	634
gene-b2436	529
gene-b2437	823
gene-b2438	617
gene-b2439	441
gene-b2440	247
gene-b2441	1781
gene-b2442	119
gene-b2443	2316
gene-b2444	104
gene-b2445	166
gene-b2446	96
gene-b2447	131
gene-b2448	137
gene-b2449	1775
gene-b2450	1646
gene-b2451	55
gene-b2452	135
gene-b2453	228
gene-b2454	50
gene-b2455	60
gene-b2456	12
gene-b2457	54
gene-b2458	308
gene-b2459	161
gene-b2460	155
gene-b2461	96
gene-b2462	106
gene-b2463	14811
gene-b2464	48438
gene-b2465	66029
gene-b2466	2456
gene-b2467	62
gene-b2468	236
gene-b2469	720
gene-b2470	334
gene-b4606	4028
gene-b2471	492
gene-b2472	2647
gene-b4547	15437
gene-b2473	1448
gene-b2474	3854
gene-b2475	6670
gene-b2476	155
gene-b2477	4236
gene-b2478	3048
gene-b2479	13527
gene-b2480	668
gene-b2481	10
gene-b2482	25
gene-b2483	57
gene-b2484	94
gene-b2485	41
gene-b2486	457
gene-b2487	80
gene-b2488	122
gene-b2489	229
gene-b2490	45
gene-b2491	161
gene-b2492	270
gene-b2493	1190
gene-b2494	4890
gene-b2495	693
gene-b2496	780
gene-b2497	158
gene-b2498	397
gene-b2499	52
gene-b2500	414
gene-b2501	5287
gene-b2502	3038
gene-b2503	257
gene-b2504	594
gene-b2505	21
gene-b2506	252
gene-b2507	6460
gene-b2508	1920
gene-b2509	1527
gene-b2510	408
gene-b2511	7819
gene-b2512	28762
gene-b2513	1860
gene-b2514	2476
gene-b2515	16047
gene-b2516	11044
gene-b2517	2221
gene-b2518	213
gene-b2519	457
gene-b2520	10760
gene-b2521	2889
gene-b4440	265
gene-b2522	1213
gene-b2523	3081
gene-b2524	887
gene-b2525	1187
gene-b2526	4289
gene-b2527	2883
gene-b2528	11977
gene-b2529	33930
gene-b2530	37840
gene-b2531	5836
gene-b2532	12460
gene-b2533	182
gene-b2534	66
gene-b2535	16032
gene-b2536	1397
gene-b4706	30
gene-b2537	534
gene-b2538	164
gene-b2539	32
gene-b2540	40
gene-b2541	66
gene-b2542	211
gene-b2543	1307
gene-b2544	335
gene-b2545	247
gene-b2546	85
gene-b2547	163
gene-b2548	164
gene-b2549	199
gene-b2550	232
gene-b2551	2011
gene-b2552	610
gene-b2553	156
gene-b2554	392
gene-b2555	716
gene-b2556	1425
gene-b4441	869
gene-b2557	350
gene-b2558	53
gene-b2559	145
gene-b2560	534
gene-b2561	180
gene-b2562	156
gene-b4687	285
gene-b4608	80
gene-b2563	626
gene-b2564	742
gene-b2565	3473
gene-b2566	22407
gene-b2567	6951
gene-b2568	2108
gene-b2569	2361
gene-b2570	708
gene-b2571	65084
gene-b2572	291849
gene-b2573	113311
gene-b4725	4470
gene-b2574	189
gene-b2575	143
gene-b2576	921
gene-b2577	358
gene-b2578	801
gene-b2579	9907
gene-b2580	250
gene-b2581	521
gene-b2582	7643
gene-b2583	256
gene-b2584	17282
gene-b2585	9577
gene-b2586	5533
gene-b2587	139476
gene-b2588	111
gene-b2589	10596
gene-b2590	5967
gene-b2591	178958
gene-b2592	500291
gene-b4609	9049
gene-b2593	1302
gene-b2594	2179
gene-b2595	4117
gene-b2597	16118
gene-b2598	228
gene-b2599	1721
gene-b2600	3623
gene-b2601	3321
gene-b2602	832
gene-b2603	1837
gene-b2604	650
gene-b2605	86
gene-b2606	18941
gene-b2607	14095
gene-b2608	12571
gene-b2609	5108
gene-b2610	6834
gene-b2611	532
gene-b4461	696
gene-b2614	32603
gene-b2615	1722
gene-b2616	38175
gene-b2617	17866
gene-b2618	1865
gene-b2619	2433
gene-b2620	453
gene-b2621	3039375
gene-b2622	2926
gene-b2623	127
gene-b2624	14
gene-b2625	139
gene-b2626	115
gene-b2627	2033
gene-b2628	2930
gene-b2629	39
gene-b2630	61495
gene-b2631	26242
gene-b2632	374
gene-b2633	83
gene-b2634	251
gene-b2635	29
gene-b2636	59
gene-b2637	821
gene-b2638	564
gene-b2642	169
gene-b2643	23
gene-b2644	30
gene-b4548	24
gene-b2645	131
gene-b2646	88
gene-b2647	20793
gene-b2649	15
gene-b2650	39
gene-b2652	0
gene-b2659	7779
gene-b2660	1809
gene-b2661	1601
gene-b2662	1538
gene-b2663	495
gene-b2664	10458
gene-b2665	14165
gene-b2666	3077
gene-b2667	102
gene-b2668	168
gene-b2669	2362
gene-b2670	18219
gene-b2671	5804
gene-b2672	40968
gene-b2673	730
gene-b2674	3684
gene-b2675	2709
gene-b2676	410
gene-b2677	203
gene-b2678	60
gene-b2679	291
gene-b2682	299
gene-b2683	26
gene-b2684	240
gene-b2685	368
gene-b2686	3111
gene-b2687	7169
gene-b4442	1327
gene-b2688	6623
gene-b2689	510
gene-b2690	526
gene-b2691	344
gene-b2692	952
gene-b2693	1355
gene-b2694	740
gene-b2695	585
gene-b2696	17780
gene-b2697	7234
gene-b2698	413
gene-b2699	18601
gene-b2700	203
gene-b2701	76
gene-b2702	2865
gene-b2703	2723
gene-b2704	651
gene-b2705	1908
gene-b2706	219
gene-b2707	1033
gene-b2708	633
gene-b2709	1772
gene-b2710	343
gene-b2711	159
gene-b2712	1326
gene-b2713	320
gene-b2714	187
gene-b2715	886
gene-b2716	500
gene-b2717	1709
gene-b2718	1073
gene-b2719	371
gene-b2720	82
gene-b2721	83
gene-b2722	31
gene-b2723	102
gene-b2724	7
gene-b2725	6
gene-b2726	85
gene-b2727	89
gene-b2728	54
gene-b2729	840
gene-b2730	4214
gene-b2731	1896
gene-b2732	209
gene-b2733	739
gene-b2734	69
gene-b2735	1682
gene-b2736	986
gene-b2737	1397
gene-b2738	563
gene-b2739	548
gene-b2740	130
gene-b2741	151727
gene-b2742	32914
gene-b2743	3056
gene-b2744	603
gene-b2745	438
gene-b2746	433
gene-b2747	1716
gene-b2748	1233
gene-b2749	161
gene-b2750	683
gene-b2751	1873
gene-b2752	975
gene-b2753	338
gene-b2754	101
gene-b2755	559
gene-b2756	453
gene-b2757	148
gene-b2758	174
gene-b2759	22
gene-b2760	126
gene-b2761	731
gene-b4701	2
gene-b2762	603
gene-b2763	1471
gene-b2764	1870
gene-b2765	10
gene-b2766	266
gene-b2767	73
gene-b2768	126
gene-b2769	34
gene-b2770	19
gene-b2771	41
gene-b4463	49
gene-b2774	6
gene-b2775	36
gene-b2776	135
gene-b2777	4541
gene-b4682	4
gene-b2778	32
gene-b2779	96423
gene-b2780	12555
gene-b2781	3037
gene-b2782	1368
gene-b2783	1099
gene-b2784	4551
gene-b2785	1383
gene-b2786	639
gene-b2787	397
gene-b2788	122
gene-b2789	621
gene-b2790	387
gene-b2791	152
gene-b2792	107
gene-b4408	12346
gene-b2793	515
gene-b2794	595
gene-b2795	2168
gene-b2796	15466
gene-b2797	9694
gene-b2798	201
gene-b2799	1517
gene-b2800	167
gene-b2801	340
gene-b2802	1307
gene-b2803	1078
gene-b2804	692
gene-b2805	837
gene-b2806	3514
gene-b2807	1118
gene-b2808	1905
gene-b4443	870
gene-b2809	2101
gene-b2810	1100
gene-b2811	1367
gene-b2812	869
gene-b2813	433
gene-b2814	8
gene-b2815	12
gene-b2816	14
gene-b2817	43
gene-b2818	591
gene-b2819	942
gene-b2820	797
gene-b2821	618
gene-b2822	1942
gene-b2823	138
gene-b2824	124
gene-b2825	115
gene-b2826	12
gene-b2827	752
gene-b2828	1076
gene-b2829	3736
gene-b2830	2338
gene-b4610	33
gene-b2831	156
gene-b2832	2181
gene-b2833	773
gene-b2834	1675
gene-b2835	3290
gene-b2836	1025
gene-b4444	66
gene-b4445	3
gene-b2837	1021
gene-b2838	153
gene-b2839	433
gene-b2840	310
gene-b2841	2100
gene-b2842	488
gene-b2843	183
gene-b2844	2454
gene-b2845	531
gene-b2846	89
gene-b2847	37
gene-b2848	75
gene-b4683	11
gene-b2849	49
gene-b2851	15
gene-b2852	13
gene-b2853	2
gene-b2860	17
gene-b2861	48
gene-b2863	83
gene-b2864	32
gene-b2865	755
gene-b2866	428
gene-b2867	160
gene-b2868	64
gene-b2869	6299
gene-b2870	109
gene-b2871	74
gene-b2872	255
gene-b2873	90
gene-b2874	614
gene-b2875	1555
gene-b2876	535
gene-b2877	1065
gene-b2878	427
gene-b2879	27
gene-b2880	118
gene-b2881	468
gene-b2882	218
gene-b2883	271
gene-b4464	256
gene-b2886	160
gene-b2887	240
gene-b2888	37
gene-b4684	59
gene-b4753	50
gene-b2889	1156
gene-b2890	4654
gene-b2891	912
gene-b2892	2061
gene-b2893	1117
gene-b2894	1738
gene-b2895	1586
gene-b2896	1032
gene-b2897	828
gene-b2898	5866
gene-b2899	1161
gene-b2900	795
gene-b2901	2274
gene-b2902	65
gene-b2903	4258
gene-b2904	1821
gene-b2905	1526
gene-b4754	19
gene-b2906	1914
gene-b2907	5429
gene-b2908	11479
gene-b2909	10800
gene-b2910	18188
gene-b2911	60135
gene-b2912	2181
gene-b4446	178
gene-b4665	135
gene-b2913	5299
gene-b2914	2069
gene-b2916	400
gene-b2917	279
gene-b2918	63
gene-b2919	54
gene-b2920	137
gene-b2921	413
gene-b2922	4457
gene-b2923	344
gene-b2924	2970
gene-b2925	50766
gene-b2926	32456
gene-b2927	7089
gene-b2928	466
gene-b2929	552
gene-b2930	260
gene-b4465	124
gene-b2933	358
gene-b2934	2
gene-b2935	2752
gene-b2936	11033
gene-b2937	2247
gene-b2938	39927
gene-b2939	499
gene-b2940	140
gene-b2941	9
gene-b2942	322
gene-b2943	996
