Geneid	1714__30min_LEVO_library-read-1.fastq.gz
gene-b0345	474
gene-b0346	3224
gene-b0347	1
gene-b0348	1
gene-b0349	2
gene-b0350	11
gene-b0351	66
gene-b0352	178
gene-b0353	428
gene-b0354	166
gene-b0355	7
gene-b0356	109
gene-b0357	18
gene-b0358	432
gene-b0360	0
gene-b0361	0
gene-b0363	243
gene-b4731	0
gene-b0364	1
gene-b0365	11
gene-b0366	54
gene-b0367	9
gene-b0368	111
gene-b0369	797
gene-b0372	0
gene-b0373	0
gene-b0375	31
gene-b0376	323
gene-b0377	329
gene-b0378	179
gene-b0379	30
gene-b0380	1360
gene-b0381	1406
gene-b0382	246
gene-b0383	225
gene-b0384	570
gene-b0385	9565
gene-b0386	79
gene-b0387	6
gene-b0388	161
gene-b0389	158
gene-b0390	41
gene-b0391	347
gene-b4732	62
gene-b0393	283
gene-b0394	501
gene-b0396	256
gene-b0397	24
gene-b0398	12
gene-b0399	71
gene-b0400	115
gene-b0401	8319
gene-b0402	510
gene-b0403	215
gene-b0404	215
gene-b0405	16
gene-b0406	169
gene-b0407	746
gene-b0408	1040
gene-b0409	2889
gene-b0410	143
gene-b0411	767
gene-b0412	28
gene-b0413	221
gene-b0414	986
gene-b0415	306
gene-b0416	1831
gene-b0417	179
gene-b0418	460
gene-b0419	4561
gene-b0420	121
gene-b0421	337
gene-b0422	47
gene-b0423	251
gene-b0424	752
gene-b0425	579
gene-b0426	6065
gene-b0427	51
gene-b0428	877
gene-b0429	387
gene-b0430	637
gene-b0431	1502
gene-b0432	405
gene-b0433	35
gene-b0434	20
gene-b0435	7030
gene-b0436	84
gene-b0437	3299
gene-b0438	55298
gene-b0439	4260
gene-b0440	37
gene-b0441	711
gene-b0442	203
gene-b0443	42
gene-b0444	298
gene-b0445	719
gene-b0446	546
gene-b0447	290
gene-b0448	333
gene-b0449	197
gene-b0450	0
gene-b0451	110
gene-b0452	118
gene-b0453	704
gene-b0454	46
gene-b0455	26
gene-b0456	128
gene-b0457	185
gene-b0458	761
gene-b0459	35
gene-b0460	636
gene-b0461	947
gene-b0462	1295
gene-b0463	431
gene-b0464	108
gene-b0465	1107
gene-b0466	74
gene-b0467	97
gene-b0468	152
gene-b0469	4
gene-b0470	39
gene-b0471	449
gene-b0472	214
gene-b0473	9503
gene-b0474	60
gene-b0475	370
gene-b0476	495
gene-b0477	50
