Geneid	1714__30min_LEVO_library-read-1.fastq.gz
gene-b1502	1
gene-b1503	1
gene-b1504	3
gene-b1505	0
gene-b1507	223
gene-b1508	22
gene-b1511	558
gene-b1512	250
gene-b1513	59
gene-b1514	174
gene-b1515	128
gene-b1516	84
gene-b1517	188
gene-b1518	3
gene-b1519	511
gene-b1520	97
gene-b1521	903
gene-b1522	92
gene-b1523	58
gene-b1524	7
gene-b1525	145
gene-b1526	223
gene-b1527	3
gene-b1528	104
gene-b1529	989
gene-b1530	18
gene-b1531	28
gene-b1532	8
gene-b1533	224
gene-b1534	89
gene-b4599	4100
gene-b4698	4
gene-b1535	465
gene-b1536	368
gene-b1537	407
gene-b1538	411
gene-b1539	489
gene-b1540	2
gene-b1541	0
gene-b1542	19
gene-b1543	236
gene-b4748	36
gene-b1544	20
gene-b1545	59
gene-b1546	2
gene-b1547	2
gene-b1548	0
gene-b4533	1
gene-b1549	11
gene-b1550	6
gene-b1551	1
gene-b4749	0
gene-b4724	0
gene-b1552	0
gene-b1553	1
gene-b4689	1
gene-b1554	0
gene-b1555	0
gene-b1556	18
gene-b1557	2
gene-b1558	56
gene-b4750	136
gene-b1559	0
gene-b1560	36
gene-b1561	155
gene-b1562	18760
gene-b1563	27384
gene-b1564	12988
gene-b1565	2165
gene-b1566	48
gene-b1567	110
gene-b1568	1
gene-b1569	24
gene-b1570	47
gene-b1571	1
gene-b1572	0
gene-b1573	5
gene-b1574	93
gene-b1575	2
gene-b1576	2
gene-b4534	22
gene-b1580	2520
gene-b1581	1064
gene-b1582	60
gene-b1583	89
gene-b1584	553
gene-b1585	125
gene-b1586	3908
gene-b1587	34
gene-b1588	12
gene-b1589	2
gene-b1590	147
gene-b1591	172
gene-b1592	247
gene-b1593	1462
gene-b1594	232
gene-b1595	36
gene-b1596	112
gene-b1597	140
gene-b4601	74
gene-b1598	3109
gene-b1599	66
gene-b1600	1
gene-b1601	284
gene-b1602	5777
gene-b1603	1076
gene-b1604	155
gene-b1605	191
gene-b1606	157
gene-b1607	18
gene-b1608	95
gene-b1609	108
gene-b1610	339
gene-b1611	3103
gene-b1612	9041
gene-b1613	142
gene-b1614	6719
gene-b1615	46
gene-b1616	75
gene-b1617	237
gene-b1618	686
gene-b1619	5889
gene-b1620	270
gene-b1621	61
gene-b1622	146
gene-b1623	48
gene-b1624	2062
gene-b4409	18
gene-b1625	46
gene-b1626	76
gene-b1627	10
gene-b1628	44
gene-b1629	153
gene-b1630	37
gene-b1631	2
gene-b1632	8
gene-b1633	0
gene-b1634	287
gene-b1635	1009
gene-b1636	150
gene-b1637	1052
gene-b1638	28
gene-b1639	119
gene-b1640	697
gene-b1641	8888
gene-b1642	2140
gene-b1643	59
gene-b1644	52
gene-b1645	2762
gene-b1646	2461
gene-b1647	988
gene-b1648	300
gene-b1649	97
gene-b1650	138
gene-b1651	136
gene-b1652	2
gene-b1653	143
gene-b1654	1870
gene-b1655	124
gene-b1656	1987
gene-b1657	49
gene-b4602	122
gene-b1658	10
gene-b1659	294
gene-b1660	3
gene-b1661	5440
gene-b1662	241
gene-b1663	1027
gene-b1664	1700
gene-b1665	0
gene-b1666	1
gene-b1667	732
gene-b1668	1165
gene-b1669	54
gene-b1670	0
gene-b1671	35
gene-b1672	62
gene-b1673	3
gene-b1674	1
gene-b1675	70
gene-b1676	7338
gene-b1677	43506
gene-b1678	14735
gene-b1679	153
gene-b1680	1193
gene-b1681	2390
gene-b1682	1595
gene-b1683	4859
gene-b1684	1506
gene-b4430	13
gene-b1685	174
gene-b1686	256
gene-b1687	99
gene-b1688	1410
gene-b4431	6
gene-b1689	17
gene-b1690	2
gene-b1691	5
gene-b1692	1
gene-b1693	1
gene-b1694	10
gene-b1695	39
gene-b1696	43
gene-b1697	2
gene-b1698	123
gene-b1699	47
gene-b1700	1
gene-b1701	7
gene-b1702	5462
gene-b1703	101
gene-b1704	100
gene-b1705	1
gene-b1706	338
gene-b1707	73
gene-b1708	1068
gene-b1709	54
gene-b1710	315
gene-b1711	194
gene-b1712	83552
gene-b1713	17449
gene-b1714	196
gene-b1715	0
gene-b1716	8158
gene-b1717	10338
gene-b1718	61686
gene-b1719	20528
gene-b4535	0
gene-b1722	17
gene-b1723	846
gene-b1724	215
gene-b1725	5894
gene-b1726	4399
gene-b1727	282
gene-b1728	41
gene-b1729	1836
gene-b1730	178
gene-b1731	44
gene-b1732	668
gene-b1733	192
gene-b1734	61
gene-b1735	222
gene-b1736	50
gene-b1737	48
gene-b1738	94
gene-b1739	3936
gene-b1740	289
gene-b1741	71
gene-b1742	28
gene-b1743	964
gene-b1744	1264
gene-b1745	1079
gene-b1746	1885
gene-b1747	1864
gene-b1748	2739
gene-b1749	308
gene-b1750	24
gene-b1751	2
gene-b1752	23
gene-b1753	16
gene-b1754	32
gene-b1755	133
gene-b1756	26
gene-b1757	200
gene-b1758	83
gene-b1759	6
gene-b1760	4
gene-b1761	24
gene-b1762	4
gene-b1763	276
gene-b1764	1241
gene-b1765	427
gene-b1766	160
gene-b1767	154
gene-b1768	73
gene-b1769	81
gene-b1770	236
gene-b1771	41
gene-b1772	25
gene-b1773	8
gene-b1774	1
gene-b1775	4
gene-b1776	40
gene-b1777	781
gene-b1778	960
gene-b1779	16975
gene-b1780	36
gene-b1781	209
gene-b1782	174
gene-b1783	65267
gene-b1784	16165
gene-b1785	165
gene-b1786	53
gene-b1787	20
gene-b1788	0
gene-b1789	0
gene-b1790	78
gene-b1791	3
gene-b1792	175
gene-b1793	121
gene-b1794	322
gene-b4676	5
gene-b4675	4
gene-b1795	5080
gene-b1796	23
gene-b1797	16
gene-b1798	79
gene-b1799	190
gene-b1800	295
gene-b1801	0
gene-b1802	18
gene-b1803	67
gene-b1804	56
gene-b1805	14101
gene-b1806	14962
gene-b1807	152
gene-b1808	35
gene-b1809	1
gene-b1810	712
gene-b1811	107
gene-b1812	177
gene-b1813	268
gene-b1814	32678
gene-b1815	503
gene-b1816	348
gene-b4751	2
gene-b1817	4773
gene-b1818	7173
gene-b1819	11807
gene-b1820	183
gene-b1821	3
gene-b1822	163
gene-b1823	31345
gene-b1824	16414
gene-b1825	429
gene-b1826	74
gene-b4536	33
gene-b1827	3366
gene-b1828	132
gene-b1829	5137
gene-b1830	869
gene-b1831	824
gene-b1832	156
gene-b1833	164
gene-b1834	150
gene-b1835	40
gene-b1836	879
gene-b1837	414
gene-b1838	362
gene-b4432	1657
gene-b4433	866
gene-b1839	158
gene-b1840	76
gene-b1841	65
gene-b1842	82
gene-b1843	446
gene-b1844	36
gene-b1845	259
gene-b1846	491
gene-b1847	1014
gene-b1848	1158
gene-b1849	10
gene-b1850	673
gene-b1851	285
gene-b1852	1130
gene-b1853	865
gene-b1854	4930
gene-b1855	196
gene-b1856	2166
gene-b1857	3050
gene-b1858	2851
gene-b1859	796
gene-b1860	660
gene-b1861	770
gene-b4677	61
gene-b1862	92
gene-b1863	88
gene-b1864	326
gene-b1865	577
gene-b1866	1230
gene-b1867	86
gene-b1868	45
gene-b1869	83
gene-b1870	59
gene-b1871	243
gene-b1872	721
gene-b1873	182
gene-b4717	1237
gene-b1874	4715
gene-b1875	114
gene-b1876	529
gene-b1877	39
gene-b1878	2
gene-b1879	301
gene-b1880	3
gene-b1881	175
gene-b1882	71
gene-b1883	10
gene-b1884	15
gene-b1885	117
gene-b1886	99
gene-b1887	321
gene-b1888	162
gene-b1889	11
gene-b1890	42
gene-b1891	294
gene-b1892	12
gene-b1893	9
gene-b1894	1
gene-b1895	442
gene-b1896	7165
gene-b1897	1673
gene-b4460	1732
gene-b1900	1535
gene-b1901	1928
gene-b1902	664
gene-b4537	66
gene-b4663	86
gene-b1904	26
gene-b1905	180
gene-b1906	402
gene-b1907	570
gene-b1908	1295
gene-b1909	17
gene-b1910	15
gene-b1911	28
gene-b1912	575
gene-b1913	292
gene-b1914	158
gene-b4752	1
gene-b1915	2
gene-b1916	220
gene-b4719	14
gene-b1917	544
gene-b1918	273
gene-b1919	931
gene-b1920	3482
gene-b1921	64
gene-b1922	321
gene-b1923	3338
gene-b1924	31
gene-b1925	0
gene-b1926	2
gene-b1927	1205
gene-b1928	3728
gene-b1929	334
gene-b1930	79
gene-b1931	166
gene-b1932	61
gene-b1937	1
gene-b1938	40
gene-b1939	23
gene-b1940	3
gene-b1941	4
gene-b1942	3
gene-b1943	3
gene-b1944	4
gene-b1945	39
gene-b1946	47
gene-b1947	11
gene-b1948	6
gene-b1949	2
gene-b1950	4
gene-b1951	33
gene-b1952	72
gene-b1953	26000
gene-b1954	5081
gene-b1955	5867
gene-b1956	738
gene-b1957	2143
gene-b1958	2439
gene-b1959	14
gene-b1960	26
gene-b1961	13
gene-b1962	183
gene-b1963	158
gene-b4603	1
gene-b1967	24716
gene-b1968	18
gene-b1969	67
gene-b1970	1
gene-b1971	1391
gene-b1972	644
gene-b1973	1177
gene-b1974	1
gene-b1975	111
gene-b1976	2277
gene-b1977	143
gene-b1978	382
gene-b1981	361
gene-b1982	489
gene-b1983	247
gene-b1984	53
gene-b1985	340
gene-b1986	29
gene-b1987	121
gene-b1988	24
gene-b1989	12
gene-b1990	5830
gene-b1991	63
gene-b1992	165
gene-b1993	348
gene-b1994	4
gene-b1996	14
gene-b1997	2
gene-b4435	87
gene-b2000	269
gene-b2001	101
gene-b2002	58
gene-b2003	0
gene-b2004	44
gene-b2005	0
gene-b2006	0
gene-b4538	157
gene-b2007	802
gene-b2008	589
gene-b2009	3285
gene-b2010	391
gene-b2011	224
gene-b2012	381
gene-b2013	978
gene-b2014	73
gene-b4678	1
gene-b2015	4695
gene-b2016	4592
gene-b4539	2145
gene-b2017	2496
gene-b2018	0
gene-b2019	315
gene-b2020	389
gene-b2021	168
gene-b2022	549
gene-b2023	300
gene-b2024	240
gene-b2025	213
gene-b2026	283
gene-b2027	1756
gene-b2028	413
gene-b2029	7239
gene-b2030	49
gene-b2032	97
gene-b2033	397
gene-b2034	487
gene-b2035	276
gene-b2036	611
gene-b2037	142
gene-b2038	96
gene-b2039	202
gene-b2040	686
gene-b2041	421
gene-b2042	1901
gene-b2043	9
gene-b2044	4
gene-b2045	43
gene-b2046	29
gene-b2047	2
gene-b2048	26
gene-b2049	18
gene-b2050	1
gene-b2051	0
gene-b2052	2
gene-b2053	2
gene-b2054	1
gene-b2055	17
gene-b2056	2
gene-b2057	1
gene-b2058	1
gene-b2059	0
gene-b2060	4
gene-b2061	0
gene-b2062	0
gene-b2063	1119
gene-b2064	431
gene-b2065	393
gene-b2066	3
gene-b2067	207
gene-b2068	130
gene-b2069	114
gene-b2070	165
gene-b2071	0
gene-b2072	26
gene-b2073	74
gene-b4436	102
gene-b4667	67
gene-b4437	64
gene-b4668	44
gene-b2074	107
gene-b2075	41
gene-b2076	12
gene-b2077	148
gene-b2078	44
gene-b2079	356
gene-b2080	3186
gene-b2081	254
gene-b4438	122
gene-b2082	12
gene-b2085	6
gene-b2086	58034
gene-b2088	0
gene-b2089	14
gene-b2091	878
gene-b2093	570
gene-b2094	2446
gene-b2095	44195
gene-b2096	83949
gene-b2097	31911
gene-b2098	22
gene-b2099	61
gene-b2100	106
gene-b2101	194
gene-b2102	75
gene-b2103	200
gene-b2104	96
gene-b2105	36
gene-b2106	42
gene-b2107	12
gene-b2108	15
gene-b2109	82
gene-b2110	1
gene-b2111	2
gene-b2112	58
gene-b2113	1400
gene-b2114	257
gene-b2115	9
gene-b2118	144
gene-b4541	0
gene-b2119	1
gene-b2120	56
gene-b2121	41
gene-b2122	4
gene-b2123	1
gene-b2124	142
gene-b2125	177
gene-b2126	320
gene-b2127	476
gene-b4542	6
gene-b2128	0
gene-b2129	49
gene-b2130	87
gene-b2131	936
gene-b2132	221
gene-b2133	555
gene-b2134	362
gene-b2135	39560
gene-b2136	211
gene-b2137	533
gene-b4679	583
gene-b2140	24
gene-b2141	100
gene-b2142	204
gene-b2143	1712
gene-b2144	39
gene-b2145	0
gene-b2146	109
gene-b2147	206
gene-b2148	115
gene-b2149	209
gene-b2150	870
gene-b2151	152
gene-b2152	2
gene-b2153	93
gene-b2154	193
gene-b2155	251
gene-b2156	2734
gene-b2157	421
gene-b2158	151
gene-b2159	150
gene-b2160	6
gene-b2161	30
gene-b2162	81
gene-b2163	4
gene-b2164	146
gene-b2165	6
gene-b2166	3
gene-b2167	14221
gene-b2168	1908
gene-b2169	2709
gene-b2170	4
gene-b4502	4
gene-b2171	125
gene-b2172	1754
gene-b2173	58
gene-b2174	7
gene-b2175	281
gene-b2176	112
gene-b2177	35
gene-b2178	3
gene-b2179	2
gene-b2180	1175
gene-b2181	5583
gene-b2182	89
gene-b2183	288
gene-b2184	57
gene-b2185	0
gene-b2186	417
gene-b2187	12
gene-b2188	283
gene-b2189	2
gene-b2192	0
gene-b2193	431
gene-b2194	280
gene-b2195	40
gene-b2196	161
gene-b2197	23
gene-b2198	19
gene-b2199	48
gene-b2200	69
gene-b2201	1118
gene-b2202	365
gene-b2203	0
gene-b2204	28
gene-b2205	94
gene-b2206	80
gene-b2207	0
gene-b2208	0
gene-b4604	0
gene-b2209	616
gene-b2210	1015
gene-b2211	39
gene-b2212	89
gene-b2213	639
gene-b2214	0
gene-b2215	6314
gene-b4439	8
gene-b2216	1072
gene-b2217	2933
gene-b2218	1260
gene-b2219	1793
gene-b2220	317
gene-b2221	18
gene-b2222	0
gene-b2223	34
gene-b2224	81
gene-b2225	193
gene-b2226	85
gene-b2229	0
gene-b2230	69
gene-b2231	537
gene-b2232	50
gene-b2233	220
gene-b4605	1
gene-b2234	238
gene-b2235	702
gene-b2236	284
gene-b2237	492
gene-b2239	6344
gene-b2240	6289
gene-b2241	19994
gene-b2242	14241
gene-b2243	6534
gene-b2244	8
gene-b2245	16
gene-b2246	2
gene-b2247	165
gene-b2248	85
gene-b2249	372
gene-b2250	159
gene-b2251	34
gene-b2252	13
gene-b2253	9
gene-b2254	31
gene-b2255	44
gene-b2256	31
gene-b2257	85
gene-b4544	188
gene-b2258	26
gene-b2259	71
gene-b2260	189
gene-b2261	260
gene-b2262	79
gene-b2263	73
gene-b2264	93
gene-b2265	96
gene-b2266	4271
gene-b2267	37
gene-b2268	52
gene-b2269	5
gene-b2270	3
gene-b2271	16
gene-b2272	8
gene-b2273	0
gene-b2274	2
gene-b2275	37
gene-b2276	1099
gene-b2277	203
gene-b2278	1004
gene-b2279	81
gene-b2280	172
gene-b2281	77
gene-b2282	455
gene-b2283	1488
gene-b2284	342
gene-b2285	138
gene-b2286	1073
gene-b2287	162
gene-b2288	230
gene-b2289	9214
gene-b2290	314
gene-b2291	47
gene-b2292	279
gene-b2293	3323
gene-b2294	1257
gene-b2295	10643
gene-b2296	3455
gene-b2297	2698
gene-b2298	44
gene-b2299	67
gene-b2300	178
gene-b2301	39
gene-b2302	155
gene-b2303	1123
gene-b2304	2314
gene-b2305	427
gene-b2306	89
gene-b2307	72
gene-b2308	58
gene-b2309	525
gene-b2310	885
gene-b2311	2
gene-b2312	195
gene-b2313	31
gene-b2314	1877
gene-b2315	1365
gene-b2316	1512
gene-b2317	198
gene-b2318	2712
gene-b2319	210
gene-b2320	925
gene-b2321	3
gene-b2322	49
gene-b2323	1357
gene-b2324	65
gene-b2325	49
gene-b2326	102
gene-b2327	24
gene-b2328	8
gene-b2329	176
gene-b2330	63
gene-b2331	498
gene-b2332	558
gene-b2333	32
gene-b2334	2
gene-b2335	2
gene-b2336	2
gene-b2339	0
gene-b2340	13695
gene-b2341	1743
gene-b2342	759
gene-b2343	2939
gene-b2344	782
gene-b2345	29
gene-b2346	1711
gene-b2347	289
gene-b2348	14
gene-b2349	20
gene-b2350	12
gene-b2351	10
gene-b2352	16
gene-b2354	313
gene-b2356	0
gene-b2357	0
gene-b2358	1
gene-b2359	2
gene-b2360	17
gene-b2361	9
gene-b2362	0
gene-b2363	37
gene-b4545	30
gene-b4501	543
gene-b2364	213
gene-b2365	57
gene-b2366	46
gene-b2367	77
gene-b2368	129
gene-b2369	29
gene-b2370	239
gene-b2371	72
gene-b2372	6
gene-b2373	67
gene-b2374	2
gene-b2375	12
gene-b2376	38
gene-b2377	2487
gene-b2378	70
gene-b4680	2
gene-b2379	280
gene-b2380	147
gene-b2381	490
gene-b2382	170
gene-b2383	58
gene-b2384	46
gene-b2385	4
gene-b2386	2
gene-b2387	0
gene-b2388	1522
gene-b2389	276
gene-b2390	1493
gene-b2392	24021
gene-b2393	72
gene-b2394	3
gene-b2395	28
gene-b2396	0
gene-b2397	0
gene-b2398	492
gene-b2399	357
gene-b2400	714
gene-b2401	2
gene-b2402	1
gene-b2403	18
gene-b2404	10
gene-b2405	100
gene-b2406	48
gene-b2407	1
gene-b2408	290
gene-b2409	47
gene-b2410	1034
gene-b4546	109
gene-b2411	486
gene-b2412	3049
gene-b2413	257
gene-b2414	2882
gene-b2415	2923
gene-b2416	11731
gene-b2417	73991
gene-b2418	552
gene-b2419	15
gene-b2420	46
gene-b2421	75
gene-b2422	624
gene-b2423	699
gene-b2424	430
gene-b2425	420
gene-b2426	8840
gene-b2427	2
gene-b2428	25
gene-b2429	31
gene-b2430	74
gene-b2431	751
gene-b2432	56
gene-b2433	48
gene-b2434	61
gene-b2435	219
gene-b2436	49
gene-b2437	92
gene-b2438	146
gene-b2439	85
gene-b2440	278
gene-b2441	344
gene-b2442	44
gene-b2443	790
gene-b2444	0
gene-b2445	36
gene-b2446	190
gene-b2447	0
gene-b2448	2
gene-b2449	683
gene-b2450	381
gene-b2451	61
gene-b2452	0
gene-b2453	28
gene-b2454	8
gene-b2455	0
gene-b2456	0
gene-b2457	15
gene-b2458	44
gene-b2459	27
gene-b2460	0
gene-b2461	95
gene-b2462	68
gene-b2463	4472
gene-b2464	5540
gene-b2465	10150
gene-b2466	486
gene-b2467	7
gene-b2468	60
gene-b2469	197
gene-b2470	91
gene-b4606	860
gene-b2471	270
gene-b2472	2081
gene-b4547	12437
gene-b2473	697
gene-b2474	1030
gene-b2475	2806
gene-b2476	27
gene-b2477	2222
gene-b2478	759
gene-b2479	5093
gene-b2480	234
gene-b2481	0
gene-b2482	6
gene-b2483	6
gene-b2484	62
gene-b2485	1
gene-b2486	166
gene-b2487	105
gene-b2488	0
gene-b2489	16
gene-b2490	2
gene-b2491	15
gene-b2492	60
gene-b2493	298
gene-b2494	954
gene-b2495	120
gene-b2496	139
gene-b2497	51
gene-b2498	28
gene-b2499	12
gene-b2500	83
gene-b2501	1122
gene-b2502	639
gene-b2503	44
gene-b2504	182
gene-b2505	2
gene-b2506	94
gene-b2507	363
gene-b2508	47
gene-b2509	102
gene-b2510	11
gene-b2511	1414
gene-b2512	9304
gene-b2513	299
gene-b2514	574
gene-b2515	5092
gene-b2516	3109
gene-b2517	435
gene-b2518	19
gene-b2519	253
gene-b2520	3117
gene-b2521	986
gene-b4440	147
gene-b2522	72
gene-b2523	407
gene-b2524	69
gene-b2525	308
gene-b2526	671
gene-b2527	322
gene-b2528	3539
gene-b2529	6103
gene-b2530	6479
gene-b2531	1321
gene-b2532	2600
gene-b2533	106
gene-b2534	0
gene-b2535	4785
gene-b2536	375
gene-b4706	30
gene-b2537	200
gene-b2538	19
gene-b2539	0
gene-b2540	2
gene-b2541	42
gene-b2542	106
gene-b2543	514
gene-b2544	20
gene-b2545	32
gene-b2546	22
gene-b2547	136
gene-b2548	32
gene-b2549	5
gene-b2550	81
gene-b2551	164
gene-b2552	210
gene-b2553	12
gene-b2554	56
gene-b2555	115
gene-b2556	761
gene-b4441	226
gene-b2557	124
gene-b2558	6
gene-b2559	15
gene-b2560	146
gene-b2561	53
gene-b2562	4
gene-b4687	70
gene-b4608	17
gene-b2563	93
gene-b2564	274
gene-b2565	668
gene-b2566	5376
gene-b2567	1962
gene-b2568	1452
gene-b2569	359
gene-b2570	351
gene-b2571	14739
gene-b2572	59264
gene-b2573	23294
gene-b4725	968
gene-b2574	23
gene-b2575	17
gene-b2576	75
gene-b2577	103
gene-b2578	452
gene-b2579	1755
gene-b2580	91
gene-b2581	448
gene-b2582	1988
gene-b2583	50
gene-b2584	5640
gene-b2585	2716
gene-b2586	1023
gene-b2587	33762
gene-b2588	37
gene-b2589	3165
gene-b2590	577
gene-b2591	107612
gene-b2592	78793
gene-b4609	758
gene-b2593	124
gene-b2594	267
gene-b2595	672
gene-b2597	5536
gene-b2598	31
gene-b2599	413
gene-b2600	687
gene-b2601	1002
gene-b2602	328
gene-b2603	319
gene-b2604	76
gene-b2605	11
gene-b2606	6087
gene-b2607	4655
gene-b2608	1555
gene-b2609	1149
gene-b2610	2789
gene-b2611	30
gene-b4461	116
gene-b2614	3797
gene-b2615	199
gene-b2616	9304
gene-b2617	2724
gene-b2618	385
gene-b2619	555
gene-b2620	59
gene-b2621	2056533
gene-b2622	646
gene-b2623	7
gene-b2624	2
gene-b2625	2
gene-b2626	6
gene-b2627	240
gene-b2628	482
gene-b2629	6
gene-b2630	20623
gene-b2631	9172
gene-b2632	41
gene-b2633	32
gene-b2634	30
gene-b2635	0
gene-b2636	46
gene-b2637	203
gene-b2638	82
gene-b2642	14
gene-b2643	18
gene-b2644	1
gene-b4548	0
gene-b2645	7
gene-b2646	2
gene-b2647	5079
gene-b2649	2
gene-b2650	2
gene-b2652	0
gene-b2659	818
gene-b2660	142
gene-b2661	313
gene-b2662	509
gene-b2663	13
gene-b2664	1824
gene-b2665	4162
gene-b2666	493
gene-b2667	10
gene-b2668	2
gene-b2669	254
gene-b2670	3192
gene-b2671	681
gene-b2672	30159
gene-b2673	57
gene-b2674	204
gene-b2675	112
gene-b2676	42
gene-b2677	88
gene-b2678	106
gene-b2679	100
gene-b2682	34
gene-b2683	10
gene-b2684	88
gene-b2685	90
gene-b2686	1801
gene-b2687	9302
gene-b4442	636
gene-b2688	2827
gene-b2689	130
gene-b2690	120
gene-b2691	31
gene-b2692	20
gene-b2693	156
gene-b2694	67
gene-b2695	102
gene-b2696	5817
gene-b2697	806
gene-b2698	77
gene-b2699	9011
gene-b2700	25
gene-b2701	8
gene-b2702	277
gene-b2703	291
gene-b2704	157
gene-b2705	537
gene-b2706	10
gene-b2707	125
gene-b2708	177
gene-b2709	592
gene-b2710	106
gene-b2711	94
gene-b2712	295
gene-b2713	96
gene-b2714	76
gene-b2715	296
gene-b2716	164
gene-b2717	2380
gene-b2718	1018
gene-b2719	153
gene-b2720	1
gene-b2721	1
gene-b2722	2
gene-b2723	6
gene-b2724	0
gene-b2725	1
gene-b2726	64
gene-b2727	35
gene-b2728	4
gene-b2729	207
gene-b2730	2249
gene-b2731	381
gene-b2732	482
gene-b2733	60
gene-b2734	64
gene-b2735	736
gene-b2736	533
gene-b2737	716
gene-b2738	320
gene-b2739	200
gene-b2740	46
gene-b2741	77631
gene-b2742	9041
gene-b2743	1235
gene-b2744	333
gene-b2745	362
gene-b2746	36
gene-b2747	249
gene-b2748	280
gene-b2749	43
gene-b2750	149
gene-b2751	793
gene-b2752	329
gene-b2753	84
gene-b2754	51
gene-b2755	258
gene-b2756	254
gene-b2757	18
gene-b2758	28
gene-b2759	4
gene-b2760	4
gene-b2761	205
gene-b4701	0
gene-b2762	342
gene-b2763	514
gene-b2764	519
gene-b2765	0
gene-b2766	16
gene-b2767	1
gene-b2768	49
gene-b2769	2
gene-b2770	2
gene-b2771	2
gene-b4463	7
gene-b2774	2
gene-b2775	10
gene-b2776	118
gene-b2777	2351
gene-b4682	1
gene-b2778	3
gene-b2779	18546
gene-b2780	6266
gene-b2781	1045
gene-b2782	316
gene-b2783	460
gene-b2784	1129
gene-b2785	453
gene-b2786	220
gene-b2787	71
gene-b2788	9
gene-b2789	227
gene-b2790	268
gene-b2791	4
gene-b2792	6
gene-b4408	3611
gene-b2793	42
gene-b2794	92
gene-b2795	838
gene-b2796	883
gene-b2797	340
gene-b2798	17
gene-b2799	1228
gene-b2800	75
gene-b2801	121
gene-b2802	295
gene-b2803	207
gene-b2804	210
gene-b2805	179
gene-b2806	1263
gene-b2807	289
gene-b2808	299
gene-b4443	81
gene-b2809	125
gene-b2810	277
gene-b2811	756
gene-b2812	399
gene-b2813	270
gene-b2814	0
gene-b2815	0
gene-b2816	0
gene-b2817	4
gene-b2818	50
gene-b2819	354
gene-b2820	139
gene-b2821	133
gene-b2822	589
gene-b2823	56
gene-b2824	41
gene-b2825	93
gene-b2826	61
gene-b2827	147
gene-b2828	273
gene-b2829	598
gene-b2830	1471
gene-b4610	0
gene-b2831	30
gene-b2832	186
gene-b2833	169
gene-b2834	495
gene-b2835	817
gene-b2836	407
gene-b4444	6
gene-b4445	0
gene-b2837	269
gene-b2838	65
gene-b2839	165
gene-b2840	29
gene-b2841	1413
gene-b2842	118
gene-b2843	74
gene-b2844	1098
gene-b2845	17
gene-b2846	3
gene-b2847	4
gene-b2848	6
gene-b4683	1
gene-b2849	2
gene-b2851	0
gene-b2852	39
gene-b2853	0
gene-b2860	3
gene-b2861	0
gene-b2863	74
gene-b2864	0
gene-b2865	128
gene-b2866	169
gene-b2867	64
gene-b2868	64
gene-b2869	1095
gene-b2870	21
gene-b2871	84
gene-b2872	110
gene-b2873	32
gene-b2874	103
gene-b2875	623
gene-b2876	271
gene-b2877	623
gene-b2878	223
gene-b2879	3
gene-b2880	22
gene-b2881	182
gene-b2882	167
gene-b2883	17
gene-b4464	59
gene-b2886	90
gene-b2887	30
gene-b2888	3
gene-b4684	0
gene-b4753	0
gene-b2889	391
gene-b2890	272
gene-b2891	120
gene-b2892	307
gene-b2893	131
gene-b2894	287
gene-b2895	880
gene-b2896	454
gene-b2897	281
gene-b2898	1559
gene-b2899	712
gene-b2900	83
gene-b2901	417
gene-b2902	57
gene-b2903	475
gene-b2904	441
gene-b2905	167
gene-b4754	2
gene-b2906	436
gene-b2907	1432
gene-b2908	2027
gene-b2909	1822
gene-b2910	13204
gene-b2911	29195
gene-b2912	703
gene-b4446	34
gene-b4665	26
gene-b2913	1592
gene-b2914	843
gene-b2916	54
gene-b2917	94
gene-b2918	0
gene-b2919	1
gene-b2920	57
gene-b2921	63
gene-b2922	718
gene-b2923	128
gene-b2924	567
gene-b2925	11449
gene-b2926	10059
gene-b2927	1599
gene-b2928	138
gene-b2929	403
gene-b2930	88
gene-b4465	153
gene-b2933	148
gene-b2934	0
gene-b2935	630
gene-b2936	7364
gene-b2937	966
gene-b2938	18842
gene-b2939	154
gene-b2940	24
gene-b2941	3
gene-b2942	52
gene-b2943	139
gene-b2944	2
gene-b2945	49
gene-b2946	54
gene-b2947	978
gene-b2948	49
gene-b2949	21
gene-b2950	87
gene-b2951	103
gene-b2952	10
gene-b2953	3
gene-b2954	106
gene-b2955	35
gene-b2956	19
gene-b2957	59
gene-b2958	579
gene-b2959	973
gene-b2960	1065
gene-b2961	57
gene-b2962	13
gene-b2963	23
gene-b2964	2104
gene-b2965	105
gene-b2966	182
gene-b2967	0
gene-b2968	2
gene-b2971	1
gene-b2972	0
gene-b4466	828
gene-b2975	328
gene-b2976	683
gene-b2977	116
gene-b4467	131
gene-b4468	49
gene-b2979	102
gene-b2980	3759
gene-b2981	185
gene-b2982	28
gene-b2983	23
gene-b2984	1
gene-b2985	0
gene-b2986	1
gene-b2987	40
gene-b2988	1409
gene-b2989	303
gene-b2990	0
gene-b2991	54
gene-b2992	301
gene-b2993	164
gene-b2994	455
gene-b2995	81
gene-b2996	240
gene-b2997	349
gene-b2998	2
gene-b4755	366
gene-b3001	7877
gene-b3002	305
gene-b3003	478
gene-b3005	1994
gene-b3006	1667
gene-b3008	166
gene-b3009	1781
gene-b3010	1007
gene-b3011	988
gene-b3012	3146
gene-b3013	44
gene-b3014	2
gene-b4469	27
gene-b3017	78
gene-b3018	33
gene-b3019	337
gene-b3020	287
gene-b3021	2332
gene-b3022	669
gene-b3023	189
gene-b3024	4418
gene-b3025	19
