Geneid	1714__30min_LEVO_N=2_library-read-1.fastq.gz
gene-b0001	1331
gene-b0002	549
gene-b0003	1205
gene-b0004	755
gene-b0005	50
gene-b0006	86
gene-b0007	101
gene-b0008	15278
gene-b0009	313
gene-b0010	521
gene-b0011	86
gene-b0012	67
gene-b0013	12
gene-b0014	365362
gene-b0015	16625
gene-b0016	136
gene-b4412	504
gene-b0018	554
gene-b4413	168
gene-b0019	10865
gene-b0020	640
gene-b0021	7
gene-b0022	2
gene-b0023	594
gene-b0024	414
gene-b0025	1074
gene-b0026	12274
gene-b0027	1961
gene-b0028	499
gene-b0029	931
gene-b0030	258
gene-b0031	675
gene-b0032	44
gene-b0033	192
gene-b0034	67
gene-b0035	12
gene-b0036	10
gene-b0037	530
gene-b0038	359
gene-b0039	496
gene-b0040	1
gene-b0041	2
gene-b0042	33
gene-b0043	14
gene-b0044	3
gene-b0045	84
gene-b0046	157
gene-b0047	270
gene-b0048	1529
gene-b0049	432
gene-b0050	1590
gene-b0051	2494
gene-b0052	275
gene-b0053	4131
gene-b0054	7872
gene-b0055	350
gene-b0056	1225
gene-b0057	795
gene-b0058	1752
gene-b0059	5521
gene-b0060	2404
gene-b0061	236
gene-b0062	1790
gene-b0063	1995
gene-b0064	2057
gene-b0065	3351
gene-b0066	616
gene-b0067	5
gene-b0068	148
gene-b0069	319
gene-b4577	91
gene-b4662	56
gene-b0070	572
gene-b0071	1205
gene-b0072	511
gene-b0073	454
gene-b0074	276
gene-b0075	0
gene-b0076	141
gene-b4726	0
gene-b0077	234
gene-b0078	123
gene-b0080	2496
gene-b0081	2224
gene-b0082	7028
gene-b0083	2598
gene-b0084	282
gene-b0085	246
gene-b0086	172
gene-b0087	273
gene-b0088	207
gene-b0089	291
gene-b0090	357
gene-b0091	323
gene-b0092	1294
gene-b0093	3400
gene-b0094	5960
gene-b0095	14465
gene-b0096	254650
gene-b0097	2281
gene-b0098	7228
gene-b0099	182
gene-b0101	259
gene-b0102	855
gene-b0103	802
gene-b4727	0
gene-b0104	254
gene-b0106	46
gene-b0107	78
gene-b0108	28
gene-b0109	339
gene-b0110	333
gene-b0111	616
gene-b0112	1358
gene-b0113	807
gene-b0114	16078
gene-b0115	6899
gene-b0116	7553
gene-b0117	76
gene-b0118	15965
gene-b0119	8481
