Geneid	1714__30min_LEVO_N=2_library-read-1.fastq.gz
gene-b0120	788
gene-b0121	210
gene-b0122	279
gene-b0123	427
gene-b0124	7682
gene-b0125	245
gene-b0126	498
gene-b0127	384
gene-b0128	654
gene-b0129	317
gene-b0130	227
gene-b0131	744
gene-b0132	455
gene-b0133	1740
gene-b0134	749
gene-b0135	32
gene-b0136	9
gene-b0137	166
gene-b0138	0
gene-b0139	110
gene-b0140	37
gene-b0141	3
gene-b0142	11
gene-b0143	444
gene-b0144	527
gene-b0145	11436
gene-b0146	22603
gene-b0147	43
gene-b0148	3406
gene-b0149	2446
gene-b0150	6637
gene-b0151	665
gene-b0152	117
gene-b0153	647
gene-b0154	4910
gene-b0155	4013
gene-b4728	4502
gene-b0156	21763
gene-b0157	247
gene-b0158	270
gene-b0159	3850
gene-b0160	204
gene-b0161	2724
gene-b0162	200
gene-b0163	1761
gene-b0164	20
gene-b0166	847
gene-b0167	1709
gene-b0168	2089
gene-b4414	956
gene-b0169	21888
gene-b0170	4760
gene-b0171	2012
gene-b0172	6728
gene-b0173	904
gene-b0174	168
gene-b0175	843
gene-b0176	1953
gene-b0177	3781
gene-b0178	5878
gene-b0179	4959
gene-b0180	4919
gene-b0181	4179
gene-b0182	925
gene-b0183	87
gene-b0184	2593
gene-b0185	1897
gene-b0186	1266
gene-b0187	256
gene-b0188	490
gene-b0189	3504
gene-b4406	3951
gene-b0190	163
gene-b0191	318
gene-b0192	632
gene-b0193	96
gene-b0194	5254
gene-b0195	145
gene-b0196	166
gene-b0197	422
gene-b0198	88
gene-b0199	67
gene-b0200	346
gene-b0201	135581
gene-b0202	1
gene-b0203	1
gene-b0204	283183
gene-b0205	96
gene-b0206	221
gene-b0207	527
gene-b0208	536
gene-b0209	4344
gene-b0210	477
gene-b0211	674
gene-b0212	75
gene-b0213	289
gene-b0214	258
gene-b0215	1258
gene-b0216	51
gene-b0217	34
gene-b4586	7
gene-b0219	1242
gene-b0220	162
gene-b0221	12998
gene-b0222	696
gene-b0223	748
gene-b0224	538
gene-b0225	4328
gene-b0226	4460
gene-b0227	88
gene-b0228	84
gene-b0231	1950
gene-b0232	301
gene-b0233	219
gene-b0234	32
gene-b0237	1943
gene-b0238	158
gene-b0239	1206
gene-b4710	489
gene-b4709	0
gene-b0241	12
gene-b0242	2259
gene-b0243	1592
gene-b0244	70
gene-b0245	64
gene-b0246	31
gene-b4504	8
gene-b0247	35
gene-b0248	72
gene-b0249	99
gene-b0250	2894
gene-b0251	114
gene-b0252	152
gene-b0253	490
gene-b0254	53
gene-b0256	375
gene-b4690	14
gene-b0258	114
gene-b0259	34
gene-b0260	106
gene-b0261	675
gene-b0262	31
gene-b0264	0
gene-b0265	4
gene-b0266	107
gene-b0267	23
gene-b0268	357
gene-b0269	711
gene-b0270	87
gene-b0271	160
gene-b0272	47
gene-b0273	192
gene-b4688	19
gene-b0274	26
gene-b0275	0
gene-b0276	860
gene-b0277	495
gene-b0278	33
gene-b0279	3
gene-b4729	14
gene-b0280	570
gene-b0281	545
gene-b0282	144
gene-b0283	476
gene-b0284	505
gene-b0285	241
gene-b0286	104
gene-b0287	151
gene-b0288	254
gene-b0289	78
gene-b0290	323
gene-b0291	129
gene-b0292	110
gene-b0293	26
gene-b0294	12
gene-b0295	5366
gene-b4506	8690
gene-b0296	10423
gene-b4671	71
gene-b0298	2
gene-b0299	1
gene-b0301	11
gene-b0303	13
gene-b0304	96
gene-b0305	23
gene-b0306	105
gene-b0307	317
gene-b0308	360
gene-b0310	14
gene-b0311	225
gene-b0312	1005
gene-b0313	418
gene-b0314	1372
gene-b4730	2
gene-b0315	101
gene-b0316	45
gene-b0317	57
gene-b0318	26
gene-b0319	61
gene-b0320	25
gene-b0321	50
gene-b0322	49
gene-b0323	43
gene-b0324	453
gene-b0325	2539
gene-b0326	10
gene-b0327	118
gene-b0328	322
gene-b0329	53406
gene-b0330	882
gene-b0331	24263
gene-b0333	12299
gene-b0334	5619
gene-b0335	3634
gene-b0336	61
gene-b0337	357
gene-b0338	63
gene-b0339	59
gene-b0340	93
gene-b0341	38
gene-b0342	44
gene-b0343	84
gene-b0344	257
gene-b0345	795
gene-b0346	4456
gene-b0347	55
gene-b0348	49
gene-b0349	17
gene-b0350	26
gene-b0351	230
gene-b0352	277
gene-b0353	608
gene-b0354	349
gene-b0355	195
gene-b0356	412
gene-b0357	98
gene-b0358	527
gene-b0360	0
gene-b0361	14
gene-b0363	294
gene-b4731	1
gene-b0364	0
gene-b0365	134
gene-b0366	107
gene-b0367	102
gene-b0368	75
gene-b0369	1424
gene-b0372	9
gene-b0373	8
gene-b0375	21
gene-b0376	305
gene-b0377	554
gene-b0378	539
gene-b0379	105
gene-b0380	1869
gene-b0381	2258
gene-b0382	449
gene-b0383	525
gene-b0384	1803
gene-b0385	21905
gene-b0386	227
gene-b0387	34
gene-b0388	248
gene-b0389	776
gene-b0390	174
gene-b0391	917
gene-b4732	23
gene-b0393	481
gene-b0394	920
gene-b0396	752
gene-b0397	190
gene-b0398	175
gene-b0399	652
gene-b0400	287
gene-b0401	19601
gene-b0402	1891
gene-b0403	347
gene-b0404	273
gene-b0405	151
gene-b0406	192
gene-b0407	1456
gene-b0408	1828
gene-b0409	3890
gene-b0410	277
gene-b0411	1741
gene-b0412	173
gene-b0413	1426
gene-b0414	2617
gene-b0415	943
gene-b0416	2903
gene-b0417	469
gene-b0418	627
gene-b0419	6654
gene-b0420	389
gene-b0421	630
gene-b0422	171
gene-b0423	471
gene-b0424	1159
gene-b0425	1224
gene-b0426	8278
gene-b0427	146
gene-b0428	1766
gene-b0429	833
gene-b0430	1902
gene-b0431	3799
gene-b0432	1086
gene-b0433	84
gene-b0434	140
gene-b0435	10497
gene-b0436	764
gene-b0437	5726
gene-b0438	76946
gene-b0439	16555
gene-b0440	209
gene-b0441	2085
gene-b0442	228
gene-b0443	126
gene-b0444	603
gene-b0445	1463
gene-b0446	1706
gene-b0447	732
gene-b0448	648
gene-b0449	610
gene-b0450	3
gene-b0451	165
gene-b0452	368
gene-b0453	2732
gene-b0454	572
gene-b0455	41
gene-b0456	139
gene-b0457	331
gene-b0458	2004
gene-b0459	391
gene-b0460	1166
gene-b0461	1492
gene-b0462	2566
gene-b0463	805
gene-b0464	410
gene-b0465	1895
gene-b0466	259
gene-b0467	608
gene-b0468	191
gene-b0469	90
gene-b0470	283
gene-b0471	972
gene-b0472	522
gene-b0473	35395
gene-b0474	307
gene-b0475	540
gene-b0476	547
gene-b0477	200
gene-b0478	3903
gene-b0479	82
gene-b0480	952
gene-b0481	113
gene-b4585	27
gene-b0482	72
gene-b0483	1146
gene-b0484	4463
gene-b0485	1189
gene-b0486	938
gene-b0487	673
gene-b0488	2643
gene-b0489	6169
gene-b0490	54
gene-b0491	215
gene-b0492	4608
gene-b0493	114
gene-b0494	2587
gene-b0495	909
gene-b0496	318
gene-b0497	579
gene-b0498	3
gene-b0502	122
gene-b0503	121
gene-b0504	35
gene-b0505	121
gene-b0506	10761
gene-b0507	116
gene-b0508	64
gene-b0509	0
gene-b0511	86
gene-b0512	117
gene-b0513	127
gene-b0514	161
gene-b0515	69
gene-b0516	51
gene-b0517	32
gene-b0518	9
gene-b4572	58
gene-b0520	32
gene-b0521	159
gene-b0522	32
gene-b0523	1
gene-b0524	1032
gene-b0525	3383
gene-b0526	264
gene-b0527	30
gene-b0528	574
gene-b0529	1355
gene-b0530	122
gene-b0531	2
gene-b0532	17
gene-b0533	33
gene-b0534	4
gene-b0535	40
gene-b0536	211
gene-b0537	419
gene-b0540	3
gene-b0541	29
gene-b0543	283
gene-b4733	104
gene-b0544	6
gene-b0545	303
gene-b0546	367
gene-b4588	48
gene-b0547	2
gene-b0548	2
gene-b0549	1
gene-b0550	12
gene-b4509	0
gene-b0551	0
gene-b0552	102
gene-b0554	65
gene-b0555	184
gene-b0556	42
gene-b4510	17
gene-b0557	45
gene-b0558	10
gene-b0559	15
gene-b4589	2
gene-b0560	25
gene-b0561	20
gene-b0563	16
gene-b0564	423
gene-b0565	2166
gene-b0566	20
gene-b0567	206
gene-b0568	473
gene-b0569	904
gene-b0570	139
gene-b0571	250
gene-b0572	38
gene-b0573	16
gene-b0574	23
gene-b0575	124
gene-b0576	136
gene-b0577	526
gene-b0578	563
gene-b0579	526
gene-b0580	948
gene-b0581	3978
gene-b4700	35
gene-b4415	8
gene-b0582	48
gene-b0583	42
gene-b0584	805
gene-b0585	1614
gene-b4511	221
gene-b0586	2516
gene-b0587	3
gene-b0588	60
gene-b0589	50
gene-b0590	161
gene-b0591	235
gene-b0592	601
gene-b0593	651
gene-b0594	515
gene-b0595	343
gene-b0596	481
gene-b0597	134
gene-b0598	26144
gene-b4512	482
gene-b0599	880
gene-b0600	51
gene-b0601	58
gene-b0602	134
gene-b0603	52
gene-b0604	117
gene-b0605	3736
gene-b0606	2734
gene-b0607	9427
gene-b0608	356
gene-b4734	78
gene-b0610	293
gene-b0611	1824
gene-b0612	42
gene-b0613	5
gene-b0614	45
gene-b0615	4
gene-b0616	2
gene-b0617	1
gene-b0618	40
gene-b0619	308
gene-b0620	88
gene-b0621	114
gene-b0622	22
gene-b0623	69982
gene-b0624	415
gene-b0627	485
gene-b0628	2373
gene-b0629	156
gene-b0630	102
gene-b0631	10704
gene-b0632	242
gene-b0633	1637
gene-b0634	716
gene-b0635	266
gene-b0636	90
gene-b0637	46
gene-b0638	62
gene-b0639	188
gene-b0640	731
gene-b0641	7036
gene-b0642	20899
gene-b0643	10826
gene-b0644	1339
gene-b0645	1
gene-b0646	26
gene-b0647	0
gene-b0648	5
gene-b0649	105
gene-b0650	52
gene-b0651	140
gene-b0652	108
gene-b0653	63
gene-b0654	99
gene-b0655	4946
gene-b0656	22
gene-b0657	1847
gene-b0658	6590
gene-b0659	2947
gene-b0660	8862
gene-b0661	2258
gene-b0662	7956
gene-b0664	78
gene-b0665	62
gene-b0666	626
gene-b0668	821
gene-b0670	570
gene-b0672	638
gene-b0673	358
gene-b0674	693
gene-b0675	409
gene-b0676	1786
gene-b0677	3208
gene-b0678	2590
gene-b0679	3958
gene-b0680	2148
gene-b0681	51
gene-b0682	31
gene-b0683	4667
gene-b4637	759
gene-b0684	1077
gene-b0685	33
gene-b0686	123
gene-b0687	1386
gene-b0688	5782
gene-b0689	21
gene-b0692	334
gene-b0693	43
gene-b4590	0
gene-b0694	1122
gene-b0695	4939
gene-b0696	293
gene-b0697	101
gene-b0698	56
gene-b4513	2
gene-b0699	1109
gene-b0700	214
gene-b0702	0
gene-b0704	33
gene-b4514	0
gene-b0706	4
gene-b0707	264
gene-b0708	376
gene-b0709	116
gene-b0710	747
gene-b0711	788
gene-b0712	799
gene-b0713	305
gene-b0714	124
gene-b0715	43
gene-b0716	241
gene-b0717	132
gene-b0718	54
gene-b0719	8
gene-b0720	30601
gene-b4735	1594
gene-b0721	2240
gene-b0722	1782
gene-b0723	4747
gene-b0724	1413
gene-b0726	7714
gene-b0727	3442
gene-b0728	2862
gene-b0729	3226
gene-b0730	95
gene-b0731	54
gene-b0732	380
gene-b0733	22227
gene-b0734	20362
gene-b4515	2434
gene-b0735	1731
gene-b0736	254
gene-b0737	670
gene-b0738	565
gene-b0739	1170
gene-b0740	3891
gene-b0741	4116
gene-b0742	3795
gene-b0743	466
gene-b0744	216
gene-b0745	242
gene-b0746	119
gene-b0747	129
gene-b0748	134
gene-b0749	72
gene-b0750	227
gene-b0751	2061
gene-b0752	1429
gene-b0753	1273
gene-b0754	675
gene-b0755	54792
gene-b0756	2559
gene-b0757	2526
gene-b0758	2212
gene-b0759	2461
gene-b0760	214
gene-b0761	97
gene-b0762	94
gene-b0763	161
gene-b0764	74
gene-b0765	247
gene-b0766	123
gene-b0767	559
gene-b0768	24
gene-b0769	0
gene-b0770	45
gene-b0771	97
gene-b0772	248
gene-b0773	1801
gene-b0774	1611
gene-b0775	1301
gene-b0776	499
gene-b0777	61
gene-b0778	27
gene-b0779	15822
gene-b0780	412
gene-b0781	1924
gene-b0782	1614
gene-b0783	1729
gene-b0784	758
gene-b0785	864
gene-b0786	15728
gene-b0787	18
gene-b0788	102
gene-b0789	568
gene-b0790	443
gene-b0791	7647
gene-b0792	1997
gene-b0793	145
gene-b0794	314
gene-b0795	340
gene-b0796	144
gene-b0797	89
gene-b0798	107
gene-b0799	1999
gene-b0800	2562
gene-b0801	673
gene-b0802	2675
gene-b0803	221
gene-b0804	141
gene-b0805	238
gene-b0806	7827
gene-b0807	186
gene-b0808	690
gene-b0809	980
gene-b0810	863
gene-b0811	5814
gene-b0812	115284
gene-b0813	57
gene-b4736	198
gene-b0814	53697
gene-b0815	111
gene-b4416	9371
gene-b4705	9129
gene-b0817	657
gene-b0818	557
gene-b0819	2766
gene-b0820	942
gene-b0821	121
gene-b0822	130
gene-b0823	283
gene-b0824	24
gene-b0825	229
gene-b0826	1281
gene-b0827	2327
gene-b0828	1460
gene-b0829	936
gene-b0830	308
gene-b0831	98
gene-b0832	100
gene-b0833	76
gene-b0834	21
gene-b0835	83
gene-b0836	753548
gene-b0837	979
gene-b0838	211
gene-b0839	4436
gene-b0840	325
gene-b0841	165
gene-b0842	3362
gene-b0843	173
gene-b0844	222
gene-b0845	357
gene-b0846	305
gene-b4417	480
gene-b0847	1141
gene-b0848	107
gene-b0849	134
gene-b0850	52
gene-b0851	185
gene-b0852	257
gene-b0853	703
gene-b0854	4510
gene-b0855	923
gene-b0856	488
gene-b0857	607
gene-b0858	52
gene-b0859	52
gene-b0860	27
gene-b0861	279
gene-b0862	232
gene-b0863	1070
gene-b0864	460
gene-b0865	1735
gene-b0866	1510
gene-b0867	1612
gene-b0868	608
gene-b0869	262
gene-b0870	1091
gene-b0871	3298
gene-b0872	95
gene-b0873	52
gene-b0874	46
gene-b0875	1483
gene-b0876	1435
gene-b0877	573
gene-b0878	570
gene-b0879	2870
gene-b0880	18508
gene-b0881	7304
gene-b0882	127522
gene-b0883	162
gene-b0884	268
gene-b0885	503
gene-b0886	258
gene-b0887	260
gene-b0888	228
gene-b0889	852
gene-b0890	2851
gene-b0891	634
gene-b0892	415
gene-b0893	12336
gene-b0894	151
gene-b0895	88
gene-b0896	302
gene-b0897	642
gene-b0898	1120
gene-b0899	431
gene-b0900	183
gene-b0901	15
gene-b0902	10708
gene-b0903	104939
gene-b0904	4731
gene-b0905	267
gene-b0906	761
gene-b0907	2122
gene-b0908	265
gene-b0909	125
gene-b0910	1184
gene-b0911	39241
gene-b0912	1232
gene-b0913	386
gene-b0914	535
gene-b0915	381
gene-b0916	120
gene-b0917	328
gene-b0918	1359
gene-b0919	526
gene-b0920	133
gene-b0921	372
gene-b0922	476
gene-b0923	298
gene-b0924	1733
gene-b0925	9517
gene-b0926	773
gene-b0927	1068
gene-b0928	2890
gene-b0929	1673
gene-b0930	16920
gene-b0931	199
gene-b0932	8176
gene-b0933	318
gene-b0934	74
gene-b0935	16
gene-b0936	3
gene-b0937	10
gene-b0938	0
gene-b0939	49
gene-b0940	87
gene-b0941	69
gene-b0942	0
gene-b0943	32
gene-b0944	140
gene-b0945	21
gene-b0946	55
gene-b0947	193
gene-b0948	692
gene-b0949	2827
gene-b0950	3853
gene-b0951	1798
gene-b0952	1141
gene-b0953	28221
gene-b0954	11797
gene-b0955	26263
gene-b0956	533
gene-b0957	31205
gene-b0958	4562
gene-b0959	178
gene-b0960	243
gene-b0961	13
gene-b0962	2088
gene-b0963	10505
gene-b0964	622
gene-b0965	8143
gene-b0966	101485
gene-b0967	3173
gene-b0968	1272
gene-b0969	957
gene-b0970	10213
gene-b0971	233
gene-b0972	2512
gene-b0973	2131
gene-b0974	1139
gene-b0975	1014
gene-b0976	480
gene-b0977	351
gene-b0978	2465
gene-b0979	1090
gene-b4592	147
gene-b0980	749
gene-b0981	1835
gene-b0982	62
gene-b0983	76
gene-b0984	72
gene-b0985	106
gene-b0986	23
gene-b0987	40
gene-b4516	0
gene-b0988	460
gene-b0989	23
gene-b0990	43
gene-b4723	8
gene-b0991	5
gene-b4517	2
gene-b0992	58
gene-b0993	263
gene-b0994	122
gene-b0995	221
gene-b0996	42
gene-b0997	202
gene-b0998	134
gene-b0999	2479
gene-b1000	2781
gene-b1001	5
gene-b1002	21223
gene-b1003	18364
gene-b1004	20139
gene-b4518	3051
gene-b1006	417
gene-b1007	55
gene-b1008	46
gene-b1009	1
gene-b1010	10
gene-b1011	0
gene-b1012	12
gene-b1013	407
gene-b1014	8375
gene-b4737	31
gene-b1015	2628
gene-b1018	24
gene-b1019	286
gene-b1020	17493
gene-b1021	69
gene-b1022	88
gene-b1023	68
gene-b1024	101
gene-b1025	75
gene-b1026	12
gene-b1027	1
gene-b1029	82
gene-b1032	4
gene-b1033	323
gene-b1034	466
gene-b1035	374
gene-b1036	478
gene-b1037	401
gene-b1038	48
gene-b1039	23
gene-b1040	560
gene-b1041	15
gene-b1042	310
gene-b1043	14
gene-b1044	82
gene-b1045	799
gene-b1046	1610
gene-b1047	128
gene-b1048	3853
gene-b1049	4520
gene-b1050	1685
gene-b1051	4149
gene-b1053	134
gene-b1054	330
gene-b1055	161
gene-b1056	48
gene-b1057	17
gene-b1058	16
gene-b1059	261
gene-b1060	2558
gene-b1061	4
gene-b1062	211
gene-b1063	747
gene-b1064	1271
gene-b1065	111
gene-b1066	1060
gene-b1067	2436
gene-b1068	2154
gene-b1069	205
gene-b1070	127
gene-b1071	95
gene-b1072	30
gene-b1073	45
gene-b1074	109
gene-b1075	247
gene-b1076	486
gene-b1077	143
gene-b1078	181
gene-b1079	161
gene-b1080	28
gene-b1081	38
gene-b1082	503
gene-b1083	569
gene-b1084	6462
gene-b1085	371
gene-b1086	157
gene-b1087	709
gene-b4418	2919
gene-b1088	12105
gene-b1089	7573
gene-b1090	2403
gene-b1091	3044
gene-b1092	3386
gene-b1093	2749
gene-b1094	7772
gene-b1095	31696
gene-b1096	226
gene-b1097	102
gene-b1098	154
gene-b1099	185
gene-b1100	4607
gene-b1101	9315
gene-b1102	530
gene-b1103	1666
gene-b1104	541
gene-b1105	815
gene-b1106	497
gene-b1107	1672
gene-b1108	5297
gene-b1109	623
gene-b1110	2090
gene-b1111	2147
gene-b1112	1088
gene-b1113	214
gene-b1114	2336
gene-b1115	32
gene-b1116	77
gene-b1117	33
gene-b1118	791
gene-b1119	2122
gene-b1120	563
gene-b1121	19
gene-b1122	21
gene-b1123	521
gene-b1124	69
gene-b1125	152
gene-b1126	169
gene-b1127	4037
gene-b1128	4486
gene-b1129	576
gene-b1130	689
gene-b1131	197
gene-b1132	271
gene-b1133	624
gene-b1134	53
gene-b1135	93
gene-b1136	6489
gene-b1137	75
gene-b1138	106
gene-b1139	151
gene-b1140	399
gene-b1141	152
gene-b1142	2359
gene-b1143	1119
gene-b1144	1208
gene-b1145	934
gene-b1146	30
gene-b1147	178
gene-b1148	43
gene-b1149	105
gene-b1150	6
gene-b1151	66
gene-b1153	1
gene-b1154	11
gene-b1155	50
gene-b1156	72
gene-b1158	11
gene-b1159	257
gene-b1160	1
gene-b4738	0
gene-b4739	0
gene-b1161	5
gene-b1162	579
gene-b1163	404
gene-b1164	557
gene-b1165	1036
gene-b1166	672
gene-b1167	124
gene-b1168	259
gene-b4520	48
gene-b1171	110
gene-b1172	149
gene-b4593	46
gene-b4594	0
gene-b1174	140
gene-b1175	1933
gene-b1176	271
gene-b1177	200
gene-b1178	1331
gene-b1179	500
gene-b1180	5609
gene-b1181	1981
gene-b1182	100
gene-b1183	477
gene-b1184	1295
gene-b1185	736
gene-b1186	242
gene-b1187	826
gene-b1188	35187
gene-b1189	20790
gene-b1190	7837
gene-b4740	87
gene-b1191	220
gene-b1192	481
gene-b1193	584
gene-b1194	184
gene-b1195	3773
gene-b1196	732
gene-b1197	2133
gene-b1198	1341
gene-b1199	812
gene-b1200	1619
gene-b1201	242
gene-b1202	451
gene-b1203	1307
gene-b1204	81
gene-b1205	128652
gene-b1206	7769
gene-b1207	1099
gene-b1208	485
gene-b1209	380
gene-b1210	362
gene-b1211	136
gene-b1212	32
gene-b1213	215
gene-b1214	1984
gene-b1215	2889
gene-b4419	45
gene-b4420	78
gene-b4421	9
gene-b4422	27
gene-b4423	1
gene-b4424	0
gene-b1216	219
gene-b1217	257
gene-b1218	2509
gene-b1219	986
gene-b1220	97
gene-b1221	101
gene-b1222	470
gene-b1223	519
gene-b1224	325
gene-b1225	250
gene-b1226	217
gene-b1227	119
gene-b1228	7
gene-b4425	27
gene-b1229	7
gene-b1230	80
gene-b1231	38
gene-b1232	913
gene-b1233	241
gene-b1234	699
gene-b1235	3746
gene-b1236	7809
gene-b1237	32467
gene-b1238	150
gene-b1241	158667
gene-b1242	95
gene-b4711	1613
gene-b1243	9703
gene-b1244	1085
gene-b1245	2019
gene-b1246	2728
gene-b1247	2640
gene-b1248	659
gene-b1249	1104
gene-b4595	64
gene-b1250	662
gene-b1251	46
gene-b1252	881
gene-b1253	70
gene-b1254	4798
gene-b1255	2439
gene-b1256	406
gene-b1257	110
gene-b1258	95
gene-b1259	444
gene-b1260	307
gene-b1261	460
gene-b1262	307
gene-b1263	107
gene-b1264	39
gene-b1265	0
gene-b1266	827
gene-b1267	3156
gene-b1268	1086
gene-b1269	444
gene-b1270	434
gene-b1271	361
gene-b1272	1658
gene-b1273	388
gene-b1274	3369
gene-b1275	548
gene-b4522	139
gene-b4523	195
gene-b4741	168
gene-b1276	18303
gene-b1277	2637
gene-b1278	355
gene-b1279	1083
gene-b1280	1617
gene-b1281	147
gene-b1282	12
gene-b1283	2066
gene-b1284	433
gene-b4596	49
gene-b1285	1747
gene-b4672	19
gene-b1286	735
gene-b1287	254
gene-b1288	8065
gene-b1289	310
gene-b1290	1092
gene-b1291	2065
gene-b1292	3485
gene-b1293	4823
gene-b1294	2835
gene-b1295	45
gene-b1296	206
gene-b4742	25
gene-b1297	581
gene-b1298	749
gene-b1299	1815
gene-b1300	82
gene-b1301	235
gene-b1302	84
gene-b1303	12
gene-b1304	3693
gene-b1305	1079
gene-b1306	1573
gene-b1307	1246
gene-b1308	1216
gene-b1309	5
gene-b1310	2
gene-b1311	21
gene-b1312	43
gene-b1313	36
gene-b1314	4
gene-b1315	56
gene-b1316	28
gene-b1317	0
gene-b1319	1
gene-b1320	1
gene-b1321	3533
gene-b1322	2643
gene-b1323	2317
gene-b1324	2565
gene-b1325	1825
gene-b1326	3113
gene-b4525	44
gene-b4673	29
gene-b1327	123
gene-b1328	106
gene-b1329	669
gene-b1330	251
gene-b1331	10
gene-b1332	649
gene-b1333	44873
gene-b1334	15416
gene-b1335	30
gene-b1336	32
gene-b1337	147
gene-b1338	67
gene-b1339	140
gene-b4426	102
gene-b1340	291
gene-b1341	783
gene-b1342	603
gene-b4699	36
gene-b4743	45
gene-b1343	145
gene-b1344	538
gene-b1345	407
gene-b1346	1
gene-b1347	1
gene-b4714	1
gene-b1348	1
gene-b1349	30
gene-b1350	167
gene-b1351	0
gene-b4526	0
gene-b1352	1
gene-b1353	14
gene-b4527	0
gene-b1355	1
gene-b1356	232
gene-b1357	20
gene-b1358	39
gene-b1359	85
gene-b1360	86
gene-b1361	120
gene-b4528	70
gene-b1363	226
gene-b1365	36
gene-b1366	49
gene-b1368	300
gene-b1370	179
gene-b1372	313
gene-b1373	17
gene-b1374	564
gene-b1375	12
gene-b4744	48
gene-b1376	15505
gene-b1377	15
gene-b4427	1607
gene-b1378	34868
gene-b4529	1338
gene-b1379	966
gene-b1380	3747
gene-b1381	709
gene-b1382	187
gene-b1383	116
gene-b1384	344
gene-b1385	1153
gene-b1386	152
gene-b1387	153
gene-b1388	46
gene-b1389	2
gene-b1390	23
gene-b1391	8
gene-b1392	5
gene-b1393	50
gene-b1394	82
gene-b1395	53
gene-b1396	10
gene-b1397	1498
gene-b1398	1628
gene-b1399	697
gene-b1400	891
gene-b4674	1
gene-b1402	31
gene-b1403	0
gene-b1404	27
gene-b1406	1462
gene-b1407	52
gene-b1408	0
gene-b1409	8
gene-b1410	24
gene-b1411	309
gene-b1412	168
gene-b1413	2821
gene-b1414	807
gene-b1415	22454
gene-b1418	178
gene-b4597	4
gene-b1419	776
gene-b4428	4030
gene-b1420	4062
gene-b4429	1784
gene-b1421	392
gene-b1422	781
gene-b1423	1376
gene-b1424	921
gene-b1426	485
gene-b1427	230
gene-b1428	558
gene-b1429	380
gene-b1430	95
gene-b1431	8916
gene-b1432	211
gene-b1433	199
gene-b1434	55
gene-b1435	273
gene-b1436	315
gene-b4532	266
gene-b1438	463
gene-b1439	501
gene-b1440	2754
gene-b1441	1052
gene-b1442	497
gene-b1443	373
gene-b1444	1288
gene-b4598	183
gene-b1445	43
gene-b1446	1094
gene-b1447	535
gene-b1448	244
gene-b1449	1107
gene-b1450	121
gene-b1451	83
gene-b1452	2051
gene-b1453	56
gene-b1454	309
gene-b1455	16
gene-b1457	59
gene-b4745	31
gene-b1460	2
gene-b1461	22
gene-b1462	418
gene-b1463	518
gene-b1464	312
gene-b1465	87
gene-b1466	73
gene-b1467	254
gene-b1468	435
gene-b1469	204
gene-b1471	29
gene-b1472	0
gene-b1473	8
gene-b1474	123
gene-b1475	70
gene-b1476	162
gene-b1477	9152
gene-b1478	5644
gene-b1479	1236
gene-b1480	2416
gene-b1481	18
gene-b1482	6713
gene-b1483	332
gene-b1484	32
gene-b1485	99
gene-b1486	39
gene-b1487	92
gene-b1488	78
gene-b1489	3376
gene-b1490	5659
gene-b4746	187
